C17010I_001E,C17010I_001EA,C17010I_001M,C17010I_001MA,C17010I_002E,C17010I_002EA,C17010I_002M,C17010I_002MA,C17010I_003E,C17010I_003EA,C17010I_003M,C17010I_003MA,C17010I_004E,C17010I_004EA,C17010I_004M,C17010I_004MA,C17010I_005E,C17010I_005EA,C17010I_005M,C17010I_005MA,C17010I_006E,C17010I_006EA,C17010I_006M,C17010I_006MA,C17010I_007E,C17010I_007EA,C17010I_007M,C17010I_007MA,C17010I_008E,C17010I_008EA,C17010I_008M,C17010I_008MA,C17010I_009E,C17010I_009EA,C17010I_009M,C17010I_009MA,C17010I_010E,C17010I_010EA,C17010I_010M,C17010I_010MA,C17010I_011E,C17010I_011EA,C17010I_011M,C17010I_011MA,C17010I_012E,C17010I_012EA,C17010I_012M,C17010I_012MA,C17010I_013E,C17010I_013EA,C17010I_013M,C17010I_013MA,C17010I_014E,C17010I_014EA,C17010I_014M,C17010I_014MA,C17010I_015E,C17010I_015EA,C17010I_015M,C17010I_015MA,C17010I_016E,C17010I_016EA,C17010I_016M,C17010I_016MA,C17010I_017E,C17010I_017EA,C17010I_017M,C17010I_017MA,GEO_ID,NAME,state
25204,null,1974,null,6276,null,1396,null,2994,null,871,null,2485,null,799,null,3282,null,987,null,778,null,487,null,768,null,487,null,2504,null,935,null,2351,null,936,null,18928,null,1882,null,13582,null,1518,null,8165,null,1412,null,5346,null,1295,null,3259,null,978,null,1711,null,738,null,2087,null,742,null,1461,null,640,null,0400000US01,Alabama,01
8559,null,1059,null,900,null,503,null,230,null,207,null,230,null,207,null,670,null,463,null,253,null,272,null,253,null,272,null,417,null,351,null,417,null,351,null,7659,null,1030,null,5048,null,990,null,3550,null,891,null,2611,null,859,null,1549,null,762,null,772,null,538,null,1062,null,366,null,856,null,398,null,0400000US02,Alaska,02
371249,null,6665,null,73212,null,4484,null,32433,null,3563,null,28770,null,3605,null,40779,null,3636,null,6839,null,1557,null,5606,null,1389,null,33940,null,3160,null,31674,null,3067,null,298037,null,7332,null,209592,null,6523,null,139693,null,5745,null,88445,null,4912,null,33267,null,3788,null,20372,null,2701,null,55178,null,3884,null,39902,null,3815,null,0400000US04,Arizona,04
29580,null,1693,null,7348,null,1396,null,4049,null,1105,null,3725,null,1019,null,3299,null,913,null,341,null,262,null,289,null,231,null,2958,null,861,null,2958,null,861,null,22232,null,1773,null,15770,null,1569,null,11566,null,1274,null,6462,null,1359,null,3892,null,1127,null,2518,null,883,null,2570,null,932,null,1924,null,799,null,0400000US05,Arkansas,05
2648917,null,15716,null,418889,null,8464,null,188045,null,6299,null,163829,null,6270,null,230844,null,6921,null,40715,null,3700,null,34464,null,3415,null,190129,null,6185,null,176963,null,6210,null,2230028,null,15136,null,1564391,null,14634,null,1090445,null,12959,null,665637,null,12147,null,269094,null,8343,null,157188,null,6605,null,396543,null,9555,null,268422,null,7807,null,0400000US06,California,06
207789,null,4714,null,47485,null,4130,null,21569,null,2836,null,18294,null,2594,null,25916,null,2654,null,5024,null,1428,null,4183,null,1282,null,20892,null,2305,null,20098,null,2318,null,160304,null,4657,null,113115,null,4963,null,67971,null,3862,null,47189,null,3336,null,21084,null,2291,null,12859,null,2138,null,26105,null,2944,null,18932,null,2505,null,0400000US08,Colorado,08
91588,null,3299,null,17889,null,1999,null,3174,null,1073,null,1918,null,808,null,14715,null,1952,null,1864,null,698,null,1407,null,615,null,12851,null,1838,null,12227,null,1770,null,73699,null,3289,null,45301,null,3227,null,27036,null,2677,null,28398,null,3106,null,8765,null,1687,null,5425,null,1314,null,19633,null,2246,null,15076,null,2079,null,0400000US09,Connecticut,09
11838,null,1068,null,2863,null,932,null,1403,null,665,null,1264,null,619,null,1460,null,667,null,262,null,333,null,96,null,161,null,1198,null,638,null,1141,null,627,null,8975,null,1119,null,5650,null,1002,null,3868,null,756,null,3325,null,816,null,1443,null,571,null,711,null,417,null,1882,null,619,null,1491,null,555,null,0400000US10,Delaware,10
9739,null,1245,null,1158,null,675,null,580,null,467,null,143,null,221,null,578,null,484,null,0,null,300,null,0,null,300,null,578,null,484,null,385,null,461,null,8581,null,1218,null,5233,null,1103,null,3531,null,927,null,3348,null,1063,null,1255,null,612,null,422,null,403,null,2093,null,875,null,1817,null,833,null,0400000US11,District of Columbia,11
897776,null,11745,null,120522,null,6673,null,56703,null,3943,null,37046,null,3460,null,63819,null,4189,null,10576,null,1826,null,8671,null,1617,null,53243,null,3786,null,47858,null,3754,null,777254,null,10577,null,559902,null,10105,null,310629,null,7927,null,217352,null,7965,null,79358,null,4879,null,41287,null,3419,null,137994,null,5997,null,82116,null,4730,null,0400000US12,Florida,12
136161,null,5396,null,28779,null,2642,null,15264,null,2317,null,13511,null,2217,null,13515,null,2030,null,3222,null,1015,null,2761,null,878,null,10293,null,1780,null,9545,null,1671,null,107382,null,4949,null,79518,null,4413,null,57290,null,3712,null,27864,null,2578,null,14533,null,1914,null,6809,null,1534,null,13331,null,2034,null,10043,null,1937,null,0400000US13,Georgia,13
20025,null,1979,null,1576,null,690,null,657,null,530,null,523,null,493,null,919,null,458,null,35,null,67,null,0,null,271,null,884,null,444,null,870,null,445,null,18449,null,1967,null,13005,null,1730,null,8367,null,1413,null,5444,null,1179,null,1182,null,652,null,907,null,620,null,4262,null,1085,null,3495,null,1011,null,0400000US15,Hawaii,15
31301,null,1705,null,6779,null,1373,null,3588,null,953,null,3250,null,895,null,3191,null,1069,null,168,null,155,null,168,null,155,null,3023,null,1013,null,2942,null,1032,null,24522,null,1629,null,18168,null,1753,null,13663,null,1588,null,6354,null,1091,null,3410,null,788,null,2242,null,739,null,2944,null,832,null,1871,null,630,null,0400000US16,Idaho,16
403988,null,6427,null,57867,null,4316,null,27706,null,3025,null,24139,null,2841,null,30161,null,2968,null,4593,null,1198,null,3656,null,1083,null,25568,null,2659,null,23467,null,2327,null,346121,null,6454,null,247136,null,7071,null,178394,null,6279,null,98985,null,5622,null,44726,null,3788,null,26506,null,2803,null,54259,null,3910,null,38743,null,3436,null,0400000US17,Illinois,17
67456,null,2902,null,13709,null,1804,null,6173,null,1289,null,5667,null,1257,null,7536,null,1456,null,1801,null,832,null,1586,null,717,null,5735,null,1185,null,5521,null,1168,null,53747,null,2772,null,36037,null,2866,null,25548,null,2525,null,17710,null,2231,null,9265,null,1734,null,5907,null,1393,null,8445,null,1331,null,6012,null,1114,null,0400000US18,Indiana,18
23529,null,1400,null,4885,null,1066,null,1992,null,787,null,1766,null,744,null,2893,null,880,null,430,null,385,null,342,null,363,null,2463,null,791,null,2463,null,791,null,18644,null,1569,null,13562,null,1599,null,9260,null,1212,null,5082,null,978,null,2330,null,697,null,1627,null,623,null,2752,null,723,null,2154,null,664,null,0400000US19,Iowa,19
52868,null,2655,null,13661,null,2001,null,7091,null,1462,null,6116,null,1439,null,6570,null,1572,null,1701,null,909,null,1574,null,868,null,4869,null,1291,null,4699,null,1271,null,39207,null,2596,null,28385,null,2482,null,19807,null,2137,null,10822,null,1949,null,5513,null,1496,null,3620,null,1214,null,5309,null,1144,null,4292,null,1162,null,0400000US20,Kansas,20
16973,null,1844,null,3304,null,937,null,1966,null,834,null,1568,null,760,null,1338,null,598,null,272,null,256,null,272,null,256,null,1066,null,545,null,1066,null,545,null,13669,null,1654,null,8654,null,1470,null,4883,null,1070,null,5015,null,1220,null,2965,null,1041,null,991,null,710,null,2050,null,643,null,1218,null,670,null,0400000US21,Kentucky,21
27206,null,1508,null,3974,null,944,null,1728,null,719,null,1275,null,601,null,2246,null,778,null,571,null,385,null,117,null,180,null,1675,null,695,null,1457,null,636,null,23232,null,1606,null,17200,null,1549,null,8241,null,1257,null,6032,null,1100,null,2280,null,706,null,1059,null,501,null,3752,null,835,null,1744,null,685,null,0400000US22,Louisiana,22
2375,null,578,null,236,null,154,null,65,null,62,null,65,null,62,null,171,null,147,null,0,null,226,null,0,null,226,null,171,null,147,null,171,null,147,null,2139,null,582,null,1632,null,522,null,729,null,311,null,507,null,316,null,352,null,266,null,173,null,189,null,155,null,143,null,28,null,45,null,0400000US23,Maine,23
73835,null,3075,null,5358,null,1394,null,1799,null,651,null,1314,null,590,null,3559,null,1146,null,722,null,509,null,641,null,472,null,2837,null,1010,null,2394,null,937,null,68477,null,3375,null,47632,null,3297,null,33182,null,2907,null,20845,null,2176,null,10337,null,1652,null,6741,null,1259,null,10508,null,1644,null,7873,null,1373,null,0400000US24,Maryland,24
116470,null,4316,null,34815,null,2788,null,6908,null,1678,null,4241,null,1165,null,27907,null,2428,null,2763,null,1164,null,2307,null,1045,null,25144,null,2358,null,23257,null,2273,null,81655,null,3837,null,43850,null,2741,null,27584,null,2654,null,37805,null,2953,null,12873,null,1922,null,7821,null,1632,null,24932,null,2265,null,18715,null,2128,null,0400000US25,Massachusetts,25
