C05009_001E,C05009_001EA,C05009_001M,C05009_001MA,C05009_002E,C05009_002EA,C05009_002M,C05009_002MA,C05009_003E,C05009_003EA,C05009_003M,C05009_003MA,C05009_004E,C05009_004EA,C05009_004M,C05009_004MA,C05009_005E,C05009_005EA,C05009_005M,C05009_005MA,C05009_006E,C05009_006EA,C05009_006M,C05009_006MA,C05009_007E,C05009_007EA,C05009_007M,C05009_007MA,C05009_008E,C05009_008EA,C05009_008M,C05009_008MA,C05009_009E,C05009_009EA,C05009_009M,C05009_009MA,C05009_010E,C05009_010EA,C05009_010M,C05009_010MA,C05009_011E,C05009_011EA,C05009_011M,C05009_011MA,C05009_012E,C05009_012EA,C05009_012M,C05009_012MA,C05009_013E,C05009_013EA,C05009_013M,C05009_013MA,C05009_014E,C05009_014EA,C05009_014M,C05009_014MA,C05009_015E,C05009_015EA,C05009_015M,C05009_015MA,GEO_ID,NAME,state
1040931,null,6526,null,348943,null,5680,null,346724,null,5803,null,2219,null,949,null,325482,null,5887,null,23461,null,2231,null,21689,null,2180,null,1772,null,877,null,691988,null,7155,null,679607,null,7209,null,12381,null,2129,null,659319,null,7506,null,32669,null,3314,null,22192,null,2828,null,10477,null,2132,null,0400000US01,Alabama,01
169607,null,1952,null,59553,null,2072,null,58915,null,2013,null,638,null,457,null,52564,null,2378,null,6989,null,1464,null,6522,null,1350,null,467,null,439,null,110054,null,2204,null,108062,null,2352,null,1992,null,866,null,97510,null,2259,null,12544,null,1661,null,10674,null,1595,null,1870,null,801,null,0400000US02,Alaska,02
1564752,null,7211,null,560102,null,5477,null,546818,null,5721,null,13284,null,2618,null,379588,null,7488,null,180514,null,6388,null,168441,null,6771,null,12073,null,2598,null,1004650,null,7749,null,925809,null,9153,null,78841,null,6368,null,688133,null,9606,null,316517,null,9991,null,240121,null,9459,null,76396,null,6328,null,0400000US04,Arizona,04
648598,null,4544,null,222978,null,3863,null,220726,null,3846,null,2252,null,749,null,199553,null,3851,null,23425,null,1951,null,21801,null,1798,null,1624,null,635,null,425620,null,5048,null,414261,null,5156,null,11359,null,1784,null,390021,null,5057,null,35599,null,3006,null,25885,null,2937,null,9714,null,1540,null,0400000US05,Arkansas,05
8807512,null,18790,null,2992956,null,13237,null,2927159,null,14177,null,65797,null,5588,null,1494430,null,19735,null,1498526,null,17521,null,1438879,null,17502,null,59647,null,5285,null,5814556,null,17609,null,5327235,null,21610,null,487321,null,13968,null,2858583,null,24033,null,2955973,null,22233,null,2479246,null,24426,null,476727,null,14209,null,0400000US06,California,06
1127106,null,6096,null,399738,null,4597,null,392313,null,4980,null,7425,null,1682,null,307111,null,5479,null,92627,null,5429,null,87422,null,5389,null,5205,null,1482,null,727368,null,6108,null,688367,null,7633,null,39001,null,3801,null,584616,null,8663,null,142752,null,7579,null,106816,null,7378,null,35936,null,3730,null,0400000US08,Colorado,08
780647,null,4334,null,244515,null,3771,null,239592,null,3937,null,4923,null,1324,null,185075,null,4720,null,59440,null,3728,null,56060,null,3704,null,3380,null,1128,null,536132,null,4646,null,510482,null,4825,null,25650,null,3272,null,436879,null,5544,null,99253,null,5663,null,77582,null,5037,null,21671,null,3180,null,0400000US09,Connecticut,09
189945,null,2669,null,67349,null,1731,null,66294,null,1807,null,1055,null,609,null,55120,null,2076,null,12229,null,1805,null,11519,null,1831,null,710,null,548,null,122596,null,2458,null,117653,null,2657,null,4943,null,1133,null,107466,null,2767,null,15130,null,2294,null,10639,null,2098,null,4491,null,1077,null,0400000US10,Delaware,10
103732,null,2229,null,40560,null,1334,null,40095,null,1383,null,465,null,372,null,31475,null,2367,null,9085,null,2144,null,8695,null,2021,null,390,null,340,null,63172,null,1908,null,61014,null,2272,null,2158,null,1051,null,52891,null,2255,null,10281,null,1534,null,8259,null,1473,null,2022,null,952,null,0400000US11,District of Columbia,11
3785381,null,12463,null,1281852,null,8373,null,1259616,null,8341,null,22236,null,3343,null,881406,null,12766,null,400446,null,11953,null,381758,null,11820,null,18688,null,3310,null,2503529,null,13542,null,2316427,null,17608,null,187102,null,10237,null,1748203,null,17914,null,755326,null,17691,null,575035,null,16003,null,180291,null,9951,null,0400000US12,Florida,12
2361281,null,10547,null,822522,null,9334,null,810485,null,9543,null,12037,null,2429,null,657737,null,10006,null,164785,null,7830,null,155788,null,7404,null,8997,null,2240,null,1538759,null,11365,null,1471292,null,11169,null,67467,null,5290,null,1314758,null,12862,null,224001,null,8378,null,160175,null,7868,null,63826,null,5082,null,0400000US13,Georgia,13
269071,null,2116,null,99120,null,2492,null,97812,null,2381,null,1308,null,710,null,75210,null,3370,null,23910,null,3400,null,22782,null,3424,null,1128,null,674,null,169951,null,2778,null,159200,null,3102,null,10751,null,1927,null,121410,null,3631,null,48541,null,3514,null,38524,null,3253,null,10017,null,1884,null,0400000US15,Hawaii,15
385353,null,2922,null,135177,null,2527,null,134238,null,2604,null,939,null,433,null,117831,null,3021,null,17346,null,2043,null,16666,null,2007,null,680,null,428,null,250176,null,3336,null,243288,null,3499,null,6888,null,1410,null,220814,null,4125,null,29362,null,2653,null,23079,null,2565,null,6283,null,1381,null,0400000US16,Idaho,16
3032249,null,9062,null,1014603,null,6406,null,997760,null,6978,null,16843,null,2328,null,744075,null,7412,null,270528,null,6706,null,257327,null,7046,null,13201,null,2179,null,2017646,null,9472,null,1914799,null,10865,null,102847,null,7206,null,1529307,null,15781,null,488339,null,12276,null,391584,null,11289,null,96755,null,7135,null,0400000US17,Illinois,17
1489530,null,5797,null,498939,null,5660,null,493316,null,5601,null,5623,null,1199,null,450792,null,5192,null,48147,null,2807,null,44596,null,2794,null,3551,null,999,null,990591,null,7120,null,968506,null,7353,null,22085,null,2822,null,921051,null,8115,null,69540,null,4242,null,50531,null,3982,null,19009,null,2505,null,0400000US18,Indiana,18
677364,null,3786,null,225559,null,3138,null,223793,null,3147,null,1766,null,613,null,205593,null,3841,null,19966,null,2461,null,18619,null,2381,null,1347,null,606,null,451805,null,4159,null,440618,null,4385,null,11187,null,1651,null,418948,null,3933,null,32857,null,2494,null,23759,null,2444,null,9098,null,1324,null,0400000US19,Iowa,19
655795,null,4199,null,222475,null,3604,null,220518,null,3651,null,1957,null,657,null,192305,null,4158,null,30170,null,2225,null,29257,null,2195,null,913,null,452,null,433320,null,4962,null,419266,null,5245,null,14054,null,1935,null,380855,null,5311,null,52465,null,3294,null,39847,null,3289,null,12618,null,1769,null,0400000US20,Kansas,20
