B17010_001E,B17010_001EA,B17010_001M,B17010_001MA,B17010_002E,B17010_002EA,B17010_002M,B17010_002MA,B17010_003E,B17010_003EA,B17010_003M,B17010_003MA,B17010_004E,B17010_004EA,B17010_004M,B17010_004MA,B17010_005E,B17010_005EA,B17010_005M,B17010_005MA,B17010_006E,B17010_006EA,B17010_006M,B17010_006MA,B17010_007E,B17010_007EA,B17010_007M,B17010_007MA,B17010_008E,B17010_008EA,B17010_008M,B17010_008MA,B17010_009E,B17010_009EA,B17010_009M,B17010_009MA,B17010_010E,B17010_010EA,B17010_010M,B17010_010MA,B17010_011E,B17010_011EA,B17010_011M,B17010_011MA,B17010_012E,B17010_012EA,B17010_012M,B17010_012MA,B17010_013E,B17010_013EA,B17010_013M,B17010_013MA,B17010_014E,B17010_014EA,B17010_014M,B17010_014MA,B17010_015E,B17010_015EA,B17010_015M,B17010_015MA,B17010_016E,B17010_016EA,B17010_016M,B17010_016MA,B17010_017E,B17010_017EA,B17010_017M,B17010_017MA,B17010_018E,B17010_018EA,B17010_018M,B17010_018MA,B17010_019E,B17010_019EA,B17010_019M,B17010_019MA,B17010_020E,B17010_020EA,B17010_020M,B17010_020MA,B17010_021E,B17010_021EA,B17010_021M,B17010_021MA,B17010_022E,B17010_022EA,B17010_022M,B17010_022MA,B17010_023E,B17010_023EA,B17010_023M,B17010_023MA,B17010_024E,B17010_024EA,B17010_024M,B17010_024MA,B17010_025E,B17010_025EA,B17010_025M,B17010_025MA,B17010_026E,B17010_026EA,B17010_026M,B17010_026MA,B17010_027E,B17010_027EA,B17010_027M,B17010_027MA,B17010_028E,B17010_028EA,B17010_028M,B17010_028MA,B17010_029E,B17010_029EA,B17010_029M,B17010_029MA,B17010_030E,B17010_030EA,B17010_030M,B17010_030MA,B17010_031E,B17010_031EA,B17010_031M,B17010_031MA,B17010_032E,B17010_032EA,B17010_032M,B17010_032MA,B17010_033E,B17010_033EA,B17010_033M,B17010_033MA,B17010_034E,B17010_034EA,B17010_034M,B17010_034MA,B17010_035E,B17010_035EA,B17010_035M,B17010_035MA,B17010_036E,B17010_036EA,B17010_036M,B17010_036MA,B17010_037E,B17010_037EA,B17010_037M,B17010_037MA,B17010_038E,B17010_038EA,B17010_038M,B17010_038MA,B17010_039E,B17010_039EA,B17010_039M,B17010_039MA,B17010_040E,B17010_040EA,B17010_040M,B17010_040MA,B17010_041E,B17010_041EA,B17010_041M,B17010_041MA,GEO_ID,NAME,state
1245126,null,10267,null,162943,null,6985,null,47410,null,3265,null,27997,null,2577,null,4703,null,997,null,9014,null,1663,null,14280,null,2042,null,19413,null,2048,null,115533,null,5973,null,14196,null,2492,null,10402,null,2142,null,2279,null,1014,null,1974,null,991,null,6149,null,1542,null,3794,null,1059,null,101337,null,5260,null,87218,null,4894,null,17870,null,2386,null,21352,null,2642,null,47996,null,3578,null,14119,null,2063,null,1082183,null,10796,null,844063,null,11532,null,351777,null,8130,null,65550,null,4178,null,63468,null,4222,null,222759,null,7206,null,492286,null,8566,null,238120,null,7617,null,69330,null,4513,null,36104,null,3006,null,6328,null,1227,null,5423,null,1337,null,24353,null,2743,null,33226,null,2848,null,168790,null,6197,null,98836,null,4742,null,14810,null,1992,null,8586,null,1888,null,75440,null,4257,null,69954,null,3930,null,0400000US01,Alabama,01
162345,null,3643,null,10479,null,1522,null,2763,null,655,null,1966,null,630,null,510,null,480,null,648,null,262,null,808,null,249,null,797,null,331,null,7716,null,1347,null,1883,null,491,null,1651,null,517,null,743,null,424,null,292,null,168,null,616,null,297,null,232,null,150,null,5833,null,1275,null,5546,null,1273,null,1481,null,668,null,1485,null,621,null,2580,null,755,null,287,null,162,null,151866,null,3431,null,119498,null,3693,null,58681,null,2835,null,10335,null,1693,null,13763,null,1942,null,34583,null,2373,null,60817,null,2510,null,32368,null,2434,null,11556,null,1713,null,6844,null,1394,null,1093,null,478,null,896,null,417,null,4855,null,1187,null,4712,null,1088,null,20812,null,1761,null,14986,null,1731,null,1876,null,741,null,2271,null,649,null,10839,null,1340,null,5826,null,1172,null,0400000US02,Alaska,02
1491772,null,13954,null,151973,null,6630,null,61105,null,4394,null,41779,null,4289,null,7340,null,1189,null,17892,null,2654,null,16547,null,2661,null,19326,null,2431,null,90868,null,5411,null,17000,null,2498,null,12885,null,2050,null,3359,null,1298,null,2716,null,964,null,6810,null,1731,null,4115,null,1251,null,73868,null,4510,null,66501,null,4517,null,11288,null,2062,null,23917,null,2750,null,31296,null,2930,null,7367,null,1471,null,1339799,null,14101,null,1053439,null,13199,null,454799,null,10147,null,84077,null,4747,null,109253,null,5010,null,261469,null,8479,null,598640,null,8488,null,286360,null,8101,null,95701,null,5924,null,59295,null,4489,null,11406,null,1947,null,9254,null,1790,null,38635,null,3831,null,36406,null,3152,null,190659,null,6341,null,125009,null,6122,null,15989,null,2124,null,20486,null,2439,null,88534,null,5337,null,65650,null,3113,null,0400000US04,Arizona,04
756113,null,10348,null,103529,null,5709,null,39058,null,3164,null,26191,null,2703,null,4761,null,1317,null,8469,null,1597,null,12961,null,1708,null,12867,null,1443,null,64471,null,4545,null,8333,null,1515,null,6454,null,1275,null,2209,null,994,null,1134,null,688,null,3111,null,879,null,1879,null,866,null,56138,null,4189,null,50858,null,4175,null,9432,null,1683,null,12928,null,2550,null,28498,null,2635,null,5280,null,1183,null,652584,null,8478,null,531017,null,8564,null,216094,null,5749,null,40830,null,2919,null,42923,null,3660,null,132341,null,4505,null,314923,null,6579,null,121567,null,5267,null,36544,null,3490,null,20868,null,2473,null,3826,null,1049,null,3446,null,1250,null,13596,null,1969,null,15676,null,2370,null,85023,null,4446,null,52395,null,3766,null,7718,null,1584,null,6695,null,1552,null,37982,null,3331,null,32628,null,2582,null,0400000US05,Arkansas,05
8330684,null,27121,null,774183,null,13795,null,324337,null,8008,null,237761,null,7213,null,34354,null,3183,null,94705,null,4760,null,108702,null,5303,null,86576,null,4273,null,449846,null,10788,null,75843,null,5463,null,58748,null,5045,null,13547,null,2042,null,16017,null,2472,null,29184,null,3116,null,17095,null,2283,null,374003,null,9905,null,331338,null,10209,null,56694,null,3859,null,97921,null,6178,null,176723,null,7108,null,42665,null,3227,null,7556501,null,27990,null,5741409,null,29582,null,2924718,null,23737,null,545298,null,13992,null,637718,null,13235,null,1741702,null,18403,null,2816691,null,17189,null,1815092,null,18672,null,625609,null,12139,null,333763,null,10049,null,65723,null,4315,null,54851,null,4488,null,213189,null,8520,null,291846,null,9475,null,1189483,null,15516,null,711528,null,12128,null,93104,null,6303,null,105973,null,5396,null,512451,null,11693,null,477955,null,10399,null,0400000US06,California,06
1202485,null,10691,null,100762,null,5794,null,42466,null,3763,null,30361,null,3338,null,6273,null,1371,null,11864,null,2490,null,12224,null,1860,null,12105,null,1949,null,58296,null,4342,null,9708,null,1845,null,7887,null,1674,null,2792,null,1150,null,1288,null,635,null,3807,null,1181,null,1821,null,671,null,48588,null,3847,null,44889,null,3707,null,10183,null,1760,null,13149,null,2134,null,21557,null,2587,null,3699,null,942,null,1101723,null,9674,null,891960,null,8790,null,405923,null,8180,null,86525,null,3803,null,83855,null,4271,null,235543,null,6941,null,486037,null,8207,null,209763,null,7543,null,78093,null,4952,null,48365,null,3915,null,9414,null,1831,null,6021,null,1522,null,32930,null,3149,null,29728,null,3088,null,131670,null,5798,null,85857,null,4344,null,11853,null,1790,null,10017,null,1670,null,63987,null,3827,null,45813,null,3668,null,0400000US08,Colorado,08
885471,null,7409,null,50353,null,3653,null,12002,null,1758,null,6866,null,1278,null,972,null,552,null,2703,null,822,null,3191,null,920,null,5136,null,1186,null,38351,null,3207,null,4965,null,1087,null,3964,null,1007,null,851,null,573,null,678,null,497,null,2435,null,832,null,1001,null,513,null,33386,null,2966,null,30143,null,2782,null,5274,null,1310,null,8261,null,1720,null,16608,null,2192,null,3243,null,945,null,835118,null,6915,null,661740,null,8003,null,307072,null,5728,null,61360,null,3730,null,51639,null,3507,null,194073,null,5740,null,354668,null,6499,null,173378,null,6463,null,46656,null,3822,null,23594,null,2375,null,4651,null,1238,null,3044,null,958,null,15899,null,1944,null,23062,null,3009,null,126722,null,4738,null,75254,null,3879,null,8411,null,1385,null,9977,null,1652,null,56866,null,3337,null,51468,null,3104,null,0400000US09,Connecticut,09
224451,null,4325,null,16916,null,2128,null,4532,null,966,null,2615,null,832,null,218,null,221,null,941,null,513,null,1456,null,595,null,1917,null,575,null,12384,null,1845,null,1922,null,784,null,1228,null,540,null,157,null,218,null,422,null,363,null,649,null,401,null,694,null,529,null,10462,null,1635,null,9462,null,1589,null,2632,null,995,null,2924,null,931,null,3906,null,1008,null,1000,null,410,null,207535,null,4750,null,158450,null,5204,null,65095,null,3499,null,12027,null,1698,null,14268,null,1688,null,38800,null,2683,null,93355,null,3617,null,49085,null,3391,null,14286,null,2066,null,7768,null,1671,null,1123,null,569,null,1093,null,744,null,5552,null,1511,null,6518,null,1323,null,34799,null,2648,null,22884,null,2573,null,4463,null,1172,null,2558,null,882,null,15863,null,2186,null,11915,null,1801,null,0400000US10,Delaware,10
108181,null,3697,null,14098,null,2048,null,1841,null,751,null,613,null,386,null,248,null,255,null,0,null,300,null,365,null,297,null,1228,null,597,null,12257,null,1930,null,701,null,357,null,550,null,349,null,0,null,300,null,57,null,95,null,493,null,337,null,151,null,145,null,11556,null,1898,null,9099,null,1708,null,649,null,456,null,2667,null,961,null,5783,null,1280,null,2457,null,877,null,94083,null,3637,null,53949,null,2793,null,20230,null,2061,null,6543,null,1174,null,4021,null,941,null,9666,null,1582,null,33719,null,2401,null,40134,null,2974,null,8733,null,1480,null,3771,null,1106,null,719,null,445,null,656,null,471,null,2396,null,878,null,4962,null,1103,null,31401,null,2731,null,19537,null,2020,null,2841,null,1006,null,2386,null,1039,null,14310,null,1883,null,11864,null,1593,null,0400000US11,District of Columbia,11
4626215,null,26538,null,397771,null,11413,null,150096,null,5696,null,79249,null,5049,null,13254,null,2132,null,25752,null,2669,null,40243,null,3120,null,70847,null,3518,null,247675,null,8906,null,34598,null,3680,null,25892,null,3195,null,8758,null,1930,null,4131,null,1294,null,13003,null,2165,null,8706,null,1846,null,213077,null,8911,null,188314,null,8541,null,35227,null,3286,null,51312,null,4280,null,101775,null,6146,null,24763,null,2763,null,4228444,null,24996,null,3264916,null,24612,null,1253205,null,16191,null,231855,null,7543,null,244945,null,7968,null,776405,null,13714,null,2011711,null,19200,null,963528,null,16986,null,296716,null,9012,null,155088,null,6708,null,34761,null,4197,null,18213,null,2155,null,102114,null,4988,null,141628,null,7221,null,666812,null,14215,null,402667,null,10697,null,58152,null,4538,null,48689,null,3554,null,295826,null,9233,null,264145,null,7913,null,0400000US12,Florida,12
