C16006_001E,C16006_001EA,C16006_001M,C16006_001MA,C16006_002E,C16006_002EA,C16006_002M,C16006_002MA,C16006_003E,C16006_003EA,C16006_003M,C16006_003MA,C16006_004E,C16006_004EA,C16006_004M,C16006_004MA,C16006_005E,C16006_005EA,C16006_005M,C16006_005MA,C16006_006E,C16006_006EA,C16006_006M,C16006_006MA,GEO_ID,NAME,state
100872,null,1843,null,24389,null,3053,null,75263,null,3314,null,25513,null,2732,null,49750,null,3480,null,1220,null,856,null,0400000US01,Alabama,01
33872,null,1037,null,15791,null,2065,null,17743,null,2073,null,9921,null,1378,null,7822,null,1744,null,338,null,254,null,0400000US02,Alaska,02
1658019,null,1575,null,438820,null,14040,null,1216327,null,14151,null,604884,null,15967,null,611443,null,15604,null,2872,null,884,null,0400000US04,Arizona,04
126179,null,1608,null,26541,null,3406,null,99504,null,3497,null,36656,null,3378,null,62848,null,4377,null,134,null,203,null,0400000US05,Arkansas,05
11841242,null,1377,null,2558115,null,37187,null,9249192,null,37364,null,4630776,null,38510,null,4618416,null,39589,null,33935,null,4366,null,0400000US06,California,06
854908,null,761,null,371086,null,13692,null,481174,null,13766,null,225526,null,9839,null,255648,null,12565,null,2648,null,921,null,0400000US08,Colorado,08
363176,null,873,null,88381,null,6297,null,272234,null,6348,null,148830,null,6380,null,123404,null,6202,null,2561,null,1019,null,0400000US09,Connecticut,09
48149,null,0,*****,12032,null,2815,null,35504,null,2903,null,16722,null,2289,null,18782,null,2453,null,613,null,461,null,0400000US10,Delaware,10
44840,null,0,*****,11656,null,2587,null,32075,null,2632,null,17642,null,2315,null,14433,null,2300,null,1109,null,843,null,0400000US11,District of Columbia,11
3438197,null,2515,null,424941,null,14699,null,2993607,null,14607,null,1462712,null,20437,null,1530895,null,22055,null,19649,null,3260,null,0400000US12,Florida,12
625195,null,4353,null,91506,null,7615,null,530366,null,8754,null,200188,null,8015,null,330178,null,10780,null,3323,null,1257,null,0400000US13,Georgia,13
91899,null,0,*****,66007,null,3240,null,19418,null,3092,null,13993,null,2527,null,5425,null,1788,null,6474,null,1496,null,0400000US15,Hawaii,15
129023,null,753,null,45955,null,3865,null,82564,null,3834,null,40887,null,3425,null,41677,null,3523,null,504,null,306,null,0400000US16,Idaho,16
1703105,null,2231,null,283847,null,13269,null,1415825,null,13462,null,686396,null,15241,null,729429,null,15060,null,3433,null,1227,null,0400000US17,Illinois,17
271702,null,1604,null,80921,null,5894,null,189488,null,5727,null,86645,null,5179,null,102843,null,6399,null,1293,null,586,null,0400000US18,Indiana,18
102853,null,1913,null,30774,null,2868,null,71456,null,3207,null,32972,null,3111,null,38484,null,2816,null,623,null,404,null,0400000US19,Iowa,19
213915,null,1145,null,69194,null,4716,null,144348,null,4701,null,69470,null,4617,null,74878,null,4312,null,373,null,223,null,0400000US20,Kansas,20
77327,null,2354,null,29111,null,3343,null,47775,null,3145,null,18597,null,1875,null,29178,null,2756,null,441,null,432,null,0400000US21,Kentucky,21
122445,null,1861,null,40027,null,3666,null,80788,null,3952,null,40113,null,3515,null,40675,null,3076,null,1630,null,675,null,0400000US22,Louisiana,22
13550,null,837,null,7665,null,1262,null,5537,null,1166,null,3134,null,1049,null,2403,null,899,null,348,null,304,null,0400000US23,Maine,23
312547,null,631,null,66470,null,6034,null,242159,null,6138,null,104808,null,5351,null,137351,null,6914,null,3918,null,1738,null,0400000US24,Maryland,24
475830,null,525,null,94574,null,6017,null,375839,null,6350,null,194401,null,8666,null,181438,null,7883,null,5417,null,1782,null,0400000US25,Massachusetts,25
358802,null,1437,null,152064,null,6813,null,204068,null,6659,null,104082,null,5915,null,99986,null,5743,null,2670,null,825,null,0400000US26,Michigan,26
176484,null,1278,null,55664,null,4230,null,119336,null,4142,null,54990,null,3748,null,64346,null,4138,null,1484,null,665,null,0400000US27,Minnesota,27
48394,null,2896,null,13672,null,2108,null,34577,null,3224,null,13246,null,2229,null,21331,null,2869,null,145,null,165,null,0400000US28,Mississippi,28
155564,null,1627,null,64079,null,4688,null,91163,null,4288,null,42014,null,3438,null,49149,null,4208,null,322,null,196,null,0400000US29,Missouri,29
21904,null,1058,null,18119,null,1268,null,3609,null,919,null,2473,null,704,null,1136,null,477,null,176,null,211,null,0400000US30,Montana,30
