C16001_001E,C16001_001EA,C16001_001M,C16001_001MA,C16001_002E,C16001_002EA,C16001_002M,C16001_002MA,C16001_003E,C16001_003EA,C16001_003M,C16001_003MA,C16001_004E,C16001_004EA,C16001_004M,C16001_004MA,C16001_005E,C16001_005EA,C16001_005M,C16001_005MA,C16001_006E,C16001_006EA,C16001_006M,C16001_006MA,C16001_007E,C16001_007EA,C16001_007M,C16001_007MA,C16001_008E,C16001_008EA,C16001_008M,C16001_008MA,C16001_009E,C16001_009EA,C16001_009M,C16001_009MA,C16001_010E,C16001_010EA,C16001_010M,C16001_010MA,C16001_011E,C16001_011EA,C16001_011M,C16001_011MA,C16001_012E,C16001_012EA,C16001_012M,C16001_012MA,C16001_013E,C16001_013EA,C16001_013M,C16001_013MA,GEO_ID,NAME,state
4318848,null,3512,null,4135017,null,7285,null,105312,null,4892,null,9276,null,1854,null,11832,null,1685,null,3432,null,1352,null,13039,null,2317,null,5593,null,1585,null,5846,null,1529,null,6062,null,1820,null,1742,null,707,null,10373,null,2080,null,11324,null,3357,null,0400000US01,Alabama,01
632806,null,1002,null,532298,null,4892,null,23738,null,2518,null,2076,null,713,null,3603,null,1191,null,6779,null,2147,null,4031,null,1420,null,3031,null,943,null,1479,null,763,null,542,null,417,null,14674,null,1847,null,8990,null,1947,null,31565,null,2288,null,0400000US02,Alaska,02
5839788,null,1598,null,4177239,null,20481,null,1288818,null,13832,null,16315,null,2136,null,27099,null,2877,null,33136,null,5093,null,50472,null,5709,null,7445,null,1699,null,21944,null,3052,null,15547,null,3478,null,20513,null,3672,null,26723,null,4032,null,154537,null,8145,null,0400000US04,Arizona,04
2637847,null,2141,null,2469885,null,5711,null,121423,null,4400,null,4371,null,1364,null,5693,null,1486,null,1661,null,723,null,7280,null,1875,null,2172,null,1049,null,4292,null,1656,null,5661,null,2482,null,1888,null,670,null,10083,null,1819,null,3438,null,1089,null,0400000US05,Arkansas,05
33891325,null,3050,null,19449674,null,51242,null,9664383,null,41745,null,130730,null,7197,null,139587,null,7790,null,222098,null,11767,null,928150,null,25546,null,349880,null,16461,null,932784,null,24232,null,457607,null,19737,null,730685,null,19769,null,596577,null,22345,null,289170,null,16522,null,0400000US06,California,06
4512195,null,1921,null,3756446,null,18491,null,539510,null,15228,null,21654,null,3070,null,28523,null,3628,null,30130,null,5203,null,29082,null,3858,null,12713,null,2644,null,15045,null,2253,null,21848,null,3886,null,7051,null,1682,null,23212,null,3303,null,26981,null,3791,null,0400000US08,Colorado,08
3290325,null,1348,null,2650739,null,11922,null,304338,null,7750,null,47860,null,4872,null,14925,null,2448,null,54553,null,5838,null,129662,null,8448,null,7147,null,1978,null,23888,null,3055,null,4884,null,1613,null,7341,null,2019,null,23766,null,3473,null,21222,null,3248,null,0400000US09,Connecticut,09
805602,null,277,null,708673,null,5087,null,48066,null,3800,null,5651,null,1483,null,5523,null,1970,null,3048,null,880,null,12983,null,2652,null,1499,null,1070,null,5441,null,1269,null,618,null,486,null,2356,null,956,null,3316,null,1169,null,8428,null,2220,null,0400000US10,Delaware,10
551980,null,267,null,471785,null,4774,null,41463,null,3400,null,7759,null,1433,null,2804,null,1125,null,2749,null,993,null,8723,null,2323,null,889,null,392,null,2344,null,1093,null,999,null,771,null,443,null,260,null,3596,null,1048,null,8426,null,2194,null,0400000US11,District of Columbia,11
17105241,null,3743,null,12639454,null,34530,null,3269092,null,20848,null,410588,null,14378,null,88820,null,6412,null,90214,null,7445,null,291905,null,14596,null,18516,null,3618,null,41737,null,5524,null,43173,null,5758,null,51423,null,4564,null,60712,null,6283,null,99607,null,8213,null,0400000US12,Florida,12
8818349,null,3954,null,7761734,null,18601,null,620811,null,11027,null,53730,null,6829,null,32712,null,3902,null,33082,null,5179,null,99595,null,8085,null,39452,null,5208,null,32728,null,4429,null,41614,null,4662,null,10664,null,2295,null,37975,null,4735,null,54252,null,6886,null,0400000US13,Georgia,13
1195661,null,1581,null,890449,null,11588,null,26361,null,3486,null,5402,null,2009,null,3650,null,1156,null,2553,null,1359,null,4520,null,1261,null,19275,null,3836,null,25274,null,3677,null,10428,null,3167,null,54272,null,5268,null,152105,null,9480,null,1372,null,818,null,0400000US15,Hawaii,15
1382539,null,1251,null,1246646,null,6352,null,100987,null,5010,null,4629,null,1274,null,5135,null,1186,null,3690,null,1275,null,5108,null,1618,null,1271,null,675,null,1714,null,704,null,924,null,579,null,1541,null,569,null,4724,null,1216,null,6170,null,1594,null,0400000US16,Idaho,16
11961769,null,2037,null,9358525,null,25275,null,1536343,null,12881,null,40951,null,5216,null,55402,null,4320,null,300605,null,12952,null,267198,null,12139,null,49208,null,5809,null,70487,null,6610,null,24182,null,4999,null,81954,null,7609,null,75385,null,7618,null,101529,null,10598,null,0400000US17,Illinois,17
5903675,null,2065,null,5466241,null,11377,null,244806,null,6195,null,15755,null,2344,null,56225,null,5575,null,24166,null,3201,null,30825,null,3567,null,6422,null,1621,null,13305,null,2280,null,6033,null,1644,null,6505,null,1791,null,16071,null,2284,null,17321,null,2652,null,0400000US18,Indiana,18
2790906,null,1993,null,2607163,null,7096,null,101916,null,3977,null,5414,null,1578,null,17013,null,2843,null,12026,null,3293,null,9130,null,1589,null,4226,null,2285,null,7518,null,1551,null,6257,null,1654,null,1526,null,644,null,11366,null,2039,null,7351,null,1592,null,0400000US19,Iowa,19
2580638,null,1964,null,2324529,null,6744,null,170973,null,5147,null,5444,null,1340,null,12387,null,1975,null,3920,null,1540,null,11682,null,2176,null,3663,null,1306,null,11198,null,2706,null,8924,null,2290,null,1967,null,847,null,14045,null,2345,null,11906,null,2699,null,0400000US20,Kansas,20
3963318,null,2304,null,3799294,null,8754,null,82836,null,4720,null,9529,null,1923,null,19300,null,3688,null,7927,null,1964,null,13067,null,2861,null,2524,null,897,null,6244,null,2299,null,2645,null,1279,null,2605,null,940,null,11145,null,2343,null,6202,null,2110,null,0400000US21,Kentucky,21
3996750,null,2015,null,3668709,null,8735,null,117661,null,5539,null,138838,null,5574,null,5040,null,1199,null,3235,null,1646,null,14577,null,3251,null,2673,null,1195,null,8166,null,2177,null,19421,null,3545,null,3350,null,1091,null,6482,null,2064,null,8598,null,2634,null,0400000US22,Louisiana,22
1247427,null,1093,null,1155136,null,5031,null,13941,null,2040,null,50305,null,3336,null,3854,null,981,null,4886,null,1994,null,5674,null,1482,null,1071,null,602,null,2057,null,1021,null,1789,null,1019,null,714,null,359,null,2985,null,868,null,5015,null,1592,null,0400000US23,Maine,23
5243703,null,1360,null,4468436,null,14527,null,305815,null,7361,null,52638,null,5350,null,22546,null,2798,null,28319,null,3597,null,105986,null,7501,null,39198,null,5177,null,51632,null,4993,null,20520,null,3283,null,26813,null,3842,null,33946,null,4417,null,87854,null,8101,null,0400000US24,Maryland,24
6072036,null,1092,null,4843180,null,21755,null,424120,null,7865,null,121811,null,8350,null,19804,null,2601,null,71563,null,6243,null,317992,null,14134,null,15025,null,3190,null,90263,null,6351,null,36738,null,4559,null,11474,null,3093,null,53403,null,5360,null,66663,null,7591,null,0400000US25,Massachusetts,25
9435733,null,1904,null,8584868,null,15801,null,286793,null,8504,null,30474,null,2652,null,54422,null,4463,null,68346,null,5721,null,129028,null,7918,null,14383,null,2324,null,39949,null,4206,null,15627,null,2832,null,14193,null,2663,null,50016,null,4901,null,147634,null,10089,null,0400000US26,Michigan,26
4844316,null,1753,null,4379686,null,12054,null,165379,null,5867,null,13513,null,1907,null,26852,null,2335,null,27015,null,3976,null,33412,null,3863,null,5346,null,1680,null,15119,null,2358,null,18446,null,3713,null,4904,null,1450,null,79736,null,5392,null,74908,null,6113,null,0400000US27,Minnesota,27
2705640,null,1990,null,2613861,null,5870,null,55373,null,4337,null,6487,null,1404,null,3152,null,978,null,730,null,495,null,5664,null,1852,null,1607,null,1056,null,2585,null,1240,null,4520,null,1835,null,2180,null,988,null,2219,null,1263,null,7262,null,2123,null,0400000US28,Mississippi,28
5484696,null,1903,null,5167858,null,9502,null,147256,null,6214,null,16090,null,2629,null,30089,null,4024,null,26588,null,4914,null,27138,null,3923,null,7097,null,2112,null,15086,null,2404,null,8918,null,2327,null,5164,null,1427,null,18257,null,3018,null,15155,null,2910,null,0400000US29,Missouri,29
898614,null,1100,null,861559,null,3067,null,11954,null,1641,null,1471,null,542,null,6807,null,1259,null,889,null,499,null,2446,null,685,null,291,null,222,null,1623,null,949,null,37,null,55,null,591,null,285,null,1021,null,524,null,9925,null,1813,null,0400000US30,Montana,30
1645880,null,1417,null,1497583,null,5785,null,96806,null,4216,null,3992,null,1215,null,7508,null,1342,null,6913,null,1811,null,7863,null,2075,null,1287,null,591,null,3323,null,1081,null,5013,null,1684,null,1941,null,764,null,5972,null,1367,null,7679,null,2380,null,0400000US31,Nebraska,31
2371632,null,1160,null,1721294,null,11649,null,466186,null,8793,null,6326,null,1590,null,8800,null,1762,null,14770,null,3596,null,29341,null,5127,null,9060,null,2112,null,19517,null,3709,null,5155,null,1990,null,52389,null,4642,null,22382,null,3332,null,16412,null,3023,null,0400000US32,Nevada,32
1240806,null,887,null,1142798,null,5319,null,26926,null,2974,null,27700,null,2820,null,4307,null,837,null,5835,null,2166,null,15264,null,3022,null,657,null,532,null,5212,null,1908,null,1395,null,943,null,753,null,424,null,6342,null,2054,null,3617,null,1824,null,0400000US33,New Hampshire,33
8130371,null,1445,null,5868363,null,25248,null,1132951,null,13454,null,90785,null,9362,null,36518,null,3682,null,148598,null,10476,null,400036,null,14032,null,75545,null,6727,null,106104,null,8618,null,11880,null,2783,null,81151,null,6735,null,71966,null,6731,null,106474,null,8240,null,0400000US34,New Jersey,34
1828867,null,1431,null,1175987,null,12198,null,515425,null,10731,null,3079,null,934,null,6568,null,1692,null,3198,null,1595,null,6694,null,1484,null,1266,null,746,null,3399,null,1290,null,3963,null,1490,null,1951,null,762,null,4880,null,1240,null,102457,null,4678,null,0400000US35,New Mexico,35
18097578,null,2470,null,12868476,null,34152,null,2556829,null,15994,null,274680,null,13438,null,78788,null,5343,null,411893,null,16960,null,753454,null,19888,null,105259,null,8092,null,448742,null,11743,null,18734,null,3243,null,67879,null,7314,null,132467,null,9585,null,380377,null,18851,null,0400000US36,New York,36
8429207,null,2946,null,7614562,null,14758,null,550970,null,8008,null,31136,null,3944,null,23825,null,3063,null,17486,null,3616,null,58086,null,6445,null,12788,null,2344,null,20414,null,3139,null,18074,null,3522,null,10918,null,2269,null,35790,null,3896,null,35158,null,4959,null,0400000US37,North Carolina,37
599205,null,997,null,563818,null,3318,null,7722,null,1260,null,966,null,489,null,10808,null,1587,null,3557,null,1691,null,3870,null,933,null,0,null,203,null,2756,null,1085,null,461,null,322,null,515,null,503,null,561,null,429,null,4171,null,1108,null,0400000US38,North Dakota,38
10727127,null,2653,null,10080650,null,16826,null,217805,null,6113,null,32531,null,3949,null,92191,null,7769,null,59907,null,5944,null,86850,null,6794,null,10542,null,2435,null,28769,null,3244,null,12077,null,2277,null,11482,null,1835,null,35383,null,4167,null,58940,null,6364,null,0400000US39,Ohio,39
3357386,null,2419,null,3081223,null,8202,null,181364,null,5937,null,4985,null,1150,null,8614,null,1696,null,3657,null,1829,null,10971,null,2593,null,6132,null,2249,null,9377,null,2807,null,14123,null,3413,null,3440,null,1117,null,10463,null,2159,null,23037,null,2849,null,0400000US40,Oklahoma,40
3511093,null,1605,null,3006472,null,11865,null,310745,null,7297,null,11330,null,2189,null,18795,null,2825,null,28165,null,4335,null,27818,null,4340,null,13803,null,3126,null,21374,null,3891,null,16547,null,3397,null,8676,null,1677,null,29533,null,3088,null,17835,null,4009,null,0400000US41,Oregon,41
