B12002I_001E,B12002I_001EA,B12002I_001M,B12002I_001MA,B12002I_002E,B12002I_002EA,B12002I_002M,B12002I_002MA,B12002I_003E,B12002I_003EA,B12002I_003M,B12002I_003MA,B12002I_004E,B12002I_004EA,B12002I_004M,B12002I_004MA,B12002I_005E,B12002I_005EA,B12002I_005M,B12002I_005MA,B12002I_006E,B12002I_006EA,B12002I_006M,B12002I_006MA,B12002I_007E,B12002I_007EA,B12002I_007M,B12002I_007MA,B12002I_008E,B12002I_008EA,B12002I_008M,B12002I_008MA,B12002I_009E,B12002I_009EA,B12002I_009M,B12002I_009MA,B12002I_010E,B12002I_010EA,B12002I_010M,B12002I_010MA,B12002I_011E,B12002I_011EA,B12002I_011M,B12002I_011MA,B12002I_012E,B12002I_012EA,B12002I_012M,B12002I_012MA,B12002I_013E,B12002I_013EA,B12002I_013M,B12002I_013MA,GEO_ID,NAME,state
80432,null,1516,null,45905,null,1518,null,17027,null,1942,null,25080,null,1850,null,1071,null,612,null,534,null,496,null,2193,null,512,null,34527,null,1453,null,10027,null,1475,null,19261,null,1557,null,1508,null,657,null,1075,null,446,null,2656,null,780,null,0400000US01,Alabama,01
26706,null,760,null,14850,null,840,null,5991,null,891,null,6678,null,905,null,352,null,281,null,46,null,81,null,1783,null,698,null,11856,null,616,null,3232,null,814,null,6905,null,800,null,174,null,226,null,248,null,208,null,1297,null,443,null,0400000US02,Alaska,02
1280555,null,1199,null,669111,null,1139,null,289620,null,7450,null,303469,null,7289,null,13274,null,2185,null,9469,null,1971,null,53279,null,4544,null,611444,null,1134,null,205187,null,5555,null,283905,null,7900,null,26110,null,3757,null,32420,null,2885,null,63822,null,4792,null,0400000US04,Arizona,04
95528,null,1753,null,54325,null,2400,null,19393,null,2145,null,29938,null,2001,null,1018,null,412,null,607,null,427,null,3369,null,1213,null,41203,null,1652,null,12200,null,1527,null,22738,null,1783,null,2694,null,965,null,1332,null,556,null,2239,null,855,null,0400000US05,Arkansas,05
9371211,null,1103,null,4827104,null,1410,null,2082913,null,16906,null,2308159,null,16702,null,126900,null,5994,null,60756,null,4895,null,248376,null,8200,null,4544107,null,1494,null,1660832,null,16959,null,2073470,null,18383,null,209322,null,8869,null,237489,null,6983,null,362994,null,10850,null,0400000US06,California,06
675807,null,1195,null,359925,null,1724,null,137307,null,4713,null,178720,null,5559,null,8559,null,1904,null,4791,null,1184,null,30548,null,3553,null,315882,null,1404,null,95916,null,4127,null,152815,null,4988,null,15781,null,2624,null,15322,null,1846,null,36048,null,3735,null,0400000US08,Colorado,08
292674,null,1189,null,147093,null,1170,null,67155,null,3227,null,62317,null,3012,null,4585,null,1157,null,2251,null,930,null,10785,null,1740,null,145581,null,984,null,60475,null,2705,null,55321,null,3335,null,7649,null,1499,null,6005,null,1236,null,16131,null,2085,null,0400000US09,Connecticut,09
37377,null,379,null,20087,null,453,null,8758,null,992,null,10002,null,1147,null,441,null,351,null,442,null,298,null,444,null,260,null,17290,null,337,null,5531,null,987,null,8324,null,1153,null,552,null,367,null,1436,null,636,null,1447,null,733,null,0400000US10,Delaware,10
39389,null,0,*****,20916,null,432,null,10770,null,1188,null,7790,null,1318,null,969,null,688,null,77,null,124,null,1310,null,644,null,18473,null,431,null,8216,null,1385,null,6362,null,1373,null,1137,null,703,null,1167,null,646,null,1591,null,892,null,0400000US11,District of Columbia,11
2925993,null,2094,null,1477391,null,2359,null,523662,null,11855,null,759932,null,12181,null,42000,null,3815,null,26924,null,2696,null,124873,null,6541,null,1448602,null,1810,null,376892,null,7241,null,702836,null,10696,null,59905,null,5823,null,119808,null,4901,null,189161,null,7399,null,0400000US12,Florida,12
491013,null,3424,null,291709,null,3355,null,127133,null,5301,null,141372,null,5412,null,9072,null,2328,null,2384,null,1054,null,11748,null,2309,null,199304,null,2575,null,57630,null,3700,null,110814,null,4218,null,8716,null,1840,null,9009,null,1787,null,13135,null,2150,null,0400000US13,Georgia,13
72909,null,199,null,38267,null,467,null,16366,null,1404,null,16345,null,1577,null,1468,null,676,null,366,null,288,null,3722,null,1040,null,34642,null,458,null,13488,null,1258,null,14549,null,1537,null,886,null,469,null,1766,null,676,null,3953,null,846,null,0400000US15,Hawaii,15
96631,null,1057,null,52275,null,1070,null,18447,null,2034,null,27458,null,1644,null,1152,null,759,null,891,null,563,null,4327,null,859,null,44356,null,1152,null,13244,null,1509,null,23598,null,1477,null,1050,null,522,null,1676,null,649,null,4788,null,1089,null,0400000US16,Idaho,16
