C25074_001E,C25074_001EA,C25074_001M,C25074_001MA,C25074_002E,C25074_002EA,C25074_002M,C25074_002MA,C25074_003E,C25074_003EA,C25074_003M,C25074_003MA,C25074_004E,C25074_004EA,C25074_004M,C25074_004MA,C25074_005E,C25074_005EA,C25074_005M,C25074_005MA,C25074_006E,C25074_006EA,C25074_006M,C25074_006MA,C25074_007E,C25074_007EA,C25074_007M,C25074_007MA,C25074_008E,C25074_008EA,C25074_008M,C25074_008MA,C25074_009E,C25074_009EA,C25074_009M,C25074_009MA,C25074_010E,C25074_010EA,C25074_010M,C25074_010MA,C25074_011E,C25074_011EA,C25074_011M,C25074_011MA,C25074_012E,C25074_012EA,C25074_012M,C25074_012MA,C25074_013E,C25074_013EA,C25074_013M,C25074_013MA,C25074_014E,C25074_014EA,C25074_014M,C25074_014MA,C25074_015E,C25074_015EA,C25074_015M,C25074_015MA,C25074_016E,C25074_016EA,C25074_016M,C25074_016MA,C25074_017E,C25074_017EA,C25074_017M,C25074_017MA,C25074_018E,C25074_018EA,C25074_018M,C25074_018MA,C25074_019E,C25074_019EA,C25074_019M,C25074_019MA,C25074_020E,C25074_020EA,C25074_020M,C25074_020MA,C25074_021E,C25074_021EA,C25074_021M,C25074_021MA,C25074_022E,C25074_022EA,C25074_022M,C25074_022MA,C25074_023E,C25074_023EA,C25074_023M,C25074_023MA,C25074_024E,C25074_024EA,C25074_024M,C25074_024MA,C25074_025E,C25074_025EA,C25074_025M,C25074_025MA,GEO_ID,NAME,state
528488,null,10257,null,114877,null,4608,null,8893,null,1328,null,74612,null,3856,null,31372,null,2916,null,125632,null,5991,null,24582,null,2335,null,83880,null,5732,null,17170,null,2266,null,118546,null,5877,null,55693,null,3722,null,47691,null,4359,null,15162,null,2196,null,74283,null,4550,null,59410,null,4168,null,6289,null,1249,null,8584,null,1655,null,61032,null,4535,null,52376,null,4301,null,1521,null,729,null,7135,null,1393,null,34118,null,3131,null,30328,null,2874,null,596,null,383,null,3194,null,987,null,0400000US01,Alabama,01
87403,null,3597,null,6092,null,1201,null,42,null,45,null,4737,null,1015,null,1313,null,516,null,12239,null,1562,null,1435,null,522,null,9621,null,1357,null,1183,null,429,null,16651,null,1770,null,4263,null,1004,null,10405,null,1471,null,1983,null,589,null,14277,null,1825,null,7934,null,1447,null,4992,null,1109,null,1351,null,469,null,18077,null,2257,null,13141,null,1850,null,2544,null,906,null,2392,null,740,null,20067,null,2209,null,17573,null,2329,null,244,null,202,null,2250,null,686,null,0400000US02,Alaska,02
718401,null,12688,null,85382,null,4915,null,5100,null,1377,null,59680,null,4242,null,20602,null,2596,null,120101,null,6965,null,9438,null,1583,null,103661,null,6235,null,7002,null,1386,null,182235,null,7336,null,51666,null,3828,null,121289,null,6474,null,9280,null,1606,null,126847,null,6214,null,84621,null,4935,null,38329,null,3390,null,3897,null,890,null,116375,null,6726,null,100488,null,6495,null,11571,null,1728,null,4316,null,1029,null,87461,null,5044,null,83971,null,4885,null,1736,null,597,null,1754,null,551,null,0400000US04,Arizona,04
355895,null,8224,null,75210,null,4017,null,7353,null,1415,null,53454,null,3736,null,14403,null,1679,null,84013,null,4285,null,16074,null,1865,null,58856,null,3977,null,9083,null,1606,null,87927,null,4401,null,47020,null,3547,null,31131,null,2705,null,9776,null,1433,null,50333,null,4047,null,41737,null,3897,null,3778,null,1201,null,4818,null,941,null,39354,null,3314,null,34683,null,3103,null,554,null,325,null,4117,null,1007,null,19058,null,2378,null,16900,null,2246,null,180,null,173,null,1978,null,697,null,0400000US05,Arkansas,05
5123700,null,28871,null,469407,null,12274,null,15113,null,2181,null,355657,null,10045,null,98637,null,6369,null,800715,null,13319,null,83538,null,4278,null,683912,null,12231,null,33265,null,2807,null,1016870,null,17629,null,163833,null,6547,null,818494,null,16895,null,34543,null,2993,null,821747,null,16330,null,367630,null,9769,null,431368,null,10900,null,22749,null,2567,null,918851,null,19736,null,630600,null,15566,null,261536,null,8110,null,26715,null,2635,null,1096110,null,17191,null,996022,null,16316,null,71131,null,4720,null,28957,null,2400,null,0400000US06,California,06
579758,null,10271,null,83271,null,4921,null,6709,null,1297,null,61111,null,4386,null,15451,null,2392,null,98955,null,5696,null,10473,null,1559,null,84639,null,4975,null,3843,null,840,null,133123,null,6259,null,43429,null,2981,null,84534,null,5894,null,5160,null,1087,null,101498,null,5470,null,69786,null,4355,null,27326,null,2880,null,4386,null,1282,null,90445,null,5122,null,78548,null,4735,null,8097,null,1488,null,3800,null,1054,null,72466,null,4566,null,67513,null,4215,null,1937,null,953,null,3016,null,817,null,0400000US08,Colorado,08
395875,null,7185,null,50176,null,4081,null,4886,null,1090,null,37659,null,3282,null,7631,null,1643,null,68247,null,4502,null,11496,null,1554,null,53622,null,4056,null,3129,null,788,null,81207,null,4133,null,18400,null,2028,null,59133,null,3648,null,3674,null,895,null,62854,null,4163,null,35941,null,3220,null,23954,null,2658,null,2959,null,774,null,66395,null,4327,null,53191,null,3600,null,10931,null,1912,null,2273,null,666,null,66996,null,4083,null,61226,null,4042,null,2773,null,1121,null,2997,null,739,null,0400000US09,Connecticut,09
90336,null,3436,null,12258,null,1739,null,1481,null,685,null,8531,null,1581,null,2246,null,758,null,14383,null,1943,null,2104,null,567,null,11394,null,1801,null,885,null,458,null,19365,null,2410,null,3501,null,1042,null,14468,null,2065,null,1396,null,437,null,17885,null,2118,null,10155,null,1771,null,6190,null,1385,null,1540,null,621,null,14424,null,1943,null,12050,null,1877,null,1310,null,624,null,1064,null,539,null,12021,null,1695,null,10748,null,1662,null,107,null,126,null,1166,null,531,null,0400000US10,Delaware,10
139226,null,3601,null,22171,null,2619,null,2721,null,907,null,15462,null,2135,null,3988,null,1118,null,19185,null,1840,null,3918,null,978,null,14749,null,1702,null,518,null,334,null,26316,null,2580,null,7333,null,1555,null,18807,null,2155,null,176,null,147,null,21448,null,2023,null,11136,null,1540,null,9374,null,1532,null,938,null,475,null,19769,null,2085,null,15776,null,1881,null,3388,null,704,null,605,null,340,null,30337,null,2561,null,26967,null,2217,null,1955,null,707,null,1415,null,654,null,0400000US11,District of Columbia,11
2083252,null,21269,null,259391,null,9186,null,14877,null,2239,null,191085,null,8183,null,53429,null,4034,null,345775,null,13001,null,29126,null,3358,null,294671,null,11455,null,21978,null,2704,null,503750,null,13343,null,96355,null,5089,null,385904,null,11399,null,21491,null,2401,null,370971,null,10225,null,199313,null,7576,null,157647,null,7642,null,14011,null,2005,null,348440,null,10428,null,275766,null,9633,null,58620,null,4400,null,14054,null,1898,null,254925,null,9101,null,232152,null,8972,null,10624,null,1801,null,12149,null,1922,null,0400000US12,Florida,12
