B16002_001E,B16002_001EA,B16002_001M,B16002_001MA,B16002_002E,B16002_002EA,B16002_002M,B16002_002MA,B16002_003E,B16002_003EA,B16002_003M,B16002_003MA,B16002_004E,B16002_004EA,B16002_004M,B16002_004MA,B16002_005E,B16002_005EA,B16002_005M,B16002_005MA,B16002_006E,B16002_006EA,B16002_006M,B16002_006MA,B16002_007E,B16002_007EA,B16002_007M,B16002_007MA,B16002_008E,B16002_008EA,B16002_008M,B16002_008MA,B16002_009E,B16002_009EA,B16002_009M,B16002_009MA,B16002_010E,B16002_010EA,B16002_010M,B16002_010MA,B16002_011E,B16002_011EA,B16002_011M,B16002_011MA,B16002_012E,B16002_012EA,B16002_012M,B16002_012MA,B16002_013E,B16002_013EA,B16002_013M,B16002_013MA,B16002_014E,B16002_014EA,B16002_014M,B16002_014MA,GEO_ID,NAME,state
1816313,null,9214,null,1720528,null,9449,null,50705,null,3217,null,13774,null,1703,null,36931,null,3142,null,24242,null,2201,null,1843,null,593,null,22399,null,2181,null,15383,null,1447,null,4693,null,1122,null,10690,null,1444,null,5455,null,1232,null,1144,null,710,null,4311,null,1101,null,0400000US01,Alabama,01
236421,null,2731,null,192360,null,3090,null,10511,null,1168,null,1268,null,544,null,9243,null,1166,null,8951,null,1403,null,1236,null,703,null,7715,null,1188,null,10974,null,1152,null,2228,null,748,null,8746,null,1249,null,13625,null,1267,null,1847,null,432,null,11778,null,1187,null,0400000US02,Alaska,02
2251546,null,9458,null,1632748,null,10091,null,446139,null,6945,null,131389,null,6182,null,314750,null,7255,null,71925,null,3902,null,8751,null,1620,null,63174,null,3914,null,43258,null,2854,null,10063,null,1708,null,33195,null,2390,null,57476,null,3316,null,8207,null,1165,null,49269,null,3104,null,0400000US04,Arizona,04
1102734,null,8133,null,1032135,null,7917,null,47553,null,2347,null,15315,null,2084,null,32238,null,2333,null,12138,null,1906,null,853,null,479,null,11285,null,1693,null,9036,null,1189,null,2868,null,942,null,6168,null,1046,null,1872,null,760,null,62,null,107,null,1810,null,761,null,0400000US05,Arkansas,05
12200672,null,20297,null,7266183,null,26184,null,3000370,null,13428,null,828547,null,12588,null,2171823,null,14150,null,677838,null,11913,null,123534,null,5095,null,554304,null,11868,null,1135244,null,12213,null,326564,null,8098,null,808680,null,9822,null,121037,null,6038,null,20035,null,2639,null,101002,null,5466,null,0400000US06,California,06
1859965,null,9746,null,1525037,null,10510,null,222242,null,6248,null,58512,null,4545,null,163730,null,5721,null,64020,null,3339,null,5286,null,1131,null,58734,null,3227,null,36329,null,2171,null,8427,null,1368,null,27902,null,2319,null,12337,null,1677,null,1958,null,834,null,10379,null,1588,null,0400000US08,Colorado,08
1320714,null,5183,null,1027212,null,7041,null,126792,null,3267,null,36279,null,2768,null,90513,null,3549,null,128208,null,5022,null,24426,null,2480,null,103782,null,4156,null,29595,null,1968,null,7737,null,1106,null,21858,null,1878,null,8907,null,1352,null,1844,null,794,null,7063,null,1092,null,0400000US09,Connecticut,09
328477,null,3041,null,283805,null,3549,null,19946,null,1925,null,4863,null,1001,null,15083,null,1851,null,14577,null,1932,null,1442,null,552,null,13135,null,1795,null,5875,null,895,null,1366,null,479,null,4509,null,852,null,4274,null,1091,null,1093,null,683,null,3181,null,860,null,0400000US10,Delaware,10
251039,null,2911,null,207608,null,3885,null,20089,null,2203,null,3875,null,1113,null,16214,null,2002,null,13940,null,2075,null,1567,null,674,null,12373,null,1872,null,4471,null,953,null,764,null,539,null,3707,null,896,null,4931,null,1251,null,846,null,481,null,4085,null,1113,null,0400000US11,District of Columbia,11
7088960,null,21361,null,5228480,null,22177,null,1298029,null,12623,null,418083,null,10271,null,879946,null,11791,null,418852,null,8314,null,80944,null,4820,null,337908,null,7838,null,98636,null,4569,null,23866,null,2875,null,74770,null,4077,null,44963,null,3594,null,6972,null,1331,null,37991,null,3213,null,0400000US12,Florida,12
