B05003D_001E,B05003D_001EA,B05003D_001M,B05003D_001MA,B05003D_002E,B05003D_002EA,B05003D_002M,B05003D_002MA,B05003D_003E,B05003D_003EA,B05003D_003M,B05003D_003MA,B05003D_004E,B05003D_004EA,B05003D_004M,B05003D_004MA,B05003D_005E,B05003D_005EA,B05003D_005M,B05003D_005MA,B05003D_006E,B05003D_006EA,B05003D_006M,B05003D_006MA,B05003D_007E,B05003D_007EA,B05003D_007M,B05003D_007MA,B05003D_008E,B05003D_008EA,B05003D_008M,B05003D_008MA,B05003D_009E,B05003D_009EA,B05003D_009M,B05003D_009MA,B05003D_010E,B05003D_010EA,B05003D_010M,B05003D_010MA,B05003D_011E,B05003D_011EA,B05003D_011M,B05003D_011MA,B05003D_012E,B05003D_012EA,B05003D_012M,B05003D_012MA,B05003D_013E,B05003D_013EA,B05003D_013M,B05003D_013MA,B05003D_014E,B05003D_014EA,B05003D_014M,B05003D_014MA,B05003D_015E,B05003D_015EA,B05003D_015M,B05003D_015MA,B05003D_016E,B05003D_016EA,B05003D_016M,B05003D_016MA,B05003D_017E,B05003D_017EA,B05003D_017M,B05003D_017MA,B05003D_018E,B05003D_018EA,B05003D_018M,B05003D_018MA,B05003D_019E,B05003D_019EA,B05003D_019M,B05003D_019MA,B05003D_020E,B05003D_020EA,B05003D_020M,B05003D_020MA,B05003D_021E,B05003D_021EA,B05003D_021M,B05003D_021MA,B05003D_022E,B05003D_022EA,B05003D_022M,B05003D_022MA,B05003D_023E,B05003D_023EA,B05003D_023M,B05003D_023MA,GEO_ID,NAME,state
44561,null,3209,null,20970,null,1970,null,5439,null,1224,null,2540,null,781,null,2899,null,1011,null,510,null,483,null,2389,null,915,null,15531,null,1173,null,2453,null,832,null,13078,null,1325,null,5877,null,1152,null,7201,null,1219,null,23591,null,1981,null,5001,null,1111,null,3181,null,813,null,1820,null,696,null,724,null,377,null,1096,null,538,null,18590,null,1240,null,2003,null,456,null,16587,null,1298,null,8714,null,1138,null,7873,null,1360,null,0400000US01,Alabama,01
32936,null,1975,null,15395,null,1380,null,3573,null,936,null,2806,null,823,null,767,null,405,null,136,null,116,null,631,null,378,null,11822,null,1113,null,2790,null,971,null,9032,null,1217,null,4831,null,943,null,4201,null,953,null,17541,null,1243,null,3433,null,821,null,2556,null,774,null,877,null,450,null,558,null,437,null,319,null,228,null,14108,null,915,null,2243,null,698,null,11865,null,916,null,7776,null,932,null,4089,null,853,null,0400000US02,Alaska,02
151414,null,3474,null,71985,null,2124,null,18064,null,1264,null,14653,null,1448,null,3411,null,780,null,819,null,438,null,2592,null,704,null,53921,null,1419,null,11205,null,1928,null,42716,null,2069,null,20279,null,2031,null,22437,null,2197,null,79429,null,2034,null,17677,null,1300,null,12919,null,1640,null,4758,null,1261,null,1548,null,713,null,3210,null,1100,null,61752,null,1296,null,10512,null,1483,null,51240,null,1917,null,28831,null,2085,null,22409,null,1723,null,0400000US04,Arizona,04
33933,null,2991,null,16427,null,1756,null,5743,null,1330,null,5014,null,1304,null,729,null,455,null,572,null,383,null,157,null,160,null,10684,null,923,null,1752,null,706,null,8932,null,1043,null,4036,null,825,null,4896,null,917,null,17506,null,1814,null,5262,null,1143,null,3254,null,928,null,2008,null,712,null,869,null,456,null,1139,null,508,null,12244,null,1208,null,1717,null,630,null,10527,null,1227,null,5520,null,848,null,5007,null,1135,null,0400000US05,Arkansas,05
4511407,null,14112,null,2164133,null,9226,null,476516,null,5601,null,398046,null,6288,null,78470,null,4365,null,18746,null,2193,null,59724,null,3616,null,1687617,null,6832,null,398025,null,9659,null,1289592,null,10476,null,813741,null,10469,null,475851,null,11602,null,2347274,null,8896,null,452207,null,5654,null,375479,null,6382,null,76728,null,4467,null,22444,null,2433,null,54284,null,3650,null,1895067,null,5685,null,374313,null,8393,null,1520754,null,9913,null,968578,null,13014,null,552176,null,12946,null,0400000US06,California,06
131699,null,3317,null,59444,null,2436,null,13483,null,1379,null,9979,null,1488,null,3504,null,1006,null,1178,null,460,null,2326,null,884,null,45961,null,1871,null,11803,null,1396,null,34158,null,2213,null,18857,null,2139,null,15301,null,2016,null,72255,null,2168,null,16905,null,1696,null,11178,null,1527,null,5727,null,1432,null,3190,null,1008,null,2537,null,1012,null,55350,null,1221,null,14211,null,1861,null,41139,null,2007,null,22939,null,1888,null,18200,null,2136,null,0400000US08,Colorado,08
118216,null,2114,null,58806,null,1712,null,14538,null,1252,null,11101,null,1390,null,3437,null,918,null,1332,null,671,null,2105,null,706,null,44268,null,1024,null,6220,null,1016,null,38048,null,1239,null,19198,null,1897,null,18850,null,1970,null,59410,null,1331,null,14363,null,919,null,10392,null,1329,null,3971,null,959,null,1751,null,608,null,2220,null,664,null,45047,null,964,null,6169,null,1178,null,38878,null,1332,null,19753,null,1578,null,19125,null,1525,null,0400000US09,Connecticut,09
25372,null,1333,null,12109,null,1023,null,2553,null,625,null,1864,null,586,null,689,null,471,null,351,null,418,null,338,null,280,null,9556,null,668,null,1046,null,483,null,8510,null,649,null,4095,null,814,null,4415,null,790,null,13263,null,837,null,3087,null,638,null,2192,null,718,null,895,null,536,null,687,null,488,null,208,null,245,null,10176,null,550,null,2135,null,889,null,8041,null,730,null,4846,null,811,null,3195,null,757,null,0400000US10,Delaware,10
18066,null,1198,null,7309,null,851,null,536,null,420,null,431,null,407,null,105,null,123,null,105,null,123,null,0,null,300,null,6773,null,769,null,2238,null,799,null,4535,null,793,null,2487,null,929,null,2048,null,780,null,10757,null,739,null,1699,null,656,null,1332,null,715,null,367,null,427,null,367,null,427,null,0,null,300,null,9058,null,455,null,3029,null,863,null,6029,null,932,null,3115,null,680,null,2914,null,835,null,0400000US11,District of Columbia,11
409144,null,5547,null,191825,null,3726,null,47624,null,2910,null,39087,null,2700,null,8537,null,1725,null,2377,null,805,null,6160,null,1574,null,144201,null,2873,null,24275,null,2344,null,119926,null,3295,null,72347,null,3823,null,47579,null,3506,null,217319,null,4451,null,47415,null,2840,null,35425,null,2989,null,11990,null,1798,null,4921,null,1257,null,7069,null,1508,null,169904,null,3074,null,22766,null,2478,null,147138,null,3140,null,87246,null,3675,null,59892,null,3150,null,0400000US12,Florida,12
