C05003G_001E,C05003G_001EA,C05003G_001M,C05003G_001MA,C05003G_002E,C05003G_002EA,C05003G_002M,C05003G_002MA,C05003G_003E,C05003G_003EA,C05003G_003M,C05003G_003MA,C05003G_004E,C05003G_004EA,C05003G_004M,C05003G_004MA,C05003G_005E,C05003G_005EA,C05003G_005M,C05003G_005MA,C05003G_006E,C05003G_006EA,C05003G_006M,C05003G_006MA,C05003G_007E,C05003G_007EA,C05003G_007M,C05003G_007MA,C05003G_008E,C05003G_008EA,C05003G_008M,C05003G_008MA,C05003G_009E,C05003G_009EA,C05003G_009M,C05003G_009MA,C05003G_010E,C05003G_010EA,C05003G_010M,C05003G_010MA,C05003G_011E,C05003G_011EA,C05003G_011M,C05003G_011MA,C05003G_012E,C05003G_012EA,C05003G_012M,C05003G_012MA,C05003G_013E,C05003G_013EA,C05003G_013M,C05003G_013MA,C05003G_014E,C05003G_014EA,C05003G_014M,C05003G_014MA,C05003G_015E,C05003G_015EA,C05003G_015M,C05003G_015MA,GEO_ID,NAME,state
60168,null,4763,null,29218,null,2645,null,14207,null,2062,null,14171,null,2058,null,36,null,65,null,15011,null,1818,null,14717,null,1781,null,294,null,291,null,30950,null,3332,null,14094,null,2442,null,14094,null,2442,null,0,null,267,null,16856,null,1920,null,16238,null,1885,null,618,null,385,null,0400000US01,Alabama,01
46920,null,4037,null,25170,null,2636,null,14396,null,1932,null,14246,null,1940,null,150,null,207,null,10774,null,1553,null,10645,null,1548,null,129,null,176,null,21750,null,2268,null,10633,null,1683,null,10572,null,1688,null,61,null,99,null,11117,null,1205,null,10865,null,1183,null,252,null,289,null,0400000US02,Alaska,02
154375,null,9650,null,75003,null,5814,null,40833,null,3896,null,40465,null,3904,null,368,null,257,null,34170,null,3186,null,30897,null,3054,null,3273,null,864,null,79372,null,5615,null,42394,null,3970,null,42010,null,3970,null,384,null,274,null,36978,null,3213,null,33517,null,3078,null,3461,null,785,null,0400000US04,Arizona,04
48272,null,4478,null,24057,null,2768,null,11798,null,1899,null,11226,null,1769,null,572,null,605,null,12259,null,1720,null,11516,null,1631,null,743,null,495,null,24215,null,2639,null,10757,null,1874,null,10548,null,1847,null,209,null,229,null,13458,null,1603,null,12371,null,1508,null,1087,null,527,null,0400000US05,Arkansas,05
1262386,null,26412,null,645423,null,15936,null,319856,null,10266,null,317040,null,10234,null,2816,null,824,null,325567,null,9840,null,274130,null,9119,null,51437,null,4023,null,616963,null,15730,null,289410,null,11997,null,286386,null,12061,null,3024,null,763,null,327553,null,9945,null,272784,null,8818,null,54769,null,4530,null,0400000US06,California,06
126857,null,7050,null,63365,null,4552,null,30869,null,2693,null,30761,null,2718,null,108,null,186,null,32496,null,3570,null,30189,null,3450,null,2307,null,864,null,63492,null,4677,null,30139,null,3266,null,29788,null,3280,null,351,null,296,null,33353,null,3149,null,30816,null,3043,null,2537,null,865,null,0400000US08,Colorado,08
70806,null,5485,null,35117,null,3354,null,17869,null,2369,null,17678,null,2380,null,191,null,213,null,17248,null,2489,null,14904,null,2254,null,2344,null,857,null,35689,null,3869,null,16903,null,2605,null,16641,null,2575,null,262,null,233,null,18786,null,2533,null,15768,null,2307,null,3018,null,941,null,0400000US09,Connecticut,09
16978,null,3365,null,9010,null,2138,null,5382,null,1588,null,5261,null,1579,null,121,null,197,null,3628,null,1257,null,3230,null,1209,null,398,null,299,null,7968,null,1908,null,4615,null,1536,null,4591,null,1536,null,24,null,40,null,3353,null,961,null,3117,null,950,null,236,null,193,null,0400000US10,Delaware,10
9485,null,1674,null,3789,null,1155,null,941,null,464,null,941,null,464,null,0,null,300,null,2848,null,1069,null,2726,null,1037,null,122,null,195,null,5696,null,1127,null,1890,null,749,null,1890,null,749,null,0,null,300,null,3806,null,928,null,3345,null,862,null,461,null,254,null,0400000US11,District of Columbia,11
316274,null,13049,null,157574,null,7268,null,70951,null,4591,null,69065,null,4474,null,1886,null,1130,null,86623,null,4841,null,62257,null,3791,null,24366,null,3086,null,158700,null,8347,null,69430,null,5023,null,66483,null,4725,null,2947,null,1166,null,89270,null,5341,null,61104,null,4007,null,28166,null,2994,null,0400000US12,Florida,12
118600,null,7981,null,57621,null,5415,null,32323,null,4081,null,31586,null,3967,null,737,null,545,null,25298,null,3215,null,22574,null,3012,null,2724,null,912,null,60979,null,4494,null,29714,null,2848,null,29637,null,2852,null,77,null,130,null,31265,null,3050,null,27569,null,3000,null,3696,null,911,null,0400000US13,Georgia,13
