C17024_001E,C17024_001EA,C17024_001M,C17024_001MA,C17024_002E,C17024_002EA,C17024_002M,C17024_002MA,C17024_003E,C17024_003EA,C17024_003M,C17024_003MA,C17024_004E,C17024_004EA,C17024_004M,C17024_004MA,C17024_005E,C17024_005EA,C17024_005M,C17024_005MA,C17024_006E,C17024_006EA,C17024_006M,C17024_006MA,C17024_007E,C17024_007EA,C17024_007M,C17024_007MA,C17024_008E,C17024_008EA,C17024_008M,C17024_008MA,C17024_009E,C17024_009EA,C17024_009M,C17024_009MA,C17024_010E,C17024_010EA,C17024_010M,C17024_010MA,C17024_011E,C17024_011EA,C17024_011M,C17024_011MA,C17024_012E,C17024_012EA,C17024_012M,C17024_012MA,C17024_013E,C17024_013EA,C17024_013M,C17024_013MA,C17024_014E,C17024_014EA,C17024_014M,C17024_014MA,C17024_015E,C17024_015EA,C17024_015M,C17024_015MA,C17024_016E,C17024_016EA,C17024_016M,C17024_016MA,C17024_017E,C17024_017EA,C17024_017M,C17024_017MA,C17024_018E,C17024_018EA,C17024_018M,C17024_018MA,C17024_019E,C17024_019EA,C17024_019M,C17024_019MA,C17024_020E,C17024_020EA,C17024_020M,C17024_020MA,C17024_021E,C17024_021EA,C17024_021M,C17024_021MA,C17024_022E,C17024_022EA,C17024_022M,C17024_022MA,C17024_023E,C17024_023EA,C17024_023M,C17024_023MA,C17024_024E,C17024_024EA,C17024_024M,C17024_024MA,C17024_025E,C17024_025EA,C17024_025M,C17024_025MA,C17024_026E,C17024_026EA,C17024_026M,C17024_026MA,C17024_027E,C17024_027EA,C17024_027M,C17024_027MA,C17024_028E,C17024_028EA,C17024_028M,C17024_028MA,GEO_ID,NAME,state
4506549,null,3723,null,1106774,null,4731,null,124561,null,8558,null,144525,null,10152,null,63485,null,5527,null,182218,null,9396,null,204921,null,10522,null,150568,null,8530,null,92066,null,6821,null,144430,null,6137,null,2800407,null,3809,null,172634,null,8368,null,246512,null,11076,null,122086,null,7804,null,388308,null,11508,null,490496,null,14089,null,405155,null,12829,null,306098,null,10066,null,669118,null,14641,null,599368,null,2482,null,12613,null,1839,null,58990,null,3833,null,45793,null,2983,null,112328,null,5351,null,120839,null,5365,null,79448,null,4032,null,54123,null,4277,null,115234,null,4720,null,0400000US01,Alabama,01
666618,null,1056,null,177777,null,1385,null,7851,null,1896,null,12588,null,2666,null,9888,null,2220,null,24237,null,3630,null,36229,null,4085,null,25243,null,3693,null,21725,null,2887,null,40016,null,3425,null,442678,null,1312,null,16376,null,1885,null,20331,null,2665,null,16703,null,2280,null,41085,null,3928,null,65799,null,5242,null,56781,null,4655,null,56007,null,4753,null,169596,null,5993,null,46163,null,1187,null,564,null,399,null,1915,null,541,null,2399,null,738,null,5908,null,1049,null,6734,null,1310,null,6089,null,1169,null,6152,null,1142,null,16402,null,1874,null,0400000US02,Alaska,02
6225486,null,3631,null,1641177,null,3827,null,152505,null,12067,null,178405,null,12878,null,110281,null,11378,null,294133,null,13339,null,307862,null,13617,null,211148,null,9818,null,143559,null,8236,null,243284,null,9883,null,3777634,null,1898,null,236965,null,11989,null,244392,null,12080,null,145658,null,9419,null,497375,null,15240,null,651238,null,20449,null,531813,null,15369,null,430665,null,15737,null,1039528,null,21548,null,806675,null,1720,null,22986,null,2693,null,46004,null,3746,null,42519,null,3582,null,118794,null,6605,null,156211,null,6724,null,120036,null,5708,null,90328,null,5756,null,209797,null,7765,null,0400000US04,Arizona,04
2753919,null,2217,null,689711,null,2914,null,68749,null,6325,null,109056,null,6690,null,44487,null,5425,null,135588,null,7565,null,123783,null,8223,null,83032,null,6706,null,52335,null,5260,null,72681,null,5574,null,1686458,null,2918,null,102409,null,5813,null,165987,null,7802,null,79339,null,5985,null,260298,null,10588,null,310634,null,11329,null,235685,null,11942,null,182548,null,9210,null,349558,null,10593,null,377750,null,2032,null,7679,null,1126,null,38172,null,2928,null,31507,null,2341,null,75059,null,3860,null,76467,null,3867,null,54224,null,3709,null,29895,null,3315,null,64747,null,3888,null,0400000US05,Arkansas,05
35768016,null,9033,null,9222561,null,9841,null,611166,null,21465,null,980129,null,30787,null,584578,null,18938,null,1580326,null,36179,null,1583939,null,34561,null,1101247,null,26286,null,788286,null,21761,null,1992890,null,25766,null,22649114,null,4528,null,1124196,null,22618,null,1398676,null,26999,null,925820,null,25049,null,2836647,null,47706,null,3503403,null,50710,null,2866493,null,40310,null,2309776,null,39422,null,7684103,null,51103,null,3896341,null,4037,null,96723,null,5252,null,222124,null,7051,null,240342,null,7799,null,596240,null,12047,null,652101,null,12658,null,501551,null,9777,null,398260,null,12253,null,1189000,null,15877,null,0400000US06,California,06
4756244,null,3068,null,1174878,null,3105,null,89519,null,9018,null,102206,null,8584,null,52283,null,6707,null,168202,null,10364,null,205959,null,10690,null,174960,null,9220,null,119856,null,7064,null,261893,null,9363,null,3105162,null,2492,null,160194,null,8776,null,177085,null,8639,null,98808,null,6694,null,318605,null,13367,null,462060,null,13531,null,459451,null,13737,null,359219,null,11566,null,1069740,null,17687,null,476204,null,1796,null,11057,null,1970,null,29325,null,2135,null,26332,null,2566,null,66126,null,4155,null,78638,null,4552,null,72779,null,4409,null,54955,null,3621,null,136992,null,4905,null,0400000US08,Colorado,08
3387524,null,2001,null,807174,null,2396,null,42695,null,5521,null,46678,null,5864,null,28214,null,5264,null,84992,null,8057,null,119646,null,7949,null,106363,null,6909,null,99976,null,6065,null,278610,null,8770,null,2137169,null,1790,null,69673,null,5067,null,81692,null,5605,null,46371,null,4771,null,160363,null,9150,null,259362,null,10179,null,273584,null,12278,null,279673,null,10533,null,966451,null,14772,null,443181,null,1180,null,7915,null,1271,null,20227,null,2041,null,17880,null,2152,null,58778,null,3658,null,75727,null,4885,null,65482,null,3983,null,51143,null,3125,null,146029,null,4158,null,0400000US09,Connecticut,09
838497,null,1393,null,200257,null,1395,null,13095,null,2740,null,16287,null,3060,null,11089,null,2703,null,30641,null,4357,null,32803,null,4115,null,31664,null,3688,null,20963,null,2851,null,43715,null,4280,null,526033,null,1103,null,26893,null,3580,null,22946,null,2724,null,16794,null,2751,null,52163,null,5445,null,73493,null,6024,null,79386,null,5360,null,62900,null,5919,null,191458,null,7660,null,112207,null,999,null,3381,null,992,null,5354,null,1183,null,4335,null,976,null,17332,null,1745,null,18893,null,1876,null,15892,null,1994,null,14358,null,1595,null,32662,null,2419,null,0400000US10,Delaware,10
559557,null,297,null,112679,null,472,null,13570,null,3366,null,12027,null,3078,null,8344,null,2712,null,18359,null,3475,null,13577,null,3022,null,10701,null,2230,null,7401,null,2232,null,28700,null,3113,null,380055,null,660,null,31495,null,3583,null,25674,null,3655,null,11985,null,2841,null,36103,null,4150,null,40132,null,4509,null,49380,null,4497,null,34497,null,3180,null,150789,null,5749,null,66823,null,622,null,2285,null,915,null,6883,null,1462,null,3237,null,819,null,9529,null,1564,null,6748,null,1288,null,7205,null,1394,null,5153,null,1081,null,25783,null,1730,null,0400000US11,District of Columbia,11
17846751,null,5850,null,3973195,null,6063,null,276783,null,14727,null,401255,null,18034,null,247036,null,14381,null,701754,null,23155,null,761052,null,19852,null,546595,null,16923,null,350708,null,15187,null,688012,null,17068,null,10863556,null,5002,null,548985,null,14395,null,648819,null,18125,null,421299,null,16521,null,1412251,null,30209,null,1902690,null,29465,null,1656354,null,29153,null,1234375,null,24854,null,3038783,null,31323,null,3010000,null,4690,null,70236,null,5986,null,212754,null,6818,null,161166,null,6551,null,493131,null,13375,null,578663,null,11829,null,426812,null,11420,null,312985,null,8591,null,754253,null,15384,null,0400000US12,Florida,12
9286158,null,4457,null,2489544,null,5945,null,225591,null,14091,null,264790,null,14914,null,137365,null,10566,null,420571,null,17332,null,456632,null,15495,null,324458,null,14672,null,222009,null,10038,null,438128,null,12673,null,5892365,null,4839,null,339023,null,13391,null,384605,null,14965,null,228416,null,11639,null,748885,null,23713,null,983518,null,23700,null,862266,null,21373,null,663957,null,21154,null,1681695,null,23051,null,904249,null,3938,null,25848,null,3074,null,83971,null,4878,null,56854,null,3681,null,148908,null,5978,null,163627,null,7043,null,126334,null,5965,null,82841,null,4370,null,215866,null,7505,null,0400000US13,Georgia,13
1254854,null,925,null,283086,null,915,null,13181,null,2816,null,14427,null,3161,null,7789,null,1930,null,46827,null,5272,null,60040,null,6054,null,48527,null,5200,null,34589,null,4420,null,57706,null,4837,null,791379,null,838,null,31303,null,3138,null,29785,null,3328,null,19255,null,3163,null,79964,null,7962,null,123686,null,8539,null,125163,null,7892,null,109268,null,6708,null,272955,null,10366,null,180389,null,836,null,2772,null,1026,null,8583,null,1748,null,5234,null,1087,null,20959,null,2458,null,26672,null,3245,null,26965,null,2777,null,23336,null,2543,null,65868,null,3211,null,0400000US15,Hawaii,15
1464460,null,1774,null,400818,null,2167,null,24241,null,4276,null,39350,null,4523,null,26349,null,3752,null,79520,null,6321,null,88047,null,5821,null,58965,null,5106,null,34447,null,4388,null,49899,null,4362,null,897287,null,2038,null,40867,null,3672,null,60058,null,4568,null,35981,null,3343,null,128515,null,7074,null,176771,null,8215,null,143374,null,7433,null,99935,null,6494,null,211786,null,8722,null,166355,null,1291,null,3257,null,1094,null,10033,null,1365,null,10750,null,1513,null,29746,null,2706,null,37891,null,2912,null,26231,null,2394,null,16906,null,1792,null,31541,null,2642,null,0400000US16,Idaho,16
12541198,null,3976,null,3157879,null,4316,null,237261,null,14294,null,288033,null,14301,null,156640,null,10852,null,468552,null,18197,null,565119,null,19134,null,453884,null,14301,null,327655,null,9378,null,660735,null,13158,null,7914174,null,2707,null,397534,null,11317,null,448803,null,15717,null,251382,null,11268,null,834160,null,20923,null,1202120,null,28170,null,1149570,null,26107,null,969204,null,16829,null,2661401,null,25681,null,1469145,null,2517,null,32783,null,3136,null,91834,null,4143,null,74194,null,4153,null,244334,null,7716,null,293006,null,7774,null,213042,null,7513,null,148634,null,6539,null,371318,null,8167,null,0400000US17,Illinois,17
6145040,null,3956,null,1550616,null,4414,null,129755,null,9088,null,137855,null,9004,null,83506,null,8365,null,243883,null,10209,null,332901,null,12671,null,253579,null,10780,null,151623,null,8575,null,217514,null,9286,null,3846020,null,2765,null,216286,null,9618,null,215193,null,8919,null,129678,null,7937,null,434531,null,13011,null,675151,null,13453,null,652437,null,16798,null,484089,null,13666,null,1038655,null,18095,null,748404,null,2179,null,12378,null,1459,null,46346,null,2963,null,38826,null,3187,null,131809,null,5586,null,170837,null,5595,null,126423,null,4594,null,78788,null,4292,null,142997,null,5428,null,0400000US18,Indiana,18
