C21001G_001E,C21001G_001EA,C21001G_001M,C21001G_001MA,C21001G_002E,C21001G_002EA,C21001G_002M,C21001G_002MA,C21001G_003E,C21001G_003EA,C21001G_003M,C21001G_003MA,C21001G_004E,C21001G_004EA,C21001G_004M,C21001G_004MA,C21001G_005E,C21001G_005EA,C21001G_005M,C21001G_005MA,C21001G_006E,C21001G_006EA,C21001G_006M,C21001G_006MA,C21001G_007E,C21001G_007EA,C21001G_007M,C21001G_007MA,C21001G_008E,C21001G_008EA,C21001G_008M,C21001G_008MA,C21001G_009E,C21001G_009EA,C21001G_009M,C21001G_009MA,C21001G_010E,C21001G_010EA,C21001G_010M,C21001G_010MA,C21001G_011E,C21001G_011EA,C21001G_011M,C21001G_011MA,C21001G_012E,C21001G_012EA,C21001G_012M,C21001G_012MA,C21001G_013E,C21001G_013EA,C21001G_013M,C21001G_013MA,C21001G_014E,C21001G_014EA,C21001G_014M,C21001G_014MA,C21001G_015E,C21001G_015EA,C21001G_015M,C21001G_015MA,GEO_ID,NAME,state
26302,null,2852,null,11528,null,1432,null,10085,null,1384,null,2059,null,720,null,8026,null,1231,null,1443,null,627,null,1033,null,514,null,410,null,255,null,14774,null,2214,null,13022,null,2109,null,269,null,259,null,12753,null,2072,null,1752,null,614,null,0,null,271,null,1752,null,614,null,0400000US21,Kentucky,21
27071,null,3387,null,11521,null,1792,null,10241,null,1718,null,1700,null,640,null,8541,null,1634,null,1280,null,520,null,346,null,288,null,934,null,445,null,15550,null,2375,null,13474,null,2183,null,165,null,127,null,13309,null,2167,null,2076,null,647,null,28,null,38,null,2048,null,648,null,0400000US22,Louisiana,22
12968,null,1522,null,5835,null,968,null,5419,null,952,null,1007,null,460,null,4412,null,952,null,416,null,360,null,364,null,354,null,52,null,60,null,7133,null,1214,null,6277,null,1185,null,14,null,25,null,6263,null,1183,null,856,null,481,null,0,null,226,null,856,null,481,null,0400000US23,Maine,23
58091,null,4494,null,27699,null,2430,null,26019,null,2407,null,5534,null,1482,null,20485,null,2319,null,1680,null,540,null,1059,null,406,null,621,null,353,null,30392,null,3044,null,28319,null,3013,null,1391,null,746,null,26928,null,2951,null,2073,null,628,null,0,null,281,null,2073,null,628,null,0400000US24,Maryland,24
64466,null,5072,null,31003,null,3503,null,29595,null,3461,null,2186,null,717,null,27409,null,3294,null,1408,null,382,null,726,null,297,null,682,null,295,null,33463,null,2940,null,31482,null,2798,null,218,null,201,null,31264,null,2740,null,1981,null,884,null,0,null,281,null,1981,null,884,null,0400000US25,Massachusetts,25
96018,null,4692,null,44433,null,2902,null,41873,null,2780,null,5383,null,970,null,36490,null,2620,null,2560,null,624,null,1496,null,513,null,1064,null,365,null,51585,null,3491,null,46819,null,3636,null,441,null,355,null,46378,null,3648,null,4766,null,906,null,312,null,256,null,4454,null,919,null,0400000US26,Michigan,26
40009,null,3764,null,20651,null,2609,null,19747,null,2620,null,2260,null,662,null,17487,null,2527,null,904,null,407,null,499,null,277,null,405,null,292,null,19358,null,2077,null,17945,null,1973,null,412,null,314,null,17533,null,1921,null,1413,null,573,null,19,null,34,null,1394,null,573,null,0400000US27,Minnesota,27
12653,null,2350,null,6016,null,1319,null,5304,null,1235,null,1127,null,661,null,4177,null,1151,null,712,null,403,null,366,null,281,null,346,null,263,null,6637,null,1473,null,6089,null,1449,null,202,null,319,null,5887,null,1397,null,548,null,318,null,0,null,289,null,548,null,318,null,0400000US28,Mississippi,28
59293,null,3942,null,30071,null,2652,null,27298,null,2594,null,3949,null,940,null,23349,null,2366,null,2773,null,660,null,1581,null,551,null,1192,null,398,null,29222,null,2770,null,26156,null,2698,null,609,null,464,null,25547,null,2702,null,3066,null,785,null,0,null,255,null,3066,null,785,null,0400000US29,Missouri,29
11758,null,1674,null,5483,null,1052,null,5199,null,1026,null,452,null,238,null,4747,null,955,null,284,null,209,null,270,null,207,null,14,null,29,null,6275,null,1229,null,5841,null,1212,null,74,null,76,null,5767,null,1198,null,434,null,276,null,42,null,86,null,392,null,266,null,0400000US30,Montana,30
