C18020G_001E,C18020G_001EA,C18020G_001M,C18020G_001MA,C18020G_002E,C18020G_002EA,C18020G_002M,C18020G_002MA,C18020G_003E,C18020G_003EA,C18020G_003M,C18020G_003MA,C18020G_004E,C18020G_004EA,C18020G_004M,C18020G_004MA,C18020G_005E,C18020G_005EA,C18020G_005M,C18020G_005MA,C18020G_006E,C18020G_006EA,C18020G_006M,C18020G_006MA,C18020G_007E,C18020G_007EA,C18020G_007M,C18020G_007MA,GEO_ID,NAME,state
30169,null,3161,null,9712,null,1662,null,3976,null,916,null,5736,null,1459,null,20457,null,2477,null,13925,null,1818,null,6532,null,1396,null,0400000US01,Alabama,01
22440,null,2292,null,3332,null,823,null,1158,null,525,null,2174,null,645,null,19108,null,2185,null,12574,null,1742,null,6534,null,1567,null,0400000US02,Alaska,02
70947,null,5712,null,12160,null,2162,null,5516,null,1564,null,6644,null,1318,null,58787,null,4873,null,40443,null,3471,null,18344,null,2514,null,0400000US04,Arizona,04
22683,null,2440,null,6239,null,1143,null,1928,null,608,null,4311,null,1004,null,16444,null,2235,null,11242,null,1803,null,5202,null,1241,null,0400000US05,Arkansas,05
639828,null,15992,null,95037,null,5979,null,34491,null,3025,null,60546,null,4669,null,544791,null,14838,null,378996,null,12534,null,165795,null,7510,null,0400000US06,California,06
65464,null,5353,null,10515,null,1919,null,4541,null,1249,null,5974,null,1524,null,54949,null,4984,null,39732,null,4039,null,15217,null,2266,null,0400000US08,Colorado,08
34714,null,3853,null,6032,null,1625,null,2840,null,1021,null,3192,null,1147,null,28682,null,3480,null,21140,null,3072,null,7542,null,1497,null,0400000US09,Connecticut,09
6989,null,1648,null,1357,null,596,null,894,null,540,null,463,null,298,null,5632,null,1572,null,3889,null,1048,null,1743,null,869,null,0400000US10,Delaware,10
5957,null,1316,null,619,null,442,null,162,null,161,null,457,null,407,null,5338,null,1249,null,4250,null,1113,null,1088,null,531,null,0400000US11,District of Columbia,11
160048,null,8077,null,22622,null,2529,null,8430,null,1278,null,14192,null,2027,null,137426,null,7600,null,97606,null,5802,null,39820,null,3482,null,0400000US12,Florida,12
52873,null,4517,null,9978,null,1850,null,2953,null,888,null,7025,null,1623,null,42895,null,3915,null,28928,null,3195,null,13967,null,2020,null,0400000US13,Georgia,13
166696,null,8100,null,18331,null,2095,null,7806,null,1642,null,10525,null,1570,null,148365,null,7590,null,108743,null,6240,null,39622,null,3355,null,0400000US15,Hawaii,15
16204,null,1747,null,2928,null,876,null,843,null,449,null,2085,null,747,null,13276,null,1707,null,9883,null,1441,null,3393,null,1118,null,0400000US16,Idaho,16
93227,null,6645,null,13758,null,2021,null,5239,null,1207,null,8519,null,1499,null,79469,null,5958,null,55383,null,4348,null,24086,null,3333,null,0400000US17,Illinois,17
50842,null,3667,null,10842,null,1624,null,3895,null,880,null,6947,null,1194,null,40000,null,3203,null,28689,null,2559,null,11311,null,2147,null,0400000US18,Indiana,18
