C16008_001E,C16008_001EA,C16008_001M,C16008_001MA,C16008_002E,C16008_002EA,C16008_002M,C16008_002MA,C16008_003E,C16008_003EA,C16008_003M,C16008_003MA,C16008_004E,C16008_004EA,C16008_004M,C16008_004MA,C16008_005E,C16008_005EA,C16008_005M,C16008_005MA,C16008_006E,C16008_006EA,C16008_006M,C16008_006MA,C16008_007E,C16008_007EA,C16008_007M,C16008_007MA,C16008_008E,C16008_008EA,C16008_008M,C16008_008MA,C16008_009E,C16008_009EA,C16008_009M,C16008_009MA,C16008_010E,C16008_010EA,C16008_010M,C16008_010MA,C16008_011E,C16008_011EA,C16008_011M,C16008_011MA,C16008_012E,C16008_012EA,C16008_012M,C16008_012MA,C16008_013E,C16008_013EA,C16008_013M,C16008_013MA,C16008_014E,C16008_014EA,C16008_014M,C16008_014MA,C16008_015E,C16008_015EA,C16008_015M,C16008_015MA,C16008_016E,C16008_016EA,C16008_016M,C16008_016MA,C16008_017E,C16008_017EA,C16008_017M,C16008_017MA,C16008_018E,C16008_018EA,C16008_018M,C16008_018MA,C16008_019E,C16008_019EA,C16008_019M,C16008_019MA,C16008_020E,C16008_020EA,C16008_020M,C16008_020MA,GEO_ID,NAME,state
4318848,null,3512,null,4183999,null,7335,null,4105908,null,7479,null,50161,null,4332,null,18901,null,2385,null,6066,null,1156,null,2963,null,1050,null,134849,null,6641,null,40615,null,3991,null,14947,null,1930,null,6237,null,1787,null,7519,null,1805,null,9734,null,1475,null,2178,null,939,null,94234,null,6550,null,14162,null,2589,null,48914,null,3618,null,11159,null,2559,null,13816,null,2661,null,6183,null,2598,null,0400000US01,Alabama,01
632806,null,1002,null,584214,null,3449,null,521947,null,5224,null,15420,null,2030,null,8636,null,1873,null,8512,null,1533,null,29699,null,2073,null,48592,null,3469,null,24807,null,2289,null,6006,null,1173,null,3622,null,987,null,3238,null,964,null,11519,null,1257,null,422,null,338,null,23785,null,2625,null,4345,null,1166,null,4696,null,1107,null,4615,null,1646,null,8685,null,1485,null,1444,null,792,null,0400000US02,Alaska,02
5839788,null,1598,null,4858338,null,20821,null,4045782,null,20495,null,617512,null,14601,null,47992,null,4260,null,21494,null,2936,null,125558,null,4915,null,981450,null,20814,null,294081,null,10518,null,66040,null,4039,null,134443,null,7906,null,43775,null,4575,null,37556,null,3270,null,12267,null,3224,null,687369,null,18729,null,65417,null,5152,null,536863,null,15504,null,35661,null,4717,null,33122,null,3851,null,16306,null,5053,null,0400000US04,Arizona,04
2637847,null,2141,null,2520987,null,6147,null,2451212,null,7094,null,51296,null,3842,null,10215,null,1744,null,7356,null,1871,null,908,null,451,null,116860,null,5838,null,33040,null,2966,null,9163,null,1725,null,11334,null,2262,null,3146,null,949,null,8120,null,1156,null,1277,null,637,null,83820,null,5214,null,9510,null,2336,null,58793,null,4385,null,5644,null,1424,null,8620,null,1175,null,1253,null,658,null,0400000US05,Arkansas,05
33891325,null,3050,null,23921479,null,44345,null,18493706,null,50661,null,4333461,null,31651,null,398183,null,12016,null,615072,null,16290,null,81057,null,7670,null,9969846,null,44218,null,4364690,null,34442,null,578493,null,14784,null,1529717,null,23061,null,619551,null,16669,null,1513747,null,18654,null,123182,null,7338,null,5605156,null,47549,null,377475,null,12433,null,3801205,null,38416,null,408464,null,15093,null,938714,null,22956,null,79298,null,7973,null,0400000US06,California,06
4512195,null,1921,null,4032500,null,16685,null,3684927,null,19831,null,270301,null,10610,null,48633,null,4061,null,18558,null,2593,null,10081,null,1937,null,479695,null,16391,null,151894,null,8189,null,41733,null,3699,null,40573,null,4835,null,30197,null,3303,null,32362,null,3118,null,7029,null,1619,null,327801,null,15050,null,29786,null,3892,null,228636,null,12001,null,30697,null,4640,null,28949,null,3892,null,9733,null,2654,null,0400000US08,Colorado,08
3290325,null,1348,null,2844420,null,13283,null,2530135,null,13122,null,201900,null,9187,null,93332,null,4310,null,13575,null,1865,null,5478,null,1472,null,445905,null,13238,null,211981,null,8300,null,72328,null,5006,null,28326,null,3199,null,80456,null,5678,null,24954,null,2751,null,5917,null,1590,null,233924,null,10680,null,48276,null,5353,null,74112,null,6492,null,74563,null,5883,null,28497,null,2717,null,8476,null,2183,null,0400000US09,Connecticut,09
805602,null,277,null,740744,null,4074,null,693618,null,5152,null,28195,null,2985,null,14331,null,2585,null,2700,null,848,null,1900,null,799,null,64858,null,4053,null,27323,null,2726,null,9870,null,1499,null,3335,null,1019,null,6565,null,1751,null,5640,null,1077,null,1913,null,824,null,37535,null,3739,null,5185,null,1285,null,16536,null,3017,null,6309,null,1504,null,4890,null,1195,null,4615,null,1653,null,0400000US10,Delaware,10
551980,null,267,null,477911,null,4703,null,447674,null,4898,null,18630,null,2700,null,7798,null,1321,null,2209,null,1017,null,1600,null,656,null,74069,null,4687,null,26973,null,3541,null,10302,null,1916,null,6901,null,2031,null,5097,null,1414,null,2473,null,920,null,2200,null,907,null,47096,null,4881,null,13809,null,2470,null,15932,null,2974,null,9140,null,2413,null,3589,null,1101,null,4626,null,1490,null,0400000US11,District of Columbia,11
17105241,null,3743,null,13683202,null,30161,null,11990887,null,34075,null,1363287,null,20396,null,270127,null,11088,null,35285,null,4355,null,23616,null,3663,null,3422039,null,29919,null,1564394,null,21918,null,375722,null,11222,null,774109,null,14411,null,274987,null,12374,null,99609,null,5444,null,39967,null,4782,null,1857645,null,28929,null,272845,null,9676,null,1131696,null,22264,null,342905,null,14817,null,80667,null,6432,null,29532,null,4521,null,0400000US12,Florida,12
8818349,null,3954,null,7958913,null,16625,null,7616145,null,19186,null,229806,null,10214,null,69710,null,5141,null,32516,null,2914,null,10736,null,2267,null,859436,null,15736,null,281084,null,10230,null,80606,null,5806,null,56276,null,4385,null,63155,null,5238,null,63269,null,4292,null,17778,null,2628,null,578352,null,15161,null,64983,null,5919,null,334729,null,11403,null,86548,null,9224,null,66648,null,5324,null,25444,null,4489,null,0400000US13,Georgia,13
