B20004_001E,B20004_001EA,B20004_001M,B20004_001MA,B20004_002E,B20004_002EA,B20004_002M,B20004_002MA,B20004_003E,B20004_003EA,B20004_003M,B20004_003MA,B20004_004E,B20004_004EA,B20004_004M,B20004_004MA,B20004_005E,B20004_005EA,B20004_005M,B20004_005MA,B20004_006E,B20004_006EA,B20004_006M,B20004_006MA,B20004_007E,B20004_007EA,B20004_007M,B20004_007MA,B20004_008E,B20004_008EA,B20004_008M,B20004_008MA,B20004_009E,B20004_009EA,B20004_009M,B20004_009MA,B20004_010E,B20004_010EA,B20004_010M,B20004_010MA,B20004_011E,B20004_011EA,B20004_011M,B20004_011MA,B20004_012E,B20004_012EA,B20004_012M,B20004_012MA,B20004_013E,B20004_013EA,B20004_013M,B20004_013MA,B20004_014E,B20004_014EA,B20004_014M,B20004_014MA,B20004_015E,B20004_015EA,B20004_015M,B20004_015MA,B20004_016E,B20004_016EA,B20004_016M,B20004_016MA,B20004_017E,B20004_017EA,B20004_017M,B20004_017MA,B20004_018E,B20004_018EA,B20004_018M,B20004_018MA,GEO_ID,NAME,state
30308,null,267,null,17602,null,628,null,24336,null,665,null,30407,null,453,null,43163,null,1190,null,51332,null,625,null,36739,null,429,null,21951,null,754,null,31199,null,511,null,39145,null,1137,null,55720,null,1659,null,69652,null,4971,null,23173,null,504,null,12328,null,585,null,18050,null,539,null,24029,null,790,null,35757,null,645,null,45902,null,723,null,0400000US01,Alabama,01
37473,null,1483,null,19468,null,2877,null,31162,null,1038,null,37919,null,2019,null,49101,null,2845,null,62170,null,2021,null,45968,null,1048,null,20284,null,3017,null,38481,null,4771,null,46438,null,1641,null,60804,null,3651,null,72301,null,4683,null,30809,null,842,null,17516,null,5251,null,23887,null,1969,null,30943,null,1175,null,40532,null,3571,null,48792,null,4927,null,0400000US02,Alaska,02
32384,null,261,null,20057,null,595,null,26906,null,410,null,33568,null,703,null,45853,null,878,null,56110,null,1479,null,37517,null,660,null,22948,null,1144,null,31366,null,577,null,40967,null,570,null,56124,null,1782,null,71216,null,1809,null,27245,null,463,null,14731,null,900,null,22344,null,531,null,27215,null,473,null,37136,null,853,null,47402,null,1386,null,0400000US04,Arizona,04
27011,null,375,null,18026,null,656,null,22855,null,646,null,27478,null,783,null,40372,null,937,null,51272,null,1317,null,32323,null,438,null,21230,null,542,null,29184,null,1002,null,35040,null,1298,null,50391,null,1709,null,62477,null,5214,null,21728,null,321,null,13193,null,821,null,18227,null,528,null,22410,null,592,null,33430,null,1204,null,45933,null,1364,null,0400000US05,Arkansas,05
36384,null,130,null,19173,null,214,null,29199,null,393,null,36958,null,247,null,52370,null,229,null,71938,null,387,null,41632,null,151,null,22362,null,226,null,33845,null,577,null,44605,null,637,null,62297,null,397,null,87246,null,1308,null,30770,null,149,null,14160,null,290,null,22897,null,424,null,31066,null,217,null,45382,null,448,null,60664,null,481,null,0400000US06,California,06
35401,null,297,null,19838,null,982,null,28237,null,856,null,33782,null,661,null,45392,null,788,null,55835,null,1545,null,41448,null,384,null,22812,null,1097,null,33281,null,847,null,40854,null,594,null,57051,null,1766,null,71273,null,1643,null,28951,null,569,null,15070,null,1231,null,22157,null,535,null,27280,null,662,null,36218,null,710,null,45240,null,1516,null,0400000US08,Colorado,08
41718,null,342,null,21980,null,744,null,31847,null,413,null,40136,null,666,null,53999,null,1464,null,71146,null,1010,null,50780,null,385,null,25895,null,1268,null,40095,null,1192,null,48869,null,1643,null,68501,null,3438,null,91790,null,2611,null,33840,null,604,null,18778,null,1270,null,25723,null,577,null,33260,null,843,null,43497,null,1794,null,56593,null,2607,null,0400000US09,Connecticut,09
37279,null,752,null,19781,null,1458,null,31037,null,820,null,37745,null,1560,null,48314,null,3013,null,66165,null,2822,null,42423,null,1593,null,22570,null,2161,null,36314,null,1757,null,45715,null,1887,null,52584,null,3346,null,84070,null,7299,null,31939,null,759,null,15516,null,2075,null,25397,null,1542,null,31928,null,1659,null,44594,null,2405,null,55761,null,3913,null,0400000US10,Delaware,10
45578,null,1522,null,22570,null,1674,null,27698,null,3455,null,34894,null,2333,null,54431,null,2711,null,79661,null,3274,null,50746,null,1452,null,25037,null,1596,null,30605,null,2227,null,37564,null,3337,null,61661,null,5638,null,94898,null,4377,null,41542,null,1003,null,17424,null,5136,null,25708,null,1842,null,31791,null,2783,null,49622,null,3941,null,67035,null,3401,null,0400000US11,District of Columbia,11
31404,null,138,null,18679,null,391,null,25742,null,199,null,32123,null,212,null,42221,null,230,null,56542,null,1043,null,36232,null,218,null,21520,null,339,null,30548,null,272,null,37799,null,716,null,51429,null,432,null,71105,null,866,null,26686,null,194,null,15036,null,328,null,21312,null,260,null,27695,null,430,null,36517,null,336,null,47000,null,942,null,0400000US12,Florida,12
32395,null,209,null,20050,null,451,null,26391,null,329,null,32000,null,311,null,47029,null,600,null,58813,null,1742,null,38211,null,531,null,22265,null,397,null,31405,null,363,null,39684,null,962,null,59085,null,2357,null,75412,null,3059,null,27169,null,319,null,14143,null,611,null,21159,null,346,null,26598,null,505,null,39375,null,954,null,50618,null,570,null,0400000US13,Georgia,13
35466,null,529,null,23413,null,1856,null,29292,null,1415,null,34850,null,1175,null,43390,null,2427,null,54631,null,3113,null,41380,null,595,null,25716,null,2060,null,32291,null,1991,null,42100,null,1242,null,50834,null,1280,null,62955,null,5822,null,30604,null,469,null,21168,null,1615,null,24284,null,1214,null,29434,null,1062,null,37335,null,1776,null,49294,null,2936,null,0400000US15,Hawaii,15
