B99163_001E,B99163_001EA,B99163_002E,B99163_002EA,B99163_003E,B99163_003EA,B99163_004E,B99163_004EA,B99163_005E,B99163_005EA,GEO_ID,NAME,state
4318848,null,4135017,null,183831,null,7165,null,176666,null,0400000US01,Alabama,01
632806,null,532298,null,100508,null,2515,null,97993,null,0400000US02,Alaska,02
5839788,null,4177239,null,1662549,null,42976,null,1619573,null,0400000US04,Arizona,04
2637847,null,2469885,null,167962,null,5918,null,162044,null,0400000US05,Arkansas,05
33891325,null,19449674,null,14441651,null,399366,null,14042285,null,0400000US06,California,06
4512195,null,3756446,null,755749,null,32553,null,723196,null,0400000US08,Colorado,08
3290325,null,2650739,null,639586,null,17793,null,621793,null,0400000US09,Connecticut,09
805602,null,708673,null,96929,null,3439,null,93490,null,0400000US10,Delaware,10
551980,null,471785,null,80195,null,3301,null,76894,null,0400000US11,District of Columbia,11
17105241,null,12639454,null,4465787,null,116578,null,4349209,null,0400000US12,Florida,12
8818349,null,7761734,null,1056615,null,46168,null,1010447,null,0400000US13,Georgia,13
1195661,null,890449,null,305212,null,12710,null,292502,null,0400000US15,Hawaii,15
1382539,null,1246646,null,135893,null,4748,null,131145,null,0400000US16,Idaho,16
11961769,null,9358525,null,2603244,null,77790,null,2525454,null,0400000US17,Illinois,17
5903675,null,5466241,null,437434,null,16958,null,420476,null,0400000US18,Indiana,18
2790906,null,2607163,null,183743,null,10572,null,173171,null,0400000US19,Iowa,19
2580638,null,2324529,null,256109,null,8581,null,247528,null,0400000US20,Kansas,20
3963318,null,3799294,null,164024,null,6398,null,157626,null,0400000US21,Kentucky,21
3996750,null,3668709,null,328041,null,10108,null,317933,null,0400000US22,Louisiana,22
1247427,null,1155136,null,92291,null,4149,null,88142,null,0400000US23,Maine,23
5243703,null,4468436,null,775267,null,28589,null,746678,null,0400000US24,Maryland,24
6072036,null,4843180,null,1228856,null,50103,null,1178753,null,0400000US25,Massachusetts,25
9435733,null,8584868,null,850865,null,29340,null,821525,null,0400000US26,Michigan,26
4844316,null,4379686,null,464630,null,21972,null,442658,null,0400000US27,Minnesota,27
2705640,null,2613861,null,91779,null,3576,null,88203,null,0400000US28,Mississippi,28
5484696,null,5167858,null,316838,null,16155,null,300683,null,0400000US29,Missouri,29
898614,null,861559,null,37055,null,1729,null,35326,null,0400000US30,Montana,30
1645880,null,1497583,null,148297,null,6753,null,141544,null,0400000US31,Nebraska,31
2371632,null,1721294,null,650338,null,11789,null,638549,null,0400000US32,Nevada,32
1240806,null,1142798,null,98008,null,3777,null,94231,null,0400000US33,New Hampshire,33
8130371,null,5868363,null,2262008,null,62358,null,2199650,null,0400000US34,New Jersey,34
1828867,null,1175987,null,652880,null,17177,null,635703,null,0400000US35,New Mexico,35
18097578,null,12868476,null,5229102,null,162066,null,5067036,null,0400000US36,New York,36
8429207,null,7614562,null,814645,null,27411,null,787234,null,0400000US37,North Carolina,37
599205,null,563818,null,35387,null,2114,null,33273,null,0400000US38,North Dakota,38
10727127,null,10080650,null,646477,null,33675,null,612802,null,0400000US39,Ohio,39
3357386,null,3081223,null,276163,null,8004,null,268159,null,0400000US40,Oklahoma,40
3511093,null,3006472,null,504621,null,15691,null,488930,null,0400000US41,Oregon,41
11703178,null,10596161,null,1107017,null,59689,null,1047328,null,0400000US42,Pennsylvania,42
996158,null,789087,null,207071,null,5978,null,201093,null,0400000US44,Rhode Island,44
4113842,null,3872698,null,241144,null,9479,null,231665,null,0400000US45,South Carolina,45
740248,null,693864,null,46384,null,3247,null,43137,null,0400000US46,South Dakota,46
5750581,null,5415021,null,335560,null,12453,null,323107,null,0400000US47,Tennessee,47
21924924,null,14487090,null,7437834,null,165482,null,7272352,null,0400000US48,Texas,48
2392633,null,2060951,null,331682,null,9985,null,321697,null,0400000US49,Utah,49
588849,null,558675,null,30174,null,1225,null,28949,null,0400000US50,Vermont,50
7201765,null,6245517,null,956248,null,44727,null,911521,null,0400000US51,Virginia,51
6046464,null,5034024,null,1012440,null,26455,null,985985,null,0400000US53,Washington,53
1707922,null,1668769,null,39153,null,2123,null,37030,null,0400000US54,West Virginia,54
5245596,null,4816806,null,428790,null,23287,null,405503,null,0400000US55,Wisconsin,55
487399,null,456980,null,30419,null,985,null,29434,null,0400000US56,Wyoming,56
3697190,null,174694,null,3522496,null,49691,null,3472805,null,0400000US72,Puerto Rico,72
