B14001_001E,B14001_001EA,B14001_001M,B14001_001MA,B14001_002E,B14001_002EA,B14001_002M,B14001_002MA,B14001_003E,B14001_003EA,B14001_003M,B14001_003MA,B14001_004E,B14001_004EA,B14001_004M,B14001_004MA,B14001_005E,B14001_005EA,B14001_005M,B14001_005MA,B14001_006E,B14001_006EA,B14001_006M,B14001_006MA,B14001_007E,B14001_007EA,B14001_007M,B14001_007MA,B14001_008E,B14001_008EA,B14001_008M,B14001_008MA,B14001_009E,B14001_009EA,B14001_009M,B14001_009MA,B14001_010E,B14001_010EA,B14001_010M,B14001_010MA,GEO_ID,NAME,state
4447376,null,4963,null,1162213,null,10679,null,68999,null,3976,null,63528,null,4615,null,246735,null,7021,null,249805,null,6680,null,251044,null,4902,null,240518,null,7270,null,41584,null,3278,null,3285163,null,10317,null,0400000US01,Alabama,01
651727,null,1748,null,185067,null,4267,null,10538,null,1564,null,9215,null,1381,null,34923,null,2026,null,38757,null,2308,null,46419,null,2471,null,37610,null,3167,null,7605,null,1198,null,466660,null,4378,null,0400000US02,Alaska,02
6045187,null,5800,null,1650562,null,13468,null,88359,null,4740,null,93742,null,4808,null,361017,null,7320,null,356559,null,8355,null,356067,null,6289,null,326976,null,9061,null,67842,null,5075,null,4394625,null,14843,null,0400000US04,Arizona,04
2717853,null,4159,null,709261,null,8392,null,46148,null,3593,null,41493,null,2682,null,152823,null,4940,null,150383,null,4766,null,156479,null,4560,null,142470,null,5397,null,19465,null,2532,null,2008592,null,7639,null,0400000US05,Arkansas,05
34952975,null,13314,null,10328045,null,31241,null,589487,null,11079,null,494741,null,12126,null,1974732,null,19115,null,2084882,null,18878,null,2334106,null,15602,null,2408465,null,28025,null,441632,null,11798,null,24624930,null,29444,null,0400000US06,California,06
4651132,null,4585,null,1247277,null,11075,null,78923,null,4603,null,67428,null,4345,null,252660,null,5444,null,251571,null,6737,null,262225,null,4566,null,273886,null,8117,null,60584,null,4142,null,3403855,null,11435,null,0400000US08,Colorado,08
3375713,null,3756,null,940370,null,8290,null,62162,null,3398,null,42160,null,3375,null,181289,null,4626,null,186334,null,5175,null,208681,null,3776,null,208556,null,6483,null,51188,null,4922,null,2435343,null,8334,null,0400000US09,Connecticut,09
829418,null,1958,null,221134,null,4185,null,13316,null,1810,null,10692,null,1728,null,40681,null,2606,null,47807,null,2541,null,45826,null,2162,null,51921,null,3149,null,10891,null,1700,null,608284,null,3958,null,0400000US10,Delaware,10
564337,null,1626,null,148734,null,4257,null,9356,null,1830,null,5287,null,1319,null,23624,null,1889,null,24534,null,2043,null,25828,null,1959,null,38870,null,2524,null,21235,null,2935,null,415603,null,4179,null,0400000US11,District of Columbia,11
17564477,null,9132,null,4315302,null,23494,null,292873,null,10070,null,218000,null,8101,null,873499,null,11878,null,887243,null,12915,null,933971,null,10984,null,945329,null,16566,null,164387,null,6669,null,13249175,null,23591,null,0400000US12,Florida,12
