C11002G_001E,C11002G_001EA,C11002G_001M,C11002G_001MA,C11002G_002E,C11002G_002EA,C11002G_002M,C11002G_002MA,C11002G_003E,C11002G_003EA,C11002G_003M,C11002G_003MA,GEO_ID,NAME,state
41958,null,4574,null,35021,null,4565,null,6937,null,1575,null,0400000US01,Alabama,01
26322,null,3402,null,20703,null,2725,null,5619,null,1884,null,0400000US02,Alaska,02
87609,null,8462,null,71739,null,7794,null,15870,null,2371,null,0400000US04,Arizona,04
35781,null,4557,null,28273,null,4235,null,7508,null,2143,null,0400000US05,Arkansas,05
771786,null,24275,null,630027,null,23512,null,141759,null,8160,null,0400000US06,California,06
78148,null,8325,null,62249,null,7932,null,15899,null,2697,null,0400000US08,Colorado,08
43453,null,6431,null,36846,null,6575,null,6607,null,1659,null,0400000US09,Connecticut,09
7922,null,2707,null,6740,null,2675,null,1182,null,656,null,0400000US10,Delaware,10
5458,null,1530,null,2011,null,886,null,3447,null,1313,null,0400000US11,District of Columbia,11
219621,null,12798,null,181431,null,12686,null,38190,null,4336,null,0400000US12,Florida,12
72367,null,7569,null,58371,null,7423,null,13996,null,2901,null,0400000US13,Georgia,13
210435,null,12647,null,188180,null,12779,null,22255,null,3574,null,0400000US15,Hawaii,15
22356,null,3678,null,18813,null,3397,null,3543,null,1185,null,0400000US16,Idaho,16
115848,null,11700,null,96126,null,11235,null,19722,null,2582,null,0400000US17,Illinois,17
62197,null,6995,null,50900,null,6967,null,11297,null,1861,null,0400000US18,Indiana,18
21393,null,3471,null,17218,null,3216,null,4175,null,1114,null,0400000US19,Iowa,19
47854,null,4957,null,38573,null,4958,null,9281,null,1727,null,0400000US20,Kansas,20
34330,null,4261,null,28212,null,4407,null,6118,null,1498,null,0400000US21,Kentucky,21
37374,null,7377,null,31530,null,7207,null,5844,null,1529,null,0400000US22,Louisiana,22
16856,null,3485,null,13320,null,3441,null,3536,null,1003,null,0400000US23,Maine,23
72382,null,6831,null,59047,null,6469,null,13335,null,2823,null,0400000US24,Maryland,24
78618,null,7579,null,62378,null,7302,null,16240,null,2973,null,0400000US25,Massachusetts,25
117891,null,7949,null,96850,null,7613,null,21041,null,2437,null,0400000US26,Michigan,26
48719,null,5354,null,38703,null,5059,null,10016,null,1973,null,0400000US27,Minnesota,27
19023,null,4960,null,16634,null,4911,null,2389,null,830,null,0400000US28,Mississippi,28
81527,null,7404,null,67158,null,6832,null,14369,null,2337,null,0400000US29,Missouri,29
15289,null,3216,null,12228,null,3265,null,3061,null,941,null,0400000US30,Montana,30
19122,null,3578,null,15730,null,3542,null,3392,null,1339,null,0400000US31,Nebraska,31
51414,null,6495,null,43481,null,6097,null,7933,null,2133,null,0400000US32,Nevada,32
8831,null,2442,null,6956,null,2119,null,1875,null,940,null,0400000US33,New Hampshire,33
84290,null,7331,null,71168,null,6937,null,13122,null,2070,null,0400000US34,New Jersey,34
35120,null,4204,null,29839,null,4166,null,5281,null,1429,null,0400000US35,New Mexico,35
234557,null,13946,null,187270,null,13286,null,47287,null,4643,null,0400000US36,New York,36
85498,null,8773,null,68717,null,8780,null,16781,null,3078,null,0400000US37,North Carolina,37
5300,null,1618,null,3746,null,1426,null,1554,null,905,null,0400000US38,North Dakota,38
103828,null,7733,null,85872,null,7513,null,17956,null,2731,null,0400000US39,Ohio,39
176648,null,11291,null,144226,null,11099,null,32422,null,3501,null,0400000US40,Oklahoma,40
79470,null,7671,null,61509,null,6944,null,17961,null,3161,null,0400000US41,Oregon,41
92580,null,7114,null,76310,null,7207,null,16270,null,2322,null,0400000US42,Pennsylvania,42
16133,null,3746,null,11820,null,2962,null,4313,null,2368,null,0400000US44,Rhode Island,44
33961,null,6568,null,29744,null,6466,null,4217,null,1258,null,0400000US45,South Carolina,45
7552,null,2232,null,6398,null,2143,null,1154,null,702,null,0400000US46,South Dakota,46
53697,null,5519,null,41116,null,5471,null,12581,null,2370,null,0400000US47,Tennessee,47
299682,null,16412,null,256212,null,15607,null,43470,null,4715,null,0400000US48,Texas,48
26118,null,4307,null,24772,null,4204,null,1346,null,680,null,0400000US49,Utah,49
9931,null,2397,null,7239,null,1934,null,2692,null,1396,null,0400000US50,Vermont,50
94246,null,9363,null,79721,null,8706,null,14525,null,2520,null,0400000US51,Virginia,51
140231,null,9569,null,109215,null,8274,null,31016,null,3588,null,0400000US53,Washington,53
15931,null,2747,null,12750,null,2523,null,3181,null,1118,null,0400000US54,West Virginia,54
40015,null,4667,null,31864,null,4442,null,8151,null,1651,null,0400000US55,Wisconsin,55
11205,null,3316,null,9957,null,3259,null,1248,null,663,null,0400000US56,Wyoming,56
175982,null,9739,null,159729,null,9745,null,16253,null,1955,null,0400000US72,Puerto Rico,72
