C16010_001E,C16010_001EA,C16010_001M,C16010_001MA,C16010_002E,C16010_002EA,C16010_002M,C16010_002MA,C16010_003E,C16010_003EA,C16010_003M,C16010_003MA,C16010_004E,C16010_004EA,C16010_004M,C16010_004MA,C16010_005E,C16010_005EA,C16010_005M,C16010_005MA,C16010_006E,C16010_006EA,C16010_006M,C16010_006MA,C16010_007E,C16010_007EA,C16010_007M,C16010_007MA,C16010_008E,C16010_008EA,C16010_008M,C16010_008MA,C16010_009E,C16010_009EA,C16010_009M,C16010_009MA,C16010_010E,C16010_010EA,C16010_010M,C16010_010MA,C16010_011E,C16010_011EA,C16010_011M,C16010_011MA,C16010_012E,C16010_012EA,C16010_012M,C16010_012MA,C16010_013E,C16010_013EA,C16010_013M,C16010_013MA,C16010_014E,C16010_014EA,C16010_014M,C16010_014MA,C16010_015E,C16010_015EA,C16010_015M,C16010_015MA,C16010_016E,C16010_016EA,C16010_016M,C16010_016MA,C16010_017E,C16010_017EA,C16010_017M,C16010_017MA,C16010_018E,C16010_018EA,C16010_018M,C16010_018MA,C16010_019E,C16010_019EA,C16010_019M,C16010_019MA,C16010_020E,C16010_020EA,C16010_020M,C16010_020MA,C16010_021E,C16010_021EA,C16010_021M,C16010_021MA,C16010_022E,C16010_022EA,C16010_022M,C16010_022MA,C16010_023E,C16010_023EA,C16010_023M,C16010_023MA,C16010_024E,C16010_024EA,C16010_024M,C16010_024MA,C16010_025E,C16010_025EA,C16010_025M,C16010_025MA,C16010_026E,C16010_026EA,C16010_026M,C16010_026MA,C16010_027E,C16010_027EA,C16010_027M,C16010_027MA,C16010_028E,C16010_028EA,C16010_028M,C16010_028MA,C16010_029E,C16010_029EA,C16010_029M,C16010_029MA,C16010_030E,C16010_030EA,C16010_030M,C16010_030MA,C16010_031E,C16010_031EA,C16010_031M,C16010_031MA,C16010_032E,C16010_032EA,C16010_032M,C16010_032MA,C16010_033E,C16010_033EA,C16010_033M,C16010_033MA,C16010_034E,C16010_034EA,C16010_034M,C16010_034MA,C16010_035E,C16010_035EA,C16010_035M,C16010_035MA,C16010_036E,C16010_036EA,C16010_036M,C16010_036MA,C16010_037E,C16010_037EA,C16010_037M,C16010_037MA,GEO_ID,NAME,state
3045893,null,4778,null,597330,null,13024,null,217297,null,9090,null,196030,null,8246,null,17125,null,2144,null,4142,null,1236,null,380033,null,9795,null,369629,null,9413,null,6385,null,1052,null,4019,null,1002,null,978130,null,14306,null,569298,null,12630,null,552618,null,12275,null,9744,null,1503,null,6936,null,1402,null,408832,null,9295,null,400563,null,9021,null,4392,null,950,null,3877,null,1088,null,819024,null,12391,null,567338,null,10367,null,550440,null,10432,null,8861,null,1616,null,8037,null,1317,null,251686,null,7750,null,244209,null,7486,null,3022,null,762,null,4455,null,1101,null,651409,null,13001,null,485739,null,11421,null,457226,null,11028,null,9608,null,1596,null,18905,null,2195,null,165670,null,6046,null,157182,null,5877,null,2184,null,692,null,6304,null,1009,null,0400000US01,Alabama,01
421818,null,2623,null,40136,null,3103,null,18185,null,2017,null,9684,null,1508,null,3582,null,1122,null,4919,null,1032,null,21951,null,2128,null,13624,null,1813,null,1069,null,604,null,7258,null,925,null,127441,null,5234,null,87871,null,4318,null,74314,null,4030,null,1934,null,792,null,11623,null,1492,null,39570,null,3094,null,33216,null,2768,null,786,null,503,null,5568,null,1121,null,144634,null,5251,null,112277,null,4656,null,97813,null,4138,null,3657,null,805,null,10807,null,1578,null,32357,null,2206,null,28732,null,2185,null,1035,null,504,null,2590,null,669,null,109607,null,4310,null,88025,null,4171,null,78758,null,4055,null,1937,null,670,null,7330,null,1172,null,21582,null,1876,null,18664,null,1835,null,822,null,523,null,2096,null,751,null,0400000US02,Alaska,02
4075825,null,3131,null,673859,null,12050,null,336606,null,9705,null,95507,null,5415,null,223222,null,9172,null,17877,null,2534,null,337253,null,9413,null,159084,null,6311,null,140414,null,6085,null,37755,null,2904,null,1093262,null,19361,null,638885,null,15190,null,443227,null,12201,null,158959,null,8049,null,36699,null,3449,null,454377,null,11110,null,360062,null,9676,null,65712,null,4485,null,28603,null,3076,null,1276117,null,17877,null,854719,null,16732,null,697260,null,16509,null,114131,null,6115,null,43328,null,2944,null,421398,null,9476,null,358488,null,8190,null,36327,null,2684,null,26583,null,2953,null,1032587,null,12950,null,727860,null,12644,null,601464,null,11391,null,58481,null,4176,null,67915,null,4193,null,304727,null,8710,null,262153,null,7650,null,17869,null,2158,null,24705,null,2870,null,0400000US04,Arizona,04
1861810,null,4842,null,351075,null,8042,null,137058,null,6253,null,108774,null,6072,null,25867,null,2444,null,2417,null,830,null,214017,null,7043,null,200277,null,6508,null,11063,null,1806,null,2677,null,692,null,663851,null,11182,null,394744,null,8681,null,376347,null,8345,null,13555,null,1938,null,4842,null,1248,null,269107,null,7459,null,263470,null,7338,null,3433,null,997,null,2204,null,711,null,486644,null,9452,null,331462,null,8422,null,320184,null,8392,null,7072,null,1354,null,4206,null,1101,null,155182,null,4985,null,150597,null,4787,null,1906,null,659,null,2679,null,698,null,360240,null,9352,null,264401,null,8619,null,250545,null,8253,null,5427,null,1171,null,8429,null,1607,null,95839,null,3971,null,89349,null,3719,null,1536,null,516,null,4954,null,1303,null,0400000US05,Arkansas,05
23331762,null,6611,null,4612748,null,36455,null,2407229,null,27336,null,427437,null,12955,null,1786302,null,23846,null,193490,null,7411,null,2205519,null,25869,null,721513,null,15217,null,1111009,null,17264,null,372997,null,9997,null,5396253,null,40351,null,3289312,null,32734,null,1825022,null,23767,null,1092410,null,18824,null,371880,null,13811,null,2106941,null,20606,null,1381056,null,16505,null,412015,null,10547,null,313870,null,9031,null,6439237,null,38801,null,4432695,null,33833,null,3103477,null,25585,null,802176,null,13605,null,527042,null,13660,null,2006542,null,22535,null,1511418,null,17841,null,232363,null,7583,null,262761,null,7309,null,6883524,null,40771,null,5224255,null,39718,null,3504966,null,28801,null,484224,null,12083,null,1235065,null,19189,null,1659269,null,19914,null,1120578,null,17668,null,107219,null,4958,null,431472,null,10139,null,0400000US06,California,06
3203704,null,4123,null,355376,null,9942,null,189601,null,8613,null,88810,null,6381,null,90826,null,6364,null,9965,null,1877,null,165775,null,6482,null,95142,null,4824,null,60074,null,4356,null,10559,null,1701,null,797352,null,14511,null,516984,null,12500,null,427252,null,10094,null,71300,null,6122,null,18432,null,2281,null,280368,null,7822,null,237211,null,6925,null,29128,null,2900,null,14029,null,1993,null,929708,null,16567,null,679868,null,15415,null,612769,null,13161,null,41683,null,4125,null,25416,null,2797,null,249840,null,7074,null,224010,null,6456,null,16185,null,2249,null,9645,null,1547,null,1121268,null,15988,null,876199,null,15053,null,779700,null,12851,null,40201,null,4287,null,56298,null,3744,null,245069,null,7313,null,220013,null,6793,null,9189,null,1671,null,15867,null,2167,null,0400000US08,Colorado,08
2359568,null,1614,null,282428,null,7840,null,116388,null,6047,null,59225,null,4073,null,37335,null,3978,null,19828,null,2775,null,166040,null,5311,null,104740,null,4021,null,29806,null,2682,null,31494,null,2681,null,695183,null,11386,null,448206,null,10376,null,354952,null,8584,null,49193,null,3794,null,44061,null,4298,null,246977,null,6685,null,209510,null,6207,null,15376,null,1960,null,22091,null,2786,null,564217,null,9278,null,421627,null,9094,null,355749,null,9003,null,32639,null,3228,null,33239,null,3133,null,142590,null,5924,null,121788,null,5052,null,7052,null,1253,null,13750,null,1930,null,817740,null,10765,null,636607,null,9965,null,535525,null,9491,null,25734,null,2407,null,75348,null,4405,null,181133,null,5436,null,151469,null,4740,null,6003,null,1222,null,23661,null,2396,null,0400000US09,Connecticut,09
573935,null,890,null,72187,null,4062,null,30308,null,2585,null,20201,null,2035,null,7812,null,1519,null,2295,null,699,null,41879,null,3131,null,35220,null,2901,null,3766,null,983,null,2893,null,845,null,191244,null,5643,null,116258,null,4714,null,105594,null,4644,null,5851,null,1271,null,4813,null,1303,null,74986,null,3499,null,68226,null,3306,null,3418,null,1067,null,3342,null,935,null,160631,null,5018,null,115064,null,4190,null,105756,null,3889,null,4213,null,1049,null,5095,null,1235,null,45567,null,3080,null,42639,null,2990,null,986,null,384,null,1942,null,620,null,149873,null,5228,null,112071,null,4838,null,97164,null,4412,null,2783,null,819,null,12124,null,1368,null,37802,null,2933,null,33622,null,2883,null,1000,null,368,null,3180,null,693,null,0400000US10,Delaware,10
401018,null,843,null,57214,null,3739,null,26014,null,2899,null,17935,null,2668,null,6741,null,1642,null,1338,null,689,null,31200,null,2399,null,27311,null,2107,null,2887,null,1086,null,1002,null,439,null,87444,null,4848,null,49700,null,3789,null,44028,null,3398,null,3342,null,1298,null,2330,null,848,null,37744,null,3169,null,35216,null,2972,null,899,null,391,null,1629,null,799,null,65957,null,4151,null,44442,null,3609,null,38824,null,3353,null,3309,null,985,null,2309,null,784,null,21515,null,2498,null,19382,null,2357,null,965,null,611,null,1168,null,515,null,190403,null,4672,null,156785,null,4441,null,130911,null,3982,null,8644,null,1820,null,17230,null,2300,null,33618,null,2616,null,27914,null,2418,null,2027,null,861,null,3677,null,758,null,0400000US11,District of Columbia,11
12588083,null,7946,null,1899475,null,21006,null,833000,null,16945,null,422868,null,10796,null,329525,null,12213,null,80607,null,6717,null,1066475,null,15083,null,681771,null,13735,null,292950,null,8029,null,91754,null,5226,null,3962460,null,34604,null,2271006,null,28600,null,1682327,null,23623,null,452599,null,13819,null,136080,null,9050,null,1691454,null,17709,null,1375762,null,16115,null,214880,null,8486,null,100812,null,6371,null,3483704,null,31707,null,2331322,null,24110,null,1789330,null,18668,null,401193,null,12086,null,140799,null,7811,null,1152382,null,17142,null,951322,null,15328,null,134210,null,6531,null,66850,null,3950,null,3242444,null,27839,null,2275560,null,23496,null,1668840,null,21201,null,397015,null,11517,null,209705,null,8682,null,966884,null,16328,null,768765,null,13368,null,111686,null,5779,null,86433,null,5936,null,0400000US12,Florida,12
