C05003I_001E,C05003I_001EA,C05003I_001M,C05003I_001MA,C05003I_002E,C05003I_002EA,C05003I_002M,C05003I_002MA,C05003I_003E,C05003I_003EA,C05003I_003M,C05003I_003MA,C05003I_004E,C05003I_004EA,C05003I_004M,C05003I_004MA,C05003I_005E,C05003I_005EA,C05003I_005M,C05003I_005MA,C05003I_006E,C05003I_006EA,C05003I_006M,C05003I_006MA,C05003I_007E,C05003I_007EA,C05003I_007M,C05003I_007MA,C05003I_008E,C05003I_008EA,C05003I_008M,C05003I_008MA,C05003I_009E,C05003I_009EA,C05003I_009M,C05003I_009MA,C05003I_010E,C05003I_010EA,C05003I_010M,C05003I_010MA,C05003I_011E,C05003I_011EA,C05003I_011M,C05003I_011MA,C05003I_012E,C05003I_012EA,C05003I_012M,C05003I_012MA,C05003I_013E,C05003I_013EA,C05003I_013M,C05003I_013MA,C05003I_014E,C05003I_014EA,C05003I_014M,C05003I_014MA,C05003I_015E,C05003I_015EA,C05003I_015M,C05003I_015MA,GEO_ID,NAME,state
119415,null,1324,null,64723,null,2126,null,21668,null,1874,null,18042,null,1865,null,3626,null,1111,null,43055,null,1210,null,10778,null,1533,null,32277,null,1713,null,54692,null,2171,null,23050,null,1779,null,18029,null,1671,null,5021,null,1391,null,31642,null,1258,null,12296,null,1647,null,19346,null,1481,null,0400000US01,Alabama,01
38440,null,799,null,20973,null,1019,null,7236,null,831,null,7051,null,870,null,185,null,175,null,13737,null,825,null,9467,null,1016,null,4270,null,1101,null,17467,null,896,null,6273,null,762,null,6091,null,764,null,182,null,196,null,11194,null,611,null,7295,null,817,null,3899,null,760,null,0400000US02,Alaska,02
1881719,null,1390,null,977387,null,1663,null,361175,null,1506,null,317092,null,4693,null,44083,null,4341,null,616212,null,798,null,278838,null,8486,null,337374,null,8522,null,904332,null,1692,null,341619,null,1466,null,304776,null,4440,null,36843,null,4353,null,562713,null,828,null,282001,null,7446,null,280712,null,7391,null,0400000US04,Arizona,04
146542,null,1151,null,79934,null,2615,null,29303,null,1650,null,23916,null,1962,null,5387,null,1244,null,50631,null,2416,null,14827,null,2577,null,35804,null,2501,null,66608,null,2318,null,28031,null,1401,null,23503,null,1572,null,4528,null,840,null,38577,null,1652,null,11030,null,1588,null,27547,null,1556,null,0400000US05,Arkansas,05
13220888,null,0,*****,6795931,null,1732,null,2348098,null,1623,null,2147354,null,7750,null,200744,null,7863,null,4447833,null,1099,null,1758879,null,21916,null,2688954,null,22141,null,6424957,null,1733,null,2239181,null,1580,null,2055752,null,8304,null,183429,null,8149,null,4185776,null,990,null,1786725,null,18853,null,2399051,null,18672,null,0400000US06,California,06
965884,null,0,*****,509478,null,2259,null,173500,null,1815,null,156723,null,2843,null,16777,null,2678,null,335978,null,1377,null,194964,null,7352,null,141014,null,7006,null,456406,null,2257,null,162971,null,1813,null,148377,null,2581,null,14594,null,2186,null,293435,null,1224,null,191307,null,5095,null,102128,null,5115,null,0400000US08,Colorado,08
403375,null,0,*****,203579,null,1150,null,67565,null,1222,null,63511,null,1608,null,4054,null,1144,null,136014,null,946,null,82275,null,3896,null,53739,null,3749,null,199796,null,1150,null,65093,null,1171,null,61145,null,1406,null,3948,null,1006,null,134703,null,500,null,88498,null,3151,null,46205,null,3142,null,0400000US09,Connecticut,09
56153,null,0,*****,29890,null,694,null,11092,null,636,null,8852,null,1045,null,2240,null,959,null,18798,null,311,null,7871,null,1296,null,10927,null,1336,null,26263,null,693,null,10324,null,636,null,9332,null,744,null,992,null,332,null,15939,null,311,null,8691,null,1268,null,7248,null,1206,null,0400000US10,Delaware,10
49016,null,0,*****,25765,null,432,null,5814,null,431,null,4709,null,690,null,1105,null,604,null,19951,null,0,*****,5213,null,1583,null,14738,null,1583,null,23251,null,432,null,5382,null,432,null,4599,null,611,null,783,null,651,null,17869,null,0,*****,5579,null,1114,null,12290,null,1115,null,0400000US11,District of Columbia,11
3757424,null,1943,null,1905799,null,3000,null,508856,null,2466,null,434790,null,5791,null,74066,null,4992,null,1396943,null,1898,null,474961,null,11110,null,921982,null,11313,null,1851625,null,2725,null,477365,null,2529,null,415905,null,4593,null,61460,null,4086,null,1374260,null,1685,null,493260,null,9729,null,881000,null,9566,null,0400000US12,Florida,12
729116,null,3314,null,414818,null,3721,null,139344,null,3141,null,112473,null,4394,null,26871,null,3443,null,275474,null,2912,null,54043,null,5053,null,221431,null,5679,null,314298,null,3835,null,127946,null,3130,null,107013,null,4225,null,20933,null,3087,null,186352,null,2127,null,52022,null,4134,null,134330,null,4130,null,0400000US13,Georgia,13
105171,null,0,*****,55137,null,926,null,19552,null,876,null,19276,null,829,null,276,null,398,null,35585,null,317,null,29992,null,1369,null,5593,null,1391,null,50034,null,926,null,17934,null,875,null,17662,null,943,null,272,null,299,null,32100,null,318,null,27057,null,1386,null,5043,null,1354,null,0400000US15,Hawaii,15
147427,null,0,*****,78645,null,1453,null,31262,null,1069,null,27386,null,1290,null,3876,null,1091,null,47383,null,777,null,19473,null,1964,null,27910,null,2078,null,68782,null,1454,null,29180,null,1219,null,26707,null,1425,null,2473,null,671,null,39602,null,804,null,21019,null,1704,null,18583,null,1775,null,0400000US16,Idaho,16
