B25081_001E,B25081_001EA,B25081_001M,B25081_001MA,B25081_002E,B25081_002EA,B25081_002M,B25081_002MA,B25081_003E,B25081_003EA,B25081_003M,B25081_003MA,B25081_004E,B25081_004EA,B25081_004M,B25081_004MA,B25081_005E,B25081_005EA,B25081_005M,B25081_005MA,B25081_006E,B25081_006EA,B25081_006M,B25081_006MA,B25081_007E,B25081_007EA,B25081_007M,B25081_007MA,B25081_008E,B25081_008EA,B25081_008M,B25081_008MA,GEO_ID,NAME,state
1287825,null,11794,null,783099,null,11189,null,160809,null,6515,null,49822,null,3170,null,110987,null,4898,null,6521,null,1357,null,615769,null,10303,null,504726,null,7302,null,0400000US01,Alabama,01
149018,null,3290,null,106434,null,3482,null,20868,null,1856,null,6801,null,1251,null,14067,null,1554,null,989,null,506,null,84577,null,3457,null,42584,null,2470,null,0400000US02,Alaska,02
1533145,null,12918,null,1088152,null,14480,null,285088,null,7232,null,81281,null,4228,null,203807,null,6109,null,13043,null,1754,null,790021,null,14407,null,444993,null,8776,null,0400000US04,Arizona,04
746839,null,10273,null,444022,null,9086,null,56070,null,3170,null,20919,null,2189,null,35151,null,2631,null,3194,null,854,null,384758,null,8824,null,302817,null,6609,null,0400000US05,Arkansas,05
7076972,null,24937,null,5381874,null,22097,null,1663563,null,18180,null,472419,null,11433,null,1191144,null,14341,null,107184,null,4818,null,3611127,null,22757,null,1695098,null,14541,null,0400000US06,California,06
1280207,null,11127,null,982672,null,12272,null,319528,null,7321,null,130097,null,5326,null,189431,null,6106,null,13434,null,1652,null,649710,null,11315,null,297535,null,7908,null,0400000US08,Colorado,08
924839,null,7954,null,664729,null,8049,null,205960,null,6079,null,40677,null,2763,null,165283,null,5383,null,6550,null,1278,null,452219,null,7513,null,260110,null,5917,null,0400000US09,Connecticut,09
238141,null,4151,null,169331,null,3858,null,47693,null,2839,null,9307,null,1233,null,38386,null,2728,null,2269,null,788,null,119369,null,4134,null,68810,null,2781,null,0400000US10,Delaware,10
111813,null,2883,null,85774,null,3207,null,23749,null,2089,null,7097,null,1275,null,16652,null,1733,null,1521,null,692,null,60504,null,2903,null,26039,null,2124,null,0400000US11,District of Columbia,11
5005708,null,26411,null,3288932,null,22623,null,846660,null,14308,null,197408,null,7141,null,649252,null,12278,null,37097,null,3195,null,2405175,null,22541,null,1716776,null,17430,null,0400000US12,Florida,12
