C08524_001E,C08524_001EA,C08524_001M,C08524_001MA,C08524_002E,C08524_002EA,C08524_002M,C08524_002MA,C08524_003E,C08524_003EA,C08524_003M,C08524_003MA,C08524_004E,C08524_004EA,C08524_004M,C08524_004MA,C08524_005E,C08524_005EA,C08524_005M,C08524_005MA,C08524_006E,C08524_006EA,C08524_006M,C08524_006MA,C08524_007E,C08524_007EA,C08524_007M,C08524_007MA,C08524_008E,C08524_008EA,C08524_008M,C08524_008MA,C08524_009E,C08524_009EA,C08524_009M,C08524_009MA,C08524_010E,C08524_010EA,C08524_010M,C08524_010MA,C08524_011E,C08524_011EA,C08524_011M,C08524_011MA,C08524_012E,C08524_012EA,C08524_012M,C08524_012MA,C08524_013E,C08524_013EA,C08524_013M,C08524_013MA,C08524_014E,C08524_014EA,C08524_014M,C08524_014MA,C08524_015E,C08524_015EA,C08524_015M,C08524_015MA,C08524_016E,C08524_016EA,C08524_016M,C08524_016MA,C08524_017E,C08524_017EA,C08524_017M,C08524_017MA,C08524_018E,C08524_018EA,C08524_018M,C08524_018MA,C08524_019E,C08524_019EA,C08524_019M,C08524_019MA,C08524_020E,C08524_020EA,C08524_020M,C08524_020MA,C08524_021E,C08524_021EA,C08524_021M,C08524_021MA,C08524_022E,C08524_022EA,C08524_022M,C08524_022MA,C08524_023E,C08524_023EA,C08524_023M,C08524_023MA,C08524_024E,C08524_024EA,C08524_024M,C08524_024MA,C08524_025E,C08524_025EA,C08524_025M,C08524_025MA,C08524_026E,C08524_026EA,C08524_026M,C08524_026MA,C08524_027E,C08524_027EA,C08524_027M,C08524_027MA,C08524_028E,C08524_028EA,C08524_028M,C08524_028MA,C08524_029E,C08524_029EA,C08524_029M,C08524_029MA,C08524_030E,C08524_030EA,C08524_030M,C08524_030MA,C08524_031E,C08524_031EA,C08524_031M,C08524_031MA,C08524_032E,C08524_032EA,C08524_032M,C08524_032MA,C08524_033E,C08524_033EA,C08524_033M,C08524_033MA,C08524_034E,C08524_034EA,C08524_034M,C08524_034MA,C08524_035E,C08524_035EA,C08524_035M,C08524_035MA,C08524_036E,C08524_036EA,C08524_036M,C08524_036MA,C08524_037E,C08524_037EA,C08524_037M,C08524_037MA,C08524_038E,C08524_038EA,C08524_038M,C08524_038MA,C08524_039E,C08524_039EA,C08524_039M,C08524_039MA,C08524_040E,C08524_040EA,C08524_040M,C08524_040MA,C08524_041E,C08524_041EA,C08524_041M,C08524_041MA,C08524_042E,C08524_042EA,C08524_042M,C08524_042MA,C08524_043E,C08524_043EA,C08524_043M,C08524_043MA,C08524_044E,C08524_044EA,C08524_044M,C08524_044MA,C08524_045E,C08524_045EA,C08524_045M,C08524_045MA,C08524_046E,C08524_046EA,C08524_046M,C08524_046MA,C08524_047E,C08524_047EA,C08524_047M,C08524_047MA,C08524_048E,C08524_048EA,C08524_048M,C08524_048MA,GEO_ID,NAME,state
1943541,null,17358,null,598305,null,12328,null,293794,null,9506,null,489940,null,10735,null,14812,null,1906,null,214863,null,7786,null,324888,null,9638,null,6939,null,1537,null,1619932,null,16366,null,516019,null,10673,null,231387,null,8127,null,428960,null,10456,null,9892,null,1651,null,161266,null,6736,null,267438,null,8488,null,4970,null,1228,null,218550,null,8671,null,49810,null,3474,null,38695,null,3323,null,38462,null,3568,null,2752,null,1040,null,44800,null,4253,null,43835,null,3770,null,196,null,190,null,7896,null,1556,null,1939,null,735,null,1742,null,670,null,1713,null,863,null,0,null,267,null,178,null,153,null,2324,null,809,null,0,null,267,null,46618,null,3621,null,10784,null,1471,null,13019,null,2381,null,7322,null,1299,null,697,null,450,null,5331,null,1181,null,7772,null,1468,null,1693,null,955,null,50545,null,3217,null,19753,null,2043,null,8951,null,1517,null,13483,null,1824,null,1471,null,341,null,3288,null,985,null,3519,null,1017,null,80,null,76,null,0400000US01,Alabama,01
335039,null,5319,null,112397,null,4425,null,56880,null,3527,null,74576,null,3990,null,4311,null,965,null,40439,null,3355,null,37610,null,3131,null,8826,null,1314,null,219908,null,5959,null,77070,null,3870,null,36253,null,2962,null,53056,null,3538,null,1549,null,667,null,26770,null,2469,null,20010,null,2424,null,5200,null,1097,null,44627,null,4014,null,14844,null,2180,null,7856,null,1641,null,9623,null,1643,null,986,null,536,null,5636,null,1457,null,5298,null,1318,null,384,null,253,null,4862,null,1054,null,691,null,394,null,1684,null,742,null,875,null,408,null,0,null,267,null,1009,null,412,null,578,null,423,null,25,null,44,null,46033,null,3204,null,13413,null,1805,null,8367,null,1413,null,7665,null,1334,null,1633,null,620,null,5374,null,1136,null,8975,null,1250,null,606,null,387,null,19609,null,2190,null,6379,null,1224,null,2720,null,810,null,3357,null,906,null,143,null,129,null,1650,null,625,null,2749,null,928,null,2611,null,384,null,0400000US02,Alaska,02
2753513,null,16653,null,899413,null,15437,null,498031,null,10826,null,723986,null,12589,null,15916,null,2705,null,336987,null,10337,null,268781,null,8770,null,10399,null,1561,null,2060864,null,19396,null,705091,null,14938,null,344873,null,10169,null,563092,null,12240,null,8202,null,1544,null,232492,null,8082,null,199742,null,7683,null,7372,null,1499,null,371571,null,12327,null,91373,null,5627,null,80346,null,6436,null,76501,null,4145,null,4545,null,2144,null,79323,null,6642,null,38391,null,3788,null,1092,null,518,null,58941,null,5349,null,11331,null,2191,null,18306,null,3397,null,15110,null,2326,null,927,null,740,null,3829,null,1220,null,9438,null,2332,null,0,null,267,null,127571,null,6188,null,30325,null,3152,null,34685,null,3668,null,28860,null,3039,null,1548,null,833,null,15204,null,2812,null,15619,null,2119,null,1330,null,455,null,134566,null,7156,null,61293,null,4951,null,19821,null,2445,null,40423,null,3381,null,694,null,376,null,6139,null,1586,null,5591,null,1560,null,605,null,284,null,0400000US04,Arizona,04
1215761,null,12042,null,362630,null,9688,null,195035,null,7373,null,293223,null,9160,null,13074,null,2039,null,128075,null,5964,null,221790,null,7601,null,1934,null,630,null,981514,null,13162,null,302131,null,8547,null,148887,null,6860,null,250224,null,8036,null,8841,null,1557,null,94527,null,5227,null,175415,null,7197,null,1489,null,591,null,149301,null,6882,null,33360,null,3126,null,27144,null,3005,null,25317,null,2713,null,2087,null,895,null,26440,null,3059,null,34695,null,3982,null,258,null,330,null,5978,null,1387,null,1004,null,515,null,1974,null,827,null,1102,null,589,null,0,null,267,null,435,null,408,null,1463,null,615,null,0,null,267,null,36730,null,3134,null,8950,null,1566,null,8933,null,1637,null,7267,null,1236,null,1405,null,533,null,3261,null,872,null,6727,null,1375,null,187,null,164,null,42238,null,3410,null,17185,null,2012,null,8097,null,1680,null,9313,null,1432,null,741,null,402,null,3412,null,1016,null,3490,null,1085,null,0,null,267,null,0400000US05,Arkansas,05
16419565,null,42800,null,5788597,null,35726,null,2783115,null,25680,null,4180307,null,31296,null,230921,null,11565,null,1522801,null,21184,null,1842864,null,20855,null,70960,null,4004,null,12015759,null,47558,null,4441218,null,35387,null,1837712,null,22879,null,3170519,null,28934,null,105546,null,6815,null,1082511,null,17297,null,1340897,null,19506,null,37356,null,3332,null,1946944,null,27340,null,509335,null,11588,null,357674,null,12820,null,417664,null,12026,null,86495,null,8783,null,292961,null,11948,null,273278,null,10950,null,9537,null,1823,null,840521,null,18991,null,237134,null,9132,null,231145,null,9998,null,207730,null,9066,null,8678,null,2484,null,49333,null,4763,null,106126,null,6256,null,375,null,287,null,828998,null,18285,null,241442,null,8228,null,210212,null,11927,null,190235,null,7393,null,24030,null,3732,null,59211,null,5728,null,91349,null,5158,null,12519,null,1375,null,787343,null,14812,null,359468,null,11449,null,146372,null,6938,null,194159,null,6861,null,6172,null,1827,null,38785,null,3754,null,31214,null,3295,null,11173,null,1560,null,0400000US06,California,06
2435073,null,13940,null,902193,null,13195,null,387395,null,11910,null,611702,null,11714,null,16436,null,2747,null,269356,null,10057,null,231437,null,8539,null,16554,null,1375,null,1817372,null,14380,null,684720,null,11487,null,270487,null,9611,null,471509,null,10375,null,8325,null,1846,null,198120,null,8100,null,175488,null,7361,null,8723,null,1360,null,257325,null,9888,null,71289,null,5450,null,48430,null,4154,null,53902,null,4932,null,3191,null,1443,null,47710,null,4527,null,31373,null,2887,null,1430,null,487,null,82218,null,6419,null,26619,null,2843,null,21228,null,3689,null,21714,null,3263,null,463,null,446,null,6192,null,1784,null,5816,null,1933,null,186,null,182,null,131617,null,5720,null,45649,null,3673,null,30581,null,3017,null,24864,null,2527,null,2216,null,796,null,10365,null,2225,null,11764,null,1780,null,6178,null,316,null,146541,null,6072,null,73916,null,4398,null,16669,null,1946,null,39713,null,3446,null,2241,null,1074,null,6969,null,1451,null,6996,null,1498,null,37,null,61,null,0400000US08,Colorado,08
1709091,null,12320,null,661012,null,9867,null,283359,null,8780,null,436001,null,9319,null,2979,null,1048,null,140764,null,6599,null,180146,null,6729,null,4830,null,711,null,1379664,null,12571,null,553964,null,9262,null,210235,null,7495,null,355936,null,8271,null,886,null,477,null,112083,null,6000,null,145193,null,6592,null,1367,null,504,null,136268,null,7251,null,39543,null,3135,null,29704,null,3249,null,28310,null,2749,null,1111,null,591,null,17566,null,2875,null,19563,null,2344,null,471,null,301,null,53206,null,4277,null,12987,null,1706,null,15923,null,2234,null,17342,null,2575,null,0,null,267,null,1591,null,703,null,5142,null,1257,null,221,null,254,null,74862,null,4878,null,20593,null,2112,null,19124,null,2765,null,17585,null,1908,null,881,null,629,null,6423,null,2041,null,7707,null,1766,null,2549,null,500,null,65091,null,3752,null,33925,null,2583,null,8373,null,1465,null,16828,null,1799,null,101,null,97,null,3101,null,934,null,2541,null,872,null,222,null,258,null,0400000US09,Connecticut,09
413937,null,8689,null,153655,null,5886,null,62723,null,4857,null,111208,null,4674,null,1713,null,540,null,42253,null,3402,null,41680,null,3593,null,705,null,433,null,332193,null,8821,null,127480,null,5179,null,45213,null,4247,null,90542,null,4140,null,1269,null,520,null,33654,null,3158,null,33432,null,3419,null,603,null,437,null,44033,null,3766,null,12989,null,1659,null,8377,null,1663,null,10846,null,1866,null,282,null,241,null,6602,null,1336,null,4888,null,1186,null,49,null,85,null,9156,null,1670,null,2191,null,881,null,3007,null,1050,null,2256,null,750,null,0,null,267,null,81,null,115,null,1621,null,737,null,0,null,267,null,15713,null,2101,null,3964,null,946,null,4155,null,1238,null,4914,null,1199,null,59,null,102,null,1288,null,676,null,1280,null,552,null,53,null,93,null,12842,null,1913,null,7031,null,1365,null,1971,null,722,null,2650,null,841,null,103,null,94,null,628,null,454,null,459,null,384,null,0,null,267,null,0400000US10,Delaware,10
717403,null,11693,null,433350,null,10528,null,92824,null,5507,null,123594,null,5965,null,236,null,206,null,32978,null,3770,null,27260,null,3492,null,7161,null,1645,null,319928,null,9204,null,187040,null,7358,null,42386,null,3783,null,50822,null,4401,null,131,null,160,null,20775,null,2757,null,15947,null,2341,null,2827,null,988,null,76172,null,4854,null,46985,null,3824,null,7517,null,1833,null,10754,null,1877,null,0,null,267,null,5919,null,1480,null,3988,null,1268,null,1009,null,419,null,258815,null,8437,null,160822,null,6945,null,34927,null,3676,null,51623,null,3761,null,57,null,97,null,4528,null,1479,null,5944,null,1556,null,914,null,419,null,47880,null,3484,null,30253,null,2434,null,6127,null,1581,null,8201,null,1456,null,48,null,79,null,1446,null,960,null,1046,null,507,null,759,null,700,null,14608,null,2387,null,8250,null,1333,null,1867,null,757,null,2194,null,957,null,0,null,267,null,310,null,294,null,335,null,209,null,1652,null,1107,null,0400000US11,District of Columbia,11
8142524,null,32580,null,2606557,null,26884,null,1489982,null,22185,null,2301844,null,25266,null,54521,null,5288,null,901855,null,18702,null,761024,null,15251,null,26741,null,2350,null,6490021,null,32503,null,2179383,null,23313,null,1118735,null,18614,null,1891008,null,23769,null,22438,null,3110,null,651736,null,15932,null,608140,null,13752,null,18581,null,2158,null,857838,null,19037,null,200458,null,9006,null,185143,null,10368,null,200736,null,7393,null,18057,null,3530,null,168698,null,10086,null,83140,null,5741,null,1606,null,818,null,155945,null,8649,null,19276,null,2495,null,59980,null,5984,null,38917,null,3665,null,5094,null,3114,null,14439,null,2809,null,18176,null,2391,null,63,null,106,null,297950,null,12595,null,60238,null,5375,null,86894,null,6448,null,65696,null,4674,null,4542,null,1263,null,42369,null,5421,null,35157,null,3655,null,3054,null,696,null,340770,null,9629,null,147202,null,6704,null,39230,null,4008,null,105487,null,4990,null,4390,null,1163,null,24613,null,3621,null,16411,null,2040,null,3437,null,549,null,0400000US12,Florida,12
