C15002C_001E,C15002C_001EA,C15002C_001M,C15002C_001MA,C15002C_002E,C15002C_002EA,C15002C_002M,C15002C_002MA,C15002C_003E,C15002C_003EA,C15002C_003M,C15002C_003MA,C15002C_004E,C15002C_004EA,C15002C_004M,C15002C_004MA,C15002C_005E,C15002C_005EA,C15002C_005M,C15002C_005MA,C15002C_006E,C15002C_006EA,C15002C_006M,C15002C_006MA,C15002C_007E,C15002C_007EA,C15002C_007M,C15002C_007MA,C15002C_008E,C15002C_008EA,C15002C_008M,C15002C_008MA,C15002C_009E,C15002C_009EA,C15002C_009M,C15002C_009MA,C15002C_010E,C15002C_010EA,C15002C_010M,C15002C_010MA,C15002C_011E,C15002C_011EA,C15002C_011M,C15002C_011MA,GEO_ID,NAME,state
13859,null,1650,null,6638,null,1096,null,2285,null,782,null,1518,null,532,null,2087,null,624,null,748,null,364,null,7221,null,1181,null,2014,null,785,null,2540,null,794,null,2001,null,531,null,666,null,349,null,0400000US01,Alabama,01
51087,null,1702,null,24490,null,1426,null,6429,null,1002,null,11882,null,1257,null,5427,null,976,null,752,null,337,null,26597,null,1215,null,5122,null,908,null,11899,null,1293,null,7931,null,1113,null,1645,null,483,null,0400000US02,Alaska,02
151639,null,3169,null,71801,null,2196,null,19376,null,1946,null,27831,null,2053,null,18814,null,2170,null,5780,null,1158,null,79838,null,1897,null,23818,null,2157,null,24654,null,2235,null,23719,null,2518,null,7647,null,1369,null,0400000US04,Arizona,04
11010,null,1484,null,6153,null,1064,null,1797,null,715,null,1417,null,502,null,1715,null,579,null,1224,null,563,null,4857,null,867,null,658,null,302,null,1369,null,465,null,1730,null,550,null,1100,null,462,null,0400000US05,Arkansas,05
175348,null,6810,null,85044,null,4570,null,20213,null,2375,null,24175,null,2810,null,27735,null,2624,null,12921,null,1725,null,90304,null,4054,null,18505,null,2165,null,26954,null,2746,null,32856,null,2686,null,11989,null,1728,null,0400000US06,California,06
29229,null,2895,null,14699,null,1902,null,3490,null,959,null,4372,null,1018,null,4347,null,1028,null,2490,null,830,null,14530,null,2102,null,2351,null,904,null,4669,null,1101,null,5155,null,1260,null,2355,null,716,null,0400000US08,Colorado,08
5370,null,1113,null,2903,null,707,null,1115,null,627,null,457,null,288,null,965,null,514,null,366,null,238,null,2467,null,857,null,486,null,508,null,665,null,336,null,653,null,342,null,663,null,366,null,0400000US09,Connecticut,09
1648,null,449,null,893,null,351,null,158,null,153,null,227,null,188,null,436,null,297,null,72,null,92,null,755,null,284,null,101,null,94,null,247,null,267,null,391,null,231,null,16,null,22,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
38414,null,2805,null,18829,null,2213,null,4533,null,1123,null,5246,null,1175,null,6307,null,1116,null,2743,null,821,null,19585,null,2070,null,4938,null,1351,null,4509,null,1010,null,6542,null,1320,null,3596,null,869,null,0400000US12,Florida,12
