B22004_001E,B22004_001EA,B22004_001M,B22004_001MA,B22004_002E,B22004_002EA,B22004_002M,B22004_002MA,B22004_003E,B22004_003EA,B22004_003M,B22004_003MA,B22004_004E,B22004_004EA,B22004_004M,B22004_004MA,B22004_005E,B22004_005EA,B22004_005M,B22004_005MA,B22004_006E,B22004_006EA,B22004_006M,B22004_006MA,B22004_007E,B22004_007EA,B22004_007M,B22004_007MA,GEO_ID,NAME,state
1816313,null,9214,null,177891,null,5673,null,101948,null,5013,null,75943,null,4330,null,1638422,null,10835,null,549572,null,9631,null,1088850,null,11291,null,0400000US01,Alabama,01
236421,null,2731,null,17462,null,1903,null,9183,null,1447,null,8279,null,1365,null,218959,null,2847,null,57381,null,3119,null,161578,null,3632,null,0400000US02,Alaska,02
2251546,null,9458,null,155043,null,6571,null,76730,null,5124,null,78313,null,4893,null,2096503,null,11070,null,509547,null,8165,null,1586956,null,12618,null,0400000US04,Arizona,04
1102734,null,8133,null,131688,null,5916,null,74378,null,4425,null,57310,null,3694,null,971046,null,8082,null,332037,null,7203,null,639009,null,8491,null,0400000US05,Arkansas,05
12200672,null,20297,null,525622,null,12422,null,224905,null,6758,null,300717,null,10644,null,11675050,null,21931,null,2850169,null,19922,null,8824881,null,26842,null,0400000US06,California,06
1859965,null,9746,null,91624,null,5510,null,48734,null,3396,null,42890,null,3571,null,1768341,null,10801,null,361490,null,8002,null,1406851,null,13206,null,0400000US08,Colorado,08
1320714,null,5183,null,74637,null,4907,null,44796,null,3282,null,29841,null,2986,null,1246077,null,6962,null,280707,null,6243,null,965370,null,8021,null,0400000US09,Connecticut,09
328477,null,3041,null,23266,null,2821,null,11685,null,1688,null,11581,null,2011,null,305211,null,3513,null,74530,null,3092,null,230681,null,4217,null,0400000US10,Delaware,10
251039,null,2911,null,23092,null,2442,null,11963,null,1864,null,11129,null,1755,null,227947,null,3498,null,42475,null,3060,null,185472,null,4163,null,0400000US11,District of Columbia,11
7088960,null,21361,null,412606,null,9989,null,235531,null,7748,null,177075,null,7625,null,6676354,null,23148,null,1731550,null,18092,null,4944804,null,23165,null,0400000US12,Florida,12
3417115,null,14784,null,271505,null,8163,null,142124,null,5919,null,129381,null,6109,null,3145610,null,15002,null,761421,null,12054,null,2384189,null,18953,null,0400000US13,Georgia,13
439685,null,3621,null,26917,null,2534,null,17280,null,2229,null,9637,null,1604,null,412768,null,4088,null,98602,null,4744,null,314166,null,5645,null,0400000US15,Hawaii,15
560567,null,4368,null,34588,null,2959,null,17662,null,2479,null,16926,null,2022,null,525979,null,5177,null,135210,null,4425,null,390769,null,6830,null,0400000US16,Idaho,16
4759579,null,13538,null,382846,null,9761,null,186745,null,6519,null,196101,null,7827,null,4376733,null,17233,null,969693,null,12780,null,3407040,null,18509,null,0400000US17,Illinois,17
2462278,null,10822,null,204735,null,5946,null,116526,null,4239,null,88209,null,5101,null,2257543,null,11412,null,574909,null,10535,null,1682634,null,12798,null,0400000US18,Indiana,18
