B05003A_001E,B05003A_001EA,B05003A_001M,B05003A_001MA,B05003A_002E,B05003A_002EA,B05003A_002M,B05003A_002MA,B05003A_003E,B05003A_003EA,B05003A_003M,B05003A_003MA,B05003A_004E,B05003A_004EA,B05003A_004M,B05003A_004MA,B05003A_005E,B05003A_005EA,B05003A_005M,B05003A_005MA,B05003A_006E,B05003A_006EA,B05003A_006M,B05003A_006MA,B05003A_007E,B05003A_007EA,B05003A_007M,B05003A_007MA,B05003A_008E,B05003A_008EA,B05003A_008M,B05003A_008MA,B05003A_009E,B05003A_009EA,B05003A_009M,B05003A_009MA,B05003A_010E,B05003A_010EA,B05003A_010M,B05003A_010MA,B05003A_011E,B05003A_011EA,B05003A_011M,B05003A_011MA,B05003A_012E,B05003A_012EA,B05003A_012M,B05003A_012MA,B05003A_013E,B05003A_013EA,B05003A_013M,B05003A_013MA,B05003A_014E,B05003A_014EA,B05003A_014M,B05003A_014MA,B05003A_015E,B05003A_015EA,B05003A_015M,B05003A_015MA,B05003A_016E,B05003A_016EA,B05003A_016M,B05003A_016MA,B05003A_017E,B05003A_017EA,B05003A_017M,B05003A_017MA,B05003A_018E,B05003A_018EA,B05003A_018M,B05003A_018MA,B05003A_019E,B05003A_019EA,B05003A_019M,B05003A_019MA,B05003A_020E,B05003A_020EA,B05003A_020M,B05003A_020MA,B05003A_021E,B05003A_021EA,B05003A_021M,B05003A_021MA,B05003A_022E,B05003A_022EA,B05003A_022M,B05003A_022MA,B05003A_023E,B05003A_023EA,B05003A_023M,B05003A_023MA,GEO_ID,NAME,state
3254107,null,5821,null,1593073,null,3063,null,367990,null,2127,null,364695,null,2352,null,3295,null,1056,null,649,null,482,null,2646,null,1019,null,1225083,null,2690,null,1191468,null,2575,null,33615,null,2768,null,7037,null,1574,null,26578,null,2933,null,1661034,null,4565,null,354092,null,3700,null,348773,null,3430,null,5319,null,1670,null,767,null,466,null,4552,null,1643,null,1306942,null,2085,null,1277312,null,2831,null,29630,null,2534,null,10420,null,1546,null,19210,null,2061,null,0400000US01,Alabama,01
465234,null,2534,null,244917,null,1564,null,56515,null,972,null,56110,null,963,null,405,null,217,null,238,null,161,null,167,null,148,null,188402,null,1125,null,180237,null,2068,null,8165,null,1842,null,3986,null,895,null,4179,null,1629,null,220317,null,1443,null,51448,null,749,null,50733,null,961,null,715,null,718,null,218,null,267,null,497,null,571,null,168869,null,1063,null,160387,null,1716,null,8482,null,1400,null,4018,null,954,null,4464,null,889,null,0400000US02,Alaska,02
4841990,null,21733,null,2415434,null,13502,null,587737,null,7997,null,555478,null,8049,null,32259,null,3514,null,3098,null,992,null,29161,null,3556,null,1827697,null,8231,null,1539766,null,9838,null,287931,null,10867,null,82007,null,4938,null,205924,null,10529,null,2426556,null,11612,null,557190,null,6664,null,530849,null,6914,null,26341,null,3660,null,2500,null,1099,null,23841,null,3615,null,1869366,null,7434,null,1608118,null,8684,null,261248,null,8709,null,95189,null,5643,null,166059,null,6918,null,0400000US04,Arizona,04
2226758,null,5666,null,1093329,null,3887,null,254181,null,2464,null,251004,null,2466,null,3177,null,1252,null,637,null,576,null,2540,null,922,null,839148,null,2663,null,813222,null,2351,null,25926,null,2791,null,6268,null,1307,null,19658,null,2419,null,1133429,null,3938,null,245598,null,2587,null,242447,null,2457,null,3151,null,868,null,168,null,170,null,2983,null,835,null,887831,null,2158,null,865493,null,1885,null,22338,null,2372,null,7521,null,1442,null,14817,null,1909,null,0400000US05,Arkansas,05
22026736,null,61328,null,11016863,null,35928,null,2627263,null,18560,null,2491224,null,18811,null,136039,null,7322,null,17272,null,2433,null,118767,null,6888,null,8389600,null,24416,null,6488976,null,22186,null,1900624,null,27073,null,727609,null,14969,null,1173015,null,23283,null,11009873,null,34087,null,2506667,null,17995,null,2378208,null,17035,null,128459,null,7403,null,17481,null,2569,null,110978,null,6880,null,8503206,null,21431,null,6631295,null,20442,null,1871911,null,19803,null,835642,null,14331,null,1036269,null,18246,null,0400000US06,California,06
4061059,null,15114,null,2043271,null,9325,null,478915,null,4984,null,461979,null,4979,null,16936,null,2799,null,1028,null,503,null,15908,null,2768,null,1564356,null,6329,null,1426656,null,7320,null,137700,null,7230,null,37451,null,3474,null,100249,null,6680,null,2017788,null,7899,null,454784,null,4396,null,440094,null,4521,null,14690,null,2245,null,1183,null,441,null,13507,null,2198,null,1563004,null,5510,null,1438869,null,6763,null,124135,null,6793,null,41537,null,3986,null,82598,null,5415,null,0400000US08,Colorado,08
2786401,null,9488,null,1355785,null,5364,null,309160,null,2885,null,300680,null,3310,null,8480,null,1641,null,2902,null,731,null,5578,null,1567,null,1046625,null,4475,null,941531,null,5582,null,105094,null,6021,null,50953,null,3374,null,54141,null,4647,null,1430616,null,5467,null,292037,null,2764,null,284313,null,2706,null,7724,null,1400,null,2682,null,903,null,5042,null,1189,null,1138579,null,3656,null,1027018,null,5636,null,111561,null,5131,null,63570,null,4228,null,47991,null,3435,null,0400000US09,Connecticut,09
625354,null,2961,null,303880,null,2116,null,68522,null,1435,null,66729,null,1622,null,1793,null,906,null,71,null,118,null,1722,null,857,null,235358,null,1130,null,223454,null,1538,null,11904,null,1894,null,5414,null,1156,null,6490,null,1546,null,321474,null,1565,null,64249,null,1215,null,63388,null,1176,null,861,null,388,null,331,null,286,null,530,null,284,null,257225,null,893,null,245017,null,1693,null,12208,null,1600,null,6165,null,1013,null,6043,null,1422,null,0400000US10,Delaware,10
210332,null,3230,null,105333,null,2064,null,13717,null,831,null,12891,null,856,null,826,null,536,null,140,null,169,null,686,null,466,null,91616,null,1614,null,77072,null,2134,null,14544,null,2147,null,4004,null,1166,null,10540,null,1902,null,104999,null,1757,null,11769,null,736,null,11373,null,720,null,396,null,311,null,136,null,217,null,260,null,234,null,93230,null,1364,null,78591,null,2055,null,14639,null,2149,null,4788,null,1265,null,9851,null,1604,null,0400000US11,District of Columbia,11
13921401,null,25282,null,6840479,null,16391,null,1401017,null,7511,null,1326585,null,9870,null,74432,null,5373,null,10794,null,2103,null,63638,null,4521,null,5439462,null,12256,null,4443986,null,13753,null,995476,null,13306,null,438522,null,9863,null,556954,null,15147,null,7080922,null,13669,null,1328450,null,7130,null,1266186,null,7587,null,62264,null,4587,null,10100,null,1929,null,52164,null,4422,null,5752472,null,10537,null,4699134,null,15127,null,1053338,null,14950,null,545577,null,12786,null,507761,null,12468,null,0400000US12,Florida,12
5918880,null,14822,null,2939748,null,10779,null,725117,null,5771,null,706235,null,5353,null,18882,null,3381,null,1418,null,636,null,17464,null,3247,null,2214631,null,7796,null,2051706,null,4536,null,162925,null,8956,null,40108,null,3808,null,122817,null,8081,null,2979132,null,8206,null,683805,null,5474,null,667338,null,5238,null,16467,null,2983,null,2298,null,732,null,14169,null,2754,null,2295327,null,4460,null,2161493,null,4992,null,133834,null,5992,null,46783,null,3203,null,87051,null,5270,null,0400000US13,Georgia,13
341779,null,3685,null,184705,null,2293,null,31334,null,1507,null,30536,null,1488,null,798,null,481,null,228,null,208,null,570,null,445,null,153371,null,1601,null,143532,null,1886,null,9839,null,1780,null,4266,null,1010,null,5573,null,1473,null,157074,null,2187,null,28477,null,1249,null,27564,null,1387,null,913,null,427,null,221,null,183,null,692,null,409,null,128597,null,1509,null,116278,null,1927,null,12319,null,1734,null,5961,null,1148,null,6358,null,1437,null,0400000US15,Hawaii,15
1386347,null,4538,null,695740,null,3139,null,186887,null,1888,null,183110,null,1730,null,3777,null,989,null,393,null,202,null,3384,null,975,null,508853,null,1797,null,478432,null,2624,null,30421,null,2742,null,9759,null,1820,null,20662,null,2594,null,690607,null,2705,null,177111,null,1665,null,174703,null,1804,null,2408,null,681,null,427,null,280,null,1981,null,649,null,513496,null,1715,null,489709,null,2053,null,23787,null,2257,null,8237,null,1188,null,15550,null,1822,null,0400000US16,Idaho,16
9057076,null,18787,null,4466534,null,11806,null,1036777,null,5813,null,1007816,null,6628,null,28961,null,3490,null,7997,null,1976,null,20964,null,2889,null,3429757,null,8715,null,3061807,null,9919,null,367950,null,11693,null,175642,null,6727,null,192308,null,8502,null,4590542,null,9285,null,982929,null,5190,null,957688,null,5462,null,25241,null,3077,null,6459,null,1533,null,18782,null,2511,null,3607613,null,6965,null,3251397,null,9976,null,356216,null,9985,null,188266,null,7566,null,167950,null,7643,null,0400000US17,Illinois,17
5436898,null,8556,null,2675625,null,5216,null,658671,null,3067,null,653877,null,3107,null,4794,null,1135,null,1538,null,822,null,3256,null,899,null,2016954,null,3650,null,1963758,null,3937,null,53196,null,3721,null,20482,null,2279,null,32714,null,2918,null,2761273,null,4964,null,624721,null,3157,null,618670,null,3114,null,6051,null,1380,null,1547,null,635,null,4504,null,1258,null,2136552,null,2944,null,2083929,null,3192,null,52623,null,3836,null,24257,null,2346,null,28366,null,2897,null,0400000US18,Indiana,18
