B10061_001E,B10061_001EA,B10061_001M,B10061_001MA,B10061_002E,B10061_002EA,B10061_002M,B10061_002MA,B10061_003E,B10061_003EA,B10061_003M,B10061_003MA,B10061_004E,B10061_004EA,B10061_004M,B10061_004MA,B10061_005E,B10061_005EA,B10061_005M,B10061_005MA,B10061_006E,B10061_006EA,B10061_006M,B10061_006MA,B10061_007E,B10061_007EA,B10061_007M,B10061_007MA,B10061_008E,B10061_008EA,B10061_008M,B10061_008MA,B10061_009E,B10061_009EA,B10061_009M,B10061_009MA,B10061_010E,B10061_010EA,B10061_010M,B10061_010MA,B10061_011E,B10061_011EA,B10061_011M,B10061_011MA,GEO_ID,NAME,state
109141,null,5275,null,85630,null,4519,null,45870,null,4138,null,30603,null,3489,null,15267,null,2336,null,39760,null,3223,null,23511,null,3073,null,12924,null,2074,null,9977,null,1958,null,2947,null,885,null,10587,null,2206,null,0400000US01,Alabama,01
15875,null,2786,null,12363,null,2479,null,4223,null,1083,null,2236,null,662,null,1987,null,688,null,8140,null,2068,null,3512,null,1125,null,1730,null,849,null,1527,null,852,null,203,null,133,null,1782,null,758,null,0400000US02,Alaska,02
149205,null,8551,null,111717,null,6913,null,46532,null,4606,null,31200,null,3973,null,15332,null,2309,null,65185,null,5996,null,37488,null,4194,null,16742,null,3229,null,13312,null,3003,null,3430,null,1107,null,20746,null,3105,null,0400000US04,Arizona,04
68828,null,5019,null,50011,null,3990,null,29324,null,3047,null,19516,null,2410,null,9808,null,1740,null,20687,null,2628,null,18817,null,2671,null,11024,null,2302,null,8205,null,1812,null,2819,null,937,null,7793,null,1834,null,0400000US05,Arkansas,05
963255,null,17643,null,656033,null,13276,null,179928,null,7914,null,105070,null,6126,null,74858,null,4701,null,476105,null,11468,null,307222,null,12720,null,94754,null,5960,null,67524,null,5278,null,27230,null,2909,null,212468,null,10707,null,0400000US06,California,06
80887,null,5552,null,58933,null,5357,null,24392,null,3274,null,16853,null,3031,null,7539,null,1124,null,34541,null,3888,null,21954,null,3920,null,10570,null,2625,null,7815,null,2521,null,2755,null,1078,null,11384,null,2221,null,0400000US08,Colorado,08
59095,null,5080,null,44901,null,4473,null,13980,null,2448,null,8470,null,1663,null,5510,null,1434,null,30921,null,3255,null,14194,null,2430,null,6274,null,1481,null,4777,null,1266,null,1497,null,574,null,7920,null,1849,null,0400000US09,Connecticut,09
18080,null,2778,null,13471,null,2007,null,5112,null,1062,null,3573,null,807,null,1539,null,655,null,8359,null,1713,null,4609,null,1605,null,3061,null,1286,null,2049,null,951,null,1012,null,703,null,1548,null,781,null,0400000US10,Delaware,10
13258,null,2201,null,7850,null,1728,null,3567,null,1165,null,1630,null,729,null,1937,null,790,null,4283,null,1279,null,5408,null,1643,null,2597,null,1217,null,2182,null,1173,null,415,null,241,null,2811,null,1109,null,0400000US11,District of Columbia,11
396952,null,14654,null,299430,null,13220,null,109956,null,6585,null,65645,null,5265,null,44311,null,3779,null,189474,null,10418,null,97522,null,7855,null,41301,null,4592,null,31873,null,3662,null,9428,null,2017,null,56221,null,5701,null,0400000US12,Florida,12
225636,null,9769,null,170051,null,8665,null,74233,null,5803,null,46833,null,4264,null,27400,null,3034,null,95818,null,5944,null,55585,null,5243,null,25500,null,3033,null,19974,null,2921,null,5526,null,1352,null,30085,null,3992,null,0400000US13,Georgia,13
48288,null,3594,null,38877,null,3649,null,9100,null,1580,null,3954,null,1029,null,5146,null,1246,null,29777,null,3245,null,9411,null,1739,null,3647,null,1072,null,2737,null,942,null,910,null,422,null,5764,null,1421,null,0400000US15,Hawaii,15
18959,null,2525,null,15018,null,2185,null,6614,null,1171,null,4325,null,922,null,2289,null,713,null,8404,null,1659,null,3941,null,1273,null,1770,null,757,null,1429,null,653,null,341,null,230,null,2171,null,880,null,0400000US16,Idaho,16
263192,null,8196,null,203316,null,8113,null,74356,null,5431,null,47704,null,4664,null,26652,null,2868,null,128960,null,6641,null,59876,null,4917,null,27471,null,3000,null,21188,null,2777,null,6283,null,1326,null,32405,null,3646,null,0400000US17,Illinois,17
102978,null,5713,null,83513,null,5199,null,37937,null,3748,null,25674,null,2864,null,12263,null,1688,null,45576,null,4236,null,19465,null,2527,null,11107,null,1923,null,9043,null,1699,null,2064,null,731,null,8358,null,1628,null,0400000US18,Indiana,18
30311,null,2756,null,25315,null,2544,null,10929,null,1716,null,7277,null,1257,null,3652,null,1004,null,14386,null,2087,null,4996,null,1335,null,2012,null,832,null,1767,null,809,null,245,null,199,null,2984,null,1036,null,0400000US19,Iowa,19
42157,null,3860,null,34111,null,3377,null,14953,null,2229,null,10182,null,1798,null,4771,null,1069,null,19158,null,2557,null,8046,null,1677,null,3795,null,1287,null,2995,null,1198,null,800,null,340,null,4251,null,1031,null,0400000US20,Kansas,20
