B18020B_001E,B18020B_001EA,B18020B_001M,B18020B_001MA,B18020B_002E,B18020B_002EA,B18020B_002M,B18020B_002MA,B18020B_003E,B18020B_003EA,B18020B_003M,B18020B_003MA,B18020B_004E,B18020B_004EA,B18020B_004M,B18020B_004MA,B18020B_005E,B18020B_005EA,B18020B_005M,B18020B_005MA,B18020B_006E,B18020B_006EA,B18020B_006M,B18020B_006MA,B18020B_007E,B18020B_007EA,B18020B_007M,B18020B_007MA,B18020B_008E,B18020B_008EA,B18020B_008M,B18020B_008MA,B18020B_009E,B18020B_009EA,B18020B_009M,B18020B_009MA,B18020B_010E,B18020B_010EA,B18020B_010M,B18020B_010MA,B18020B_011E,B18020B_011EA,B18020B_011M,B18020B_011MA,B18020B_012E,B18020B_012EA,B18020B_012M,B18020B_012MA,B18020B_013E,B18020B_013EA,B18020B_013M,B18020B_013MA,B18020B_014E,B18020B_014EA,B18020B_014M,B18020B_014MA,B18020B_015E,B18020B_015EA,B18020B_015M,B18020B_015MA,B18020B_016E,B18020B_016EA,B18020B_016M,B18020B_016MA,B18020B_017E,B18020B_017EA,B18020B_017M,B18020B_017MA,B18020B_018E,B18020B_018EA,B18020B_018M,B18020B_018MA,B18020B_019E,B18020B_019EA,B18020B_019M,B18020B_019MA,B18020B_020E,B18020B_020EA,B18020B_020M,B18020B_020MA,B18020B_021E,B18020B_021EA,B18020B_021M,B18020B_021MA,B18020B_022E,B18020B_022EA,B18020B_022M,B18020B_022MA,B18020B_023E,B18020B_023EA,B18020B_023M,B18020B_023MA,B18020B_024E,B18020B_024EA,B18020B_024M,B18020B_024MA,B18020B_025E,B18020B_025EA,B18020B_025M,B18020B_025MA,B18020B_026E,B18020B_026EA,B18020B_026M,B18020B_026MA,B18020B_027E,B18020B_027EA,B18020B_027M,B18020B_027MA,B18020B_028E,B18020B_028EA,B18020B_028M,B18020B_028MA,B18020B_029E,B18020B_029EA,B18020B_029M,B18020B_029MA,B18020B_030E,B18020B_030EA,B18020B_030M,B18020B_030MA,B18020B_031E,B18020B_031EA,B18020B_031M,B18020B_031MA,GEO_ID,NAME,state
767683,null,5329,null,164941,null,6314,null,78003,null,4447,null,19411,null,2690,null,4608,null,1528,null,14803,null,2506,null,58592,null,3339,null,14079,null,1741,null,44513,null,2872,null,86938,null,4216,null,18010,null,2273,null,4830,null,1256,null,13180,null,1986,null,68928,null,3753,null,15927,null,2096,null,53001,null,3329,null,602742,null,8261,null,268432,null,5181,null,138472,null,4074,null,82215,null,4996,null,56257,null,3479,null,129960,null,3520,null,107100,null,3600,null,22860,null,2111,null,334310,null,5312,null,165179,null,3745,null,97247,null,4122,null,67932,null,3569,null,169131,null,4079,null,131630,null,4235,null,37501,null,2519,null,0400000US01,Alabama,01
18208,null,1673,null,1921,null,808,null,723,null,390,null,0,null,237,null,0,null,237,null,0,null,237,null,723,null,390,null,460,null,375,null,263,null,251,null,1198,null,651,null,209,null,338,null,0,null,237,null,209,null,338,null,989,null,576,null,360,null,341,null,629,null,490,null,16287,null,1676,null,10004,null,1507,null,5756,null,1319,null,3784,null,1086,null,1972,null,973,null,4248,null,1031,null,3605,null,958,null,643,null,540,null,6283,null,965,null,3306,null,780,null,1777,null,668,null,1529,null,563,null,2977,null,607,null,2534,null,635,null,443,null,368,null,0400000US02,Alaska,02
137211,null,3144,null,20725,null,3024,null,9737,null,1803,null,2162,null,848,null,693,null,502,null,1469,null,657,null,7575,null,1650,null,2094,null,897,null,5481,null,1329,null,10988,null,1987,null,3254,null,1435,null,701,null,435,null,2553,null,1292,null,7734,null,1396,null,1277,null,518,null,6457,null,1313,null,116486,null,3463,null,60671,null,2379,null,30570,null,2048,null,19291,null,2422,null,11279,null,1884,null,30101,null,1615,null,24526,null,1871,null,5575,null,1172,null,55815,null,2387,null,26379,null,1885,null,16845,null,1929,null,9534,null,1714,null,29436,null,1429,null,22205,null,1748,null,7231,null,1302,null,0400000US04,Arizona,04
270062,null,3178,null,57817,null,4155,null,27226,null,3048,null,6475,null,1888,null,1293,null,730,null,5182,null,1592,null,20751,null,2392,null,5393,null,1225,null,15358,null,1989,null,30591,null,2794,null,5034,null,1091,null,1478,null,685,null,3556,null,1011,null,25557,null,2514,null,5681,null,1073,null,19876,null,2290,null,212245,null,4219,null,94703,null,3245,null,49857,null,2607,null,28130,null,3014,null,21727,null,2297,null,44846,null,2490,null,34773,null,2592,null,10073,null,1830,null,117542,null,3011,null,61343,null,2175,null,37802,null,2693,null,23541,null,2163,null,56199,null,2669,null,42778,null,2802,null,13421,null,2146,null,0400000US05,Arkansas,05
1434758,null,8041,null,235225,null,9424,null,106902,null,6262,null,28006,null,3251,null,8234,null,1798,null,19772,null,2645,null,78896,null,4666,null,19599,null,2438,null,59297,null,4260,null,128323,null,6010,null,26760,null,3431,null,6703,null,1490,null,20057,null,3175,null,101563,null,4568,null,30066,null,2666,null,71497,null,4252,null,1199533,null,9896,null,569286,null,7374,null,262600,null,5623,null,150074,null,5954,null,112526,null,5091,null,306686,null,5265,null,249574,null,5883,null,57112,null,4255,null,630247,null,6728,null,286379,null,5012,null,161363,null,5265,null,125016,null,4762,null,343868,null,4547,null,264796,null,5034,null,79072,null,4997,null,0400000US06,California,06
116332,null,2995,null,15107,null,1779,null,6503,null,1371,null,1789,null,738,null,1181,null,611,null,608,null,429,null,4714,null,1140,null,1646,null,745,null,3068,null,905,null,8604,null,1282,null,1859,null,868,null,554,null,434,null,1305,null,717,null,6745,null,1095,null,2285,null,873,null,4460,null,1003,null,101225,null,3262,null,54387,null,2398,null,24678,null,1890,null,16466,null,2098,null,8212,null,1465,null,29709,null,1636,null,25415,null,1790,null,4294,null,1237,null,46838,null,2323,null,22010,null,1760,null,13860,null,1732,null,8150,null,1613,null,24828,null,1698,null,20355,null,1854,null,4473,null,974,null,0400000US08,Colorado,08
207271,null,3466,null,26266,null,2577,null,13038,null,1670,null,4382,null,1050,null,1620,null,767,null,2762,null,893,null,8656,null,1437,null,2364,null,798,null,6292,null,1297,null,13228,null,1870,null,2537,null,886,null,1478,null,762,null,1059,null,517,null,10691,null,1605,null,3016,null,930,null,7675,null,1572,null,181005,null,3860,null,81422,null,2459,null,37949,null,1859,null,25438,null,2214,null,12511,null,1686,null,43473,null,1976,null,37301,null,2045,null,6172,null,1311,null,99583,null,2801,null,44311,null,1771,null,28289,null,2017,null,16022,null,1597,null,55272,null,1842,null,45588,null,2127,null,9684,null,1617,null,0400000US09,Connecticut,09
114033,null,1724,null,14913,null,2164,null,6215,null,1276,null,1604,null,699,null,305,null,285,null,1299,null,631,null,4611,null,1056,null,1960,null,795,null,2651,null,816,null,8698,null,1586,null,1624,null,814,null,503,null,410,null,1121,null,696,null,7074,null,1218,null,2065,null,624,null,5009,null,1060,null,99120,null,2230,null,45157,null,1669,null,19590,null,1083,null,11555,null,1112,null,8035,null,1045,null,25567,null,1291,null,21263,null,1505,null,4304,null,1107,null,53963,null,1582,null,24366,null,1150,null,15272,null,1461,null,9094,null,1361,null,29597,null,1322,null,23407,null,1492,null,6190,null,997,null,0400000US10,Delaware,10
203170,null,2464,null,34037,null,3314,null,15776,null,1996,null,3330,null,1123,null,853,null,465,null,2477,null,1029,null,12446,null,1519,null,3160,null,958,null,9286,null,1338,null,18261,null,2303,null,3110,null,1139,null,799,null,470,null,2311,null,941,null,15151,null,1826,null,3881,null,963,null,11270,null,1601,null,169133,null,4081,null,74377,null,2787,null,33229,null,1729,null,16955,null,2052,null,16274,null,1693,null,41148,null,1821,null,31143,null,2208,null,10005,null,1757,null,94756,null,2351,null,41215,null,1745,null,23934,null,1944,null,17281,null,2089,null,53541,null,1761,null,38384,null,2048,null,15157,null,1809,null,0400000US11,District of Columbia,11
1749916,null,10146,null,225213,null,9397,null,105599,null,5466,null,31513,null,3285,null,8980,null,2100,null,22533,null,2668,null,74086,null,4200,null,22361,null,2710,null,51725,null,3718,null,119614,null,6183,null,23646,null,2649,null,8098,null,1706,null,15548,null,2193,null,95968,null,5437,null,31017,null,3312,null,64951,null,4825,null,1524703,null,12374,null,696384,null,8275,null,339308,null,6561,null,206770,null,7003,null,132538,null,5807,null,357076,null,6483,null,300366,null,6567,null,56710,null,4320,null,828319,null,7605,null,396953,null,5146,null,241263,null,5987,null,155690,null,6736,null,431366,null,6023,null,339811,null,6842,null,91555,null,5330,null,0400000US12,Florida,12
