C25055_001E,C25055_001EA,C25055_001M,C25055_001MA,C25055_002E,C25055_002EA,C25055_002M,C25055_002MA,C25055_003E,C25055_003EA,C25055_003M,C25055_003MA,C25055_004E,C25055_004EA,C25055_004M,C25055_004MA,C25055_005E,C25055_005EA,C25055_005M,C25055_005MA,GEO_ID,NAME,state
457669,null,10006,null,367309,null,9565,null,42172,null,3282,null,23794,null,2093,null,24394,null,2141,null,0400000US01,Alabama,01
77349,null,3753,null,63166,null,3457,null,8076,null,1280,null,3447,null,786,null,2660,null,703,null,0400000US02,Alaska,02
683508,null,13057,null,548783,null,11319,null,64205,null,4484,null,28923,null,2469,null,41597,null,2973,null,0400000US04,Arizona,04
315674,null,8130,null,250347,null,7420,null,30273,null,2758,null,16912,null,2001,null,18142,null,1768,null,0400000US05,Arkansas,05
4948558,null,28474,null,3885806,null,25733,null,520942,null,11549,null,266781,null,7763,null,275029,null,7470,null,0400000US06,California,06
555780,null,10177,null,453176,null,10054,null,49360,null,3199,null,23533,null,2117,null,29711,null,2449,null,0400000US08,Colorado,08
378198,null,6865,null,274830,null,6507,null,41604,null,2822,null,27363,null,2677,null,34401,null,2301,null,0400000US09,Connecticut,09
83320,null,3470,null,65462,null,3161,null,7039,null,1214,null,4575,null,884,null,6244,null,1202,null,0400000US10,Delaware,10
134723,null,3522,null,101308,null,3731,null,17086,null,1763,null,8378,null,1178,null,7951,null,957,null,0400000US11,District of Columbia,11
1979429,null,21041,null,1521565,null,20151,null,203350,null,7268,null,106150,null,5016,null,148364,null,5744,null,0400000US12,Florida,12
1004594,null,12529,null,823723,null,12803,null,97293,null,4843,null,42346,null,3132,null,41232,null,2908,null,0400000US13,Georgia,13
163722,null,4685,null,122913,null,4291,null,18981,null,1941,null,10323,null,1566,null,11505,null,1484,null,0400000US15,Hawaii,15
144173,null,5438,null,120240,null,5466,null,11546,null,1671,null,4700,null,987,null,7687,null,1160,null,0400000US16,Idaho,16
1362661,null,15838,null,1040963,null,14155,null,140054,null,5426,null,82947,null,4058,null,98697,null,3994,null,0400000US17,Illinois,17
654753,null,10986,null,513242,null,9120,null,59132,null,3376,null,36048,null,2752,null,46331,null,2974,null,0400000US18,Indiana,18
292515,null,6728,null,222952,null,6239,null,24806,null,2304,null,14127,null,1715,null,30630,null,1884,null,0400000US19,Iowa,19
300646,null,6892,null,231804,null,6260,null,26846,null,2134,null,16881,null,1790,null,25115,null,1809,null,0400000US20,Kansas,20
436506,null,9466,null,339441,null,8596,null,46486,null,3320,null,26394,null,2153,null,24185,null,2388,null,0400000US21,Kentucky,21
440514,null,9913,null,351939,null,9034,null,46077,null,2680,null,21592,null,2204,null,20906,null,1894,null,0400000US22,Louisiana,22
130452,null,4831,null,91367,null,4348,null,15057,null,1625,null,10699,null,1491,null,13329,null,1509,null,0400000US23,Maine,23
596939,null,9615,null,445799,null,8809,null,65993,null,3980,null,37501,null,2573,null,47646,null,2596,null,0400000US24,Maryland,24
822759,null,11325,null,582739,null,10333,null,94609,null,4530,null,58641,null,3559,null,86770,null,3841,null,0400000US25,Massachusetts,25
909336,null,11326,null,690190,null,9827,null,94750,null,4317,null,49332,null,3152,null,75064,null,3068,null,0400000US26,Michigan,26
484528,null,8253,null,362487,null,7434,null,41558,null,3202,null,25212,null,2026,null,55271,null,2656,null,0400000US27,Minnesota,27
263317,null,8855,null,212068,null,7890,null,26522,null,2362,null,11286,null,1488,null,13441,null,1850,null,0400000US28,Mississippi,28
629978,null,10786,null,481384,null,9490,null,61045,null,4025,null,36892,null,2653,null,50657,null,2693,null,0400000US29,Missouri,29
101043,null,4200,null,77055,null,3635,null,10402,null,1577,null,4682,null,874,null,8904,null,1297,null,0400000US30,Montana,30
200638,null,5531,null,156038,null,5124,null,19042,null,1620,null,8928,null,1117,null,16630,null,1615,null,0400000US31,Nebraska,31
365486,null,8992,null,285096,null,8013,null,44100,null,3560,null,19455,null,2016,null,16835,null,1690,null,0400000US32,Nevada,32
124862,null,4450,null,92705,null,3893,null,13571,null,1815,null,8349,null,1244,null,10237,null,1367,null,0400000US33,New Hampshire,33
995900,null,12352,null,724794,null,12000,null,115553,null,5412,null,74636,null,3896,null,80917,null,4703,null,0400000US34,New Jersey,34
199450,null,6269,null,155250,null,5329,null,22918,null,2416,null,10568,null,1581,null,10714,null,1642,null,0400000US35,New Mexico,35
3036393,null,19114,null,2121811,null,18135,null,398256,null,8685,null,249581,null,7454,null,266745,null,6170,null,0400000US36,New York,36
1030206,null,15526,null,838034,null,14698,null,97954,null,4852,null,47513,null,3387,null,46705,null,3206,null,0400000US37,North Carolina,37
85582,null,3219,null,64393,null,2947,null,6816,null,1087,null,4521,null,831,null,9852,null,1003,null,0400000US38,North Dakota,38
1288819,null,14039,null,974375,null,14173,null,137863,null,5240,null,76916,null,3692,null,99665,null,4178,null,0400000US39,Ohio,39
398099,null,8243,null,319275,null,8361,null,36346,null,2649,null,20160,null,1851,null,22318,null,1645,null,0400000US40,Oklahoma,40
496588,null,9869,null,382412,null,9121,null,51035,null,3217,null,27062,null,2143,null,36079,null,2532,null,0400000US41,Oregon,41
1294835,null,15355,null,920689,null,14136,null,141255,null,5385,null,93735,null,4347,null,139156,null,4652,null,0400000US42,Pennsylvania,42
140974,null,4348,null,96619,null,3780,null,17450,null,1814,null,11997,null,1671,null,14908,null,1551,null,0400000US44,Rhode Island,44
449018,null,10910,null,358367,null,10764,null,47426,null,3135,null,23416,null,1906,null,19809,null,2260,null,0400000US45,South Carolina,45
88552,null,3910,null,62891,null,3514,null,7976,null,1064,null,6117,null,1043,null,11568,null,1190,null,0400000US46,South Dakota,46
656658,null,10673,null,519057,null,10883,null,70099,null,3433,null,36163,null,2206,null,31339,null,2551,null,0400000US47,Tennessee,47
2681061,null,25231,null,2214664,null,22947,null,236747,null,7114,null,111414,null,4484,null,118236,null,4562,null,0400000US48,Texas,48
223256,null,5657,null,191277,null,5381,null,16366,null,1946,null,7998,null,1354,null,7615,null,1107,null,0400000US49,Utah,49
63528,null,2851,null,48523,null,2642,null,6978,null,1226,null,3705,null,756,null,4322,null,678,null,0400000US50,Vermont,50
837788,null,12901,null,669739,null,12114,null,82979,null,4050,null,40352,null,3031,null,44718,null,2590,null,0400000US51,Virginia,51
814590,null,11345,null,629564,null,10463,null,85888,null,4206,null,41666,null,2502,null,57472,null,3110,null,0400000US53,Washington,53
153560,null,5435,null,116228,null,5074,null,17939,null,1727,null,9459,null,1445,null,9934,null,1180,null,0400000US54,West Virginia,54
639750,null,9858,null,476717,null,8465,null,61894,null,3391,null,36214,null,2243,null,64925,null,2951,null,0400000US55,Wisconsin,55
56732,null,3470,null,44330,null,3246,null,6244,null,1223,null,2709,null,760,null,3449,null,749,null,0400000US56,Wyoming,56
200877,null,5798,null,147082,null,5323,null,25841,null,2063,null,15449,null,1747,null,12505,null,1443,null,0400000US72,Puerto Rico,72
