B21001H_001E,B21001H_001EA,B21001H_001M,B21001H_001MA,B21001H_002E,B21001H_002EA,B21001H_002M,B21001H_002MA,B21001H_003E,B21001H_003EA,B21001H_003M,B21001H_003MA,B21001H_004E,B21001H_004EA,B21001H_004M,B21001H_004MA,B21001H_005E,B21001H_005EA,B21001H_005M,B21001H_005MA,B21001H_006E,B21001H_006EA,B21001H_006M,B21001H_006MA,B21001H_007E,B21001H_007EA,B21001H_007M,B21001H_007MA,B21001H_008E,B21001H_008EA,B21001H_008M,B21001H_008MA,B21001H_009E,B21001H_009EA,B21001H_009M,B21001H_009MA,B21001H_010E,B21001H_010EA,B21001H_010M,B21001H_010MA,B21001H_011E,B21001H_011EA,B21001H_011M,B21001H_011MA,B21001H_012E,B21001H_012EA,B21001H_012M,B21001H_012MA,B21001H_013E,B21001H_013EA,B21001H_013M,B21001H_013MA,B21001H_014E,B21001H_014EA,B21001H_014M,B21001H_014MA,B21001H_015E,B21001H_015EA,B21001H_015M,B21001H_015MA,B21001H_016E,B21001H_016EA,B21001H_016M,B21001H_016MA,B21001H_017E,B21001H_017EA,B21001H_017M,B21001H_017MA,B21001H_018E,B21001H_018EA,B21001H_018M,B21001H_018MA,B21001H_019E,B21001H_019EA,B21001H_019M,B21001H_019MA,B21001H_020E,B21001H_020EA,B21001H_020M,B21001H_020MA,B21001H_021E,B21001H_021EA,B21001H_021M,B21001H_021MA,B21001H_022E,B21001H_022EA,B21001H_022M,B21001H_022MA,B21001H_023E,B21001H_023EA,B21001H_023M,B21001H_023MA,B21001H_024E,B21001H_024EA,B21001H_024M,B21001H_024MA,B21001H_025E,B21001H_025EA,B21001H_025M,B21001H_025MA,B21001H_026E,B21001H_026EA,B21001H_026M,B21001H_026MA,B21001H_027E,B21001H_027EA,B21001H_027M,B21001H_027MA,B21001H_028E,B21001H_028EA,B21001H_028M,B21001H_028MA,B21001H_029E,B21001H_029EA,B21001H_029M,B21001H_029MA,B21001H_030E,B21001H_030EA,B21001H_030M,B21001H_030MA,B21001H_031E,B21001H_031EA,B21001H_031M,B21001H_031MA,B21001H_032E,B21001H_032EA,B21001H_032M,B21001H_032MA,B21001H_033E,B21001H_033EA,B21001H_033M,B21001H_033MA,GEO_ID,NAME,state
2473665,null,2826,null,1188393,null,2274,null,329042,null,2349,null,17884,null,2062,null,311158,null,2748,null,456031,null,1966,null,69777,null,3835,null,386254,null,4206,null,194573,null,671,null,79917,null,2937,null,114656,null,2901,null,122038,null,634,null,62521,null,2633,null,59517,null,2751,null,86709,null,813,null,64100,null,1901,null,22609,null,1874,null,1285272,null,1057,null,328453,null,870,null,4233,null,1624,null,324220,null,1691,null,459295,null,994,null,8066,null,1428,null,451229,null,1714,null,207983,null,532,null,2156,null,658,null,205827,null,845,null,142553,null,1146,null,1198,null,432,null,141355,null,1266,null,146988,null,1105,null,2621,null,814,null,144367,null,1408,null,0400000US01,Alabama,01
335017,null,1435,null,172007,null,1382,null,52240,null,1498,null,6978,null,1434,null,45262,null,1858,null,72644,null,1167,null,17073,null,1599,null,55571,null,1669,null,30199,null,114,null,15358,null,1231,null,14841,null,1226,null,11257,null,295,null,7461,null,636,null,3796,null,600,null,5667,null,264,null,4427,null,505,null,1240,null,464,null,163010,null,409,null,49184,null,567,null,1874,null,618,null,47310,null,772,null,71067,null,501,null,3845,null,1196,null,67222,null,1301,null,24904,null,358,null,1233,null,670,null,23671,null,757,null,10469,null,316,null,148,null,141,null,10321,null,354,null,7386,null,296,null,85,null,113,null,7301,null,314,null,0400000US02,Alaska,02
2983660,null,2455,null,1450528,null,1952,null,382590,null,1629,null,25985,null,3129,null,356605,null,3514,null,520679,null,1334,null,90952,null,4759,null,429727,null,4870,null,239011,null,379,null,108684,null,3986,null,130327,null,4006,null,160729,null,370,null,89788,null,2578,null,70941,null,2535,null,147519,null,319,null,110808,null,3085,null,36711,null,3071,null,1533132,null,1430,null,367060,null,1262,null,4709,null,1157,null,362351,null,1804,null,529904,null,1163,null,14438,null,2114,null,515466,null,2392,null,261524,null,394,null,5282,null,1141,null,256242,null,1186,null,179092,null,369,null,2532,null,805,null,176560,null,908,null,195552,null,521,null,5280,null,1153,null,190272,null,1132,null,0400000US04,Arizona,04
1674797,null,1184,null,807695,null,1001,null,228485,null,1359,null,13639,null,2397,null,214846,null,2617,null,297626,null,1297,null,46958,null,3652,null,250668,null,3930,null,131962,null,467,null,53784,null,2523,null,78178,null,2525,null,84952,null,406,null,45888,null,1969,null,39064,null,1990,null,64670,null,373,null,45833,null,1732,null,18837,null,1669,null,867102,null,839,null,224598,null,1252,null,1951,null,825,null,222647,null,1406,null,302457,null,1246,null,4413,null,1071,null,298044,null,1758,null,141225,null,162,null,1739,null,551,null,139486,null,563,null,96897,null,366,null,1099,null,434,null,95798,null,587,null,101925,null,273,null,1263,null,465,null,100662,null,562,null,0400000US05,Arkansas,05
12572015,null,8134,null,6148559,null,5784,null,1599964,null,5032,null,80056,null,5398,null,1519908,null,7356,null,2430202,null,3120,null,285970,null,8694,null,2144232,null,9285,null,1022777,null,948,null,374919,null,6539,null,647858,null,6567,null,578096,null,431,null,290883,null,4510,null,287213,null,4543,null,517520,null,498,null,366041,null,4939,null,151479,null,4859,null,6423456,null,4628,null,1551426,null,3138,null,16863,null,2852,null,1534563,null,3942,null,2371554,null,2549,null,36339,null,2987,null,2335215,null,4331,null,1047074,null,1133,null,11450,null,1487,null,1035624,null,1936,null,652786,null,1062,null,8658,null,1398,null,644128,null,1732,null,800616,null,645,null,20345,null,1845,null,780271,null,1848,null,0400000US06,California,06
2717340,null,2601,null,1337833,null,1832,null,394332,null,1686,null,25132,null,2204,null,369200,null,2665,null,547679,null,1364,null,84151,null,4020,null,463528,null,3993,null,214898,null,141,null,92040,null,3291,null,122858,null,3294,null,104374,null,254,null,57214,null,2304,null,47160,null,2318,null,76550,null,206,null,57076,null,1501,null,19474,null,1528,null,1379507,null,1546,null,376059,null,1934,null,6005,null,1278,null,370054,null,2298,null,549038,null,1512,null,12327,null,1686,null,536711,null,2451,null,218479,null,243,null,3067,null,769,null,215412,null,801,null,116211,null,455,null,1788,null,672,null,114423,null,855,null,119720,null,436,null,3071,null,635,null,116649,null,756,null,0400000US08,Colorado,08
2047335,null,2599,null,976533,null,1714,null,234496,null,1275,null,8670,null,1520,null,225826,null,1994,null,407376,null,1136,null,39257,null,3045,null,368119,null,3307,null,162977,null,240,null,57150,null,2876,null,105827,null,2886,null,89479,null,120,null,46723,null,2099,null,42756,null,2107,null,82205,null,82,null,57623,null,2007,null,24582,null,2028,null,1070802,null,1580,null,233430,null,1066,null,788,null,408,null,232642,null,1109,null,418965,null,788,null,3845,null,919,null,415120,null,1229,null,172925,null,270,null,1596,null,447,null,171329,null,517,null,105475,null,220,null,1232,null,571,null,104243,null,654,null,140007,null,273,null,3002,null,681,null,137005,null,681,null,0400000US09,Connecticut,09
470853,null,624,null,224054,null,566,null,59298,null,417,null,2668,null,835,null,56630,null,930,null,84860,null,342,null,13951,null,1498,null,70909,null,1500,null,37111,null,261,null,15755,null,1255,null,21356,null,1255,null,23465,null,261,null,12075,null,917,null,11390,null,917,null,19320,null,261,null,13794,null,817,null,5526,null,817,null,246799,null,214,null,61662,null,123,null,658,null,371,null,61004,null,381,null,88372,null,176,null,1874,null,655,null,86498,null,669,null,40893,null,261,null,638,null,302,null,40255,null,302,null,27053,null,261,null,406,null,242,null,26647,null,242,null,28819,null,261,null,476,null,349,null,28343,null,349,null,0400000US10,Delaware,10
164476,null,1460,null,80545,null,1341,null,33858,null,1257,null,927,null,473,null,32931,null,1349,null,27151,null,370,null,2403,null,869,null,24748,null,897,null,10076,null,93,null,1707,null,486,null,8369,null,474,null,5440,null,300,null,2139,null,472,null,3301,null,472,null,4020,null,300,null,2855,null,497,null,1165,null,497,null,83931,null,988,null,39683,null,938,null,126,null,126,null,39557,null,992,null,22589,null,286,null,273,null,201,null,22316,null,361,null,10765,null,300,null,201,null,246,null,10564,null,246,null,5152,null,300,null,55,null,92,null,5097,null,92,null,5742,null,300,null,59,null,92,null,5683,null,92,null,0400000US11,District of Columbia,11
8997712,null,5740,null,4339302,null,5981,null,994595,null,5221,null,61619,null,4917,null,932976,null,6831,null,1535257,null,3284,null,267773,null,7929,null,1267484,null,8459,null,725300,null,1709,null,312000,null,5691,null,413300,null,5855,null,521680,null,1886,null,286548,null,5362,null,235132,null,5017,null,562470,null,1145,null,420699,null,4851,null,141771,null,4662,null,4658410,null,4466,null,974279,null,3620,null,11015,null,1680,null,963264,null,4271,null,1547962,null,2285,null,36005,null,2872,null,1511957,null,3388,null,788671,null,2371,null,11778,null,1744,null,776893,null,2633,null,588604,null,1255,null,8800,null,1341,null,579804,null,1780,null,758894,null,1678,null,17249,null,1971,null,741645,null,2678,null,0400000US12,Florida,12
4254330,null,3485,null,2054797,null,2851,null,582646,null,3074,null,30690,null,2905,null,551956,null,3912,null,841920,null,2643,null,117622,null,4955,null,724298,null,5465,null,332425,null,495,null,138850,null,4402,null,193575,null,4460,null,181849,null,1149,null,93039,null,3075,null,88810,null,3175,null,115957,null,1039,null,85138,null,1939,null,30819,null,2037,null,2199533,null,1482,null,585210,null,1765,null,5755,null,1427,null,579455,null,2089,null,848956,null,1869,null,17951,null,2612,null,831005,null,3021,null,352892,null,541,null,4375,null,1093,null,348517,null,1168,null,208331,null,604,null,1510,null,481,null,206821,null,795,null,204144,null,503,null,2908,null,830,null,201236,null,1015,null,0400000US13,Georgia,13
241170,null,1584,null,123502,null,1478,null,34600,null,1359,null,6665,null,1375,null,27935,null,1512,null,44056,null,1060,null,8233,null,1395,null,35823,null,1668,null,24790,null,107,null,10216,null,1072,null,14574,null,1071,null,11118,null,114,null,6322,null,647,null,4796,null,648,null,8938,null,271,null,7399,null,499,null,1539,null,499,null,117668,null,623,null,31837,null,587,null,2129,null,794,null,29708,null,891,null,42981,null,381,null,1218,null,522,null,41763,null,626,null,21553,null,271,null,515,null,435,null,21038,null,435,null,10401,null,271,null,310,null,198,null,10091,null,198,null,10896,null,271,null,676,null,427,null,10220,null,427,null,0400000US15,Hawaii,15
