B01001D_001E,B01001D_001EA,B01001D_001M,B01001D_001MA,B01001D_002E,B01001D_002EA,B01001D_002M,B01001D_002MA,B01001D_003E,B01001D_003EA,B01001D_003M,B01001D_003MA,B01001D_004E,B01001D_004EA,B01001D_004M,B01001D_004MA,B01001D_005E,B01001D_005EA,B01001D_005M,B01001D_005MA,B01001D_006E,B01001D_006EA,B01001D_006M,B01001D_006MA,B01001D_007E,B01001D_007EA,B01001D_007M,B01001D_007MA,B01001D_008E,B01001D_008EA,B01001D_008M,B01001D_008MA,B01001D_009E,B01001D_009EA,B01001D_009M,B01001D_009MA,B01001D_010E,B01001D_010EA,B01001D_010M,B01001D_010MA,B01001D_011E,B01001D_011EA,B01001D_011M,B01001D_011MA,B01001D_012E,B01001D_012EA,B01001D_012M,B01001D_012MA,B01001D_013E,B01001D_013EA,B01001D_013M,B01001D_013MA,B01001D_014E,B01001D_014EA,B01001D_014M,B01001D_014MA,B01001D_015E,B01001D_015EA,B01001D_015M,B01001D_015MA,B01001D_016E,B01001D_016EA,B01001D_016M,B01001D_016MA,B01001D_017E,B01001D_017EA,B01001D_017M,B01001D_017MA,B01001D_018E,B01001D_018EA,B01001D_018M,B01001D_018MA,B01001D_019E,B01001D_019EA,B01001D_019M,B01001D_019MA,B01001D_020E,B01001D_020EA,B01001D_020M,B01001D_020MA,B01001D_021E,B01001D_021EA,B01001D_021M,B01001D_021MA,B01001D_022E,B01001D_022EA,B01001D_022M,B01001D_022MA,B01001D_023E,B01001D_023EA,B01001D_023M,B01001D_023MA,B01001D_024E,B01001D_024EA,B01001D_024M,B01001D_024MA,B01001D_025E,B01001D_025EA,B01001D_025M,B01001D_025MA,B01001D_026E,B01001D_026EA,B01001D_026M,B01001D_026MA,B01001D_027E,B01001D_027EA,B01001D_027M,B01001D_027MA,B01001D_028E,B01001D_028EA,B01001D_028M,B01001D_028MA,B01001D_029E,B01001D_029EA,B01001D_029M,B01001D_029MA,B01001D_030E,B01001D_030EA,B01001D_030M,B01001D_030MA,B01001D_031E,B01001D_031EA,B01001D_031M,B01001D_031MA,GEO_ID,NAME,state
44561,null,3209,null,20970,null,1970,null,957,null,328,null,1746,null,732,null,1574,null,696,null,1162,null,545,null,130,null,137,null,2450,null,750,null,1419,null,490,null,2661,null,633,null,4340,null,841,null,1818,null,597,null,1427,null,514,null,1140,null,340,null,99,null,136,null,47,null,78,null,23591,null,1981,null,1321,null,478,null,1566,null,657,null,1308,null,547,null,806,null,433,null,960,null,453,null,1590,null,458,null,1864,null,617,null,1814,null,603,null,4102,null,937,null,3462,null,670,null,3183,null,843,null,1469,null,608,null,146,null,133,null,0,null,267,null,0400000US01,Alabama,01
32936,null,1975,null,15395,null,1380,null,1040,null,299,null,812,null,354,null,787,null,504,null,934,null,492,null,764,null,398,null,1150,null,614,null,1254,null,471,null,684,null,320,null,2585,null,947,null,3381,null,982,null,811,null,398,null,932,null,345,null,0,null,237,null,261,null,258,null,17541,null,1243,null,1238,null,408,null,890,null,327,null,814,null,430,null,491,null,260,null,331,null,305,null,1035,null,455,null,1340,null,475,null,1095,null,168,null,2923,null,631,null,2871,null,419,null,2722,null,639,null,1051,null,418,null,440,null,270,null,300,null,221,null,0400000US02,Alaska,02
151414,null,3474,null,71985,null,2124,null,6570,null,804,null,4830,null,866,null,4046,null,743,null,2618,null,543,null,1896,null,341,null,4847,null,724,null,6812,null,645,null,8079,null,614,null,13287,null,558,null,8659,null,630,null,5298,null,370,null,3390,null,505,null,875,null,470,null,778,null,520,null,79429,null,2034,null,4940,null,727,null,7023,null,1049,null,3670,null,815,null,2044,null,431,null,1341,null,287,null,4345,null,781,null,6122,null,825,null,8220,null,421,null,14663,null,753,null,11275,null,526,null,8477,null,535,null,4592,null,485,null,1919,null,525,null,798,null,423,null,0400000US04,Arizona,04
33933,null,2991,null,16427,null,1756,null,1483,null,501,null,1729,null,722,null,1965,null,850,null,566,null,348,null,915,null,427,null,605,null,400,null,1370,null,521,null,2220,null,725,null,2044,null,668,null,1451,null,478,null,834,null,396,null,1011,null,433,null,162,null,168,null,72,null,119,null,17506,null,1814,null,1222,null,448,null,1974,null,806,null,778,null,398,null,1288,null,584,null,404,null,281,null,1158,null,476,null,938,null,499,null,1771,null,607,null,3719,null,858,null,1947,null,639,null,1145,null,455,null,949,null,542,null,213,null,162,null,0,null,267,null,0400000US05,Arkansas,05
4511407,null,14112,null,2164133,null,9226,null,131584,null,3471,null,126405,null,4420,null,131407,null,5418,null,87120,null,2230,null,64256,null,1571,null,158126,null,2256,null,157862,null,2426,null,182185,null,2543,null,371199,null,2958,null,317779,null,2371,null,219642,null,1760,null,124805,null,1399,null,71522,null,2452,null,20241,null,2158,null,2347274,null,8896,null,124688,null,3360,null,117314,null,3990,null,129672,null,4112,null,80533,null,2112,null,61073,null,1515,null,152966,null,2269,null,165570,null,2504,null,195358,null,2172,null,407766,null,2862,null,362197,null,2226,null,254276,null,1595,null,157162,null,1561,null,103682,null,3142,null,35017,null,2646,null,0400000US06,California,06
131699,null,3317,null,59444,null,2436,null,3647,null,845,null,5505,null,1040,null,2822,null,854,null,1509,null,595,null,1923,null,709,null,4433,null,783,null,5004,null,997,null,6285,null,1050,null,11870,null,1252,null,8336,null,1079,null,4343,null,760,null,2228,null,667,null,956,null,516,null,583,null,257,null,72255,null,2168,null,5814,null,839,null,5287,null,1071,null,3188,null,810,null,2616,null,624,null,2156,null,614,null,5111,null,864,null,6055,null,641,null,6605,null,915,null,12291,null,1173,null,10817,null,1052,null,6430,null,766,null,3073,null,713,null,2209,null,562,null,603,null,329,null,0400000US08,Colorado,08
118216,null,2114,null,58806,null,1712,null,4681,null,478,null,3158,null,659,null,4767,null,1039,null,1932,null,553,null,1700,null,438,null,3282,null,582,null,4500,null,566,null,6954,null,479,null,11688,null,738,null,8289,null,617,null,4352,null,500,null,2437,null,617,null,959,null,424,null,107,null,164,null,59410,null,1331,null,4020,null,647,null,4223,null,658,null,3912,null,752,null,2208,null,583,null,1044,null,407,null,4070,null,588,null,5620,null,589,null,6591,null,703,null,11373,null,592,null,7802,null,470,null,4722,null,539,null,2162,null,595,null,1514,null,443,null,149,null,164,null,0400000US09,Connecticut,09
25372,null,1333,null,12109,null,1023,null,1257,null,496,null,503,null,219,null,793,null,367,null,0,null,261,null,540,null,351,null,602,null,233,null,986,null,160,null,1304,null,201,null,2427,null,531,null,2057,null,557,null,921,null,303,null,658,null,285,null,61,null,77,null,0,null,261,null,13263,null,837,null,1323,null,439,null,933,null,452,null,572,null,483,null,259,null,250,null,164,null,118,null,493,null,204,null,1344,null,276,null,1598,null,209,null,2575,null,535,null,1776,null,449,null,1180,null,209,null,573,null,242,null,360,null,210,null,113,null,162,null,0400000US10,Delaware,10
18066,null,1198,null,7309,null,851,null,76,null,135,null,273,null,438,null,82,null,124,null,105,null,123,null,161,null,154,null,1011,null,546,null,731,null,604,null,1352,null,300,null,1810,null,540,null,577,null,445,null,415,null,266,null,220,null,208,null,496,null,253,null,0,null,300,null,10757,null,739,null,659,null,338,null,697,null,405,null,281,null,378,null,62,null,118,null,447,null,242,null,1151,null,275,null,1400,null,244,null,1475,null,286,null,2127,null,390,null,771,null,390,null,433,null,255,null,826,null,355,null,316,null,295,null,112,null,179,null,0400000US11,District of Columbia,11
409144,null,5547,null,191825,null,3726,null,12412,null,1557,null,14475,null,1416,null,12570,null,1727,null,8167,null,1069,null,4461,null,1069,null,13917,null,1465,null,12752,null,1322,null,17543,null,1198,null,35091,null,1621,null,27365,null,1487,null,18046,null,1162,null,10458,null,1103,null,3462,null,1030,null,1106,null,570,null,217319,null,4451,null,13622,null,1691,null,15613,null,1933,null,11056,null,1582,null,7124,null,1144,null,3748,null,935,null,12173,null,1286,null,15639,null,1295,null,19654,null,1566,null,42326,null,2247,null,33241,null,1778,null,22905,null,1382,null,13866,null,1480,null,5299,null,922,null,1053,null,532,null,0400000US12,Florida,12
265188,null,4291,null,128496,null,2330,null,10055,null,888,null,10685,null,1386,null,7790,null,1053,null,4877,null,661,null,3978,null,845,null,7344,null,1096,null,9036,null,799,null,14429,null,1292,null,24559,null,1439,null,18307,null,1049,null,11279,null,1298,null,4924,null,983,null,1070,null,436,null,163,null,195,null,136692,null,3315,null,10385,null,1144,null,10069,null,1382,null,8873,null,964,null,4792,null,598,null,4006,null,1276,null,7705,null,1049,null,10031,null,817,null,14312,null,1525,null,27248,null,1374,null,19004,null,1314,null,12902,null,901,null,4653,null,899,null,1633,null,611,null,1079,null,490,null,0400000US13,Georgia,13
