C17001A_001E,C17001A_001EA,C17001A_001M,C17001A_001MA,C17001A_002E,C17001A_002EA,C17001A_002M,C17001A_002MA,C17001A_003E,C17001A_003EA,C17001A_003M,C17001A_003MA,C17001A_004E,C17001A_004EA,C17001A_004M,C17001A_004MA,C17001A_005E,C17001A_005EA,C17001A_005M,C17001A_005MA,C17001A_006E,C17001A_006EA,C17001A_006M,C17001A_006MA,C17001A_007E,C17001A_007EA,C17001A_007M,C17001A_007MA,C17001A_008E,C17001A_008EA,C17001A_008M,C17001A_008MA,C17001A_009E,C17001A_009EA,C17001A_009M,C17001A_009MA,C17001A_010E,C17001A_010EA,C17001A_010M,C17001A_010MA,C17001A_011E,C17001A_011EA,C17001A_011M,C17001A_011MA,C17001A_012E,C17001A_012EA,C17001A_012M,C17001A_012MA,C17001A_013E,C17001A_013EA,C17001A_013M,C17001A_013MA,C17001A_014E,C17001A_014EA,C17001A_014M,C17001A_014MA,C17001A_015E,C17001A_015EA,C17001A_015M,C17001A_015MA,C17001A_016E,C17001A_016EA,C17001A_016M,C17001A_016MA,C17001A_017E,C17001A_017EA,C17001A_017M,C17001A_017MA,C17001A_018E,C17001A_018EA,C17001A_018M,C17001A_018MA,C17001A_019E,C17001A_019EA,C17001A_019M,C17001A_019MA,GEO_ID,NAME,state
3188357,null,6110,null,367213,null,16457,null,157775,null,8287,null,54036,null,4538,null,91323,null,5829,null,12416,null,1740,null,209438,null,10604,null,53748,null,5251,null,127195,null,6425,null,28495,null,2367,null,2821144,null,16657,null,1401564,null,8066,null,308065,null,4767,null,900233,null,5955,null,193266,null,1903,null,1419580,null,11189,null,296396,null,6069,null,875124,null,6830,null,248060,null,2820,null,0400000US01,Alabama,01
456149,null,2688,null,25875,null,3558,null,12394,null,2340,null,3615,null,1229,null,8069,null,1698,null,710,null,334,null,13481,null,1956,null,3775,null,1059,null,9013,null,1225,null,693,null,356,null,430274,null,4446,null,225722,null,2852,null,51904,null,1350,null,157611,null,2177,null,16207,null,404,null,204552,null,2520,null,47006,null,1391,null,140687,null,1729,null,16859,null,513,null,0400000US02,Alaska,02
4765568,null,22472,null,551872,null,23833,null,253670,null,13400,null,95463,null,7108,null,138352,null,8483,null,19855,null,1960,null,298202,null,12928,null,90500,null,7067,null,172572,null,7475,null,35130,null,2803,null,4213696,null,30708,null,2111787,null,18502,null,481498,null,9283,null,1320941,null,12055,null,309348,null,2293,null,2101909,null,16079,null,459475,null,8711,null,1276033,null,9405,null,366401,null,3275,null,0400000US04,Arizona,04
2169353,null,6336,null,300190,null,13073,null,134924,null,7685,null,47963,null,4245,null,76064,null,5036,null,10897,null,1417,null,165266,null,7225,null,42666,null,3676,null,99130,null,4473,null,23470,null,2224,null,1869163,null,14568,null,931235,null,8701,null,201275,null,4704,null,594212,null,5756,null,135748,null,1780,null,937928,null,8405,null,198896,null,4115,null,576909,null,5321,null,162123,null,2265,null,0400000US05,Arkansas,05
21606420,null,60476,null,2303650,null,49459,null,1044492,null,26373,null,387503,null,15771,null,591500,null,15192,null,65489,null,3808,null,1259158,null,27347,null,361415,null,14948,null,766840,null,15844,null,130903,null,5374,null,19302770,null,64336,null,9713868,null,37712,null,2199606,null,19084,null,6346767,null,26997,null,1167495,null,5549,null,9588902,null,34985,null,2107735,null,18416,null,5985576,null,22882,null,1495591,null,6840,null,0400000US06,California,06
3983920,null,15307,null,419608,null,18422,null,184857,null,10126,null,61553,null,5418,null,113867,null,6678,null,9437,null,1468,null,234751,null,10716,null,65195,null,6174,null,145245,null,6499,null,24311,null,1938,null,3564312,null,20416,null,1813439,null,12647,null,408946,null,6632,null,1222451,null,8984,null,182042,null,2110,null,1750873,null,11943,null,385269,null,7106,null,1147017,null,6534,null,218587,null,2313,null,0400000US08,Colorado,08
2705050,null,9887,null,156633,null,9823,null,67971,null,5532,null,23129,null,3318,null,39341,null,3630,null,5501,null,1148,null,88662,null,6258,null,19596,null,2698,null,52081,null,4384,null,16985,null,1817,null,2548417,null,11306,null,1251687,null,6920,null,282999,null,3495,null,805688,null,5269,null,163000,null,1807,null,1296730,null,6959,null,269626,null,2886,null,811334,null,4885,null,215770,null,2314,null,0400000US09,Connecticut,09
609138,null,3239,null,48916,null,5240,null,19356,null,2630,null,5979,null,1567,null,10865,null,1696,null,2512,null,913,null,29560,null,3597,null,5994,null,1491,null,19467,null,2540,null,4099,null,918,null,560222,null,5609,null,278263,null,3285,null,61426,null,1837,null,177090,null,2127,null,39747,null,1095,null,281959,null,3743,null,56334,null,1971,null,176255,null,2379,null,49370,null,1032,null,0400000US10,Delaware,10
196396,null,3637,null,15157,null,2881,null,6220,null,2117,null,344,null,307,null,5436,null,1969,null,440,null,306,null,8937,null,1898,null,230,null,361,null,7718,null,1745,null,989,null,510,null,181239,null,4066,null,91986,null,2886,null,13200,null,853,null,69696,null,2405,null,9090,null,415,null,89253,null,2426,null,11329,null,822,null,67899,null,2041,null,10025,null,612,null,0400000US11,District of Columbia,11
13666970,null,25454,null,1322945,null,32503,null,569533,null,18880,null,167735,null,9670,null,322508,null,13230,null,79290,null,4906,null,753412,null,18962,null,160777,null,8938,null,447260,null,12158,null,145375,null,5852,null,12344025,null,37596,null,6125787,null,23314,null,1210053,null,11341,null,3789142,null,17418,null,1126592,null,5339,null,6218238,null,21635,null,1147604,null,10080,null,3719577,null,13835,null,1351057,null,7298,null,0400000US12,Florida,12
