C17010H_001E,C17010H_001EA,C17010H_001M,C17010H_001MA,C17010H_002E,C17010H_002EA,C17010H_002M,C17010H_002MA,C17010H_003E,C17010H_003EA,C17010H_003M,C17010H_003MA,C17010H_004E,C17010H_004EA,C17010H_004M,C17010H_004MA,C17010H_005E,C17010H_005EA,C17010H_005M,C17010H_005MA,C17010H_006E,C17010H_006EA,C17010H_006M,C17010H_006MA,C17010H_007E,C17010H_007EA,C17010H_007M,C17010H_007MA,C17010H_008E,C17010H_008EA,C17010H_008M,C17010H_008MA,C17010H_009E,C17010H_009EA,C17010H_009M,C17010H_009MA,C17010H_010E,C17010H_010EA,C17010H_010M,C17010H_010MA,C17010H_011E,C17010H_011EA,C17010H_011M,C17010H_011MA,C17010H_012E,C17010H_012EA,C17010H_012M,C17010H_012MA,C17010H_013E,C17010H_013EA,C17010H_013M,C17010H_013MA,C17010H_014E,C17010H_014EA,C17010H_014M,C17010H_014MA,C17010H_015E,C17010H_015EA,C17010H_015M,C17010H_015MA,C17010H_016E,C17010H_016EA,C17010H_016M,C17010H_016MA,C17010H_017E,C17010H_017EA,C17010H_017M,C17010H_017MA,GEO_ID,NAME,state
893708,null,7611,null,70732,null,4275,null,32288,null,2497,null,18586,null,2172,null,38444,null,3702,null,5621,null,1261,null,4391,null,1050,null,32823,null,3572,null,28504,null,3425,null,822976,null,7848,null,691994,null,8646,null,274561,null,6485,null,130982,null,5260,null,44336,null,3664,null,23939,null,2534,null,86646,null,4014,null,47899,null,3527,null,0400000US01,Alabama,01
117066,null,2535,null,4584,null,991,null,986,null,336,null,471,null,253,null,3598,null,963,null,691,null,318,null,567,null,290,null,2907,null,931,null,2859,null,921,null,112482,null,2789,null,94137,null,3086,null,42524,null,2270,null,18345,null,1840,null,6263,null,1204,null,4008,null,1044,null,12082,null,1472,null,8364,null,1295,null,0400000US02,Alaska,02
973293,null,9022,null,49214,null,3883,null,21096,null,2409,null,8023,null,1309,null,28118,null,2767,null,5270,null,1456,null,3735,null,1217,null,22848,null,2471,null,19626,null,2353,null,924079,null,9051,null,767006,null,9049,null,270637,null,6678,null,157073,null,5565,null,51573,null,3999,null,32040,null,2952,null,105500,null,4235,null,64171,null,4224,null,0400000US04,Arizona,04
599641,null,8174,null,58946,null,4251,null,26540,null,2300,null,16042,null,2083,null,32406,null,3267,null,5160,null,1283,null,3864,null,1080,null,27246,null,2860,null,24044,null,2762,null,540695,null,7386,null,462457,null,7053,null,178005,null,4837,null,78238,null,3988,null,25187,null,2555,null,14520,null,1931,null,53051,null,3674,null,32222,null,2754,null,0400000US05,Arkansas,05
3963110,null,18904,null,180664,null,7931,null,75495,null,4753,null,36285,null,3398,null,105169,null,5769,null,18222,null,2389,null,13077,null,2087,null,86947,null,5161,null,72849,null,4829,null,3782446,null,19104,null,3064074,null,20483,null,1241416,null,15268,null,718372,null,13290,null,232828,null,7091,null,119837,null,6610,null,485544,null,11329,null,263831,null,8781,null,0400000US06,California,06
899850,null,8924,null,40282,null,3537,null,17478,null,2428,null,9675,null,1774,null,22804,null,2551,null,3811,null,1160,null,3108,null,1001,null,18993,null,2126,null,16616,null,2077,null,859568,null,7988,null,720150,null,7195,null,307314,null,6900,null,139418,null,6398,null,50982,null,3923,null,31740,null,3170,null,88436,null,4724,null,54728,null,3451,null,0400000US08,Colorado,08
679270,null,6427,null,19341,null,2122,null,6678,null,1179,null,3427,null,799,null,12663,null,1836,null,1768,null,653,null,1422,null,671,null,10895,null,1605,null,9873,null,1603,null,659929,null,6254,null,553572,null,6912,null,244381,null,4690,null,106357,null,4521,null,30328,null,2661,null,14539,null,1737,null,76029,null,3541,null,39879,null,2712,null,0400000US09,Connecticut,09
159404,null,3480,null,6960,null,1315,null,2398,null,641,null,890,null,382,null,4562,null,1109,null,850,null,428,null,549,null,329,null,3712,null,1004,null,3333,null,987,null,152444,null,3436,null,125755,null,3818,null,48476,null,2688,null,26689,null,2668,null,9494,null,1820,null,5380,null,1458,null,17195,null,1806,null,9900,null,1671,null,0400000US10,Delaware,10
30564,null,1626,null,507,null,432,null,254,null,230,null,0,null,300,null,253,null,356,null,38,null,64,null,0,null,300,null,215,null,348,null,215,null,348,null,30057,null,1555,null,25613,null,1654,null,7034,null,1215,null,4444,null,946,null,1246,null,535,null,730,null,471,null,3198,null,828,null,1554,null,710,null,0400000US11,District of Columbia,11
2963574,null,18366,null,145728,null,6781,null,66968,null,3831,null,24457,null,2638,null,78760,null,4957,null,13521,null,1928,null,9513,null,1610,null,65239,null,4648,null,55906,null,4260,null,2817846,null,18379,null,2327343,null,17786,null,746646,null,11363,null,490503,null,12158,null,157001,null,7317,null,81749,null,5114,null,333502,null,10128,null,187514,null,7981,null,0400000US12,Florida,12
