B24090_001E,B24090_001EA,B24090_001M,B24090_001MA,B24090_002E,B24090_002EA,B24090_002M,B24090_002MA,B24090_003E,B24090_003EA,B24090_003M,B24090_003MA,B24090_004E,B24090_004EA,B24090_004M,B24090_004MA,B24090_005E,B24090_005EA,B24090_005M,B24090_005MA,B24090_006E,B24090_006EA,B24090_006M,B24090_006MA,B24090_007E,B24090_007EA,B24090_007M,B24090_007MA,B24090_008E,B24090_008EA,B24090_008M,B24090_008MA,B24090_009E,B24090_009EA,B24090_009M,B24090_009MA,B24090_010E,B24090_010EA,B24090_010M,B24090_010MA,B24090_011E,B24090_011EA,B24090_011M,B24090_011MA,B24090_012E,B24090_012EA,B24090_012M,B24090_012MA,B24090_013E,B24090_013EA,B24090_013M,B24090_013MA,B24090_014E,B24090_014EA,B24090_014M,B24090_014MA,B24090_015E,B24090_015EA,B24090_015M,B24090_015MA,B24090_016E,B24090_016EA,B24090_016M,B24090_016MA,B24090_017E,B24090_017EA,B24090_017M,B24090_017MA,B24090_018E,B24090_018EA,B24090_018M,B24090_018MA,B24090_019E,B24090_019EA,B24090_019M,B24090_019MA,B24090_020E,B24090_020EA,B24090_020M,B24090_020MA,B24090_021E,B24090_021EA,B24090_021M,B24090_021MA,GEO_ID,NAME,state
1359601,null,14173,null,800675,null,11794,null,608168,null,11068,null,570031,null,10841,null,38137,null,2892,null,30802,null,2721,null,45825,null,3715,null,31223,null,2711,null,30514,null,2728,null,53458,null,3760,null,685,null,362,null,558926,null,8916,null,385466,null,8331,null,375336,null,7990,null,10130,null,1518,null,43472,null,3086,null,47603,null,3161,null,44291,null,3429,null,19384,null,1861,null,17928,null,2324,null,782,null,416,null,0400000US01,Alabama,01
178640,null,5523,null,101480,null,3722,null,58062,null,3507,null,54572,null,3410,null,3490,null,867,null,6931,null,1272,null,6809,null,1260,null,8987,null,1354,null,12162,null,1546,null,8509,null,1618,null,20,null,33,null,77160,null,3478,null,38842,null,2573,null,36950,null,2440,null,1892,null,816,null,12059,null,1874,null,6886,null,967,null,8839,null,1275,null,6839,null,1265,null,3581,null,917,null,114,null,106,null,0400000US02,Alaska,02
1875375,null,17078,null,1134539,null,12106,null,899013,null,12572,null,838458,null,12469,null,60555,null,4247,null,37555,null,3144,null,66638,null,4823,null,31995,null,2836,null,38177,null,3423,null,60288,null,4385,null,873,null,369,null,740836,null,10669,null,528311,null,10756,null,508695,null,10594,null,19616,null,2354,null,57454,null,4081,null,65784,null,4885,null,42348,null,3553,null,19633,null,2243,null,25822,null,2489,null,1484,null,740,null,0400000US04,Arizona,04
812118,null,11313,null,470470,null,8455,null,350987,null,7980,null,323336,null,8087,null,27651,null,2847,null,20912,null,2216,null,23691,null,2673,null,25199,null,2328,null,12742,null,1850,null,36624,null,3095,null,315,null,191,null,341648,null,6319,null,226284,null,6158,null,218510,null,6261,null,7774,null,1025,null,29186,null,3073,null,27164,null,2606,null,33729,null,2928,null,11195,null,1840,null,13218,null,1947,null,872,null,428,null,0400000US05,Arkansas,05
10763519,null,42454,null,6543884,null,27929,null,5002965,null,29764,null,4721599,null,28582,null,281366,null,8728,null,250944,null,9368,null,389215,null,11445,null,188085,null,7325,null,169935,null,6705,null,536807,null,12844,null,5933,null,1122,null,4219635,null,28636,null,2896170,null,28020,null,2807146,null,27697,null,89024,null,5024,null,344926,null,9895,null,421035,null,11328,null,196747,null,7842,null,106902,null,5133,null,246650,null,7151,null,7205,null,1822,null,0400000US06,California,06
1576241,null,14998,null,954518,null,10270,null,734399,null,11431,null,666922,null,11453,null,67477,null,4668,null,43598,null,2683,null,55306,null,3318,null,27136,null,2346,null,33586,null,3096,null,59222,null,4100,null,1271,null,519,null,621723,null,9795,null,425944,null,8844,null,404923,null,8571,null,21021,null,2757,null,59627,null,4065,null,53639,null,3744,null,28261,null,2653,null,24174,null,2430,null,28955,null,2552,null,1123,null,530,null,0400000US08,Colorado,08
1138848,null,12506,null,664616,null,8679,null,508198,null,8957,null,470241,null,8910,null,37957,null,2773,null,37035,null,3097,null,31251,null,3005,null,24224,null,2712,null,13050,null,1718,null,50335,null,3784,null,523,null,404,null,474232,null,7955,null,331138,null,8133,null,322458,null,8028,null,8680,null,1363,null,62716,null,3626,null,32337,null,2449,null,23470,null,2514,null,6251,null,1169,null,17718,null,2369,null,602,null,318,null,0400000US09,Connecticut,09
278196,null,6081,null,157003,null,4238,null,120335,null,4164,null,112190,null,4501,null,8145,null,1170,null,9018,null,1604,null,6107,null,1165,null,8896,null,1535,null,5440,null,1241,null,6977,null,1411,null,230,null,195,null,121193,null,3914,null,83717,null,3662,null,81304,null,3527,null,2413,null,680,null,14979,null,1782,null,4736,null,1102,null,11078,null,1547,null,3409,null,952,null,2981,null,708,null,293,null,259,null,0400000US10,Delaware,10
199845,null,5921,null,102387,null,3697,null,60638,null,3383,null,56540,null,3494,null,4098,null,1110,null,14031,null,1789,null,3713,null,763,null,2333,null,803,null,18431,null,1985,null,3196,null,1009,null,45,null,76,null,97458,null,4190,null,43422,null,3320,null,41513,null,3283,null,1909,null,702,null,20592,null,2460,null,6213,null,1561,null,2644,null,842,null,21975,null,2291,null,2612,null,874,null,0,null,300,null,0400000US11,District of Columbia,11
5660977,null,28793,null,3252182,null,21058,null,2575597,null,21963,null,2280712,null,22776,null,294885,null,7240,null,108136,null,5323,null,209695,null,8423,null,82848,null,4888,null,94115,null,5144,null,179252,null,7378,null,2539,null,750,null,2408795,null,18722,null,1758250,null,17061,null,1668744,null,17044,null,89506,null,4512,null,184311,null,5976,null,222180,null,7773,null,97995,null,5013,null,56754,null,4411,null,86269,null,5321,null,3036,null,790,null,0400000US12,Florida,12
