C17001H_001E,C17001H_001EA,C17001H_001M,C17001H_001MA,C17001H_002E,C17001H_002EA,C17001H_002M,C17001H_002MA,C17001H_003E,C17001H_003EA,C17001H_003M,C17001H_003MA,C17001H_004E,C17001H_004EA,C17001H_004M,C17001H_004MA,C17001H_005E,C17001H_005EA,C17001H_005M,C17001H_005MA,C17001H_006E,C17001H_006EA,C17001H_006M,C17001H_006MA,C17001H_007E,C17001H_007EA,C17001H_007M,C17001H_007MA,C17001H_008E,C17001H_008EA,C17001H_008M,C17001H_008MA,C17001H_009E,C17001H_009EA,C17001H_009M,C17001H_009MA,C17001H_010E,C17001H_010EA,C17001H_010M,C17001H_010MA,C17001H_011E,C17001H_011EA,C17001H_011M,C17001H_011MA,C17001H_012E,C17001H_012EA,C17001H_012M,C17001H_012MA,C17001H_013E,C17001H_013EA,C17001H_013M,C17001H_013MA,C17001H_014E,C17001H_014EA,C17001H_014M,C17001H_014MA,C17001H_015E,C17001H_015EA,C17001H_015M,C17001H_015MA,C17001H_016E,C17001H_016EA,C17001H_016M,C17001H_016MA,C17001H_017E,C17001H_017EA,C17001H_017M,C17001H_017MA,C17001H_018E,C17001H_018EA,C17001H_018M,C17001H_018MA,C17001H_019E,C17001H_019EA,C17001H_019M,C17001H_019MA,GEO_ID,NAME,state
3112208,null,3610,null,345008,null,15144,null,148389,null,8071,null,49371,null,4320,null,86602,null,5740,null,12416,null,1740,null,196619,null,9550,null,48221,null,4542,null,120188,null,6171,null,28210,null,2350,null,2767200,null,15416,null,1369489,null,7780,null,298517,null,4708,null,879143,null,5904,null,191829,null,1831,null,1397711,null,10388,null,287566,null,5510,null,863455,null,6478,null,246690,null,2742,null,0400000US01,Alabama,01
442166,null,1243,null,24479,null,3500,null,11500,null,2279,null,3007,null,1074,null,7783,null,1697,null,710,null,334,null,12979,null,1958,null,3680,null,1041,null,8606,null,1228,null,693,null,356,null,417687,null,3760,null,219528,null,2450,null,49877,null,1173,null,153608,null,1814,null,16043,null,341,null,198159,null,2109,null,45195,null,1228,null,136437,null,1483,null,16527,null,464,null,0400000US02,Alaska,02
3673288,null,4008,null,308875,null,15571,null,141183,null,9800,null,35475,null,4472,null,89567,null,6762,null,16141,null,1915,null,167692,null,8238,null,31352,null,3535,null,108484,null,5724,null,27856,null,2424,null,3364413,null,16319,null,1661823,null,10323,null,333061,null,4956,null,1040534,null,6939,null,288228,null,2031,null,1702590,null,8895,null,320548,null,4097,null,1041200,null,5995,null,340842,null,2563,null,0400000US04,Arizona,04
2096066,null,2755,null,281411,null,12340,null,126129,null,7277,null,44084,null,4051,null,71174,null,4720,null,10871,null,1406,null,155282,null,6774,null,38000,null,3301,null,93812,null,4460,null,23470,null,2224,null,1814655,null,12928,null,900135,null,7740,null,192755,null,4263,null,572438,null,5010,null,134942,null,1687,null,914520,null,7539,null,189731,null,3899,null,563159,null,4703,null,161630,null,2169,null,0400000US05,Arkansas,05
15198488,null,10950,null,1154572,null,30482,null,513430,null,15252,null,110330,null,7288,null,352462,null,10620,null,50638,null,3108,null,641142,null,19322,null,107145,null,7675,null,432321,null,13651,null,101676,null,5290,null,14043916,null,32998,null,6988072,null,15921,null,1337374,null,8547,null,4629261,null,11634,null,1021437,null,3723,null,7055844,null,22177,null,1270134,null,8756,null,4479974,null,15354,null,1305736,null,6081,null,0400000US06,California,06
3393662,null,3137,null,270086,null,12682,null,116743,null,7290,null,29514,null,3939,null,79261,null,5055,null,7968,null,1302,null,153343,null,8263,null,27979,null,4025,null,103931,null,5390,null,21433,null,1835,null,3123576,null,12510,null,1571570,null,7329,null,335979,null,4395,null,1065907,null,5363,null,169684,null,1462,null,1552006,null,8672,null,320324,null,4400,null,1027857,null,5599,null,203825,null,2028,null,0400000US08,Colorado,08
2515686,null,3951,null,120750,null,7142,null,53747,null,4516,null,15004,null,2440,null,33940,null,3315,null,4803,null,1091,null,67003,null,4804,null,10591,null,2036,null,40574,null,3635,null,15838,null,1731,null,2394936,null,8418,null,1171147,null,5191,null,259366,null,2804,null,751950,null,3813,null,159831,null,1639,null,1223789,null,5653,null,249616,null,2286,null,762903,null,4146,null,211270,null,2241,null,0400000US09,Connecticut,09
577077,null,1904,null,38983,null,3633,null,14388,null,2061,null,3177,null,1047,null,8748,null,1517,null,2463,null,917,null,24595,null,2637,null,4091,null,1174,null,16405,null,1986,null,4099,null,918,null,538094,null,3771,null,266605,null,2612,null,57392,null,1475,null,169940,null,1722,null,39273,null,998,null,271489,null,2859,null,52705,null,1522,null,169835,null,1929,null,48949,null,1004,null,0400000US10,Delaware,10
177016,null,1671,null,13082,null,2512,null,5414,null,1976,null,109,null,179,null,4925,null,1922,null,380,null,288,null,7668,null,1723,null,230,null,361,null,6595,null,1580,null,843,null,448,null,163934,null,2620,null,82890,null,2001,null,11069,null,247,null,63005,null,1962,null,8816,null,337,null,81044,null,1853,null,9869,null,448,null,61772,null,1652,null,9403,null,515,null,0400000US11,District of Columbia,11
10841345,null,8242,null,895726,null,25132,null,382591,null,15806,null,96951,null,7529,null,231878,null,11634,null,53762,null,4107,null,513135,null,13575,null,91803,null,6183,null,316435,null,9966,null,104897,null,4733,null,9945619,null,24345,null,4907556,null,15709,null,920469,null,8195,null,2974499,null,11524,null,1012588,null,4261,null,5038063,null,14494,null,875279,null,6556,null,2966010,null,10578,null,1196774,null,5568,null,0400000US12,Florida,12
5440614,null,5473,null,484420,null,18047,null,206887,null,10066,null,67848,null,4740,null,121212,null,7821,null,17827,null,1890,null,277533,null,11475,null,60412,null,6319,null,173051,null,6939,null,44070,null,3277,null,4956194,null,18586,null,2460721,null,10623,null,584363,null,5764,null,1602152,null,7788,null,274206,null,2196,null,2495473,null,12598,null,553941,null,6495,null,1592645,null,7626,null,348887,null,3236,null,0400000US13,Georgia,13
303452,null,1872,null,25539,null,3787,null,13906,null,2782,null,3119,null,1286,null,10334,null,2218,null,453,null,269,null,11633,null,2052,null,1754,null,791,null,8560,null,1605,null,1319,null,533,null,277913,null,3936,null,148369,null,2936,null,23376,null,1372,null,105563,null,2554,null,19430,null,341,null,129544,null,2033,null,22741,null,1000,null,87346,null,1601,null,19457,null,590,null,0400000US15,Hawaii,15
1253270,null,2045,null,127713,null,8068,null,53815,null,4470,null,20610,null,2742,null,29941,null,2551,null,3264,null,841,null,73898,null,5154,null,19098,null,2671,null,46382,null,3185,null,8418,null,1335,null,1125557,null,8508,null,570345,null,4907,null,141965,null,2767,null,358941,null,2893,null,69439,null,1048,null,555212,null,5479,null,134961,null,3045,null,343326,null,3374,null,76925,null,1482,null,0400000US16,Idaho,16
8147975,null,4766,null,626147,null,20316,null,274211,null,11176,null,79155,null,5340,null,172810,null,7151,null,22246,null,2068,null,351936,null,11945,null,71016,null,4869,null,227044,null,7815,null,53876,null,3163,null,7521828,null,20595,null,3723417,null,11355,null,822301,null,5589,null,2428783,null,7225,null,472333,null,2546,null,3798411,null,13332,null,785007,null,4958,null,2382205,null,8489,null,631199,null,3927,null,0400000US17,Illinois,17
5133884,null,5302,null,520749,null,14668,null,221075,null,8718,null,83175,null,5308,null,124635,null,6129,null,13265,null,1585,null,299674,null,9718,null,76543,null,5545,null,186753,null,5963,null,36378,null,2517,null,4613135,null,16355,null,2303790,null,10065,null,537843,null,5722,null,1489009,null,6642,null,276938,null,2008,null,2309345,null,10294,null,505214,null,6370,null,1443853,null,6430,null,360278,null,2826,null,0400000US18,Indiana,18
2612668,null,3515,null,245208,null,12092,null,104075,null,6679,null,29977,null,3493,null,65910,null,4006,null,8188,null,1169,null,141133,null,6820,null,29883,null,2922,null,89671,null,4442,null,21579,null,1647,null,2367460,null,12797,null,1181153,null,6903,null,273864,null,3558,null,746506,null,4388,null,160783,null,1391,null,1186307,null,7668,null,257403,null,3649,null,722828,null,4786,null,206076,null,1758,null,0400000US19,Iowa,19
2172512,null,2292,null,185753,null,9736,null,82108,null,5583,null,23757,null,3013,null,52254,null,3795,null,6097,null,944,null,103645,null,5396,null,24607,null,2793,null,63334,null,3734,null,15704,null,1228,null,1986759,null,10282,null,985939,null,6535,null,232381,null,3496,null,628825,null,4192,null,124733,null,1270,null,1000820,null,5506,null,220077,null,2956,null,620876,null,3840,null,159867,null,1594,null,0400000US20,Kansas,20
3636631,null,3892,null,569192,null,19495,null,243605,null,11037,null,84598,null,5802,null,139205,null,7085,null,19802,null,1992,null,325587,null,11303,null,85142,null,5215,null,200825,null,7550,null,39620,null,2907,null,3067439,null,19478,null,1527035,null,10547,null,340006,null,5359,null,999380,null,7161,null,187649,null,2327,null,1540404,null,11895,null,314830,null,5788,null,984576,null,7548,null,240998,null,2903,null,0400000US21,Kentucky,21
2611403,null,3055,null,290719,null,13146,null,118908,null,6958,null,41054,null,3953,null,67994,null,4543,null,9860,null,1490,null,171811,null,8780,null,35685,null,4171,null,112590,null,5998,null,23536,null,2261,null,2320684,null,13509,null,1157649,null,7474,null,254083,null,4645,null,754375,null,4807,null,149191,null,1590,null,1163035,null,8755,null,246392,null,3989,null,730218,null,6108,null,186425,null,2212,null,0400000US22,Louisiana,22
1213525,null,3400,null,136571,null,7548,null,58168,null,4166,null,17477,null,2268,null,36478,null,3325,null,4213,null,785,null,78403,null,5229,null,17239,null,2216,null,48960,null,3638,null,12204,null,1488,null,1076954,null,7854,null,533681,null,4269,null,109239,null,2496,null,348018,null,3403,null,76424,null,807,null,543273,null,5779,null,102096,null,2661,null,350985,null,4060,null,90192,null,1530,null,0400000US23,Maine,23
