B07004D_001E,B07004D_001EA,B07004D_001M,B07004D_001MA,B07004D_002E,B07004D_002EA,B07004D_002M,B07004D_002MA,B07004D_003E,B07004D_003EA,B07004D_003M,B07004D_003MA,B07004D_004E,B07004D_004EA,B07004D_004M,B07004D_004MA,B07004D_005E,B07004D_005EA,B07004D_005M,B07004D_005MA,B07004D_006E,B07004D_006EA,B07004D_006M,B07004D_006MA,GEO_ID,NAME,state
44011,null,3186,null,34951,null,3087,null,4266,null,1772,null,1532,null,784,null,1363,null,591,null,1899,null,794,null,0400000US01,Alabama,01
32517,null,1993,null,25572,null,1957,null,3486,null,1323,null,767,null,666,null,1270,null,625,null,1422,null,790,null,0400000US02,Alaska,02
149389,null,3448,null,116144,null,4651,null,18703,null,3049,null,1059,null,643,null,7278,null,1875,null,6205,null,1706,null,0400000US04,Arizona,04
33852,null,2994,null,26238,null,3543,null,2610,null,1203,null,1397,null,652,null,2309,null,1471,null,1298,null,657,null,0400000US05,Arkansas,05
4459769,null,14420,null,3807621,null,24052,null,371568,null,18294,null,128941,null,9882,null,56714,null,6556,null,94925,null,7568,null,0400000US06,California,06
129897,null,3269,null,105268,null,3249,null,12367,null,2247,null,3484,null,1142,null,5461,null,1442,null,3317,null,1228,null,0400000US08,Colorado,08
116881,null,2122,null,97229,null,3057,null,7732,null,2467,null,2880,null,1292,null,5208,null,1604,null,3832,null,1154,null,0400000US09,Connecticut,09
25079,null,1346,null,20212,null,1761,null,2563,null,1067,null,0,null,261,null,1472,null,860,null,832,null,406,null,0400000US10,Delaware,10
17917,null,1259,null,11557,null,1457,null,1946,null,709,null,0,null,300,null,2703,null,1200,null,1711,null,993,null,0400000US11,District of Columbia,11
405109,null,5383,null,335308,null,7460,null,30665,null,4552,null,13339,null,3130,null,11275,null,2405,null,14522,null,2898,null,0400000US12,Florida,12
261552,null,4397,null,208080,null,6359,null,22114,null,4019,null,11844,null,2355,null,13550,null,3044,null,5964,null,1454,null,0400000US13,Georgia,13
494052,null,8737,null,444259,null,8888,null,34844,null,5606,null,2652,null,1160,null,5105,null,1306,null,7192,null,1871,null,0400000US15,Hawaii,15
16745,null,1814,null,13020,null,1748,null,913,null,436,null,453,null,296,null,1202,null,772,null,1157,null,687,null,0400000US16,Idaho,16
544139,null,4326,null,449749,null,8545,null,44677,null,5836,null,13364,null,2587,null,15974,null,2944,null,20375,null,3963,null,0400000US17,Illinois,17
82122,null,2655,null,60542,null,3167,null,7522,null,1669,null,2222,null,819,null,5232,null,1656,null,6604,null,1449,null,0400000US18,Indiana,18
47627,null,2049,null,32897,null,2853,null,7385,null,2756,null,1539,null,632,null,3355,null,1088,null,2451,null,1283,null,0400000US19,Iowa,19
59156,null,2280,null,44324,null,3440,null,6508,null,2182,null,1368,null,728,null,2681,null,1193,null,4275,null,1666,null,0400000US20,Kansas,20
