C17001I_001E,C17001I_001EA,C17001I_001M,C17001I_001MA,C17001I_002E,C17001I_002EA,C17001I_002M,C17001I_002MA,C17001I_003E,C17001I_003EA,C17001I_003M,C17001I_003MA,C17001I_004E,C17001I_004EA,C17001I_004M,C17001I_004MA,C17001I_005E,C17001I_005EA,C17001I_005M,C17001I_005MA,C17001I_006E,C17001I_006EA,C17001I_006M,C17001I_006MA,C17001I_007E,C17001I_007EA,C17001I_007M,C17001I_007MA,C17001I_008E,C17001I_008EA,C17001I_008M,C17001I_008MA,C17001I_009E,C17001I_009EA,C17001I_009M,C17001I_009MA,C17001I_010E,C17001I_010EA,C17001I_010M,C17001I_010MA,C17001I_011E,C17001I_011EA,C17001I_011M,C17001I_011MA,C17001I_012E,C17001I_012EA,C17001I_012M,C17001I_012MA,C17001I_013E,C17001I_013EA,C17001I_013M,C17001I_013MA,C17001I_014E,C17001I_014EA,C17001I_014M,C17001I_014MA,C17001I_015E,C17001I_015EA,C17001I_015M,C17001I_015MA,C17001I_016E,C17001I_016EA,C17001I_016M,C17001I_016MA,C17001I_017E,C17001I_017EA,C17001I_017M,C17001I_017MA,C17001I_018E,C17001I_018EA,C17001I_018M,C17001I_018MA,C17001I_019E,C17001I_019EA,C17001I_019M,C17001I_019MA,GEO_ID,NAME,state
117206,null,1415,null,33098,null,4483,null,14824,null,2250,null,7026,null,1481,null,7637,null,1231,null,161,null,274,null,18274,null,3021,null,8422,null,1838,null,9510,null,1593,null,342,null,273,null,84108,null,4526,null,48454,null,2669,null,14330,null,1801,null,32479,null,1818,null,1645,null,613,null,35654,null,2880,null,14546,null,2073,null,19630,null,1565,null,1478,null,585,null,0400000US01,Alabama,01
37264,null,966,null,4128,null,1447,null,2936,null,1051,null,1303,null,677,null,1633,null,698,null,0,null,237,null,1192,null,562,null,333,null,237,null,859,null,397,null,0,null,237,null,33136,null,1603,null,17207,null,1324,null,5824,null,1027,null,11122,null,896,null,261,null,217,null,15929,null,1087,null,5844,null,843,null,9579,null,711,null,506,null,333,null,0400000US02,Alaska,02
1844978,null,3730,null,405706,null,21264,null,188829,null,9992,null,99497,null,6221,null,83136,null,5568,null,6196,null,1097,null,216877,null,12895,null,97584,null,7455,null,109915,null,6875,null,9378,null,1632,null,1439272,null,21708,null,761216,null,10326,null,253970,null,6359,null,475370,null,6033,null,31876,null,1236,null,678056,null,13318,null,238575,null,8011,null,400843,null,6977,null,38638,null,1899,null,0400000US04,Arizona,04
143022,null,1384,null,40917,null,5442,null,18201,null,3090,null,9823,null,2032,null,8242,null,1914,null,136,null,208,null,22716,null,3167,null,11878,null,2176,null,10318,null,1490,null,520,null,339,null,102105,null,5177,null,59207,null,3083,null,18997,null,1849,null,38717,null,2575,null,1493,null,744,null,42898,null,3705,null,15794,null,2092,null,26391,null,2262,null,713,null,413,null,0400000US05,Arkansas,05
12971865,null,8896,null,2304991,null,41714,null,1060632,null,21779,null,550924,null,14780,null,481619,null,12324,null,28089,null,2678,null,1244359,null,25007,null,513089,null,15074,null,676910,null,13151,null,54360,null,3541,null,10666874,null,41870,null,5563618,null,21327,null,1750674,null,14323,null,3559544,null,12656,null,253400,null,2975,null,5103256,null,25085,null,1685122,null,15272,null,3094220,null,13196,null,323914,null,4152,null,0400000US06,California,06
942886,null,2569,null,228496,null,14501,null,106153,null,7217,null,52576,null,4668,null,50824,null,4273,null,2753,null,798,null,122343,null,8410,null,54156,null,4862,null,63967,null,4837,null,4220,null,843,null,714390,null,14235,null,386142,null,7388,null,117534,null,4771,null,250482,null,4370,null,18126,null,1048,null,328248,null,8373,null,106412,null,4896,null,199143,null,4860,null,22693,null,1218,null,0400000US08,Colorado,08
388427,null,1750,null,82640,null,6527,null,34683,null,3304,null,19473,null,2766,null,13680,null,1972,null,1530,null,592,null,47957,null,4513,null,18005,null,2384,null,27205,null,2918,null,2747,null,782,null,305787,null,6377,null,159045,null,3341,null,46278,null,2781,null,106870,null,2146,null,5897,null,715,null,146742,null,4664,null,44948,null,2660,null,94412,null,2861,null,7382,null,966,null,0400000US09,Connecticut,09
54220,null,666,null,13847,null,3183,null,6603,null,1890,null,3517,null,1311,null,2955,null,982,null,131,null,165,null,7244,null,1916,null,2767,null,816,null,4264,null,1280,null,213,null,287,null,40373,null,3253,null,22273,null,1689,null,7302,null,1166,null,14393,null,1112,null,578,null,375,null,18100,null,2143,null,7050,null,1142,null,10367,null,1232,null,683,null,412,null,0400000US10,Delaware,10
48107,null,402,null,5317,null,2068,null,1738,null,943,null,280,null,262,null,1349,null,841,null,109,null,149,null,3579,null,1660,null,971,null,1043,null,2056,null,838,null,552,null,282,null,42790,null,2127,null,23499,null,1017,null,5534,null,427,null,17096,null,880,null,869,null,149,null,19291,null,1740,null,4411,null,1116,null,13723,null,882,null,1157,null,298,null,0400000US11,District of Columbia,11
3698182,null,4263,null,590096,null,21032,null,261117,null,11750,null,104735,null,7571,null,126353,null,6742,null,30029,null,2707,null,328979,null,13451,null,100228,null,7131,null,181504,null,8046,null,47247,null,3453,null,3108086,null,21645,null,1605555,null,12168,null,395954,null,7567,null,1080525,null,7319,null,129076,null,2706,null,1502531,null,13421,null,370599,null,7409,null,958302,null,8012,null,173630,null,3841,null,0400000US12,Florida,12
712267,null,3744,null,169240,null,11901,null,89559,null,7543,null,43420,null,4528,null,45114,null,5132,null,1025,null,609,null,79681,null,6502,null,35998,null,3785,null,41772,null,3857,null,1911,null,736,null,543027,null,12139,null,313135,null,7723,null,93299,null,5020,null,214354,null,5073,null,5482,null,1333,null,229892,null,6810,null,89465,null,4329,null,131486,null,4234,null,8941,null,1103,null,0400000US13,Georgia,13
103064,null,633,null,11095,null,2734,null,5171,null,1547,null,2258,null,899,null,2701,null,930,null,212,null,236,null,5924,null,1483,null,2450,null,825,null,3270,null,950,null,204,null,167,null,91969,null,2862,null,48473,null,1954,null,17294,null,1257,null,29225,null,1106,null,1954,null,237,null,43496,null,1734,null,15449,null,1112,null,25173,null,1057,null,2874,null,469,null,0400000US15,Hawaii,15
144125,null,691,null,35478,null,5336,null,15858,null,2881,null,9414,null,2060,null,6338,null,1203,null,106,null,132,null,19620,null,2835,null,8596,null,1674,null,10203,null,1597,null,821,null,424,null,108647,null,5381,null,60331,null,3034,null,21615,null,2067,null,37153,null,1392,null,1563,null,543,null,48316,null,3169,null,20323,null,1939,null,26460,null,1615,null,1533,null,538,null,0400000US16,Idaho,16
