C01001I_001E,C01001I_001EA,C01001I_001M,C01001I_001MA,C01001I_002E,C01001I_002EA,C01001I_002M,C01001I_002MA,C01001I_003E,C01001I_003EA,C01001I_003M,C01001I_003MA,C01001I_004E,C01001I_004EA,C01001I_004M,C01001I_004MA,C01001I_005E,C01001I_005EA,C01001I_005M,C01001I_005MA,C01001I_006E,C01001I_006EA,C01001I_006M,C01001I_006MA,C01001I_007E,C01001I_007EA,C01001I_007M,C01001I_007MA,C01001I_008E,C01001I_008EA,C01001I_008M,C01001I_008MA,C01001I_009E,C01001I_009EA,C01001I_009M,C01001I_009MA,GEO_ID,NAME,state
119415,null,1324,null,64723,null,2126,null,21668,null,1874,null,41213,null,1414,null,1842,null,740,null,54692,null,2171,null,23050,null,1779,null,29779,null,1267,null,1863,null,623,null,0400000US01,Alabama,01
38440,null,799,null,20973,null,1019,null,7236,null,831,null,13476,null,842,null,261,null,217,null,17467,null,896,null,6273,null,762,null,10688,null,606,null,506,null,333,null,0400000US02,Alaska,02
1881719,null,1390,null,977387,null,1663,null,361175,null,1506,null,577647,null,946,null,38565,null,690,null,904332,null,1692,null,341619,null,1466,null,513953,null,880,null,48760,null,721,null,0400000US04,Arizona,04
146542,null,1151,null,79934,null,2615,null,29303,null,1650,null,48948,null,2339,null,1683,null,772,null,66608,null,2318,null,28031,null,1401,null,37344,null,1621,null,1233,null,503,null,0400000US05,Arkansas,05
13220888,null,0,*****,6795931,null,1732,null,2348098,null,1623,null,4160904,null,1495,null,286929,null,1250,null,6424957,null,1733,null,2239181,null,1580,null,3798648,null,1436,null,387128,null,1376,null,0400000US06,California,06
965884,null,0,*****,509478,null,2259,null,173500,null,1815,null,314166,null,1360,null,21812,null,844,null,456406,null,2257,null,162971,null,1813,null,265397,null,1322,null,28038,null,927,null,0400000US08,Colorado,08
403375,null,0,*****,203579,null,1150,null,67565,null,1222,null,128252,null,891,null,7762,null,338,null,199796,null,1150,null,65093,null,1171,null,123910,null,579,null,10793,null,443,null,0400000US09,Connecticut,09
56153,null,0,*****,29890,null,694,null,11092,null,636,null,18089,null,451,null,709,null,420,null,26263,null,693,null,10324,null,636,null,15043,null,525,null,896,null,502,null,0400000US10,Delaware,10
49016,null,0,*****,25765,null,432,null,5814,null,431,null,18973,null,0,*****,978,null,0,*****,23251,null,432,null,5382,null,432,null,16111,null,0,*****,1758,null,0,*****,0400000US11,District of Columbia,11
3757424,null,1943,null,1905799,null,3000,null,508856,null,2466,null,1233558,null,2021,null,163385,null,1105,null,1851625,null,2725,null,477365,null,2529,null,1145584,null,1733,null,228676,null,1279,null,0400000US12,Florida,12
729116,null,3314,null,414818,null,3721,null,139344,null,3141,null,268822,null,3039,null,6652,null,1365,null,314298,null,3835,null,127946,null,3130,null,175454,null,2425,null,10898,null,1138,null,0400000US13,Georgia,13
105171,null,0,*****,55137,null,926,null,19552,null,876,null,33375,null,309,null,2210,null,338,null,50034,null,926,null,17934,null,875,null,28934,null,333,null,3166,null,450,null,0400000US15,Hawaii,15
147427,null,0,*****,78645,null,1453,null,31262,null,1069,null,45564,null,823,null,1819,null,552,null,68782,null,1454,null,29180,null,1219,null,37052,null,910,null,2550,null,691,null,0400000US16,Idaho,16
1917420,null,1850,null,1014834,null,2268,null,342371,null,1441,null,638670,null,1643,null,33793,null,512,null,902586,null,1812,null,325533,null,1526,null,535054,null,1360,null,41999,null,830,null,0400000US17,Illinois,17
312863,null,1435,null,169029,null,2478,null,59937,null,1886,null,104185,null,1784,null,4907,null,689,null,143834,null,2401,null,55678,null,2040,null,82625,null,1675,null,5531,null,745,null,0400000US18,Indiana,18
119716,null,1637,null,63068,null,1790,null,24319,null,1365,null,37395,null,1307,null,1354,null,550,null,56648,null,2121,null,23308,null,1483,null,30840,null,1315,null,2500,null,792,null,0400000US19,Iowa,19
