C18023_001E,C18023_001EA,C18023_001M,C18023_001MA,C18023_002E,C18023_002EA,C18023_002M,C18023_002MA,C18023_003E,C18023_003EA,C18023_003M,C18023_003MA,C18023_004E,C18023_004EA,C18023_004M,C18023_004MA,C18023_005E,C18023_005EA,C18023_005M,C18023_005MA,C18023_006E,C18023_006EA,C18023_006M,C18023_006MA,C18023_007E,C18023_007EA,C18023_007M,C18023_007MA,C18023_008E,C18023_008EA,C18023_008M,C18023_008MA,C18023_009E,C18023_009EA,C18023_009M,C18023_009MA,C18023_010E,C18023_010EA,C18023_010M,C18023_010MA,C18023_011E,C18023_011EA,C18023_011M,C18023_011MA,C18023_012E,C18023_012EA,C18023_012M,C18023_012MA,C18023_013E,C18023_013EA,C18023_013M,C18023_013MA,C18023_014E,C18023_014EA,C18023_014M,C18023_014MA,C18023_015E,C18023_015EA,C18023_015M,C18023_015MA,GEO_ID,NAME,state
2956627,null,5820,null,202574,null,6977,null,96542,null,5371,null,21324,null,2072,null,75218,null,4712,null,106032,null,4452,null,19958,null,2236,null,86074,null,4401,null,2754053,null,9405,null,1334024,null,7113,null,1018563,null,10560,null,315461,null,7275,null,1420029,null,5572,null,888514,null,9884,null,531515,null,8847,null,0400000US01,Alabama,01
457758,null,2791,null,25043,null,2625,null,11354,null,1544,null,4194,null,1235,null,7160,null,1168,null,13689,null,2292,null,3239,null,931,null,10450,null,1929,null,432715,null,3722,null,222337,null,3040,null,169228,null,3383,null,53109,null,3234,null,210378,null,2932,null,143866,null,2945,null,66512,null,3028,null,0400000US02,Alaska,02
3958827,null,4939,null,172371,null,7437,null,84864,null,5039,null,25641,null,2819,null,59223,null,4326,null,87507,null,4910,null,21693,null,2502,null,65814,null,4577,null,3786456,null,9284,null,1900366,null,6665,null,1482975,null,10607,null,417391,null,10573,null,1886090,null,5855,null,1202897,null,11057,null,683193,null,10787,null,0400000US04,Arizona,04
1783300,null,4047,null,129650,null,7302,null,64274,null,5050,null,16032,null,2224,null,48242,null,4093,null,65376,null,4547,null,13404,null,1773,null,51972,null,3801,null,1653650,null,8322,null,808762,null,6364,null,611649,null,7248,null,197113,null,5540,null,844888,null,4836,null,546767,null,8383,null,298121,null,7557,null,0400000US05,Arkansas,05
23813857,null,10948,null,962122,null,21393,null,481793,null,13039,null,133806,null,6985,null,347987,null,9875,null,480329,null,12660,null,113055,null,5583,null,367274,null,10874,null,22851735,null,22109,null,11447692,null,14974,null,8844563,null,24098,null,2603129,null,24775,null,11404043,null,15063,null,7195293,null,29593,null,4208750,null,28690,null,0400000US06,California,06
3244377,null,4392,null,134193,null,6261,null,70125,null,4757,null,26234,null,3640,null,43891,null,3464,null,64068,null,3986,null,20228,null,2636,null,43840,null,3724,null,3110184,null,7426,null,1571359,null,6038,null,1291196,null,8675,null,280163,null,8376,null,1538825,null,5192,null,1070643,null,8959,null,468182,null,8849,null,0400000US08,Colorado,08
2280955,null,3659,null,88249,null,5123,null,42906,null,3485,null,15825,null,2083,null,27081,null,2767,null,45343,null,2908,null,15289,null,1711,null,30054,null,2710,null,2192706,null,6050,null,1074769,null,4218,null,867114,null,6623,null,207655,null,7269,null,1117937,null,3922,null,794335,null,7091,null,323602,null,6876,null,0400000US09,Connecticut,09
557332,null,1905,null,23666,null,2473,null,10778,null,1412,null,3790,null,997,null,6988,null,1143,null,12888,null,1931,null,4607,null,1206,null,8281,null,1542,null,533666,null,2978,null,257567,null,1878,null,201852,null,3912,null,55715,null,3456,null,276099,null,2149,null,189064,null,4272,null,87035,null,4126,null,0400000US10,Delaware,10
404199,null,1682,null,18650,null,2037,null,9532,null,1469,null,2088,null,763,null,7444,null,1405,null,9118,null,1693,null,2037,null,748,null,7081,null,1438,null,385549,null,2440,null,179400,null,2161,null,130726,null,3295,null,48674,null,3352,null,206149,null,1913,null,144397,null,4025,null,61752,null,3734,null,0400000US11,District of Columbia,11
11362681,null,10312,null,491917,null,11378,null,251593,null,8440,null,71661,null,5175,null,179932,null,7347,null,240324,null,7297,null,60255,null,3592,null,180069,null,6558,null,10870764,null,14207,null,5326866,null,10447,null,4152794,null,16975,null,1174072,null,17267,null,5543898,null,9769,null,3689290,null,19581,null,1854608,null,20046,null,0400000US12,Florida,12
6197084,null,6330,null,285530,null,8794,null,139195,null,6178,null,38165,null,3675,null,101030,null,5186,null,146335,null,6815,null,31081,null,3328,null,115254,null,5362,null,5911554,null,10201,null,2880610,null,8340,null,2237908,null,13984,null,642702,null,12771,null,3030944,null,8630,null,1972408,null,12969,null,1058536,null,12401,null,0400000US13,Georgia,13
804033,null,3163,null,27547,null,2746,null,16076,null,1811,null,4053,null,1238,null,12023,null,1404,null,11471,null,1754,null,2550,null,808,null,8921,null,1423,null,776486,null,4347,null,382140,null,3292,null,298735,null,4747,null,83405,null,3959,null,394346,null,2509,null,272814,null,4784,null,121532,null,4423,null,0400000US15,Hawaii,15
945567,null,3152,null,43571,null,3607,null,21670,null,2295,null,7835,null,1769,null,13835,null,1642,null,21901,null,2581,null,6985,null,1387,null,14916,null,2001,null,901996,null,4798,null,452640,null,3576,null,371663,null,4434,null,80977,null,4160,null,449356,null,3330,null,302907,null,5140,null,146449,null,4979,null,0400000US16,Idaho,16
8371247,null,6306,null,304122,null,8895,null,156284,null,6159,null,46999,null,3387,null,109285,null,5181,null,147838,null,6922,null,41643,null,3456,null,106195,null,5631,null,8067125,null,10331,null,4003567,null,7997,null,3118934,null,13849,null,884633,null,12650,null,4063558,null,8386,null,2743951,null,14726,null,1319607,null,14174,null,0400000US17,Illinois,17
4096381,null,4067,null,210225,null,7868,null,103887,null,5025,null,31853,null,2849,null,72034,null,3819,null,106338,null,5221,null,26630,null,2524,null,79708,null,4503,null,3886156,null,8466,null,1928106,null,5634,null,1523378,null,10548,null,404728,null,9347,null,1958050,null,6112,null,1328893,null,10083,null,629157,null,10239,null,0400000US18,Indiana,18
1906124,null,3017,null,97520,null,5005,null,51632,null,3262,null,21122,null,2112,null,30510,null,2497,null,45888,null,3285,null,15870,null,1765,null,30018,null,2717,null,1808604,null,6027,null,904248,null,4257,null,756414,null,5990,null,147834,null,5104,null,904356,null,4031,null,681916,null,6231,null,222440,null,5724,null,0400000US19,Iowa,19
1772004,null,4069,null,81840,null,4665,null,43053,null,3057,null,15529,null,1937,null,27524,null,2324,null,38787,null,3443,null,11487,null,1816,null,27300,null,2532,null,1690164,null,5982,null,842407,null,4457,null,690371,null,6993,null,152036,null,5898,null,847757,null,4282,null,616829,null,6930,null,230928,null,5825,null,0400000US20,Kansas,20
2758808,null,4362,null,205187,null,7452,null,102179,null,5080,null,23431,null,2718,null,78748,null,4495,null,103008,null,4981,null,19905,null,2424,null,83103,null,4369,null,2553621,null,8439,null,1248153,null,6424,null,940368,null,9744,null,307785,null,8913,null,1305468,null,5883,null,854124,null,8859,null,451344,null,8334,null,0400000US21,Kentucky,21
2748761,null,4585,null,168052,null,6605,null,82722,null,5191,null,20978,null,2404,null,61744,null,4608,null,85330,null,4635,null,21831,null,2175,null,63499,null,4041,null,2580709,null,7803,null,1240385,null,6683,null,938332,null,10688,null,302053,null,8668,null,1340324,null,5030,null,836032,null,11414,null,504292,null,11524,null,0400000US22,Louisiana,22
