B10001_001E,B10001_001EA,B10001_001M,B10001_001MA,B10001_002E,B10001_002EA,B10001_002M,B10001_002MA,B10001_003E,B10001_003EA,B10001_003M,B10001_003MA,B10001_004E,B10001_004EA,B10001_004M,B10001_004MA,GEO_ID,NAME,state
101230,null,6321,null,43916,null,3627,null,31980,null,3257,null,25334,null,2801,null,0400000US01,Alabama,01
10620,null,2116,null,5505,null,1487,null,2655,null,870,null,2460,null,609,null,0400000US02,Alaska,02
127049,null,9769,null,65827,null,6726,null,36709,null,3494,null,24513,null,3423,null,0400000US04,Arizona,04
59742,null,5249,null,26715,null,3265,null,19452,null,2344,null,13575,null,2386,null,0400000US05,Arkansas,05
629275,null,18439,null,313132,null,12030,null,185979,null,8092,null,130164,null,6687,null,0400000US06,California,06
58568,null,4698,null,27599,null,2844,null,19176,null,2683,null,11793,null,1835,null,0400000US08,Colorado,08
36078,null,3878,null,16964,null,2349,null,10153,null,1868,null,8961,null,1624,null,0400000US09,Connecticut,09
14204,null,2271,null,6287,null,1636,null,3927,null,1036,null,3990,null,1091,null,0400000US10,Delaware,10
15129,null,3258,null,6082,null,1680,null,3493,null,1347,null,5554,null,1660,null,0400000US11,District of Columbia,11
288248,null,14123,null,138616,null,7978,null,78910,null,6317,null,70722,null,5568,null,0400000US12,Florida,12
192677,null,9589,null,87071,null,5951,null,59615,null,4646,null,45991,null,4161,null,0400000US13,Georgia,13
36968,null,3763,null,17177,null,2365,null,10821,null,1776,null,8970,null,1300,null,0400000US15,Hawaii,15
14815,null,2290,null,5980,null,1326,null,4982,null,1323,null,3853,null,941,null,0400000US16,Idaho,16
197466,null,9114,null,96767,null,5408,null,54475,null,4358,null,46224,null,3838,null,0400000US17,Illinois,17
86397,null,5744,null,42658,null,3819,null,24756,null,3053,null,18983,null,2608,null,0400000US18,Indiana,18
25011,null,2757,null,13411,null,2113,null,6623,null,1211,null,4977,null,1373,null,0400000US19,Iowa,19
32024,null,3629,null,15678,null,2178,null,9359,null,1831,null,6987,null,1409,null,0400000US20,Kansas,20
63821,null,5129,null,26978,null,3363,null,19127,null,2180,null,17716,null,2610,null,0400000US21,Kentucky,21
111818,null,8045,null,51223,null,4243,null,34060,null,3974,null,26535,null,3460,null,0400000US22,Louisiana,22
11233,null,1908,null,5362,null,1241,null,2404,null,620,null,3467,null,984,null,0400000US23,Maine,23
98377,null,6855,null,43554,null,4297,null,30055,null,3115,null,24768,null,2867,null,0400000US24,Maryland,24
62251,null,4780,null,26602,null,3144,null,18718,null,2544,null,16931,null,2771,null,0400000US25,Massachusetts,25
121532,null,6916,null,58078,null,4154,null,32835,null,3524,null,30619,null,2739,null,0400000US26,Michigan,26
38401,null,3607,null,20841,null,2760,null,9813,null,1525,null,7747,null,1283,null,0400000US27,Minnesota,27
88609,null,5910,null,40241,null,4244,null,26594,null,2558,null,21774,null,3035,null,0400000US28,Mississippi,28
84450,null,6854,null,40404,null,3545,null,23783,null,3167,null,20263,null,2572,null,0400000US29,Missouri,29
11510,null,1763,null,4953,null,1053,null,3174,null,840,null,3383,null,842,null,0400000US30,Montana,30
16030,null,2592,null,7639,null,1554,null,4520,null,1101,null,3871,null,1077,null,0400000US31,Nebraska,31
