C08406_001E,C08406_001EA,C08406_001M,C08406_001MA,C08406_002E,C08406_002EA,C08406_002M,C08406_002MA,C08406_003E,C08406_003EA,C08406_003M,C08406_003MA,C08406_004E,C08406_004EA,C08406_004M,C08406_004MA,C08406_005E,C08406_005EA,C08406_005M,C08406_005MA,C08406_006E,C08406_006EA,C08406_006M,C08406_006MA,C08406_007E,C08406_007EA,C08406_007M,C08406_007MA,C08406_008E,C08406_008EA,C08406_008M,C08406_008MA,C08406_009E,C08406_009EA,C08406_009M,C08406_009MA,C08406_010E,C08406_010EA,C08406_010M,C08406_010MA,C08406_011E,C08406_011EA,C08406_011M,C08406_011MA,C08406_012E,C08406_012EA,C08406_012M,C08406_012MA,C08406_013E,C08406_013EA,C08406_013M,C08406_013MA,C08406_014E,C08406_014EA,C08406_014M,C08406_014MA,C08406_015E,C08406_015EA,C08406_015M,C08406_015MA,C08406_016E,C08406_016EA,C08406_016M,C08406_016MA,C08406_017E,C08406_017EA,C08406_017M,C08406_017MA,C08406_018E,C08406_018EA,C08406_018M,C08406_018MA,C08406_019E,C08406_019EA,C08406_019M,C08406_019MA,C08406_020E,C08406_020EA,C08406_020M,C08406_020MA,C08406_021E,C08406_021EA,C08406_021M,C08406_021MA,C08406_022E,C08406_022EA,C08406_022M,C08406_022MA,C08406_023E,C08406_023EA,C08406_023M,C08406_023MA,C08406_024E,C08406_024EA,C08406_024M,C08406_024MA,C08406_025E,C08406_025EA,C08406_025M,C08406_025MA,C08406_026E,C08406_026EA,C08406_026M,C08406_026MA,C08406_027E,C08406_027EA,C08406_027M,C08406_027MA,C08406_028E,C08406_028EA,C08406_028M,C08406_028MA,C08406_029E,C08406_029EA,C08406_029M,C08406_029MA,C08406_030E,C08406_030EA,C08406_030M,C08406_030MA,C08406_031E,C08406_031EA,C08406_031M,C08406_031MA,C08406_032E,C08406_032EA,C08406_032M,C08406_032MA,C08406_033E,C08406_033EA,C08406_033M,C08406_033MA,GEO_ID,NAME,state
1943541,null,17358,null,1838482,null,17379,null,1619932,null,16366,null,218550,null,8671,null,168467,null,7551,null,29344,null,3367,null,20739,null,2770,null,7896,null,1556,null,25741,null,2887,null,20877,null,2596,null,50545,null,3217,null,1051797,null,11374,null,988845,null,10914,null,862872,null,10127,null,125973,null,5877,null,95997,null,5131,null,16146,null,2272,null,13830,null,2254,null,3160,null,990,null,16062,null,2198,null,15074,null,2191,null,28656,null,2198,null,891744,null,11539,null,849637,null,11631,null,757060,null,11407,null,92577,null,5059,null,72470,null,4248,null,13198,null,2145,null,6909,null,1475,null,4736,null,1110,null,9679,null,1767,null,5803,null,1463,null,21889,null,2270,null,0400000US01,Alabama,01
335039,null,5319,null,264535,null,5708,null,219908,null,5959,null,44627,null,4014,null,35706,null,3265,null,4648,null,1002,null,4273,null,1300,null,4862,null,1054,null,28404,null,2291,null,17629,null,2199,null,19609,null,2190,null,189174,null,4120,null,144294,null,3874,null,119823,null,4216,null,24471,null,2606,null,18487,null,2072,null,3309,null,912,null,2675,null,1098,null,2725,null,777,null,17406,null,1824,null,11918,null,1748,null,12831,null,1746,null,145865,null,3284,null,120241,null,3399,null,100085,null,3563,null,20156,null,2192,null,17219,null,1969,null,1339,null,440,null,1598,null,749,null,2137,null,892,null,10998,null,1313,null,5711,null,940,null,6778,null,1200,null,0400000US02,Alaska,02
2753513,null,16653,null,2432435,null,20909,null,2060864,null,19396,null,371571,null,12327,null,288349,null,10959,null,45953,null,5002,null,37269,null,5159,null,58941,null,5349,null,61645,null,4611,null,65926,null,4560,null,134566,null,7156,null,1534768,null,11164,null,1351383,null,14070,null,1133284,null,14995,null,218099,null,9897,null,161498,null,8169,null,28993,null,4157,null,27608,null,4871,null,29645,null,3539,null,35475,null,3796,null,49643,null,3986,null,68622,null,4883,null,1218745,null,10957,null,1081052,null,12039,null,927580,null,10659,null,153472,null,6408,null,126851,null,6056,null,16960,null,2105,null,9661,null,1670,null,29296,null,3952,null,26170,null,2694,null,16283,null,1876,null,65944,null,3991,null,0400000US04,Arizona,04
1215761,null,12042,null,1130815,null,12264,null,981514,null,13162,null,149301,null,6882,null,119881,null,5729,null,17740,null,2540,null,11680,null,1844,null,5978,null,1387,null,19499,null,2094,null,17231,null,2298,null,42238,null,3410,null,652192,null,8379,null,604899,null,9018,null,522146,null,9101,null,82753,null,4718,null,65388,null,4011,null,9707,null,1883,null,7658,null,1685,null,3291,null,1100,null,11630,null,1823,null,10572,null,1710,null,21800,null,2453,null,563569,null,7786,null,525916,null,7543,null,459368,null,8157,null,66548,null,4692,null,54493,null,3776,null,8033,null,1590,null,4022,null,1018,null,2687,null,860,null,7869,null,1450,null,6659,null,1422,null,20438,null,2150,null,0400000US05,Arkansas,05
16419565,null,42800,null,13962703,null,40491,null,12015759,null,47558,null,1946944,null,27340,null,1456478,null,21775,null,289693,null,12091,null,200773,null,11857,null,840521,null,18991,null,461140,null,13649,null,367858,null,12012,null,787343,null,14812,null,9169616,null,27089,null,7834545,null,30571,null,6710132,null,36206,null,1124413,null,22864,null,821738,null,18339,null,172757,null,9289,null,129918,null,9000,null,428202,null,11696,null,246686,null,10614,null,261270,null,10903,null,398913,null,10427,null,7249949,null,28490,null,6128158,null,26093,null,5305627,null,28643,null,822531,null,13415,null,634740,null,12059,null,116936,null,5932,null,70855,null,5222,null,412319,null,12612,null,214454,null,8171,null,106588,null,5763,null,388430,null,10224,null,0400000US06,California,06
2435073,null,13940,null,2074697,null,15443,null,1817372,null,14380,null,257325,null,9888,null,204139,null,9168,null,33457,null,3858,null,19729,null,2946,null,82218,null,6419,null,77077,null,4627,null,54540,null,4380,null,146541,null,6072,null,1348411,null,10074,null,1144153,null,11422,null,996966,null,11004,null,147187,null,7169,null,115041,null,6400,null,19054,null,3055,null,13092,null,2482,null,44830,null,4592,null,45163,null,3790,null,38974,null,3606,null,75291,null,4478,null,1086662,null,9809,null,930544,null,10244,null,820406,null,10077,null,110138,null,5714,null,89098,null,5127,null,14403,null,1982,null,6637,null,1290,null,37388,null,3807,null,31914,null,2510,null,15566,null,1837,null,71250,null,3807,null,0400000US08,Colorado,08
1709091,null,12320,null,1515932,null,13142,null,1379664,null,12571,null,136268,null,7251,null,108904,null,5864,null,15132,null,2035,null,12232,null,1800,null,53206,null,4277,null,51644,null,4243,null,23218,null,2888,null,65091,null,3752,null,891755,null,9025,null,785728,null,9415,null,707806,null,8721,null,77922,null,5299,null,60829,null,4213,null,9561,null,1740,null,7532,null,1667,null,25282,null,3254,null,29779,null,3143,null,16414,null,2346,null,34552,null,2812,null,817336,null,8176,null,730204,null,8461,null,671858,null,9121,null,58346,null,3699,null,48075,null,3118,null,5571,null,983,null,4700,null,1048,null,27924,null,2808,null,21865,null,2087,null,6804,null,1497,null,30539,null,1994,null,0400000US09,Connecticut,09
413937,null,8689,null,376226,null,9437,null,332193,null,8821,null,44033,null,3766,null,35444,null,3355,null,4932,null,1237,null,3657,null,948,null,9156,null,1670,null,10434,null,1793,null,5279,null,1251,null,12842,null,1913,null,214563,null,5130,null,195095,null,5492,null,171027,null,5426,null,24068,null,2410,null,19143,null,2268,null,2333,null,880,null,2592,null,888,null,4085,null,1204,null,5667,null,1171,null,3789,null,1099,null,5927,null,1345,null,199374,null,5657,null,181131,null,5888,null,161166,null,5432,null,19965,null,2412,null,16301,null,2178,null,2599,null,778,null,1065,null,410,null,5071,null,1123,null,4767,null,1145,null,1490,null,550,null,6915,null,1141,null,0400000US10,Delaware,10
717403,null,11693,null,396100,null,10135,null,319928,null,9204,null,76172,null,4854,null,54964,null,4656,null,12532,null,1813,null,8676,null,1765,null,258815,null,8437,null,33290,null,3143,null,14590,null,1839,null,14608,null,2387,null,370777,null,7460,null,219506,null,7486,null,179921,null,6479,null,39585,null,3356,null,28159,null,3070,null,7252,null,1371,null,4174,null,1234,null,117186,null,5106,null,16748,null,2377,null,9416,null,1412,null,7921,null,1770,null,346626,null,8514,null,176594,null,5966,null,140007,null,5853,null,36587,null,2882,null,26805,null,2650,null,5280,null,1088,null,4502,null,1260,null,141629,null,6223,null,16542,null,1882,null,5174,null,1176,null,6687,null,1316,null,0400000US11,District of Columbia,11
8142524,null,32580,null,7347859,null,33044,null,6490021,null,32503,null,857838,null,19037,null,648121,null,16886,null,116468,null,6997,null,93249,null,7955,null,155945,null,8649,null,132700,null,7446,null,165250,null,9004,null,340770,null,9629,null,4363612,null,20079,null,3906298,null,20670,null,3421724,null,22794,null,484574,null,14193,null,344087,null,11397,null,70219,null,6573,null,70268,null,7056,null,73694,null,6061,null,74131,null,5679,null,121289,null,7529,null,188200,null,6950,null,3778912,null,22754,null,3441561,null,23688,null,3068297,null,22884,null,373264,null,11470,null,304034,null,9933,null,46249,null,3294,null,22981,null,2847,null,82251,null,5983,null,58569,null,4666,null,43961,null,4163,null,152570,null,6095,null,0400000US12,Florida,12
