B11001G_001E,B11001G_001EA,B11001G_001M,B11001G_001MA,B11001G_002E,B11001G_002EA,B11001G_002M,B11001G_002MA,B11001G_003E,B11001G_003EA,B11001G_003M,B11001G_003MA,B11001G_004E,B11001G_004EA,B11001G_004M,B11001G_004MA,B11001G_005E,B11001G_005EA,B11001G_005M,B11001G_005MA,B11001G_006E,B11001G_006EA,B11001G_006M,B11001G_006MA,B11001G_007E,B11001G_007EA,B11001G_007M,B11001G_007MA,B11001G_008E,B11001G_008EA,B11001G_008M,B11001G_008MA,B11001G_009E,B11001G_009EA,B11001G_009M,B11001G_009MA,GEO_ID,NAME,state
17128,null,1926,null,11307,null,1644,null,8041,null,1326,null,3266,null,889,null,1184,null,615,null,2082,null,671,null,5821,null,1200,null,5245,null,1139,null,576,null,314,null,0400000US01,Alabama,01
9844,null,1435,null,6171,null,1016,null,3160,null,765,null,3011,null,696,null,1454,null,548,null,1557,null,495,null,3673,null,1012,null,2686,null,911,null,987,null,547,null,0400000US02,Alaska,02
31338,null,2985,null,19978,null,2308,null,13212,null,1623,null,6766,null,1408,null,2044,null,734,null,4722,null,1179,null,11360,null,1706,null,8271,null,1480,null,3089,null,894,null,0400000US04,Arizona,04
13414,null,1802,null,8459,null,1332,null,5799,null,1035,null,2660,null,808,null,387,null,216,null,2273,null,783,null,4955,null,1327,null,3525,null,1007,null,1430,null,685,null,0400000US05,Arkansas,05
273331,null,7376,null,174729,null,6009,null,116020,null,5491,null,58709,null,3431,null,17125,null,2003,null,41584,null,2969,null,98602,null,5335,null,70871,null,4495,null,27731,null,2669,null,0400000US06,California,06
29572,null,2903,null,19048,null,2328,null,10906,null,1551,null,8142,null,1527,null,1690,null,617,null,6452,null,1509,null,10524,null,1673,null,7223,null,1584,null,3301,null,967,null,0400000US08,Colorado,08
16315,null,1805,null,10619,null,1630,null,7423,null,1359,null,3196,null,916,null,110,null,183,null,3086,null,915,null,5696,null,1271,null,4806,null,1081,null,890,null,504,null,0400000US09,Connecticut,09
3169,null,934,null,2159,null,777,null,1358,null,624,null,801,null,446,null,194,null,312,null,607,null,324,null,1010,null,526,null,810,null,434,null,200,null,271,null,0400000US10,Delaware,10
3372,null,880,null,690,null,307,null,311,null,227,null,379,null,268,null,50,null,87,null,329,null,255,null,2682,null,870,null,2248,null,773,null,434,null,338,null,0400000US11,District of Columbia,11
79546,null,4383,null,51533,null,3432,null,34986,null,2744,null,16547,null,2439,null,4986,null,1367,null,11561,null,1994,null,28013,null,2866,null,20883,null,2525,null,7130,null,1197,null,0400000US12,Florida,12
