C24010H_001E,C24010H_001EA,C24010H_001M,C24010H_001MA,C24010H_002E,C24010H_002EA,C24010H_002M,C24010H_002MA,C24010H_003E,C24010H_003EA,C24010H_003M,C24010H_003MA,C24010H_004E,C24010H_004EA,C24010H_004M,C24010H_004MA,C24010H_005E,C24010H_005EA,C24010H_005M,C24010H_005MA,C24010H_006E,C24010H_006EA,C24010H_006M,C24010H_006MA,C24010H_007E,C24010H_007EA,C24010H_007M,C24010H_007MA,C24010H_008E,C24010H_008EA,C24010H_008M,C24010H_008MA,C24010H_009E,C24010H_009EA,C24010H_009M,C24010H_009MA,C24010H_010E,C24010H_010EA,C24010H_010M,C24010H_010MA,C24010H_011E,C24010H_011EA,C24010H_011M,C24010H_011MA,C24010H_012E,C24010H_012EA,C24010H_012M,C24010H_012MA,C24010H_013E,C24010H_013EA,C24010H_013M,C24010H_013MA,C24010H_014E,C24010H_014EA,C24010H_014M,C24010H_014MA,C24010H_015E,C24010H_015EA,C24010H_015M,C24010H_015MA,GEO_ID,NAME,state
1459357,null,12479,null,810435,null,6536,null,244832,null,6948,null,77643,null,4987,null,139029,null,5192,null,7818,null,1553,null,169509,null,6028,null,171604,null,7082,null,648922,null,9381,null,248339,null,6447,null,102983,null,4889,null,249387,null,7886,null,1858,null,677,null,7201,null,1477,null,39154,null,2872,null,0400000US01,Alabama,01
237887,null,3828,null,131966,null,2830,null,45079,null,3046,null,16705,null,1926,null,19845,null,1914,null,3097,null,800,null,29296,null,2417,null,17944,null,2060,null,105921,null,2412,null,46302,null,2499,null,18764,null,1973,null,35716,null,2378,null,418,null,264,null,1400,null,638,null,3321,null,786,null,0400000US02,Alaska,02
1778171,null,13528,null,946790,null,8446,null,360192,null,8862,null,116834,null,6420,null,204959,null,6849,null,2063,null,911,null,151896,null,6420,null,110846,null,5541,null,831381,null,9053,null,354536,null,8363,null,138920,null,5235,null,308489,null,7144,null,769,null,489,null,5513,null,1428,null,23154,null,2369,null,0400000US04,Arizona,04
983625,null,9510,null,527492,null,5940,null,152609,null,4858,null,55581,null,3859,null,87798,null,4761,null,8988,null,1399,null,102845,null,5296,null,119671,null,4948,null,456133,null,6117,null,168503,null,5638,null,85551,null,4764,null,160780,null,5464,null,1595,null,619,null,3289,null,983,null,36415,null,3142,null,0400000US05,Arkansas,05
7719907,null,27837,null,4174817,null,15276,null,1893684,null,15838,null,437314,null,11742,null,828868,null,14347,null,14369,null,1980,null,575295,null,13997,null,425287,null,10130,null,3545090,null,21887,null,1669083,null,18549,null,518532,null,11613,null,1239898,null,19183,null,3780,null,1012,null,23502,null,2648,null,90295,null,4266,null,0400000US06,California,06
1871958,null,11639,null,1008481,null,7933,null,408380,null,7601,null,102692,null,5597,null,192187,null,6026,null,6590,null,1186,null,172576,null,6639,null,126056,null,5298,null,863477,null,8700,null,380543,null,7076,null,147743,null,5491,null,298074,null,6144,null,2158,null,751,null,6127,null,1278,null,28832,null,3164,null,0400000US08,Colorado,08
1354637,null,8409,null,710865,null,4901,null,285027,null,6237,null,79777,null,4051,null,136176,null,5512,null,1121,null,514,null,107965,null,5296,null,100799,null,5002,null,643772,null,5847,null,293680,null,5331,null,103568,null,4628,null,218749,null,5786,null,432,null,266,null,3082,null,687,null,24261,null,2305,null,0400000US09,Connecticut,09
298664,null,5039,null,155982,null,3091,null,55547,null,3034,null,15762,null,1726,null,29309,null,2463,null,600,null,295,null,32345,null,2761,null,22419,null,2267,null,142682,null,3563,null,59011,null,3201,null,23086,null,2742,null,54049,null,3146,null,505,null,291,null,1167,null,602,null,4864,null,1041,null,0400000US10,Delaware,10
125295,null,2352,null,64262,null,1671,null,50946,null,2382,null,3108,null,1147,null,8749,null,1772,null,0,null,300,null,1076,null,411,null,383,null,260,null,61033,null,1931,null,45950,null,2418,null,3737,null,972,null,10942,null,1531,null,57,null,97,null,40,null,67,null,307,null,226,null,0400000US11,District of Columbia,11
5098839,null,23679,null,2710511,null,16355,null,949598,null,16278,null,375035,null,10782,null,564752,null,11225,null,10866,null,1939,null,500067,null,13004,null,310193,null,9301,null,2388328,null,16984,null,947284,null,12816,null,408941,null,9460,null,931072,null,15972,null,3446,null,1188,null,20962,null,2569,null,76623,null,5004,null,0400000US12,Florida,12
