C06008_001E,C06008_001EA,C06008_001M,C06008_001MA,C06008_002E,C06008_002EA,C06008_002M,C06008_002MA,C06008_003E,C06008_003EA,C06008_003M,C06008_003MA,C06008_004E,C06008_004EA,C06008_004M,C06008_004MA,C06008_005E,C06008_005EA,C06008_005M,C06008_005MA,C06008_006E,C06008_006EA,C06008_006M,C06008_006MA,C06008_007E,C06008_007EA,C06008_007M,C06008_007MA,C06008_008E,C06008_008EA,C06008_008M,C06008_008MA,C06008_009E,C06008_009EA,C06008_009M,C06008_009MA,C06008_010E,C06008_010EA,C06008_010M,C06008_010MA,C06008_011E,C06008_011EA,C06008_011M,C06008_011MA,C06008_012E,C06008_012EA,C06008_012M,C06008_012MA,C06008_013E,C06008_013EA,C06008_013M,C06008_013MA,C06008_014E,C06008_014EA,C06008_014M,C06008_014MA,C06008_015E,C06008_015EA,C06008_015M,C06008_015MA,C06008_016E,C06008_016EA,C06008_016M,C06008_016MA,C06008_017E,C06008_017EA,C06008_017M,C06008_017MA,C06008_018E,C06008_018EA,C06008_018M,C06008_018MA,C06008_019E,C06008_019EA,C06008_019M,C06008_019MA,C06008_020E,C06008_020EA,C06008_020M,C06008_020MA,C06008_021E,C06008_021EA,C06008_021M,C06008_021MA,C06008_022E,C06008_022EA,C06008_022M,C06008_022MA,C06008_023E,C06008_023EA,C06008_023M,C06008_023MA,C06008_024E,C06008_024EA,C06008_024M,C06008_024MA,C06008_025E,C06008_025EA,C06008_025M,C06008_025MA,GEO_ID,NAME,state
3702685,null,3710,null,1002318,null,15326,null,1894188,null,21980,null,526942,null,11400,null,279237,null,8312,null,2531045,null,16833,null,726067,null,14191,null,1225668,null,19824,null,367428,null,10744,null,211882,null,7670,null,1017826,null,15900,null,233440,null,7718,null,577174,null,12243,null,146124,null,6593,null,61088,null,3492,null,28945,null,2622,null,9090,null,1592,null,14875,null,1943,null,4683,null,1051,null,297,null,207,null,124869,null,5828,null,33721,null,3778,null,76471,null,4740,null,8707,null,1643,null,5970,null,1171,null,0400000US01,Alabama,01
537579,null,1393,null,174531,null,5475,null,272379,null,6782,null,72968,null,5007,null,17701,null,1498,null,160132,null,4604,null,91096,null,4419,null,48919,null,3378,null,16052,null,1882,null,4065,null,850,null,318223,null,5418,null,69087,null,4275,null,188284,null,5586,null,49859,null,3995,null,10993,null,1288,null,12493,null,1961,null,4628,null,1489,null,5886,null,1076,null,1740,null,667,null,239,null,184,null,46731,null,3209,null,9720,null,2219,null,29290,null,2307,null,5317,null,1246,null,2404,null,610,null,0400000US02,Alaska,02
4937757,null,1440,null,1512155,null,19941,null,2432539,null,26442,null,703772,null,16525,null,289291,null,9121,null,1214322,null,19706,null,613466,null,15653,null,411730,null,10901,null,154649,null,7580,null,34477,null,2768,null,2746668,null,22061,null,626979,null,16246,null,1464740,null,19267,null,444760,null,12794,null,210189,null,7268,null,56749,null,4187,null,20998,null,2837,null,24295,null,2272,null,9156,null,1771,null,2300,null,897,null,920018,null,18195,null,250712,null,12918,null,531774,null,13925,null,95207,null,7176,null,42325,null,4402,null,0400000US04,Arizona,04
2251796,null,2484,null,553499,null,10583,null,1207865,null,16135,null,320195,null,9634,null,170237,null,4529,null,1282728,null,11812,null,349457,null,9380,null,644703,null,13396,null,183627,null,6823,null,104941,null,3830,null,845351,null,11104,null,170443,null,7488,null,488680,null,9212,null,124726,null,5063,null,61502,null,3337,null,15685,null,2256,null,4907,null,1361,null,8744,null,1358,null,1748,null,761,null,286,null,319,null,108032,null,5311,null,28692,null,3383,null,65738,null,4637,null,10094,null,1788,null,3508,null,939,null,0400000US05,Arkansas,05
28831162,null,3164,null,9966272,null,45480,null,13880741,null,59025,null,3444767,null,31865,null,1539382,null,15293,null,12376214,null,53347,null,5946933,null,39135,null,4587955,null,37452,null,1464988,null,21310,null,376338,null,10325,null,6545618,null,40868,null,1509281,null,21534,null,3339410,null,32934,null,1046082,null,17671,null,650845,null,12179,null,315874,null,9475,null,104845,null,5562,null,157393,null,6778,null,40696,null,3387,null,12940,null,1875,null,9593456,null,43236,null,2405213,null,33660,null,5795983,null,40581,null,893001,null,17179,null,499259,null,10915,null,0400000US06,California,06
3867717,null,2320,null,1136887,null,13518,null,2011553,null,17768,null,541133,null,13116,null,178144,null,5848,null,1305786,null,16591,null,526892,null,12493,null,557590,null,12830,null,169725,null,7347,null,51579,null,3538,null,2059878,null,19025,null,487930,null,11918,null,1147981,null,17167,null,315292,null,9823,null,108675,null,4591,null,54958,null,3545,null,19690,null,2570,null,26300,null,2339,null,7632,null,1912,null,1336,null,706,null,447095,null,14655,null,102375,null,7284,null,279682,null,10490,null,48484,null,5062,null,16554,null,2575,null,0400000US08,Colorado,08
2834130,null,1717,null,892917,null,11136,null,1438206,null,15096,null,316360,null,9000,null,186647,null,5913,null,1409488,null,15221,null,530295,null,11208,null,640811,null,11731,null,151126,null,6503,null,87256,null,3931,null,898823,null,12138,null,229313,null,8101,null,496798,null,10049,null,103372,null,5099,null,69340,null,3514,null,100018,null,5900,null,35841,null,3621,null,41133,null,3757,null,17746,null,2142,null,5298,null,1084,null,425801,null,12295,null,97468,null,6376,null,259464,null,9185,null,44116,null,3842,null,24753,null,2173,null,0400000US09,Connecticut,09
694868,null,560,null,213677,null,6347,null,349908,null,9423,null,82605,null,4734,null,48678,null,2994,null,269621,null,8010,null,106378,null,4849,null,115140,null,5734,null,34030,null,2923,null,14073,null,1749,null,352602,null,7917,null,88586,null,5745,null,191330,null,6959,null,42726,null,3515,null,29960,null,2126,null,11236,null,1987,null,3312,null,1041,null,5524,null,1134,null,1111,null,660,null,1289,null,649,null,61409,null,3747,null,15401,null,2232,null,37914,null,2774,null,4738,null,1240,null,3356,null,810,null,0400000US10,Delaware,10
494235,null,320,null,265864,null,5339,null,132401,null,6660,null,66153,null,4675,null,29817,null,2035,null,162755,null,5275,null,104856,null,4352,null,27271,null,3373,null,23019,null,2968,null,7609,null,1184,null,253355,null,5978,null,129881,null,4752,null,71577,null,4133,null,32450,null,3002,null,19447,null,1873,null,6004,null,1300,null,2974,null,882,null,2739,null,955,null,213,null,198,null,78,null,94,null,72121,null,4399,null,28153,null,3008,null,30814,null,3358,null,10471,null,2193,null,2683,null,771,null,0400000US11,District of Columbia,11
14926522,null,3960,null,4191857,null,31887,null,7437955,null,49840,null,2173255,null,32558,null,1123455,null,15347,null,3651631,null,27866,null,1748973,null,22320,null,1285141,null,20456,null,477478,null,13017,null,140039,null,6148,null,7504651,null,29845,null,1549130,null,22458,null,4059747,null,32837,null,1160680,null,22157,null,735094,null,13696,null,488296,null,13917,null,140678,null,7674,null,238509,null,9372,null,80642,null,6312,null,28467,null,2835,null,3281944,null,28390,null,753076,null,19436,null,1854558,null,26041,null,454455,null,12873,null,219855,null,6950,null,0400000US12,Florida,12
