B19125_001E,B19125_001EA,B19125_001M,B19125_001MA,B19125_002E,B19125_002EA,B19125_002M,B19125_002MA,B19125_003E,B19125_003EA,B19125_003M,B19125_003MA,GEO_ID,NAME,state
50770,null,703,null,47699,null,1336,null,52555,null,809,null,0400000US01,Alabama,01
72865,null,2630,null,66953,null,3662,null,80813,null,2692,null,0400000US02,Alaska,02
58627,null,757,null,54284,null,1244,null,61932,null,807,null,0400000US04,Arizona,04
47021,null,871,null,42890,null,1458,null,49882,null,942,null,0400000US05,Arkansas,05
67484,null,375,null,62040,null,414,null,72485,null,527,null,0400000US06,California,06
67491,null,916,null,63807,null,1790,null,71200,null,1060,null,0400000US08,Colorado,08
81421,null,1081,null,82156,null,1448,null,80846,null,1475,null,0400000US09,Connecticut,09
66198,null,2182,null,61730,null,3016,null,69632,null,2629,null,0400000US10,Delaware,10
66672,null,3043,null,42489,null,4010,null,82316,null,3252,null,0400000US11,District of Columbia,11
56966,null,328,null,53950,null,629,null,58999,null,505,null,0400000US12,Florida,12
58403,null,646,null,55873,null,792,null,60670,null,698,null,0400000US13,Georgia,13
73879,null,1983,null,68744,null,2706,null,77670,null,2535,null,0400000US15,Hawaii,15
54342,null,907,null,52632,null,1537,null,55945,null,1122,null,0400000US16,Idaho,16
65761,null,393,null,63426,null,901,null,67567,null,673,null,0400000US17,Illinois,17
57734,null,593,null,55816,null,906,null,59350,null,754,null,0400000US18,Indiana,18
59587,null,670,null,59337,null,1045,null,59774,null,924,null,0400000US19,Iowa,19
60510,null,718,null,58915,null,1367,null,61720,null,1014,null,0400000US20,Kansas,20
50291,null,581,null,48520,null,1351,null,51340,null,829,null,0400000US21,Kentucky,21
50727,null,656,null,47823,null,1511,null,52619,null,963,null,0400000US22,Louisiana,22
56266,null,1058,null,55152,null,1850,null,57012,null,1486,null,0400000US23,Maine,23
82404,null,856,null,80265,null,1563,null,84248,null,1098,null,0400000US24,Maryland,24
78497,null,771,null,79957,null,1202,null,77423,null,1034,null,0400000US25,Massachusetts,25
59618,null,513,null,57868,null,859,null,60766,null,519,null,0400000US26,Michigan,26
69172,null,754,null,70168,null,1086,null,68421,null,800,null,0400000US27,Minnesota,27
44769,null,1015,null,42301,null,1542,null,46746,null,1409,null,0400000US28,Mississippi,28
55947,null,584,null,54268,null,1105,null,57194,null,757,null,0400000US29,Missouri,29
53497,null,1489,null,49880,null,1857,null,55835,null,1810,null,0400000US30,Montana,30
58587,null,961,null,57144,null,1359,null,59652,null,1209,null,0400000US31,Nebraska,31
62842,null,1280,null,59220,null,1670,null,66913,null,1476,null,0400000US32,Nevada,32
74625,null,1538,null,75747,null,2449,null,73686,null,1898,null,0400000US33,New Hampshire,33
81823,null,755,null,82555,null,1118,null,81148,null,1060,null,0400000US34,New Jersey,34
49658,null,1059,null,44059,null,2459,null,54714,null,1652,null,0400000US35,New Mexico,35
64602,null,548,null,61447,null,594,null,66959,null,515,null,0400000US36,New York,36
55028,null,552,null,52454,null,940,null,56690,null,655,null,0400000US37,North Carolina,37
58827,null,1563,null,60555,null,1938,null,57538,null,1618,null,0400000US38,North Dakota,38
58374,null,459,null,56448,null,823,null,59651,null,565,null,0400000US39,Ohio,39
51787,null,632,null,46786,null,1215,null,55844,null,929,null,0400000US40,Oklahoma,40
59152,null,870,null,55747,null,1242,null,61526,null,877,null,0400000US41,Oregon,41
60825,null,308,null,61246,null,538,null,60501,null,419,null,0400000US42,Pennsylvania,42
70187,null,2284,null,67629,null,4079,null,72804,null,2984,null,0400000US44,Rhode Island,44
52913,null,835,null,51316,null,1070,null,54322,null,1078,null,0400000US45,South Carolina,45
53910,null,1444,null,51614,null,1502,null,55687,null,1575,null,0400000US46,South Dakota,46
51945,null,536,null,49378,null,1053,null,53631,null,722,null,0400000US47,Tennessee,47
55742,null,416,null,50854,null,466,null,60652,null,482,null,0400000US48,Texas,48
62432,null,752,null,61760,null,1011,null,63395,null,1285,null,0400000US49,Utah,49
61561,null,1597,null,56743,null,2976,null,64384,null,1788,null,0400000US50,Vermont,50
70894,null,588,null,68979,null,1249,null,72266,null,808,null,0400000US51,Virginia,51
66642,null,655,null,62363,null,1037,null,70321,null,816,null,0400000US53,Washington,53
46338,null,1076,null,44702,null,1345,null,47224,null,1150,null,0400000US54,West Virginia,54
62804,null,499,null,61953,null,737,null,63476,null,554,null,0400000US55,Wisconsin,55
63947,null,2594,null,62144,null,3840,null,65167,null,2752,null,0400000US56,Wyoming,56
20900,null,456,null,20649,null,698,null,21034,null,525,null,0400000US72,Puerto Rico,72
