B01002D_001E,B01002D_001EA,B01002D_001M,B01002D_001MA,B01002D_002E,B01002D_002EA,B01002D_002M,B01002D_002MA,B01002D_003E,B01002D_003EA,B01002D_003M,B01002D_003MA,GEO_ID,NAME,state
33.8,null,1.4,null,32.6,null,1.1,null,36.3,null,1.4,null,0400000US01,Alabama,01
37.8,null,1.6,null,36.1,null,4.2,null,40.1,null,1.9,null,0400000US02,Alaska,02
34.5,null,0.5,null,32.8,null,0.6,null,36.3,null,0.4,null,0400000US04,Arizona,04
30.3,null,0.6,null,28.4,null,3.2,null,32.2,null,3.0,null,0400000US05,Arkansas,05
37.2,null,0.1,null,36.0,null,0.2,null,38.3,null,0.2,null,0400000US06,California,06
33.9,null,0.8,null,33.8,null,0.6,null,34.3,null,1.2,null,0400000US08,Colorado,08
33.7,null,0.6,null,33.9,null,0.6,null,33.3,null,0.9,null,0400000US09,Connecticut,09
35.0,null,1.7,null,35.2,null,1.7,null,34.6,null,2.9,null,0400000US10,Delaware,10
32.1,null,1.5,null,33.5,null,3.1,null,31.3,null,1.1,null,0400000US11,District of Columbia,11
36.2,null,0.6,null,34.9,null,0.8,null,37.4,null,0.7,null,0400000US12,Florida,12
34.0,null,0.5,null,33.5,null,0.7,null,34.4,null,0.6,null,0400000US13,Georgia,13
47.3,null,0.5,null,45.8,null,0.6,null,48.6,null,0.6,null,0400000US15,Hawaii,15
33.1,null,2.9,null,30.1,null,4.1,null,37.6,null,4.3,null,0400000US16,Idaho,16
34.6,null,0.2,null,33.8,null,0.4,null,35.3,null,0.3,null,0400000US17,Illinois,17
31.2,null,1.1,null,30.8,null,1.6,null,31.6,null,1.1,null,0400000US18,Indiana,18
29.5,null,1.0,null,29.7,null,1.7,null,29.4,null,1.4,null,0400000US19,Iowa,19
31.5,null,1.1,null,31.8,null,2.1,null,31.2,null,2.1,null,0400000US20,Kansas,20
32.6,null,1.0,null,32.3,null,1.6,null,32.8,null,1.0,null,0400000US21,Kentucky,21
33.5,null,0.8,null,32.2,null,2.8,null,34.7,null,2.4,null,0400000US22,Louisiana,22
25.2,null,4.4,null,19.1,null,2.9,null,30.4,null,7.1,null,0400000US23,Maine,23
36.3,null,0.4,null,35.7,null,0.4,null,37.1,null,0.6,null,0400000US24,Maryland,24
33.0,null,0.5,null,33.3,null,0.6,null,32.8,null,0.4,null,0400000US25,Massachusetts,25
32.8,null,0.4,null,32.6,null,0.5,null,33.0,null,0.5,null,0400000US26,Michigan,26
29.7,null,0.7,null,28.8,null,1.1,null,30.4,null,0.6,null,0400000US27,Minnesota,27
31.8,null,3.2,null,25.9,null,3.4,null,37.4,null,3.5,null,0400000US28,Mississippi,28
33.2,null,0.7,null,32.6,null,1.1,null,33.8,null,1.5,null,0400000US29,Missouri,29
31.1,null,8.3,null,37.6,null,25.0,null,28.9,null,7.4,null,0400000US30,Montana,30
34.2,null,1.7,null,32.4,null,5.0,null,36.2,null,3.7,null,0400000US31,Nebraska,31
38.8,null,0.6,null,36.9,null,0.6,null,40.7,null,0.7,null,0400000US32,Nevada,32
30.5,null,1.5,null,27.5,null,1.2,null,32.9,null,3.5,null,0400000US33,New Hampshire,33
35.9,null,0.3,null,35.6,null,0.3,null,36.3,null,0.3,null,0400000US34,New Jersey,34
34.6,null,1.7,null,33.8,null,2.2,null,35.2,null,2.7,null,0400000US35,New Mexico,35
35.8,null,0.2,null,35.5,null,0.2,null,36.1,null,0.3,null,0400000US36,New York,36
32.9,null,0.8,null,31.9,null,1.3,null,33.5,null,0.8,null,0400000US37,North Carolina,37
26.2,null,2.0,null,24.4,null,4.0,null,26.7,null,1.6,null,0400000US38,North Dakota,38
34.1,null,0.5,null,33.3,null,0.6,null,34.9,null,0.5,null,0400000US39,Ohio,39
33.4,null,1.0,null,32.7,null,2.5,null,34.0,null,2.2,null,0400000US40,Oklahoma,40
35.2,null,0.5,null,34.5,null,0.8,null,35.8,null,0.8,null,0400000US41,Oregon,41
32.9,null,0.4,null,32.4,null,0.5,null,33.3,null,0.5,null,0400000US42,Pennsylvania,42
29.4,null,1.0,null,30.5,null,2.4,null,28.6,null,1.2,null,0400000US44,Rhode Island,44
35.7,null,1.2,null,35.1,null,3.4,null,36.0,null,1.2,null,0400000US45,South Carolina,45
31.5,null,3.9,null,27.7,null,2.9,null,37.4,null,4.9,null,0400000US46,South Dakota,46
34.7,null,0.9,null,33.5,null,1.3,null,35.5,null,0.9,null,0400000US47,Tennessee,47
34.3,null,0.2,null,33.5,null,0.4,null,35.1,null,0.3,null,0400000US48,Texas,48
31.6,null,1.2,null,30.0,null,1.7,null,32.5,null,1.4,null,0400000US49,Utah,49
25.8,null,1.6,null,28.2,null,5.2,null,23.8,null,6.2,null,0400000US50,Vermont,50
35.2,null,0.3,null,34.8,null,0.5,null,35.6,null,0.4,null,0400000US51,Virginia,51
35.9,null,0.4,null,34.1,null,0.6,null,37.0,null,0.6,null,0400000US53,Washington,53
35.2,null,5.8,null,34.3,null,6.0,null,38.1,null,11.7,null,0400000US54,West Virginia,54
27.4,null,0.7,null,26.6,null,0.9,null,28.5,null,1.2,null,0400000US55,Wisconsin,55
35.0,null,14.3,null,26.7,null,7.2,null,43.2,null,16.2,null,0400000US56,Wyoming,56
34.2,null,5.2,null,37.0,null,7.1,null,31.9,null,7.6,null,0400000US72,Puerto Rico,72
