B18020I_001E,B18020I_001EA,B18020I_001M,B18020I_001MA,B18020I_002E,B18020I_002EA,B18020I_002M,B18020I_002MA,B18020I_003E,B18020I_003EA,B18020I_003M,B18020I_003MA,B18020I_004E,B18020I_004EA,B18020I_004M,B18020I_004MA,B18020I_005E,B18020I_005EA,B18020I_005M,B18020I_005MA,B18020I_006E,B18020I_006EA,B18020I_006M,B18020I_006MA,B18020I_007E,B18020I_007EA,B18020I_007M,B18020I_007MA,B18020I_008E,B18020I_008EA,B18020I_008M,B18020I_008MA,B18020I_009E,B18020I_009EA,B18020I_009M,B18020I_009MA,B18020I_010E,B18020I_010EA,B18020I_010M,B18020I_010MA,B18020I_011E,B18020I_011EA,B18020I_011M,B18020I_011MA,B18020I_012E,B18020I_012EA,B18020I_012M,B18020I_012MA,B18020I_013E,B18020I_013EA,B18020I_013M,B18020I_013MA,B18020I_014E,B18020I_014EA,B18020I_014M,B18020I_014MA,B18020I_015E,B18020I_015EA,B18020I_015M,B18020I_015MA,B18020I_016E,B18020I_016EA,B18020I_016M,B18020I_016MA,B18020I_017E,B18020I_017EA,B18020I_017M,B18020I_017MA,B18020I_018E,B18020I_018EA,B18020I_018M,B18020I_018MA,B18020I_019E,B18020I_019EA,B18020I_019M,B18020I_019MA,B18020I_020E,B18020I_020EA,B18020I_020M,B18020I_020MA,B18020I_021E,B18020I_021EA,B18020I_021M,B18020I_021MA,B18020I_022E,B18020I_022EA,B18020I_022M,B18020I_022MA,B18020I_023E,B18020I_023EA,B18020I_023M,B18020I_023MA,B18020I_024E,B18020I_024EA,B18020I_024M,B18020I_024MA,B18020I_025E,B18020I_025EA,B18020I_025M,B18020I_025MA,B18020I_026E,B18020I_026EA,B18020I_026M,B18020I_026MA,B18020I_027E,B18020I_027EA,B18020I_027M,B18020I_027MA,B18020I_028E,B18020I_028EA,B18020I_028M,B18020I_028MA,B18020I_029E,B18020I_029EA,B18020I_029M,B18020I_029MA,B18020I_030E,B18020I_030EA,B18020I_030M,B18020I_030MA,B18020I_031E,B18020I_031EA,B18020I_031M,B18020I_031MA,GEO_ID,NAME,state
72650,null,2022,null,6223,null,1493,null,3432,null,1058,null,771,null,536,null,523,null,473,null,248,null,239,null,2661,null,978,null,1519,null,801,null,1142,null,546,null,2791,null,833,null,1176,null,544,null,393,null,361,null,783,null,485,null,1615,null,622,null,603,null,427,null,1012,null,505,null,66427,null,2292,null,37980,null,1796,null,24247,null,1738,null,21431,null,1745,null,2816,null,682,null,13733,null,1512,null,12441,null,1356,null,1292,null,626,null,28447,null,1568,null,17724,null,1832,null,7892,null,1354,null,9832,null,1268,null,10723,null,1288,null,6959,null,1151,null,3764,null,901,null,0400000US01,Alabama,01
23539,null,1042,null,3396,null,1033,null,1782,null,750,null,452,null,362,null,345,null,347,null,107,null,125,null,1330,null,640,null,888,null,571,null,442,null,310,null,1614,null,639,null,822,null,470,null,195,null,244,null,627,null,458,null,792,null,408,null,85,null,100,null,707,null,394,null,20143,null,1354,null,10929,null,1109,null,5566,null,732,null,3430,null,773,null,2136,null,758,null,5363,null,850,null,4736,null,778,null,627,null,393,null,9214,null,791,null,4370,null,763,null,2960,null,644,null,1410,null,605,null,4844,null,724,null,3712,null,705,null,1132,null,565,null,0400000US02,Alaska,02
1135910,null,3608,null,97794,null,5554,null,46528,null,3446,null,14660,null,1951,null,7024,null,1507,null,7636,null,1363,null,31868,null,2784,null,13509,null,1851,null,18359,null,2173,null,51266,null,3825,null,13907,null,1929,null,4654,null,1359,null,9253,null,1620,null,37359,null,3197,null,10973,null,1676,null,26386,null,2813,null,1038116,null,6976,null,546540,null,4466,null,307155,null,3204,null,240149,null,4985,null,67006,null,4527,null,239385,null,3230,null,211046,null,4502,null,28339,null,3197,null,491576,null,4570,null,268277,null,2804,null,138688,null,4521,null,129589,null,4448,null,223299,null,3599,null,144236,null,4719,null,79063,null,3966,null,0400000US04,Arizona,04
88454,null,2174,null,7570,null,1387,null,3457,null,886,null,1009,null,492,null,324,null,268,null,685,null,428,null,2448,null,775,null,1357,null,527,null,1091,null,525,null,4113,null,1041,null,1245,null,695,null,462,null,428,null,783,null,455,null,2868,null,892,null,714,null,362,null,2154,null,797,null,80884,null,2757,null,45774,null,2690,null,26441,null,2451,null,20429,null,2429,null,6012,null,1814,null,19333,null,1770,null,17422,null,1857,null,1911,null,721,null,35110,null,1794,null,19693,null,1278,null,8644,null,1213,null,11049,null,1444,null,15417,null,1385,null,9242,null,1273,null,6175,null,1271,null,0400000US05,Arkansas,05
8296533,null,9307,null,721208,null,13724,null,355714,null,9749,null,114216,null,6401,null,45244,null,3750,null,68972,null,4723,null,241498,null,7914,null,100970,null,5731,null,140528,null,6670,null,365494,null,7577,null,93096,null,4847,null,33957,null,3591,null,59139,null,3569,null,272398,null,5819,null,82694,null,4252,null,189704,null,5624,null,7575325,null,14310,null,3922698,null,9878,null,2112423,null,9197,null,1563150,null,11319,null,549273,null,11112,null,1810275,null,8367,null,1592848,null,10486,null,217427,null,7011,null,3652627,null,8789,null,1924357,null,7855,null,1022475,null,11253,null,901882,null,12895,null,1728270,null,5716,null,1102753,null,12601,null,625517,null,12400,null,0400000US06,California,06
594705,null,2601,null,62867,null,4411,null,32183,null,3446,null,10422,null,2205,null,3911,null,1280,null,6511,null,1851,null,21761,null,2415,null,7705,null,1657,null,14056,null,1963,null,30684,null,3112,null,7894,null,1667,null,2718,null,1036,null,5176,null,1316,null,22790,null,2508,null,8305,null,1540,null,14485,null,2022,null,531838,null,5216,null,284419,null,3827,null,158027,null,3223,null,126930,null,4061,null,31097,null,3213,null,126392,null,2798,null,111621,null,3507,null,14771,null,2229,null,247419,null,3424,null,133361,null,2533,null,74543,null,3594,null,58818,null,3240,null,114058,null,2936,null,77685,null,3242,null,36373,null,3005,null,0400000US08,Colorado,08
259801,null,1934,null,32909,null,3343,null,15961,null,2382,null,6937,null,1638,null,2756,null,1266,null,4181,null,1154,null,9024,null,1847,null,3996,null,1333,null,5028,null,1134,null,16948,null,1935,null,4280,null,1160,null,1411,null,636,null,2869,null,917,null,12668,null,1533,null,3140,null,880,null,9528,null,1432,null,226892,null,3482,null,113676,null,2460,null,60076,null,1928,null,42804,null,2689,null,17272,null,2105,null,53600,null,2129,null,46305,null,2110,null,7295,null,1386,null,113216,null,2103,null,57043,null,1444,null,33826,null,2200,null,23217,null,2291,null,56173,null,1646,null,39697,null,2060,null,16476,null,1822,null,0400000US09,Connecticut,09
33408,null,882,null,3204,null,1048,null,1253,null,628,null,169,null,154,null,51,null,84,null,118,null,133,null,1084,null,604,null,526,null,369,null,558,null,498,null,1951,null,708,null,319,null,205,null,90,null,116,null,229,null,170,null,1632,null,697,null,538,null,370,null,1094,null,495,null,30204,null,1459,null,16155,null,946,null,8923,null,361,null,7153,null,635,null,1770,null,657,null,7232,null,823,null,6054,null,985,null,1178,null,625,null,14049,null,955,null,7851,null,723,null,4194,null,784,null,3657,null,797,null,6198,null,1080,null,2860,null,711,null,3338,null,1071,null,0400000US10,Delaware,10
35891,null,378,null,2532,null,881,null,947,null,504,null,202,null,201,null,86,null,136,null,116,null,141,null,745,null,461,null,124,null,206,null,621,null,416,null,1585,null,738,null,230,null,284,null,75,null,123,null,155,null,255,null,1355,null,753,null,842,null,612,null,513,null,383,null,33359,null,860,null,18433,null,659,null,10150,null,494,null,7964,null,747,null,2186,null,845,null,8283,null,481,null,7184,null,756,null,1099,null,738,null,14926,null,852,null,8179,null,429,null,5504,null,956,null,2675,null,969,null,6747,null,753,null,5341,null,831,null,1406,null,818,null,0400000US11,District of Columbia,11
2455183,null,4365,null,220517,null,8871,null,102396,null,5825,null,26567,null,3312,null,12231,null,2104,null,14336,null,2457,null,75829,null,4297,null,32890,null,3555,null,42939,null,3317,null,118121,null,5620,null,22165,null,2672,null,9912,null,1694,null,12253,null,1980,null,95956,null,5020,null,29889,null,2907,null,66067,null,4189,null,2234666,null,9360,null,1157700,null,6468,null,549421,null,5209,null,424077,null,6509,null,125344,null,5439,null,608279,null,4547,null,539540,null,6398,null,68739,null,5015,null,1076966,null,6074,null,476021,null,3788,null,278502,null,5724,null,197519,null,6122,null,600945,null,5395,null,419379,null,7061,null,181566,null,5897,null,0400000US12,Florida,12
451546,null,3945,null,24091,null,3481,null,11700,null,2168,null,4548,null,1324,null,2525,null,1008,null,2023,null,750,null,7152,null,1655,null,3539,null,1270,null,3613,null,1220,null,12391,null,2175,null,4307,null,1299,null,1327,null,648,null,2980,null,1024,null,8084,null,1694,null,3625,null,1088,null,4459,null,1206,null,427455,null,4602,null,257995,null,4011,null,149806,null,3562,null,127536,null,4664,null,22270,null,3178,null,108189,null,3727,null,96893,null,3586,null,11296,null,2664,null,169460,null,2961,null,96329,null,2570,null,46064,null,3292,null,50265,null,2924,null,73131,null,2549,null,43981,null,2829,null,29150,null,2860,null,0400000US13,Georgia,13
59679,null,1582,null,6833,null,1395,null,3061,null,882,null,1714,null,763,null,1177,null,678,null,537,null,327,null,1347,null,399,null,344,null,259,null,1003,null,364,null,3772,null,993,null,899,null,515,null,484,null,365,null,415,null,290,null,2873,null,709,null,867,null,483,null,2006,null,585,null,52846,null,1944,null,26644,null,1427,null,13813,null,1384,null,9004,null,1237,null,4809,null,1021,null,12831,null,792,null,10854,null,995,null,1977,null,694,null,26202,null,1120,null,14517,null,827,null,8497,null,1149,null,6020,null,1127,null,11685,null,893,null,9136,null,957,null,2549,null,652,null,0400000US15,Hawaii,15
86511,null,1504,null,7208,null,1774,null,3208,null,969,null,1818,null,769,null,848,null,431,null,970,null,577,null,1390,null,579,null,697,null,388,null,693,null,383,null,4000,null,1142,null,1005,null,506,null,352,null,259,null,653,null,435,null,2995,null,920,null,1203,null,630,null,1792,null,631,null,79303,null,2115,null,43311,null,1433,null,23533,null,1472,null,18409,null,1399,null,5124,null,1204,null,19778,null,1181,null,18162,null,1131,null,1616,null,689,null,35992,null,1541,null,20581,null,1088,null,11924,null,1423,null,8657,null,1039,null,15411,null,1224,null,10590,null,1308,null,4821,null,976,null,0400000US16,Idaho,16
