C17016_001E,C17016_001EA,C17016_001M,C17016_001MA,C17016_002E,C17016_002EA,C17016_002M,C17016_002MA,C17016_003E,C17016_003EA,C17016_003M,C17016_003MA,C17016_004E,C17016_004EA,C17016_004M,C17016_004MA,C17016_005E,C17016_005EA,C17016_005M,C17016_005MA,C17016_006E,C17016_006EA,C17016_006M,C17016_006MA,C17016_007E,C17016_007EA,C17016_007M,C17016_007MA,C17016_008E,C17016_008EA,C17016_008M,C17016_008MA,C17016_009E,C17016_009EA,C17016_009M,C17016_009MA,GEO_ID,NAME,state
1245126,null,10267,null,162943,null,6985,null,24852,null,2943,null,61694,null,4257,null,76397,null,4468,null,1082183,null,10796,null,597205,null,9059,null,213960,null,7133,null,271018,null,6147,null,0400000US01,Alabama,01
162345,null,3643,null,10479,null,1522,null,780,null,385,null,6157,null,1203,null,3542,null,722,null,151866,null,3431,null,80927,null,3858,null,49446,null,2912,null,21493,null,1745,null,0400000US02,Alaska,02
1491772,null,13954,null,151973,null,6630,null,32268,null,3767,null,52234,null,3665,null,67471,null,4623,null,1339799,null,14101,null,705372,null,12336,null,301062,null,9006,null,333365,null,7763,null,0400000US04,Arizona,04
756113,null,10348,null,103529,null,5709,null,17027,null,2009,null,47246,null,4189,null,39256,null,3274,null,652584,null,8478,null,344126,null,8183,null,144564,null,5458,null,163894,null,4529,null,0400000US05,Arkansas,05
8330684,null,27121,null,774183,null,13795,null,154618,null,6265,null,284271,null,8377,null,335294,null,8997,null,7556501,null,27990,null,4065327,null,26601,null,1897230,null,19578,null,1593944,null,18024,null,0400000US06,California,06
1202485,null,10691,null,100762,null,5794,null,20642,null,2642,null,43977,null,3841,null,36143,null,3884,null,1101723,null,9674,null,625325,null,8901,null,283056,null,6498,null,193342,null,5829,null,0400000US08,Colorado,08
885471,null,7409,null,50353,null,3653,null,6552,null,1514,null,22908,null,2454,null,20893,null,2073,null,835118,null,6915,null,465765,null,6655,null,201958,null,6515,null,167395,null,4140,null,0400000US09,Connecticut,09
224451,null,4325,null,16916,null,2128,null,2488,null,903,null,7511,null,1280,null,6917,null,1444,null,207535,null,4750,null,114567,null,4044,null,46678,null,2649,null,46290,null,2583,null,0400000US10,Delaware,10
108181,null,3697,null,14098,null,2048,null,1127,null,636,null,3808,null,1006,null,9163,null,1717,null,94083,null,3637,null,52733,null,2511,null,21257,null,2124,null,20093,null,2064,null,0400000US11,District of Columbia,11
4626215,null,26538,null,397771,null,11413,null,80381,null,4955,null,139982,null,7637,null,177408,null,6862,null,4228444,null,24996,null,2189062,null,21120,null,904132,null,14473,null,1135250,null,11782,null,0400000US12,Florida,12
2328569,null,18597,null,249293,null,7851,null,43023,null,3888,null,91936,null,6017,null,114334,null,5024,null,2079276,null,17761,null,1224102,null,16378,null,445627,null,10558,null,409547,null,9016,null,0400000US13,Georgia,13
306623,null,4387,null,16446,null,2044,null,2759,null,901,null,5311,null,1295,null,8376,null,1424,null,290177,null,4295,null,147397,null,4438,null,70559,null,3665,null,72221,null,3004,null,0400000US15,Hawaii,15
397576,null,5484,null,35240,null,2470,null,7729,null,1244,null,16391,null,1915,null,11120,null,1454,null,362336,null,5560,null,188401,null,5035,null,101609,null,4103,null,72326,null,3426,null,0400000US16,Idaho,16
3180087,null,18931,null,279523,null,9798,null,53768,null,4028,null,109410,null,5181,null,116345,null,6254,null,2900564,null,19034,null,1648915,null,15782,null,668285,null,10896,null,583364,null,8722,null,0400000US17,Illinois,17
1662403,null,13308,null,145114,null,5167,null,21368,null,2276,null,65476,null,4002,null,58270,null,3983,null,1517289,null,13135,null,861461,null,10841,null,345728,null,8031,null,310100,null,5552,null,0400000US18,Indiana,18
794320,null,8485,null,58433,null,3338,null,9471,null,1398,null,30362,null,2653,null,18600,null,2078,null,735887,null,8721,null,429872,null,6711,null,170627,null,5155,null,135388,null,3579,null,0400000US19,Iowa,19
728136,null,8195,null,55909,null,3459,null,10638,null,1964,null,24866,null,2426,null,20405,null,2127,null,672227,null,7896,null,401027,null,7755,null,153149,null,4406,null,118051,null,3605,null,0400000US20,Kansas,20
1114146,null,13621,null,147361,null,6252,null,18406,null,2396,null,53404,null,4221,null,75551,null,4416,null,966785,null,13798,null,516572,null,11396,null,210324,null,6554,null,239889,null,5914,null,0400000US21,Kentucky,21
1080025,null,10940,null,157982,null,5488,null,29231,null,2726,null,56289,null,3891,null,72462,null,4566,null,922043,null,11204,null,495434,null,8918,null,205550,null,7798,null,221059,null,6237,null,0400000US22,Louisiana,22
355547,null,6511,null,27922,null,2480,null,2706,null,940,null,12459,null,1505,null,12757,null,1679,null,327625,null,6225,null,170579,null,5397,null,83823,null,3488,null,73223,null,3023,null,0400000US23,Maine,23
1392247,null,11564,null,75748,null,4819,null,8845,null,1729,null,31860,null,2789,null,35043,null,3629,null,1316499,null,11844,null,801919,null,10503,null,283334,null,8311,null,231246,null,6129,null,0400000US24,Maryland,24
1561198,null,13396,null,113300,null,6201,null,10805,null,1936,null,45617,null,3877,null,56878,null,4483,null,1447898,null,12396,null,778289,null,11630,null,374471,null,8722,null,295138,null,6575,null,0400000US25,Massachusetts,25
2560681,null,14089,null,257488,null,7689,null,34468,null,2861,null,114398,null,4540,null,108622,null,4958,null,2303193,null,13485,null,1181162,null,12538,null,576438,null,9342,null,545593,null,6976,null,0400000US26,Michigan,26
1353390,null,9195,null,87456,null,3998,null,12457,null,1662,null,42763,null,2594,null,32236,null,2781,null,1265934,null,9347,null,718538,null,8978,null,326351,null,5364,null,221045,null,4359,null,0400000US27,Minnesota,27
753797,null,9564,null,122687,null,5688,null,20139,null,2225,null,45892,null,3399,null,56656,null,4179,null,631110,null,8813,null,338321,null,8562,null,135043,null,6959,null,157746,null,4883,null,0400000US28,Mississippi,28
1534274,null,13026,null,145777,null,5606,null,22317,null,2271,null,62962,null,3890,null,60498,null,4153,null,1388497,null,12337,null,769380,null,9776,null,311633,null,8608,null,307484,null,6519,null,0400000US29,Missouri,29
240727,null,4609,null,23434,null,2306,null,4226,null,1142,null,10817,null,1425,null,8391,null,1454,null,217293,null,4367,null,109050,null,3886,null,59290,null,3455,null,48953,null,2533,null,0400000US30,Montana,30
459503,null,6026,null,37578,null,2632,null,7690,null,1421,null,17996,null,1706,null,11892,null,1680,null,421925,null,5888,null,259741,null,5002,null,91311,null,3689,null,70873,null,2945,null,0400000US31,Nebraska,31
631720,null,7910,null,47307,null,4364,null,9746,null,1931,null,19212,null,2355,null,18349,null,2585,null,584413,null,8030,null,328102,null,6962,null,136379,null,5576,null,119932,null,4673,null,0400000US32,Nevada,32
341922,null,5518,null,15562,null,2012,null,2440,null,891,null,5636,null,1114,null,7486,null,1331,null,326360,null,5865,null,179794,null,6038,null,85468,null,4182,null,61098,null,3354,null,0400000US33,New Hampshire,33
2185324,null,16317,null,138357,null,6889,null,20017,null,2334,null,50782,null,4135,null,67558,null,4630,null,2046967,null,14608,null,1161664,null,13382,null,474461,null,9730,null,410842,null,8736,null,0400000US34,New Jersey,34
482543,null,6995,null,68677,null,4194,null,12909,null,2117,null,27257,null,2631,null,28511,null,2727,null,413866,null,7934,null,217772,null,6492,null,93384,null,3984,null,102710,null,3638,null,0400000US35,New Mexico,35
4594823,null,21017,null,473910,null,10787,null,74001,null,5295,null,166043,null,5997,null,233866,null,8589,null,4120913,null,20967,null,2254388,null,18968,null,907184,null,16044,null,959341,null,12057,null,0400000US36,New York,36
2366894,null,16505,null,251674,null,8359,null,41468,null,4098,null,106705,null,6033,null,103501,null,5395,null,2115220,null,15675,null,1195541,null,14648,null,457896,null,8956,null,461783,null,9495,null,0400000US37,North Carolina,37
168128,null,3882,null,12566,null,1453,null,1939,null,570,null,5951,null,1104,null,4676,null,831,null,155562,null,3641,null,91686,null,3195,null,38909,null,2614,null,24967,null,1577,null,0400000US38,North Dakota,38
2962303,null,17567,null,287115,null,7874,null,35474,null,2891,null,125110,null,5119,null,126531,null,5593,null,2675188,null,17667,null,1463560,null,15405,null,619622,null,10059,null,592006,null,9370,null,0400000US39,Ohio,39
936378,null,8406,null,111086,null,4953,null,19441,null,1899,null,45689,null,3361,null,45956,null,3285,null,825292,null,7898,null,460511,null,6804,null,176175,null,5696,null,188606,null,5225,null,0400000US40,Oklahoma,40
940771,null,9074,null,83438,null,4839,null,13021,null,2132,null,36060,null,2759,null,34357,null,3564,null,857333,null,9321,null,429658,null,9390,null,229714,null,6494,null,197961,null,5797,null,0400000US41,Oregon,41
3198199,null,17145,null,258806,null,8346,null,33813,null,2928,null,99914,null,5206,null,125079,null,6250,null,2939393,null,15164,null,1590786,null,14203,null,666251,null,10734,null,682356,null,9028,null,0400000US42,Pennsylvania,42
253941,null,4954,null,21109,null,2539,null,2716,null,869,null,9352,null,1597,null,9041,null,1690,null,232832,null,5302,null,126204,null,5112,null,56645,null,3380,null,49983,null,2993,null,0400000US44,Rhode Island,44
1152062,null,12427,null,128562,null,5690,null,22180,null,3043,null,44386,null,3904,null,61996,null,3392,null,1023500,null,11323,null,565153,null,10012,null,214633,null,6977,null,243714,null,6823,null,0400000US45,South Carolina,45
205206,null,4366,null,18168,null,2044,null,3500,null,854,null,7164,null,1080,null,7504,null,1399,null,187038,null,3686,null,113128,null,4059,null,41756,null,3093,null,32154,null,1889,null,0400000US46,South Dakota,46
1606220,null,14373,null,192337,null,6650,null,31806,null,3023,null,76201,null,4368,null,84330,null,4229,null,1413883,null,13469,null,787089,null,10476,null,304433,null,8686,null,322361,null,7076,null,0400000US47,Tennessee,47
