B17003_001E,B17003_001EA,B17003_001M,B17003_001MA,B17003_002E,B17003_002EA,B17003_002M,B17003_002MA,B17003_003E,B17003_003EA,B17003_003M,B17003_003MA,B17003_004E,B17003_004EA,B17003_004M,B17003_004MA,B17003_005E,B17003_005EA,B17003_005M,B17003_005MA,B17003_006E,B17003_006EA,B17003_006M,B17003_006MA,B17003_007E,B17003_007EA,B17003_007M,B17003_007MA,B17003_008E,B17003_008EA,B17003_008M,B17003_008MA,B17003_009E,B17003_009EA,B17003_009M,B17003_009MA,B17003_010E,B17003_010EA,B17003_010M,B17003_010MA,B17003_011E,B17003_011EA,B17003_011M,B17003_011MA,B17003_012E,B17003_012EA,B17003_012M,B17003_012MA,B17003_013E,B17003_013EA,B17003_013M,B17003_013MA,B17003_014E,B17003_014EA,B17003_014M,B17003_014MA,B17003_015E,B17003_015EA,B17003_015M,B17003_015MA,B17003_016E,B17003_016EA,B17003_016M,B17003_016MA,B17003_017E,B17003_017EA,B17003_017M,B17003_017MA,B17003_018E,B17003_018EA,B17003_018M,B17003_018MA,B17003_019E,B17003_019EA,B17003_019M,B17003_019MA,B17003_020E,B17003_020EA,B17003_020M,B17003_020MA,B17003_021E,B17003_021EA,B17003_021M,B17003_021MA,B17003_022E,B17003_022EA,B17003_022M,B17003_022MA,B17003_023E,B17003_023EA,B17003_023M,B17003_023MA,GEO_ID,NAME,state
2986734,null,4741,null,382603,null,13288,null,138130,null,6637,null,56295,null,4190,null,49884,null,4508,null,22204,null,2744,null,9747,null,1804,null,244473,null,9125,null,95786,null,4818,null,84783,null,5104,null,51288,null,3424,null,12616,null,1776,null,2604131,null,13384,null,1260750,null,7811,null,214137,null,7963,null,402821,null,9527,null,338787,null,6896,null,305005,null,8320,null,1343381,null,8387,null,199902,null,7077,null,423088,null,8394,null,399952,null,9272,null,320439,null,8257,null,0400000US01,Alabama,01
415629,null,2614,null,28610,null,2246,null,14682,null,1681,null,3529,null,776,null,6492,null,1174,null,3537,null,764,null,1124,null,464,null,13928,null,1364,null,3125,null,806,null,6743,null,1179,null,3149,null,720,null,911,null,449,null,387019,null,3160,null,197347,null,2791,null,17419,null,1967,null,59209,null,3677,null,68622,null,3540,null,52097,null,3027,null,189672,null,1986,null,15100,null,1674,null,52689,null,2728,null,66795,null,3028,null,55088,null,2520,null,0400000US02,Alaska,02
4020283,null,3355,null,423973,null,14504,null,177073,null,8915,null,69052,null,4322,null,52403,null,5760,null,38397,null,3519,null,17221,null,2435,null,246900,null,8356,null,91343,null,5196,null,75928,null,5314,null,57247,null,4152,null,22382,null,2701,null,3596310,null,14313,null,1789958,null,9262,null,267762,null,7799,null,459859,null,12101,null,552722,null,12343,null,509615,null,8892,null,1806352,null,8051,null,227383,null,7271,null,485407,null,11151,null,613570,null,10517,null,479992,null,7951,null,0400000US04,Arizona,04
1819785,null,4818,null,245158,null,8607,null,95338,null,4653,null,38944,null,3140,null,32253,null,3235,null,16437,null,2035,null,7704,null,1489,null,149820,null,5874,null,56606,null,3580,null,52074,null,3544,null,34403,null,3475,null,6737,null,1153,null,1574627,null,9518,null,771796,null,5488,null,124434,null,4804,null,277560,null,5924,null,200447,null,5491,null,169355,null,5892,null,802831,null,6702,null,113547,null,5159,null,285686,null,7217,null,229745,null,6161,null,173853,null,6163,null,0400000US05,Arkansas,05
22963104,null,7406,null,2208936,null,28445,null,911059,null,18045,null,367376,null,10032,null,243316,null,10325,null,173286,null,8288,null,127081,null,5480,null,1297877,null,16584,null,523110,null,10839,null,352716,null,10125,null,282011,null,8993,null,140040,null,6412,null,20754168,null,29430,null,10299251,null,18254,null,1841406,null,20289,null,2327950,null,27386,null,2770137,null,25688,null,3359758,null,26425,null,10454917,null,16705,null,1745448,null,20907,null,2342279,null,22280,null,3138304,null,21968,null,3228886,null,24244,null,0400000US06,California,06
3152381,null,4267,null,279650,null,10994,null,116147,null,6129,null,36543,null,3738,null,35364,null,3197,null,25510,null,3020,null,18730,null,2391,null,163503,null,6800,null,45655,null,3179,null,50585,null,4244,null,43841,null,4000,null,23422,null,2535,null,2872731,null,11506,null,1445216,null,6699,null,140115,null,6270,null,351173,null,9548,null,405361,null,10170,null,548567,null,10775,null,1427515,null,7439,null,118762,null,5103,null,338319,null,8565,null,444750,null,8621,null,525684,null,9443,null,0400000US08,Colorado,08
2309891,null,1895,null,143709,null,6761,null,51406,null,4077,null,15455,null,1873,null,18600,null,2709,null,9935,null,1772,null,7416,null,1240,null,92303,null,4833,null,33842,null,3122,null,29759,null,2696,null,17835,null,2116,null,10867,null,1529,null,2166182,null,6768,null,1043883,null,4724,null,108492,null,5168,null,303364,null,7139,null,242039,null,7144,null,389988,null,7819,null,1122299,null,5060,null,106860,null,5121,null,323776,null,7291,null,287328,null,5861,null,404335,null,6702,null,0400000US09,Connecticut,09
564034,null,978,null,46500,null,4229,null,17036,null,2103,null,4759,null,1277,null,6358,null,1391,null,3758,null,1153,null,2161,null,616,null,29464,null,3006,null,9270,null,1514,null,12117,null,1815,null,5497,null,1267,null,2580,null,843,null,517534,null,4341,null,248523,null,2327,null,29840,null,2488,null,80934,null,4081,null,68825,null,3406,null,68924,null,3058,null,269011,null,2970,null,24907,null,2104,null,88259,null,4054,null,81286,null,3771,null,74559,null,3240,null,0400000US10,Delaware,10
391866,null,1471,null,51705,null,4196,null,19470,null,2370,null,6471,null,1386,null,5536,null,1286,null,3317,null,969,null,4146,null,1269,null,32235,null,2992,null,9817,null,1638,null,10987,null,2146,null,6836,null,1476,null,4595,null,1244,null,340161,null,4243,null,160638,null,2720,null,18534,null,2317,null,31219,null,2956,null,25648,null,2792,null,85237,null,3069,null,179523,null,3053,null,19326,null,2328,null,35632,null,2963,null,28969,null,2536,null,95596,null,2790,null,0400000US11,District of Columbia,11
12357640,null,7992,null,1185906,null,18829,null,457136,null,11358,null,153784,null,7878,null,163916,null,7529,null,82505,null,4757,null,56931,null,4159,null,728770,null,13331,null,219906,null,7538,null,275093,null,8879,null,162960,null,7087,null,70811,null,5022,null,11171734,null,21016,null,5439073,null,12696,null,753725,null,15048,null,1620432,null,21615,null,1485851,null,19760,null,1579065,null,16658,null,5732661,null,15113,null,680292,null,12348,null,1813796,null,19321,null,1717673,null,20268,null,1520900,null,17030,null,0400000US12,Florida,12
