B16006_001E,B16006_001EA,B16006_001M,B16006_001MA,B16006_002E,B16006_002EA,B16006_002M,B16006_002MA,B16006_003E,B16006_003EA,B16006_003M,B16006_003MA,B16006_004E,B16006_004EA,B16006_004M,B16006_004MA,B16006_005E,B16006_005EA,B16006_005M,B16006_005MA,B16006_006E,B16006_006EA,B16006_006M,B16006_006MA,B16006_007E,B16006_007EA,B16006_007M,B16006_007MA,B16006_008E,B16006_008EA,B16006_008M,B16006_008MA,GEO_ID,NAME,state
100872,null,1843,null,24389,null,3053,null,75263,null,3314,null,25513,null,2732,null,13050,null,1696,null,22502,null,2263,null,14198,null,2546,null,1220,null,856,null,0400000US01,Alabama,01
33872,null,1037,null,15791,null,2065,null,17743,null,2073,null,9921,null,1378,null,4107,null,1200,null,2967,null,987,null,748,null,492,null,338,null,254,null,0400000US02,Alaska,02
1658019,null,1575,null,438820,null,14040,null,1216327,null,14151,null,604884,null,15967,null,218130,null,9874,null,219118,null,9469,null,174195,null,8849,null,2872,null,884,null,0400000US04,Arizona,04
126179,null,1608,null,26541,null,3406,null,99504,null,3497,null,36656,null,3378,null,23328,null,3253,null,24855,null,2869,null,14665,null,2414,null,134,null,203,null,0400000US05,Arkansas,05
11841242,null,1377,null,2558115,null,37187,null,9249192,null,37364,null,4630776,null,38510,null,1701881,null,24383,null,1749340,null,22366,null,1167195,null,24985,null,33935,null,4366,null,0400000US06,California,06
854908,null,761,null,371086,null,13692,null,481174,null,13766,null,225526,null,9839,null,96145,null,6279,null,106125,null,8274,null,53378,null,5836,null,2648,null,921,null,0400000US08,Colorado,08
363176,null,873,null,88381,null,6297,null,272234,null,6348,null,148830,null,6380,null,56058,null,4100,null,47258,null,4145,null,20088,null,3208,null,2561,null,1019,null,0400000US09,Connecticut,09
48149,null,0,*****,12032,null,2815,null,35504,null,2903,null,16722,null,2289,null,6765,null,1412,null,8540,null,1575,null,3477,null,1335,null,613,null,461,null,0400000US10,Delaware,10
44840,null,0,*****,11656,null,2587,null,32075,null,2632,null,17642,null,2315,null,5626,null,1714,null,6369,null,1471,null,2438,null,1197,null,1109,null,843,null,0400000US11,District of Columbia,11
3438197,null,2515,null,424941,null,14699,null,2993607,null,14607,null,1462712,null,20437,null,585244,null,17029,null,569407,null,12376,null,376244,null,13545,null,19649,null,3260,null,0400000US12,Florida,12
625195,null,4353,null,91506,null,7615,null,530366,null,8754,null,200188,null,8015,null,115083,null,7188,null,137979,null,8081,null,77116,null,6626,null,3323,null,1257,null,0400000US13,Georgia,13
91899,null,0,*****,66007,null,3240,null,19418,null,3092,null,13993,null,2527,null,3259,null,1176,null,1937,null,844,null,229,null,341,null,6474,null,1496,null,0400000US15,Hawaii,15
129023,null,753,null,45955,null,3865,null,82564,null,3834,null,40887,null,3425,null,16732,null,2163,null,17134,null,2739,null,7811,null,1720,null,504,null,306,null,0400000US16,Idaho,16
1703105,null,2231,null,283847,null,13269,null,1415825,null,13462,null,686396,null,15241,null,291333,null,10816,null,303069,null,10651,null,135027,null,8636,null,3433,null,1227,null,0400000US17,Illinois,17
271702,null,1604,null,80921,null,5894,null,189488,null,5727,null,86645,null,5179,null,41115,null,4200,null,40614,null,3458,null,21114,null,3252,null,1293,null,586,null,0400000US18,Indiana,18
102853,null,1913,null,30774,null,2868,null,71456,null,3207,null,32972,null,3111,null,15552,null,2135,null,15127,null,1820,null,7805,null,1658,null,623,null,404,null,0400000US19,Iowa,19
213915,null,1145,null,69194,null,4716,null,144348,null,4701,null,69470,null,4617,null,26577,null,2310,null,32028,null,2912,null,16273,null,2302,null,373,null,223,null,0400000US20,Kansas,20
77327,null,2354,null,29111,null,3343,null,47775,null,3145,null,18597,null,1875,null,10150,null,1653,null,11884,null,1902,null,7144,null,1709,null,441,null,432,null,0400000US21,Kentucky,21
122445,null,1861,null,40027,null,3666,null,80788,null,3952,null,40113,null,3515,null,17627,null,2389,null,14691,null,2275,null,8357,null,1796,null,1630,null,675,null,0400000US22,Louisiana,22
13550,null,837,null,7665,null,1262,null,5537,null,1166,null,3134,null,1049,null,1233,null,611,null,509,null,302,null,661,null,515,null,348,null,304,null,0400000US23,Maine,23
