B15002A_001E,B15002A_001EA,B15002A_001M,B15002A_001MA,B15002A_002E,B15002A_002EA,B15002A_002M,B15002A_002MA,B15002A_003E,B15002A_003EA,B15002A_003M,B15002A_003MA,B15002A_004E,B15002A_004EA,B15002A_004M,B15002A_004MA,B15002A_005E,B15002A_005EA,B15002A_005M,B15002A_005MA,B15002A_006E,B15002A_006EA,B15002A_006M,B15002A_006MA,B15002A_007E,B15002A_007EA,B15002A_007M,B15002A_007MA,B15002A_008E,B15002A_008EA,B15002A_008M,B15002A_008MA,B15002A_009E,B15002A_009EA,B15002A_009M,B15002A_009MA,B15002A_010E,B15002A_010EA,B15002A_010M,B15002A_010MA,B15002A_011E,B15002A_011EA,B15002A_011M,B15002A_011MA,B15002A_012E,B15002A_012EA,B15002A_012M,B15002A_012MA,B15002A_013E,B15002A_013EA,B15002A_013M,B15002A_013MA,B15002A_014E,B15002A_014EA,B15002A_014M,B15002A_014MA,B15002A_015E,B15002A_015EA,B15002A_015M,B15002A_015MA,B15002A_016E,B15002A_016EA,B15002A_016M,B15002A_016MA,B15002A_017E,B15002A_017EA,B15002A_017M,B15002A_017MA,GEO_ID,NAME,state
2238411,null,3811,null,1072780,null,2514,null,68944,null,4104,null,124286,null,5240,null,329382,null,7512,null,219360,null,5938,null,63714,null,3763,null,168551,null,5578,null,98543,null,4952,null,1165631,null,2274,null,64206,null,3569,null,137155,null,5376,null,376486,null,8780,null,241368,null,7303,null,86534,null,4020,null,161163,null,5819,null,98719,null,4406,null,0400000US01,Alabama,01
305980,null,2165,null,158926,null,1570,null,2647,null,781,null,6792,null,1289,null,44877,null,2901,null,42220,null,2682,null,14837,null,2066,null,27247,null,2010,null,20306,null,2026,null,147054,null,1251,null,1807,null,640,null,5230,null,1070,null,39133,null,2506,null,38224,null,2402,null,14314,null,1516,null,30783,null,2107,null,17563,null,1892,null,0400000US02,Alaska,02
3276696,null,11511,null,1606742,null,7279,null,107696,null,5821,null,127307,null,6127,null,410228,null,10700,null,380979,null,9639,null,119123,null,6438,null,291503,null,7954,null,169906,null,4972,null,1669954,null,6707,null,92870,null,5612,null,121533,null,5057,null,460303,null,10184,null,420486,null,8206,null,141384,null,6407,null,278668,null,6293,null,154710,null,4876,null,0400000US04,Arizona,04
1527789,null,3685,null,737006,null,2510,null,49648,null,3007,null,81003,null,3630,null,261145,null,5924,null,151230,null,4594,null,36348,null,3177,null,103084,null,4876,null,54548,null,2464,null,790783,null,2381,null,47605,null,2994,null,83576,null,4077,null,283439,null,6311,null,165912,null,5770,null,52766,null,3488,null,105608,null,4827,null,51877,null,3202,null,0400000US05,Arkansas,05
14713617,null,33065,null,7254310,null,21369,null,594887,null,16132,null,600572,null,15434,null,1630274,null,22016,null,1489726,null,19688,null,523198,null,11957,null,1471969,null,19070,null,943684,null,12368,null,7459307,null,17497,null,593958,null,13068,null,559111,null,12110,null,1742095,null,19279,null,1697100,null,21094,null,640358,null,13730,null,1432341,null,16432,null,794344,null,14539,null,0400000US06,California,06
2748520,null,8575,null,1364898,null,5545,null,50852,null,4524,null,84448,null,5235,null,331875,null,8550,null,284974,null,9007,null,94586,null,5282,null,327696,null,8834,null,190467,null,5759,null,1383622,null,4983,null,41299,null,3069,null,79453,null,4680,null,335873,null,9084,null,316791,null,7693,null,111396,null,4945,null,328393,null,7558,null,170417,null,5720,null,0400000US08,Colorado,08
1942142,null,5709,null,922818,null,3823,null,32753,null,2719,null,54936,null,3195,null,271287,null,6203,null,152474,null,5868,null,61900,null,3499,null,196869,null,6076,null,152599,null,5227,null,1019324,null,3235,null,38400,null,2502,null,61837,null,3659,null,297604,null,6801,null,170059,null,4858,null,88098,null,4100,null,200903,null,5780,null,162423,null,4304,null,0400000US09,Connecticut,09
433452,null,1540,null,205992,null,943,null,9469,null,1407,null,17186,null,1742,null,65798,null,3521,null,41638,null,2386,null,14163,null,1699,null,33321,null,2241,null,24417,null,2017,null,227460,null,891,null,6948,null,1115,null,16380,null,1824,null,76831,null,3542,null,45609,null,2774,null,19595,null,2034,null,38361,null,2299,null,23736,null,1928,null,0400000US10,Delaware,10
152069,null,2252,null,76634,null,1569,null,2297,null,1153,null,731,null,463,null,3687,null,1225,null,5219,null,1221,null,1280,null,641,null,25146,null,2011,null,38274,null,2280,null,75435,null,1278,null,2322,null,893,null,1677,null,1082,null,3349,null,925,null,3991,null,787,null,1042,null,505,null,26318,null,2014,null,36736,null,2251,null,0400000US11,District of Columbia,11
10075023,null,17423,null,4860998,null,11996,null,235974,null,9204,null,431741,null,10503,null,1451300,null,19566,null,930810,null,15932,null,384683,null,9747,null,913313,null,13645,null,513177,null,11538,null,5214025,null,10147,null,237677,null,7400,null,405407,null,11446,null,1706688,null,18391,null,1061307,null,17713,null,479804,null,11364,null,880886,null,12757,null,442256,null,10436,null,0400000US12,Florida,12
