C14006_001E,C14006_001EA,C14006_001M,C14006_001MA,C14006_002E,C14006_002EA,C14006_002M,C14006_002MA,C14006_003E,C14006_003EA,C14006_003M,C14006_003MA,C14006_004E,C14006_004EA,C14006_004M,C14006_004MA,C14006_005E,C14006_005EA,C14006_005M,C14006_005MA,C14006_006E,C14006_006EA,C14006_006M,C14006_006MA,C14006_007E,C14006_007EA,C14006_007M,C14006_007MA,C14006_008E,C14006_008EA,C14006_008M,C14006_008MA,C14006_009E,C14006_009EA,C14006_009M,C14006_009MA,C14006_010E,C14006_010EA,C14006_010M,C14006_010MA,C14006_011E,C14006_011EA,C14006_011M,C14006_011MA,C14006_012E,C14006_012EA,C14006_012M,C14006_012MA,C14006_013E,C14006_013EA,C14006_013M,C14006_013MA,C14006_014E,C14006_014EA,C14006_014M,C14006_014MA,C14006_015E,C14006_015EA,C14006_015M,C14006_015MA,C14006_016E,C14006_016EA,C14006_016M,C14006_016MA,C14006_017E,C14006_017EA,C14006_017M,C14006_017MA,GEO_ID,NAME,state
4329090,null,5806,null,707865,null,22281,null,251795,null,11766,null,30816,null,3092,null,61159,null,4575,null,53369,null,4731,null,51594,null,4214,null,54857,null,4676,null,456070,null,14570,null,3621225,null,22482,null,860563,null,13227,null,99491,null,5543,null,180800,null,6761,null,192603,null,7305,null,197209,null,5650,null,190460,null,7160,null,2760662,null,17049,null,0400000US01,Alabama,01
635672,null,1869,null,54130,null,4784,null,17781,null,2641,null,1692,null,535,null,3829,null,871,null,3409,null,731,null,5012,null,1038,null,3839,null,1501,null,36349,null,3362,null,581542,null,5175,null,161114,null,4517,null,17506,null,2008,null,30565,null,2108,null,34483,null,2247,null,40959,null,2548,null,37601,null,3305,null,420428,null,4857,null,0400000US02,Alaska,02
5936867,null,7599,null,812815,null,27749,null,294043,null,13932,null,32280,null,3851,null,72269,null,4768,null,64306,null,4939,null,59220,null,5083,null,65968,null,6397,null,518772,null,17912,null,5124052,null,30066,null,1312416,null,19113,null,145955,null,5928,null,280623,null,7537,null,284896,null,8122,null,292562,null,6710,null,308380,null,10135,null,3811636,null,21355,null,0400000US04,Arizona,04
2638982,null,4352,null,456001,null,15287,null,163486,null,8130,null,22975,null,2833,null,41219,null,3516,null,35060,null,2956,null,33244,null,2900,null,30988,null,3008,null,292515,null,9342,null,2182981,null,15384,null,512607,null,10174,null,63400,null,4046,null,108723,null,4726,null,112236,null,4215,null,121166,null,4488,null,107082,null,5637,null,1670374,null,11077,null,0400000US05,Arkansas,05
34199363,null,13778,null,4128851,null,58337,null,1641676,null,31634,null,168192,null,7315,null,335981,null,11607,null,338836,null,11635,null,367749,null,10441,null,430918,null,15681,null,2487175,null,33895,null,30070512,null,59725,null,8395214,null,40485,null,898696,null,16593,null,1602748,null,20469,null,1704856,null,16066,null,1933044,null,16520,null,2255870,null,28044,null,21675298,null,42749,null,0400000US06,California,06
4548032,null,5480,null,529389,null,18175,null,200161,null,9915,null,21838,null,2781,null,39806,null,3908,null,34096,null,4079,null,36456,null,3149,null,67965,null,5347,null,329228,null,12619,null,4018643,null,18998,null,1004789,null,12097,null,122968,null,6025,null,208289,null,5834,null,213111,null,6817,null,223236,null,4907,null,237185,null,7819,null,3013854,null,15364,null,0400000US08,Colorado,08
3262868,null,4113,null,253015,null,11831,null,95124,null,6829,null,11400,null,1634,null,20384,null,2785,null,17878,null,2525,null,22004,null,2232,null,23458,null,2706,null,157891,null,7649,null,3009853,null,12261,null,784872,null,8936,null,91536,null,4337,null,158275,null,4946,null,164920,null,5049,null,183789,null,4007,null,186352,null,6683,null,2224981,null,10772,null,0400000US09,Connecticut,09
803950,null,2461,null,81921,null,7007,null,30401,null,3844,null,4057,null,1432,null,4610,null,1120,null,6792,null,1648,null,5457,null,1409,null,9485,null,1658,null,51520,null,4602,null,722029,null,7177,null,176891,null,5336,null,19427,null,1854,null,34752,null,2778,null,39447,null,2388,null,40060,null,2365,null,43205,null,3255,null,545138,null,5061,null,0400000US10,Delaware,10
535658,null,1645,null,87207,null,7162,null,33452,null,4098,null,1366,null,739,null,5823,null,1400,null,6428,null,1512,null,7316,null,1521,null,12519,null,2328,null,53755,null,4748,null,448451,null,7621,null,101135,null,5112,null,13277,null,2129,null,17801,null,1995,null,18106,null,2070,null,18391,null,1826,null,33560,null,3144,null,347316,null,5848,null,0400000US11,District of Columbia,11
17171275,null,9686,null,2018658,null,36096,null,662722,null,20138,null,79480,null,6575,null,138815,null,7705,null,130908,null,8334,null,142641,null,7156,null,170878,null,8093,null,1355936,null,22519,null,15152617,null,37331,null,3530543,null,25194,null,422285,null,9575,null,717823,null,12360,null,738801,null,13565,null,781083,null,11416,null,870551,null,16821,null,11622074,null,29612,null,0400000US12,Florida,12
8857143,null,7960,null,1215934,null,28490,null,453705,null,15757,null,58365,null,5312,null,106261,null,6195,null,100797,null,6242,null,88104,null,5702,null,100178,null,5923,null,762229,null,17190,null,7641209,null,29632,null,2062816,null,21855,null,269346,null,7982,null,434349,null,9821,null,439675,null,10719,null,462309,null,8770,null,457137,null,13042,null,5578393,null,21422,null,0400000US13,Georgia,13
1201398,null,2850,null,93588,null,6408,null,31133,null,3692,null,3314,null,1139,null,6402,null,1341,null,4144,null,1062,null,5376,null,1277,null,11897,null,2330,null,62455,null,4189,null,1107810,null,6441,null,268895,null,5379,null,30225,null,2734,null,52923,null,3061,null,53269,null,3340,null,65369,null,3092,null,67109,null,3386,null,838915,null,6247,null,0400000US15,Hawaii,15
1394469,null,3059,null,164400,null,8477,null,61499,null,5323,null,5822,null,1359,null,14396,null,2194,null,11270,null,2033,null,12404,null,1929,null,17607,null,2181,null,102901,null,5657,null,1230069,null,9336,null,318072,null,7181,null,37421,null,3017,null,70729,null,3517,null,75484,null,3383,null,75097,null,3067,null,59341,null,4447,null,911997,null,7513,null,0400000US16,Idaho,16
12022931,null,8382,null,1400800,null,31485,null,557426,null,17585,null,69279,null,5227,null,116656,null,7241,null,113307,null,6866,null,106398,null,5732,null,151786,null,7960,null,843374,null,19197,null,10622131,null,33775,null,2843298,null,24740,null,351243,null,9401,null,560529,null,9419,null,598048,null,10309,null,636147,null,8883,null,697331,null,13817,null,7778833,null,21844,null,0400000US17,Illinois,17
5889974,null,5646,null,701782,null,18634,null,269496,null,12049,null,30129,null,3246,null,58617,null,4014,null,46741,null,3855,null,49316,null,4143,null,84693,null,6311,null,432286,null,11681,null,5188192,null,19123,null,1298551,null,13895,null,155942,null,5983,null,282314,null,7008,null,290734,null,7303,null,298493,null,6313,null,271068,null,6780,null,3889641,null,14795,null,0400000US18,Indiana,18
2765729,null,3829,null,296604,null,13043,null,118202,null,7653,null,13530,null,1948,null,20172,null,2376,null,15957,null,2283,null,20381,null,2270,null,48162,null,3898,null,178402,null,8051,null,2469125,null,13385,null,601764,null,8175,null,74885,null,3532,null,126473,null,4539,null,133450,null,3815,null,146072,null,2959,null,120884,null,4808,null,1867361,null,10000,null,0400000US19,Iowa,19
2574299,null,4102,null,278064,null,12119,null,113139,null,7028,null,12133,null,1886,null,22762,null,2544,null,17736,null,2332,null,20130,null,2244,null,40378,null,3807,null,164925,null,6941,null,2296235,null,12214,null,609357,null,8109,null,72729,null,3275,null,128465,null,4330,null,129072,null,4186,null,141610,null,4141,null,137481,null,4853,null,1686878,null,8967,null,0400000US20,Kansas,20
3956279,null,5658,null,664945,null,21070,null,219288,null,10451,null,32041,null,2698,null,52679,null,4031,null,43567,null,3543,null,44167,null,3923,null,46834,null,4357,null,445657,null,13301,null,3291334,null,21207,null,776447,null,11961,null,83737,null,4176,null,162772,null,5750,null,166764,null,5420,null,188834,null,6049,null,174340,null,6337,null,2514887,null,15548,null,0400000US21,Kentucky,21
3994829,null,4630,null,723941,null,18291,null,271562,null,11279,null,36756,null,2853,null,69163,null,4713,null,58752,null,4707,null,51550,null,4251,null,55341,null,4825,null,452379,null,11592,null,3270888,null,19458,null,818735,null,11546,null,99979,null,4373,null,170911,null,7163,null,179022,null,6014,null,191483,null,4932,null,177340,null,7416,null,2452153,null,15114,null,0400000US22,Louisiana,22
1239662,null,2410,null,146242,null,7725,null,44361,null,3707,null,5092,null,1268,null,8488,null,1334,null,7891,null,1580,null,10430,null,1551,null,12460,null,2100,null,101881,null,5355,null,1093420,null,7688,null,241008,null,4484,null,23796,null,2259,null,48520,null,2620,null,53861,null,2332,null,61996,null,2606,null,52835,null,3067,null,852412,null,6221,null,0400000US23,Maine,23
5259575,null,5332,null,430250,null,19634,null,156104,null,10713,null,15324,null,2306,null,28688,null,4069,null,28771,null,3550,null,35698,null,4440,null,47623,null,4864,null,274146,null,12069,null,4829325,null,20689,null,1306104,null,15271,null,152612,null,6218,null,239919,null,6808,null,262507,null,7636,null,294735,null,6523,null,356331,null,8723,null,3523221,null,15089,null,0400000US24,Maryland,24
6025330,null,5497,null,591249,null,19785,null,215105,null,9829,null,22693,null,3271,null,38552,null,3837,null,41276,null,3698,null,45366,null,4155,null,67218,null,5538,null,376144,null,13224,null,5434081,null,19959,null,1372428,null,17088,null,168869,null,6226,null,258610,null,6769,null,289668,null,7194,null,300785,null,5234,null,354496,null,10525,null,4061653,null,16540,null,0400000US25,Massachusetts,25
9462076,null,6260,null,1286661,null,26374,null,492698,null,13745,null,50181,null,4195,null,100813,null,5671,null,98071,null,5767,null,106865,null,5280,null,136768,null,6034,null,793963,null,17695,null,8175415,null,26354,null,2152545,null,18964,null,227857,null,6866,null,408745,null,7584,null,447360,null,7516,null,512392,null,6928,null,556191,null,10661,null,6022870,null,18516,null,0400000US26,Michigan,26
4858394,null,3842,null,451825,null,13926,null,172385,null,7852,null,17792,null,2157,null,29171,null,2666,null,28956,null,2975,null,37617,null,3169,null,58849,null,4389,null,279440,null,9115,null,4406569,null,14571,null,1110199,null,10784,null,132345,null,4224,null,224331,null,5062,null,245451,null,5409,null,266920,null,4669,null,241152,null,6669,null,3296370,null,10793,null,0400000US27,Minnesota,27
2697735,null,4602,null,537300,null,16893,null,206315,null,9235,null,31519,null,3328,null,48541,null,3725,null,46035,null,4286,null,42554,null,3902,null,37666,null,3541,null,330985,null,12264,null,2160435,null,18222,null,547741,null,11480,null,71269,null,3927,null,116196,null,5219,null,116326,null,6147,null,130011,null,5747,null,113939,null,6379,null,1612694,null,14160,null,0400000US28,Mississippi,28
