B20017B_001E,B20017B_001EA,B20017B_001M,B20017B_001MA,B20017B_002E,B20017B_002EA,B20017B_002M,B20017B_002MA,B20017B_003E,B20017B_003EA,B20017B_003M,B20017B_003MA,B20017B_004E,B20017B_004EA,B20017B_004M,B20017B_004MA,B20017B_005E,B20017B_005EA,B20017B_005M,B20017B_005MA,B20017B_006E,B20017B_006EA,B20017B_006M,B20017B_006MA,B20017B_007E,B20017B_007EA,B20017B_007M,B20017B_007MA,GEO_ID,NAME,state
19262,null,609,null,22034,null,790,null,31591,null,759,null,7074,null,400,null,17233,null,452,null,24117,null,954,null,8699,null,684,null,0400000US01,Alabama,01
30649,null,3653,null,31145,null,4375,null,39860,null,7868,null,16379,null,3101,null,29833,null,4712,null,37036,null,14514,null,11507,null,2026,null,0400000US02,Alaska,02
29039,null,1421,null,30753,null,1085,null,38910,null,3109,null,13690,null,2663,null,27071,null,1880,null,33535,null,1920,null,10870,null,1985,null,0400000US04,Arizona,04
17719,null,1045,null,20610,null,1207,null,30122,null,1836,null,8644,null,1795,null,15768,null,877,null,22585,null,1201,null,8096,null,852,null,0400000US05,Arkansas,05
29869,null,763,null,31209,null,658,null,43293,null,2146,null,12483,null,977,null,27813,null,1100,null,39803,null,1163,null,11052,null,484,null,0400000US06,California,06
26120,null,916,null,26762,null,1127,null,35786,null,3275,null,12327,null,2558,null,24731,null,1986,null,34396,null,2249,null,14457,null,2164,null,0400000US08,Colorado,08
27309,null,987,null,28546,null,2163,null,40711,null,2958,null,11536,null,1225,null,26684,null,1046,null,35270,null,1481,null,11825,null,1064,null,0400000US09,Connecticut,09
26899,null,1391,null,28029,null,2394,null,40039,null,3061,null,11941,null,2233,null,26308,null,1219,null,35045,null,2159,null,11874,null,1483,null,0400000US10,Delaware,10
30537,null,1407,null,31512,null,1397,null,40317,null,2253,null,10572,null,2294,null,28650,null,3461,null,40989,null,1829,null,11429,null,1100,null,0400000US11,District of Columbia,11
22373,null,313,null,24629,null,718,null,31363,null,436,null,11184,null,532,null,21072,null,367,null,26895,null,346,null,10485,null,411,null,0400000US12,Florida,12
24898,null,478,null,26963,null,478,null,35080,null,729,null,10685,null,531,null,22410,null,488,null,30981,null,494,null,10375,null,388,null,0400000US13,Georgia,13
31544,null,4508,null,35387,null,3245,null,36405,null,2662,null,21441,null,13535,null,26304,null,3644,null,29802,null,13376,null,12751,null,8248,null,0400000US15,Hawaii,15
20285,null,4603,null,20373,null,8179,null,23321,null,20285,null,7366,null,7210,null,19876,null,37633,null,46321,null,20061,null,2871,null,5750,null,0400000US16,Idaho,16
25086,null,578,null,26638,null,770,null,40404,null,769,null,8871,null,569,null,23556,null,780,null,32983,null,946,null,8874,null,623,null,0400000US17,Illinois,17
23125,null,1027,null,26168,null,961,null,37394,null,2112,null,10291,null,1017,null,21196,null,924,null,29653,null,1435,null,9713,null,1182,null,0400000US18,Indiana,18
16132,null,1927,null,19522,null,6762,null,35027,null,5735,null,4744,null,1316,null,15271,null,2182,null,23021,null,1869,null,8111,null,2125,null,0400000US19,Iowa,19
22081,null,1179,null,22866,null,2499,null,30799,null,1580,null,8632,null,1650,null,21688,null,1180,null,30181,null,1636,null,10112,null,1424,null,0400000US20,Kansas,20
