B18020D_001E,B18020D_001EA,B18020D_001M,B18020D_001MA,B18020D_002E,B18020D_002EA,B18020D_002M,B18020D_002MA,B18020D_003E,B18020D_003EA,B18020D_003M,B18020D_003MA,B18020D_004E,B18020D_004EA,B18020D_004M,B18020D_004MA,B18020D_005E,B18020D_005EA,B18020D_005M,B18020D_005MA,B18020D_006E,B18020D_006EA,B18020D_006M,B18020D_006MA,B18020D_007E,B18020D_007EA,B18020D_007M,B18020D_007MA,B18020D_008E,B18020D_008EA,B18020D_008M,B18020D_008MA,B18020D_009E,B18020D_009EA,B18020D_009M,B18020D_009MA,B18020D_010E,B18020D_010EA,B18020D_010M,B18020D_010MA,B18020D_011E,B18020D_011EA,B18020D_011M,B18020D_011MA,B18020D_012E,B18020D_012EA,B18020D_012M,B18020D_012MA,B18020D_013E,B18020D_013EA,B18020D_013M,B18020D_013MA,B18020D_014E,B18020D_014EA,B18020D_014M,B18020D_014MA,B18020D_015E,B18020D_015EA,B18020D_015M,B18020D_015MA,B18020D_016E,B18020D_016EA,B18020D_016M,B18020D_016MA,B18020D_017E,B18020D_017EA,B18020D_017M,B18020D_017MA,B18020D_018E,B18020D_018EA,B18020D_018M,B18020D_018MA,B18020D_019E,B18020D_019EA,B18020D_019M,B18020D_019MA,B18020D_020E,B18020D_020EA,B18020D_020M,B18020D_020MA,B18020D_021E,B18020D_021EA,B18020D_021M,B18020D_021MA,B18020D_022E,B18020D_022EA,B18020D_022M,B18020D_022MA,B18020D_023E,B18020D_023EA,B18020D_023M,B18020D_023MA,B18020D_024E,B18020D_024EA,B18020D_024M,B18020D_024MA,B18020D_025E,B18020D_025EA,B18020D_025M,B18020D_025MA,B18020D_026E,B18020D_026EA,B18020D_026M,B18020D_026MA,B18020D_027E,B18020D_027EA,B18020D_027M,B18020D_027MA,B18020D_028E,B18020D_028EA,B18020D_028M,B18020D_028MA,B18020D_029E,B18020D_029EA,B18020D_029M,B18020D_029MA,B18020D_030E,B18020D_030EA,B18020D_030M,B18020D_030MA,B18020D_031E,B18020D_031EA,B18020D_031M,B18020D_031MA,GEO_ID,NAME,state
32495,null,2216,null,1525,null,590,null,392,null,240,null,127,null,153,null,50,null,81,null,77,null,132,null,265,null,193,null,185,null,173,null,80,null,103,null,1133,null,537,null,132,null,159,null,0,null,267,null,132,null,159,null,1001,null,540,null,389,null,341,null,612,null,348,null,30970,null,2174,null,14541,null,1305,null,7237,null,952,null,4750,null,839,null,2487,null,948,null,7304,null,1106,null,6313,null,1022,null,991,null,562,null,16429,null,1326,null,6698,null,853,null,2924,null,686,null,3774,null,850,null,9731,null,1186,null,5894,null,888,null,3837,null,945,null,0400000US01,Alabama,01
23558,null,1532,null,2197,null,683,null,834,null,425,null,126,null,137,null,100,null,133,null,26,null,44,null,708,null,395,null,486,null,318,null,222,null,196,null,1363,null,561,null,322,null,332,null,105,null,142,null,217,null,289,null,1041,null,471,null,558,null,401,null,483,null,320,null,21361,null,1592,null,10069,null,1148,null,4061,null,905,null,2879,null,775,null,1182,null,525,null,6008,null,995,null,5264,null,987,null,744,null,328,null,11292,null,1186,null,3817,null,593,null,2216,null,627,null,1601,null,599,null,7475,null,1044,null,6109,null,910,null,1366,null,438,null,0400000US02,Alaska,02
105882,null,2148,null,5961,null,1224,null,2467,null,768,null,456,null,438,null,296,null,392,null,160,null,206,null,2011,null,681,null,1362,null,514,null,649,null,354,null,3494,null,917,null,275,null,191,null,51,null,86,null,224,null,171,null,3219,null,871,null,1075,null,356,null,2144,null,798,null,99921,null,2364,null,48112,null,1495,null,22945,null,1226,null,16240,null,1288,null,6705,null,1277,null,25167,null,984,null,20731,null,1104,null,4436,null,999,null,51809,null,1536,null,20657,null,1035,null,11673,null,1232,null,8984,null,1081,null,31152,null,1193,null,21153,null,1455,null,9999,null,1442,null,0400000US04,Arizona,04
21907,null,1891,null,1459,null,656,null,406,null,286,null,126,null,207,null,0,null,267,null,126,null,207,null,280,null,191,null,107,null,119,null,173,null,150,null,1053,null,579,null,542,null,469,null,219,null,270,null,323,null,415,null,511,null,390,null,255,null,245,null,256,null,285,null,20448,null,1939,null,9392,null,855,null,5412,null,982,null,2920,null,775,null,2492,null,645,null,3980,null,938,null,3261,null,736,null,719,null,527,null,11056,null,1412,null,4756,null,1051,null,2371,null,740,null,2385,null,787,null,6300,null,1041,null,4668,null,886,null,1632,null,574,null,0400000US05,Arkansas,05
3163354,null,10311,null,199645,null,6931,null,94972,null,4648,null,19900,null,2683,null,7207,null,1486,null,12693,null,1970,null,75072,null,3745,null,34206,null,3011,null,40866,null,3349,null,104673,null,4819,null,18221,null,2167,null,7203,null,1433,null,11018,null,1744,null,86452,null,4461,null,29394,null,2904,null,57058,null,4138,null,2963709,null,12975,null,1414725,null,8686,null,589130,null,5787,null,370015,null,7678,null,219115,null,7729,null,825595,null,5868,null,692297,null,8222,null,133298,null,6530,null,1548984,null,8129,null,612076,null,5203,null,349383,null,6905,null,262693,null,6630,null,936908,null,6152,null,642464,null,8520,null,294444,null,6522,null,0400000US06,California,06
92730,null,2155,null,5732,null,1240,null,2166,null,736,null,435,null,322,null,400,null,312,null,35,null,61,null,1731,null,663,null,686,null,487,null,1045,null,509,null,3566,null,889,null,817,null,534,null,456,null,493,null,361,null,326,null,2749,null,766,null,1244,null,627,null,1505,null,505,null,86998,null,2401,null,39543,null,1925,null,17157,null,1420,null,11826,null,1423,null,5331,null,1280,null,22386,null,1514,null,19253,null,1518,null,3133,null,911,null,47455,null,1535,null,20730,null,1409,null,13062,null,1612,null,7668,null,1178,null,26725,null,1408,null,18316,null,1589,null,8409,null,1507,null,0400000US08,Colorado,08
83666,null,1638,null,3851,null,991,null,2127,null,733,null,232,null,237,null,0,null,273,null,232,null,237,null,1895,null,688,null,1197,null,612,null,698,null,341,null,1724,null,657,null,569,null,413,null,290,null,290,null,279,null,296,null,1155,null,531,null,498,null,334,null,657,null,383,null,79815,null,1694,null,39184,null,1358,null,16905,null,1084,null,12286,null,1161,null,4619,null,869,null,22279,null,1114,null,19283,null,1488,null,2996,null,970,null,40631,null,1194,null,17930,null,1082,null,8437,null,1214,null,9493,null,1276,null,22701,null,1156,null,16154,null,1255,null,6547,null,1090,null,0400000US09,Connecticut,09
17899,null,841,null,443,null,374,null,102,null,170,null,31,null,64,null,31,null,64,null,0,null,261,null,71,null,118,null,0,null,261,null,71,null,118,null,341,null,275,null,52,null,75,null,0,null,261,null,52,null,75,null,289,null,268,null,99,null,153,null,190,null,224,null,17456,null,940,null,8483,null,572,null,3149,null,282,null,2481,null,365,null,668,null,250,null,5334,null,603,null,4535,null,546,null,799,null,405,null,8973,null,649,null,3731,null,448,null,2010,null,530,null,1721,null,543,null,5242,null,673,null,3296,null,678,null,1946,null,754,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
287785,null,4723,null,17978,null,2189,null,9150,null,1417,null,2765,null,820,null,1207,null,524,null,1558,null,648,null,6385,null,1243,null,3456,null,849,null,2929,null,874,null,8828,null,1507,null,2058,null,756,null,754,null,462,null,1304,null,617,null,6770,null,1413,null,2568,null,744,null,4202,null,1092,null,269807,null,5269,null,124193,null,3157,null,50444,null,2515,null,34224,null,2380,null,16220,null,2055,null,73749,null,2512,null,65024,null,2597,null,8725,null,1502,null,145614,null,3614,null,54081,null,2738,null,28110,null,2464,null,25971,null,2258,null,91533,null,2878,null,62812,null,3158,null,28721,null,2567,null,0400000US12,Florida,12
189012,null,3115,null,10560,null,1909,null,5299,null,1527,null,1137,null,779,null,710,null,683,null,427,null,291,null,4162,null,1107,null,2179,null,694,null,1983,null,697,null,5261,null,1014,null,780,null,374,null,94,null,122,null,686,null,390,null,4481,null,971,null,1665,null,600,null,2816,null,801,null,178452,null,3373,null,85809,null,2190,null,35960,null,1455,null,24916,null,1571,null,11044,null,1270,null,49849,null,1852,null,42446,null,1898,null,7403,null,1231,null,92643,null,2505,null,38062,null,2050,null,19353,null,2071,null,18709,null,2237,null,54581,null,1860,null,35450,null,2146,null,19131,null,1686,null,0400000US13,Georgia,13
