C17003_001E,C17003_001EA,C17003_001M,C17003_001MA,C17003_002E,C17003_002EA,C17003_002M,C17003_002MA,C17003_003E,C17003_003EA,C17003_003M,C17003_003MA,C17003_004E,C17003_004EA,C17003_004M,C17003_004MA,C17003_005E,C17003_005EA,C17003_005M,C17003_005MA,C17003_006E,C17003_006EA,C17003_006M,C17003_006MA,C17003_007E,C17003_007EA,C17003_007M,C17003_007MA,C17003_008E,C17003_008EA,C17003_008M,C17003_008MA,C17003_009E,C17003_009EA,C17003_009M,C17003_009MA,C17003_010E,C17003_010EA,C17003_010M,C17003_010MA,C17003_011E,C17003_011EA,C17003_011M,C17003_011MA,GEO_ID,NAME,state
2986734,null,4741,null,382603,null,13288,null,152081,null,6837,null,134667,null,7058,null,73492,null,4324,null,22363,null,2796,null,2604131,null,13384,null,414039,null,11987,null,825909,null,13243,null,738739,null,11527,null,625444,null,13079,null,0400000US01,Alabama,01
415629,null,2614,null,28610,null,2246,null,6654,null,1149,null,13235,null,1518,null,6686,null,988,null,2035,null,646,null,387019,null,3160,null,32519,null,2901,null,111898,null,4963,null,135417,null,5242,null,107185,null,4359,null,0400000US02,Alaska,02
4020283,null,3355,null,423973,null,14504,null,160395,null,7218,null,128331,null,8993,null,95644,null,6019,null,39603,null,3696,null,3596310,null,14313,null,495145,null,10996,null,945266,null,17826,null,1166292,null,17193,null,989607,null,12651,null,0400000US04,Arizona,04
1819785,null,4818,null,245158,null,8607,null,95550,null,5316,null,84327,null,5081,null,50840,null,3970,null,14441,null,1920,null,1574627,null,9518,null,237981,null,7621,null,563246,null,10298,null,430192,null,9129,null,343208,null,9165,null,0400000US05,Arkansas,05
22963104,null,7406,null,2208936,null,28445,null,890486,null,16909,null,596032,null,16114,null,455297,null,14038,null,267121,null,8804,null,20754168,null,29430,null,3586854,null,33907,null,4670229,null,37233,null,5908441,null,36773,null,6588644,null,42224,null,0400000US06,California,06
3152381,null,4267,null,279650,null,10994,null,82198,null,5558,null,85949,null,6257,null,69351,null,5975,null,42152,null,3735,null,2872731,null,11506,null,258877,null,8835,null,689492,null,14493,null,850111,null,15037,null,1074251,null,15992,null,0400000US08,Colorado,08
2309891,null,1895,null,143709,null,6761,null,49297,null,3475,null,48359,null,4305,null,27770,null,2711,null,18283,null,2061,null,2166182,null,6768,null,215352,null,7831,null,627140,null,11496,null,529367,null,9678,null,794323,null,10994,null,0400000US09,Connecticut,09
564034,null,978,null,46500,null,4229,null,14029,null,2215,null,18475,null,2331,null,9255,null,1694,null,4741,null,948,null,517534,null,4341,null,54747,null,3858,null,169193,null,5622,null,150111,null,5241,null,143483,null,5213,null,0400000US10,Delaware,10
391866,null,1471,null,51705,null,4196,null,16288,null,2222,null,16523,null,2859,null,10153,null,1916,null,8741,null,1759,null,340161,null,4243,null,37860,null,3540,null,66851,null,4312,null,54617,null,4087,null,180833,null,4369,null,0400000US11,District of Columbia,11
12357640,null,7992,null,1185906,null,18829,null,373690,null,11438,null,439009,null,11843,null,245465,null,8673,null,127742,null,7134,null,11171734,null,21016,null,1434017,null,20462,null,3434228,null,33594,null,3203524,null,30604,null,3099965,null,27528,null,0400000US12,Florida,12
