B20017C_001E,B20017C_001EA,B20017C_001M,B20017C_001MA,B20017C_002E,B20017C_002EA,B20017C_002M,B20017C_002MA,B20017C_003E,B20017C_003EA,B20017C_003M,B20017C_003MA,B20017C_004E,B20017C_004EA,B20017C_004M,B20017C_004MA,B20017C_005E,B20017C_005EA,B20017C_005M,B20017C_005MA,B20017C_006E,B20017C_006EA,B20017C_006M,B20017C_006MA,B20017C_007E,B20017C_007EA,B20017C_007M,B20017C_007MA,GEO_ID,NAME,state
20341,null,2967,null,23573,null,4238,null,38281,null,7802,null,16172,null,7040,null,14704,null,3563,null,25211,null,3361,null,6455,null,1603,null,0400000US01,Alabama,01
16448,null,2189,null,16345,null,3608,null,38474,null,7836,null,9252,null,1711,null,16516,null,2698,null,35523,null,3177,null,8393,null,2377,null,0400000US02,Alaska,02
20572,null,777,null,21268,null,1086,null,30094,null,2699,null,10332,null,1334,null,19787,null,1683,null,28187,null,3118,null,10043,null,1486,null,0400000US04,Arizona,04
25407,null,5863,null,27660,null,5624,null,40082,null,13882,null,10227,null,2547,null,21067,null,6109,null,30280,null,3245,null,11288,null,2177,null,0400000US05,Arkansas,05
24714,null,1442,null,28040,null,2297,null,42302,null,3723,null,11920,null,1883,null,21047,null,1153,null,33508,null,2487,null,11338,null,825,null,0400000US06,California,06
23263,null,4557,null,25540,null,6090,null,39839,null,4285,null,12809,null,5412,null,21491,null,4391,null,32858,null,6143,null,7541,null,4919,null,0400000US08,Colorado,08
32146,null,5109,null,25909,null,18166,null,45227,null,20990,null,8558,null,14299,null,38047,null,4441,null,36926,null,17091,null,38220,null,17143,null,0400000US09,Connecticut,09
24079,null,21322,null,30605,null,22875,null,31956,null,20290,null,14026,null,51383,null,21402,null,27823,null,36737,null,11396,null,11226,null,5725,null,0400000US10,Delaware,10
52872,null,9579,null,53510,null,13796,null,53510,null,13796,null,-666666666,-,0,**,51669,null,23288,null,55200,null,5805,null,23796,null,86401,null,0400000US11,District of Columbia,11
26298,null,3184,null,30899,null,3251,null,35294,null,3840,null,19860,null,6797,null,21351,null,4103,null,31476,null,5069,null,7296,null,3557,null,0400000US12,Florida,12
27002,null,8252,null,30507,null,8778,null,40419,null,10178,null,9559,null,11143,null,22080,null,5176,null,36875,null,18281,null,15477,null,5504,null,0400000US13,Georgia,13
25569,null,10077,null,26368,null,18571,null,42413,null,15848,null,7170,null,11519,null,21775,null,14367,null,28577,null,20127,null,2499,"2,500-",0,***,0400000US15,Hawaii,15
19645,null,4214,null,22718,null,4515,null,27217,null,4503,null,12212,null,5249,null,15651,null,3656,null,25288,null,6124,null,11382,null,2283,null,0400000US16,Idaho,16
26009,null,3092,null,28444,null,3786,null,42764,null,9525,null,10908,null,3270,null,23930,null,5730,null,26968,null,3742,null,10438,null,4492,null,0400000US17,Illinois,17
22483,null,2819,null,30335,null,8064,null,40488,null,9502,null,8247,null,4715,null,19165,null,5035,null,24469,null,5701,null,7358,null,4759,null,0400000US18,Indiana,18
17829,null,5953,null,14180,null,8917,null,24664,null,3690,null,9694,null,2615,null,20190,null,5224,null,26532,null,10750,null,12748,null,3139,null,0400000US19,Iowa,19
21683,null,2409,null,25782,null,3371,null,34873,null,3651,null,8426,null,2177,null,14545,null,7921,null,31625,null,7395,null,7566,null,3492,null,0400000US20,Kansas,20
23251,null,8303,null,26539,null,1502,null,28009,null,13108,null,12052,null,25158,null,17260,null,11078,null,33068,null,20914,null,14260,null,1984,null,0400000US21,Kentucky,21
21018,null,4917,null,27542,null,8360,null,40237,null,12620,null,11308,null,3544,null,10743,null,3014,null,27702,null,7502,null,5622,null,1351,null,0400000US22,Louisiana,22
16891,null,5498,null,17017,null,9538,null,29500,null,9487,null,7694,null,8553,null,16772,null,7359,null,27611,null,2606,null,6612,null,3282,null,0400000US23,Maine,23
27484,null,5598,null,29573,null,6733,null,43079,null,23064,null,6552,null,1147,null,23937,null,6284,null,38726,null,12202,null,7418,null,4001,null,0400000US24,Maryland,24
21038,null,7491,null,17371,null,6992,null,41205,null,14182,null,4471,null,6840,null,26090,null,8432,null,31799,null,2276,null,16484,null,7883,null,0400000US25,Massachusetts,25
20576,null,1855,null,25003,null,2776,null,37229,null,3279,null,12244,null,1776,null,14760,null,3727,null,27694,null,4636,null,7999,null,1814,null,0400000US26,Michigan,26
19209,null,2967,null,20254,null,3970,null,34822,null,3174,null,9368,null,4348,null,18460,null,3450,null,32173,null,2394,null,7197,null,2138,null,0400000US27,Minnesota,27
19566,null,2754,null,22181,null,6510,null,28008,null,5624,null,15082,null,4536,null,18486,null,5463,null,22110,null,8716,null,8571,null,1642,null,0400000US28,Mississippi,28
21489,null,1812,null,21810,null,2238,null,29830,null,10201,null,9722,null,3574,null,20546,null,4652,null,27330,null,6893,null,4216,null,3886,null,0400000US29,Missouri,29
13697,null,2657,null,17238,null,5070,null,32350,null,5580,null,8500,null,2456,null,10078,null,2961,null,24383,null,4347,null,5458,null,1519,null,0400000US30,Montana,30
15208,null,4395,null,23500,null,6939,null,31382,null,3365,null,6313,null,2767,null,12478,null,3841,null,21538,null,8993,null,7789,null,2465,null,0400000US31,Nebraska,31
29944,null,4344,null,42843,null,15676,null,50039,null,10809,null,28906,null,20538,null,23800,null,3497,null,29460,null,7169,null,11300,null,3288,null,0400000US32,Nevada,32
28078,null,11946,null,30844,null,12432,null,30643,null,10612,null,31227,null,52718,null,23792,null,18549,null,34010,null,8419,null,4553,null,5693,null,0400000US33,New Hampshire,33
24714,null,4741,null,27156,null,3059,null,32352,null,8091,null,16623,null,7178,null,14850,null,3998,null,32630,null,6065,null,8466,null,2902,null,0400000US34,New Jersey,34
19187,null,1645,null,20489,null,1941,null,31077,null,1532,null,8985,null,3113,null,17383,null,1682,null,25132,null,3763,null,9330,null,3116,null,0400000US35,New Mexico,35
22357,null,2468,null,27263,null,7441,null,39404,null,3032,null,14144,null,4335,null,18519,null,2379,null,30593,null,4293,null,10530,null,2005,null,0400000US36,New York,36
20564,null,1590,null,23251,null,3783,null,31713,null,2085,null,9244,null,3813,null,17066,null,1614,null,23131,null,2908,null,9845,null,1891,null,0400000US37,North Carolina,37
14970,null,2860,null,16847,null,2605,null,27387,null,11673,null,7589,null,2258,null,12381,null,3230,null,23808,null,3702,null,6101,null,1384,null,0400000US38,North Dakota,38
22527,null,3943,null,26048,null,7416,null,37208,null,15094,null,10261,null,2854,null,18192,null,5452,null,31764,null,6197,null,7456,null,3951,null,0400000US39,Ohio,39
20202,null,1197,null,22365,null,2031,null,31573,null,912,null,8426,null,1681,null,16875,null,1301,null,26960,null,1029,null,8070,null,902,null,0400000US40,Oklahoma,40
17213,null,2004,null,20096,null,2847,null,23584,null,5520,null,11659,null,3254,null,12444,null,3670,null,24597,null,4286,null,7270,null,1848,null,0400000US41,Oregon,41
17423,null,7416,null,21796,null,10586,null,41658,null,9178,null,7040,null,5754,null,15047,null,5167,null,26408,null,6177,null,9417,null,2674,null,0400000US42,Pennsylvania,42
11521,null,3047,null,13245,null,9231,null,22348,null,31842,null,12571,null,15009,null,10967,null,7463,null,25111,null,7184,null,10093,null,12520,null,0400000US44,Rhode Island,44
22604,null,3410,null,25861,null,6874,null,36258,null,2305,null,6797,null,10262,null,20914,null,4863,null,22984,null,2760,null,15553,null,11422,null,0400000US45,South Carolina,45
12930,null,2669,null,14130,null,4247,null,26881,null,6152,null,7138,null,2771,null,12433,null,2676,null,26630,null,3579,null,4675,null,1665,null,0400000US46,South Dakota,46
25050,null,5708,null,27431,null,7536,null,31762,null,2906,null,10477,null,2078,null,21354,null,8462,null,27392,null,2909,null,9191,null,1677,null,0400000US47,Tennessee,47
22790,null,1738,null,28185,null,3161,null,35931,null,1652,null,12218,null,2278,null,16892,null,2479,null,26850,null,3672,null,10082,null,1576,null,0400000US48,Texas,48
17339,null,4900,null,22434,null,5822,null,33840,null,9467,null,6937,null,2925,null,9995,null,5444,null,24394,null,5388,null,7485,null,1128,null,0400000US49,Utah,49
17384,null,9448,null,16867,null,21192,null,42642,null,23248,null,6421,null,1149,null,20274,null,14569,null,22154,null,26940,null,2644,null,13590,null,0400000US50,Vermont,50
26371,null,2801,null,31532,null,4736,null,40936,null,9456,null,15716,null,7170,null,21546,null,4426,null,31980,null,7491,null,11068,null,3537,null,0400000US51,Virginia,51
21606,null,1475,null,25555,null,3533,null,40255,null,4535,null,10192,null,2661,null,19214,null,2186,null,30895,null,2131,null,10032,null,2092,null,0400000US53,Washington,53
27719,null,12504,null,27271,null,10920,null,38641,null,36520,null,12411,null,27402,null,33162,null,35910,null,65712,null,47896,null,9563,null,3653,null,0400000US54,West Virginia,54
19162,null,2503,null,18279,null,3050,null,31141,null,2029,null,9213,null,2684,null,20198,null,4076,null,30672,null,4619,null,9249,null,2389,null,0400000US55,Wisconsin,55
21077,null,7207,null,22702,null,14055,null,26842,null,42917,null,11348,null,18838,null,20398,null,7477,null,27023,null,17239,null,9354,null,7323,null,0400000US56,Wyoming,56
