B12002H_001E,B12002H_001EA,B12002H_001M,B12002H_001MA,B12002H_002E,B12002H_002EA,B12002H_002M,B12002H_002MA,B12002H_003E,B12002H_003EA,B12002H_003M,B12002H_003MA,B12002H_004E,B12002H_004EA,B12002H_004M,B12002H_004MA,B12002H_005E,B12002H_005EA,B12002H_005M,B12002H_005MA,B12002H_006E,B12002H_006EA,B12002H_006M,B12002H_006MA,B12002H_007E,B12002H_007EA,B12002H_007M,B12002H_007MA,B12002H_008E,B12002H_008EA,B12002H_008M,B12002H_008MA,B12002H_009E,B12002H_009EA,B12002H_009M,B12002H_009MA,B12002H_010E,B12002H_010EA,B12002H_010M,B12002H_010MA,B12002H_011E,B12002H_011EA,B12002H_011M,B12002H_011MA,B12002H_012E,B12002H_012EA,B12002H_012M,B12002H_012MA,B12002H_013E,B12002H_013EA,B12002H_013M,B12002H_013MA,GEO_ID,NAME,state
2607394,null,3038,null,1260152,null,2023,null,304588,null,6731,null,762291,null,9825,null,16901,null,2185,null,35360,null,2939,null,141012,null,5967,null,1347242,null,1849,null,238516,null,5973,null,753028,null,9256,null,25043,null,2259,null,164261,null,5095,null,166394,null,5720,null,0400000US01,Alabama,01
367861,null,371,null,194404,null,276,null,60826,null,2517,null,105626,null,2913,null,3255,null,935,null,3213,null,807,null,21484,null,2192,null,173457,null,348,null,40961,null,2093,null,97498,null,3135,null,3139,null,1118,null,8163,null,1064,null,23696,null,2545,null,0400000US02,Alaska,02
3128048,null,2099,null,1530429,null,1474,null,438065,null,7562,null,834137,null,10394,null,18689,null,3285,null,47659,null,3663,null,191879,null,7557,null,1597619,null,1556,null,347958,null,7663,null,807816,null,11457,null,23919,null,2955,null,175452,null,5853,null,242474,null,8467,null,0400000US04,Arizona,04
1763126,null,957,null,854564,null,1466,null,205620,null,5077,null,510474,null,7048,null,13452,null,2001,null,24677,null,1820,null,100341,null,4776,null,908562,null,1349,null,153483,null,4791,null,509116,null,7103,null,18327,null,2304,null,114396,null,3597,null,113240,null,4963,null,0400000US05,Arkansas,05
13228047,null,6670,null,6518918,null,3621,null,2172796,null,16657,null,3371768,null,21453,null,99043,null,5075,null,183018,null,6135,null,692293,null,12056,null,6709129,null,4723,null,1719895,null,15395,null,3216940,null,21531,null,127031,null,6283,null,721072,null,8760,null,924191,null,16071,null,0400000US06,California,06
2867690,null,1735,null,1421458,null,1099,null,441419,null,6683,null,770481,null,8167,null,16338,null,2100,null,29761,null,2565,null,163459,null,5662,null,1446232,null,1612,null,340907,null,5888,null,763871,null,8457,null,19463,null,3077,null,117159,null,4094,null,204832,null,6136,null,0400000US08,Colorado,08
2157549,null,2519,null,1034971,null,1530,null,318214,null,5035,null,589403,null,7142,null,9187,null,1811,null,30258,null,2254,null,87909,null,4790,null,1122578,null,1477,null,279498,null,5287,null,575618,null,7741,null,12116,null,1672,null,129988,null,4258,null,125358,null,5034,null,0400000US09,Connecticut,09
494568,null,500,null,236616,null,470,null,69933,null,2608,null,132951,null,4048,null,2474,null,820,null,8584,null,1171,null,22674,null,2246,null,257952,null,163,null,61947,null,2759,null,135343,null,4087,null,2583,null,723,null,29696,null,1976,null,28383,null,2492,null,0400000US10,Delaware,10
170985,null,516,null,84984,null,491,null,49251,null,2112,null,28704,null,1995,null,1492,null,620,null,1018,null,447,null,4519,null,1188,null,86001,null,329,null,45009,null,1452,null,27491,null,2014,null,758,null,494,null,4221,null,743,null,8522,null,1425,null,0400000US11,District of Columbia,11
9418214,null,5864,null,4569513,null,5712,null,1245156,null,14400,null,2525911,null,18825,null,63871,null,4960,null,177349,null,5520,null,557226,null,12632,null,4848701,null,4658,null,964268,null,11442,null,2474886,null,21060,null,76285,null,5482,null,655605,null,10113,null,677657,null,13182,null,0400000US12,Florida,12
