C22007_001E,C22007_001EA,C22007_001M,C22007_001MA,C22007_002E,C22007_002EA,C22007_002M,C22007_002MA,C22007_003E,C22007_003EA,C22007_003M,C22007_003MA,C22007_004E,C22007_004EA,C22007_004M,C22007_004MA,C22007_005E,C22007_005EA,C22007_005M,C22007_005MA,C22007_006E,C22007_006EA,C22007_006M,C22007_006MA,C22007_007E,C22007_007EA,C22007_007M,C22007_007MA,C22007_008E,C22007_008EA,C22007_008M,C22007_008MA,C22007_009E,C22007_009EA,C22007_009M,C22007_009MA,C22007_010E,C22007_010EA,C22007_010M,C22007_010MA,C22007_011E,C22007_011EA,C22007_011M,C22007_011MA,C22007_012E,C22007_012EA,C22007_012M,C22007_012MA,C22007_013E,C22007_013EA,C22007_013M,C22007_013MA,C22007_014E,C22007_014EA,C22007_014M,C22007_014MA,C22007_015E,C22007_015EA,C22007_015M,C22007_015MA,C22007_016E,C22007_016EA,C22007_016M,C22007_016MA,C22007_017E,C22007_017EA,C22007_017M,C22007_017MA,C22007_018E,C22007_018EA,C22007_018M,C22007_018MA,C22007_019E,C22007_019EA,C22007_019M,C22007_019MA,C22007_020E,C22007_020EA,C22007_020M,C22007_020MA,C22007_021E,C22007_021EA,C22007_021M,C22007_021MA,C22007_022E,C22007_022EA,C22007_022M,C22007_022MA,C22007_023E,C22007_023EA,C22007_023M,C22007_023MA,C22007_024E,C22007_024EA,C22007_024M,C22007_024MA,C22007_025E,C22007_025EA,C22007_025M,C22007_025MA,C22007_026E,C22007_026EA,C22007_026M,C22007_026MA,C22007_027E,C22007_027EA,C22007_027M,C22007_027MA,C22007_028E,C22007_028EA,C22007_028M,C22007_028MA,C22007_029E,C22007_029EA,C22007_029M,C22007_029MA,GEO_ID,NAME,state
1245126,null,10267,null,135318,null,5303,null,36111,null,2858,null,6892,null,1184,null,12609,null,1935,null,16610,null,2345,null,99207,null,4791,null,10967,null,1832,null,2881,null,927,null,5994,null,1425,null,2092,null,835,null,88240,null,4847,null,24758,null,2635,null,54273,null,3970,null,9209,null,1472,null,1109808,null,10014,null,855362,null,11313,null,130094,null,4008,null,211960,null,5858,null,513308,null,9650,null,254446,null,7444,null,72559,null,4772,null,9719,null,2066,null,37565,null,3105,null,25275,null,2721,null,181887,null,6062,null,25964,null,2034,null,104835,null,5138,null,51088,null,3407,null,0400000US01,Alabama,01
162345,null,3643,null,13378,null,1901,null,5760,null,1284,null,469,null,377,null,1964,null,723,null,3327,null,839,null,7618,null,1385,null,1599,null,469,null,167,null,162,null,1055,null,418,null,377,null,165,null,6019,null,1281,null,1228,null,507,null,3772,null,1001,null,1019,null,439,null,148967,null,3493,null,116501,null,3712,null,7909,null,907,null,22029,null,2116,null,86563,null,3724,null,32466,null,2468,null,11840,null,1708,null,341,null,200,null,6076,null,1182,null,5423,null,1119,null,20626,null,1820,null,1681,null,570,null,10953,null,1480,null,7992,null,1151,null,0400000US02,Alaska,02
1491772,null,13954,null,121877,null,6101,null,45807,null,3629,null,5216,null,1127,null,17915,null,2534,null,22676,null,2760,null,76070,null,5352,null,13014,null,1976,null,2379,null,894,null,6563,null,1408,null,4072,null,1019,null,63056,null,4649,null,17329,null,2437,null,33586,null,3610,null,12141,null,1666,null,1369895,null,14007,null,1068737,null,13507,null,186308,null,4635,null,274795,null,7358,null,607634,null,10388,null,301158,null,7592,null,99687,null,5520,null,7220,null,1176,null,56457,null,4182,null,36010,null,3196,null,201471,null,6613,null,20753,null,2363,null,107471,null,5235,null,73247,null,3844,null,0400000US04,Arizona,04
756113,null,10348,null,96714,null,5202,null,34984,null,3164,null,5271,null,1070,null,12674,null,1636,null,17039,null,2143,null,61730,null,4192,null,8071,null,1458,null,1526,null,755,null,5257,null,1306,null,1288,null,631,null,53659,null,3956,null,12950,null,1669,null,32442,null,3050,null,8267,null,1383,null,659399,null,8925,null,535091,null,8642,null,84865,null,3756,null,126368,null,5604,null,323858,null,8028,null,124308,null,5475,null,36806,null,3652,null,5035,null,1274,null,17655,null,2362,null,14116,null,2133,null,87502,null,4423,null,11646,null,1798,null,48944,null,3492,null,26912,null,2626,null,0400000US05,Arkansas,05
8330684,null,27121,null,474819,null,11656,null,170007,null,7026,null,18015,null,2052,null,68609,null,4284,null,83383,null,4791,null,304812,null,9249,null,48245,null,4075,null,7999,null,1648,null,27438,null,3089,null,12808,null,2055,null,256567,null,9348,null,83656,null,5297,null,130188,null,7133,null,42723,null,3449,null,7855865,null,27200,null,5895739,null,29006,null,670089,null,10135,null,1486266,null,19202,null,3739384,null,27786,null,1960126,null,21514,null,653207,null,12461,null,43892,null,3298,null,318475,null,9129,null,290840,null,9334,null,1306919,null,16838,null,145892,null,5390,null,677349,null,13990,null,483678,null,10971,null,0400000US06,California,06
1202485,null,10691,null,67245,null,5324,null,23891,null,2950,null,1788,null,523,null,7985,null,1728,null,14118,null,2046,null,43354,null,4305,null,8486,null,1862,null,1362,null,529,null,5775,null,1599,null,1349,null,707,null,34868,null,3548,null,6957,null,1568,null,21414,null,2756,null,6497,null,1068,null,1135240,null,9860,null,910535,null,9037,null,94236,null,3868,null,203065,null,5902,null,613234,null,8679,null,224705,null,7807,null,79315,null,4988,null,4164,null,1027,null,45577,null,4130,null,29574,null,2883,null,145390,null,6202,null,12765,null,1816,null,83204,null,4904,null,49421,null,3821,null,0400000US08,Colorado,08
885471,null,7409,null,48118,null,3849,null,10520,null,1644,null,1822,null,667,null,3072,null,951,null,5626,null,1202,null,37598,null,3331,null,4491,null,1265,null,1526,null,770,null,1977,null,802,null,988,null,531,null,33107,null,3236,null,9301,null,1686,null,19487,null,2533,null,4319,null,858,null,837353,null,7906,null,663222,null,8261,null,72124,null,3341,null,143856,null,5223,null,447242,null,6815,null,174131,null,6024,null,47130,null,3850,null,2722,null,706,null,23438,null,2437,null,20970,null,2765,null,127001,null,4435,null,10652,null,1395,null,66422,null,3599,null,49927,null,3175,null,0400000US09,Connecticut,09
224451,null,4325,null,18369,null,2431,null,5374,null,1274,null,553,null,378,null,2203,null,901,null,2618,null,790,null,12995,null,2070,null,2409,null,944,null,270,null,201,null,1142,null,640,null,997,null,595,null,10586,null,1724,null,2556,null,928,null,7274,null,1345,null,756,null,364,null,206082,null,4542,null,157608,null,5077,null,22192,null,1536,null,35393,null,2506,null,100023,null,4553,null,48474,null,2910,null,13799,null,2098,null,972,null,478,null,6305,null,1271,null,6522,null,1364,null,34675,null,2510,null,2719,null,768,null,20504,null,2374,null,11452,null,1645,null,0400000US10,Delaware,10
108181,null,3697,null,15407,null,1959,null,2896,null,1139,null,265,null,194,null,1070,null,726,null,1561,null,770,null,12511,null,1692,null,1055,null,498,null,134,null,134,null,809,null,450,null,112,null,131,null,11456,null,1633,null,4181,null,1130,null,4925,null,1113,null,2350,null,778,null,92774,null,3782,null,52894,null,2774,null,5787,null,1054,null,10822,null,1627,null,36285,null,2129,null,39880,null,2944,null,8379,null,1460,null,831,null,470,null,4826,null,1269,null,2722,null,794,null,31501,null,2631,null,3095,null,960,null,17748,null,2335,null,10658,null,1531,null,0400000US11,District of Columbia,11
4626215,null,26538,null,293017,null,9149,null,105831,null,4748,null,20754,null,2137,null,34692,null,3330,null,50385,null,3745,null,187186,null,7516,null,32089,null,3454,null,5375,null,1169,null,20346,null,2470,null,6368,null,1411,null,155097,null,7176,null,36085,null,3254,null,90380,null,5406,null,28632,null,3040,null,4333198,null,26962,null,3309181,null,26196,null,650848,null,8919,null,779999,null,12446,null,1878334,null,21700,null,1024017,null,17782,null,299225,null,10050,null,21465,null,2336,null,157699,null,7758,null,120061,null,6191,null,724792,null,14891,null,73370,null,4913,null,405422,null,12059,null,246000,null,9027,null,0400000US12,Florida,12
