C17020I_001E,C17020I_001EA,C17020I_001M,C17020I_001MA,C17020I_002E,C17020I_002EA,C17020I_002M,C17020I_002MA,C17020I_003E,C17020I_003EA,C17020I_003M,C17020I_003MA,C17020I_004E,C17020I_004EA,C17020I_004M,C17020I_004MA,C17020I_005E,C17020I_005EA,C17020I_005M,C17020I_005MA,C17020I_006E,C17020I_006EA,C17020I_006M,C17020I_006MA,C17020I_007E,C17020I_007EA,C17020I_007M,C17020I_007MA,C17020I_008E,C17020I_008EA,C17020I_008M,C17020I_008MA,C17020I_009E,C17020I_009EA,C17020I_009M,C17020I_009MA,GEO_ID,NAME,state
117206,null,1415,null,33098,null,4483,null,15448,null,2465,null,17147,null,2392,null,503,null,387,null,84108,null,4526,null,28876,null,2447,null,52109,null,2652,null,3123,null,970,null,0400000US01,Alabama,01
37264,null,966,null,4128,null,1447,null,1636,null,832,null,2492,null,866,null,0,null,237,null,33136,null,1603,null,11668,null,931,null,20701,null,1035,null,767,null,435,null,0400000US02,Alaska,02
1844978,null,3730,null,405706,null,21264,null,197081,null,12169,null,193051,null,10339,null,15574,null,2241,null,1439272,null,21708,null,492545,null,12522,null,876213,null,10881,null,70514,null,2425,null,0400000US04,Arizona,04
143022,null,1384,null,40917,null,5442,null,21701,null,3195,null,18560,null,3039,null,656,null,363,null,102105,null,5177,null,34791,null,3086,null,65108,null,3138,null,2206,null,870,null,0400000US05,Arkansas,05
12971865,null,8896,null,2304991,null,41714,null,1064013,null,24729,null,1158529,null,21509,null,82449,null,4609,null,10666874,null,41870,null,3435796,null,24773,null,6653764,null,21902,null,577314,null,5444,null,0400000US06,California,06
942886,null,2569,null,228496,null,14501,null,106732,null,8165,null,114791,null,7829,null,6973,null,1286,null,714390,null,14235,null,223946,null,8115,null,449625,null,7716,null,40819,null,1731,null,0400000US08,Colorado,08
388427,null,1750,null,82640,null,6527,null,37478,null,4462,null,40885,null,3488,null,4277,null,976,null,305787,null,6377,null,91226,null,4426,null,201282,null,3569,null,13279,null,1261,null,0400000US09,Connecticut,09
54220,null,666,null,13847,null,3183,null,6284,null,1806,null,7219,null,1792,null,344,null,412,null,40373,null,3253,null,14352,null,1891,null,24760,null,1860,null,1261,null,577,null,0400000US10,Delaware,10
48107,null,402,null,5317,null,2068,null,1251,null,1071,null,3405,null,1280,null,661,null,321,null,42790,null,2127,null,9945,null,1070,null,30819,null,1364,null,2026,null,336,null,0400000US11,District of Columbia,11
3698182,null,4263,null,590096,null,21032,null,204963,null,11742,null,307857,null,12006,null,77276,null,4238,null,3108086,null,21645,null,766553,null,11854,null,2038827,null,11984,null,302706,null,4482,null,0400000US12,Florida,12
712267,null,3744,null,169240,null,11901,null,79418,null,6111,null,86886,null,7776,null,2936,null,995,null,543027,null,12139,null,182764,null,6353,null,345840,null,7875,null,14423,null,1852,null,0400000US13,Georgia,13
103064,null,633,null,11095,null,2734,null,4708,null,1474,null,5971,null,1608,null,416,null,278,null,91969,null,2862,null,32743,null,1466,null,54398,null,1815,null,4828,null,562,null,0400000US15,Hawaii,15
144125,null,691,null,35478,null,5336,null,18010,null,3388,null,16541,null,2450,null,927,null,477,null,108647,null,5381,null,41938,null,3442,null,63613,null,2425,null,3096,null,767,null,0400000US16,Idaho,16
1888222,null,2866,null,298414,null,16927,null,138169,null,9875,null,149894,null,9024,null,10351,null,2192,null,1589808,null,17133,null,519884,null,9743,null,1006010,null,9225,null,63914,null,2150,null,0400000US17,Illinois,17
305043,null,1891,null,67850,null,6307,null,33354,null,3896,null,33727,null,3532,null,769,null,433,null,237193,null,6323,null,80406,null,3844,null,147539,null,3308,null,9248,null,1006,null,0400000US18,Indiana,18
115392,null,1598,null,27067,null,3823,null,13988,null,2335,null,12695,null,2037,null,384,null,335,null,88325,null,3877,null,31855,null,2187,null,53041,null,2629,null,3429,null,905,null,0400000US19,Iowa,19
236237,null,1652,null,59552,null,6605,null,29075,null,3896,null,29096,null,3192,null,1381,null,625,null,176685,null,6634,null,61242,null,3771,null,109613,null,3408,null,5830,null,881,null,0400000US20,Kansas,20
