B18011_001E,B18011_001EA,B18011_001M,B18011_001MA,B18011_002E,B18011_002EA,B18011_002M,B18011_002MA,B18011_003E,B18011_003EA,B18011_003M,B18011_003MA,B18011_004E,B18011_004EA,B18011_004M,B18011_004MA,B18011_005E,B18011_005EA,B18011_005M,B18011_005MA,B18011_006E,B18011_006EA,B18011_006M,B18011_006MA,B18011_007E,B18011_007EA,B18011_007M,B18011_007MA,B18011_008E,B18011_008EA,B18011_008M,B18011_008MA,B18011_009E,B18011_009EA,B18011_009M,B18011_009MA,B18011_010E,B18011_010EA,B18011_010M,B18011_010MA,B18011_011E,B18011_011EA,B18011_011M,B18011_011MA,B18011_012E,B18011_012EA,B18011_012M,B18011_012MA,B18011_013E,B18011_013EA,B18011_013M,B18011_013MA,B18011_014E,B18011_014EA,B18011_014M,B18011_014MA,B18011_015E,B18011_015EA,B18011_015M,B18011_015MA,B18011_016E,B18011_016EA,B18011_016M,B18011_016MA,B18011_017E,B18011_017EA,B18011_017M,B18011_017MA,B18011_018E,B18011_018EA,B18011_018M,B18011_018MA,B18011_019E,B18011_019EA,B18011_019M,B18011_019MA,GEO_ID,NAME,state
1019359,null,5332,null,21017,null,2563,null,3357,null,1106,null,1144,null,518,null,2213,null,932,null,17660,null,2589,null,5976,null,1672,null,6620,null,1615,null,3760,null,1110,null,1304,null,467,null,998342,null,6002,null,270256,null,6713,null,41211,null,3478,null,229045,null,6949,null,728086,null,9121,null,145142,null,6954,null,262619,null,8480,null,192720,null,7604,null,127605,null,6136,null,0400000US01,Alabama,01
159100,null,2455,null,2702,null,775,null,537,null,396,null,122,null,127,null,415,null,377,null,2165,null,696,null,675,null,414,null,580,null,285,null,737,null,450,null,173,null,216,null,156398,null,2639,null,37080,null,3163,null,9180,null,1606,null,27900,null,2899,null,119318,null,4003,null,13634,null,1735,null,52547,null,3547,null,33134,null,2766,null,20003,null,2055,null,0400000US02,Alaska,02
1470640,null,3527,null,23112,null,3615,null,4979,null,1309,null,1223,null,470,null,3756,null,1232,null,18133,null,3003,null,4463,null,1223,null,7551,null,1963,null,4583,null,1370,null,1536,null,856,null,1447528,null,4593,null,349249,null,9294,null,55251,null,4508,null,293998,null,8712,null,1098279,null,9230,null,240463,null,8595,null,380471,null,11809,null,284755,null,10659,null,192590,null,6764,null,0400000US04,Arizona,04
622037,null,4681,null,11246,null,1900,null,2637,null,809,null,627,null,407,null,2010,null,789,null,8609,null,1683,null,2341,null,780,null,4285,null,1298,null,1254,null,558,null,729,null,512,null,610791,null,5086,null,154529,null,5313,null,28069,null,2871,null,126460,null,5104,null,456262,null,6872,null,77905,null,4738,null,184193,null,7036,null,119012,null,4830,null,75152,null,4990,null,0400000US05,Arkansas,05
8780370,null,7937,null,103531,null,6706,null,28987,null,2807,null,4600,null,1218,null,24387,null,2727,null,74544,null,5768,null,23101,null,2755,null,26167,null,3118,null,19711,null,2597,null,5565,null,1322,null,8676839,null,10121,null,2536756,null,23746,null,335573,null,9875,null,2201183,null,25711,null,6140083,null,24687,null,1350011,null,22415,null,1945627,null,23419,null,1457233,null,19155,null,1387212,null,16122,null,0400000US06,California,06
1150965,null,4537,null,16694,null,2368,null,4573,null,1272,null,1238,null,545,null,3335,null,1165,null,12121,null,1932,null,3002,null,1282,null,4818,null,1335,null,2768,null,1119,null,1533,null,706,null,1134271,null,4815,null,292566,null,7326,null,40641,null,2873,null,251925,null,7493,null,841705,null,8938,null,125512,null,6518,null,269088,null,9914,null,220421,null,8834,null,226684,null,6966,null,0400000US08,Colorado,08
706827,null,2629,null,7097,null,1575,null,1585,null,745,null,746,null,455,null,839,null,552,null,5512,null,1326,null,1710,null,725,null,2030,null,1017,null,1008,null,504,null,764,null,415,null,699730,null,3009,null,233039,null,5510,null,28595,null,2237,null,204444,null,6006,null,466691,null,6338,null,53078,null,4031,null,160051,null,7264,null,107310,null,4955,null,146252,null,4477,null,0400000US09,Connecticut,09
187123,null,1176,null,2391,null,853,null,796,null,506,null,385,null,395,null,411,null,293,null,1595,null,601,null,560,null,365,null,463,null,351,null,371,null,280,null,201,null,197,null,184732,null,1478,null,57452,null,2748,null,6967,null,1152,null,50485,null,2938,null,127280,null,3020,null,21541,null,2144,null,44959,null,2656,null,30667,null,2138,null,30113,null,2910,null,0400000US10,Delaware,10
173420,null,1532,null,2012,null,564,null,914,null,266,null,47,null,79,null,867,null,240,null,1098,null,463,null,246,null,300,null,533,null,348,null,106,null,174,null,213,null,181,null,171408,null,1550,null,51155,null,3402,null,4791,null,1472,null,46364,null,3535,null,120253,null,3368,null,13778,null,2644,null,27218,null,3466,null,13762,null,1981,null,65495,null,3597,null,0400000US11,District of Columbia,11
3753929,null,8563,null,40794,null,4280,null,9414,null,1976,null,2424,null,921,null,6990,null,1694,null,31380,null,3999,null,7968,null,1878,null,12693,null,2579,null,8426,null,1901,null,2293,null,836,null,3713135,null,9862,null,1006466,null,16648,null,158486,null,7618,null,847980,null,14453,null,2706669,null,17628,null,478080,null,16266,null,1011578,null,20565,null,665162,null,17238,null,551849,null,13307,null,0400000US12,Florida,12
