C17001_001E,C17001_001EA,C17001_001M,C17001_001MA,C17001_002E,C17001_002EA,C17001_002M,C17001_002MA,C17001_003E,C17001_003EA,C17001_003M,C17001_003MA,C17001_004E,C17001_004EA,C17001_004M,C17001_004MA,C17001_005E,C17001_005EA,C17001_005M,C17001_005MA,C17001_006E,C17001_006EA,C17001_006M,C17001_006MA,C17001_007E,C17001_007EA,C17001_007M,C17001_007MA,C17001_008E,C17001_008EA,C17001_008M,C17001_008MA,C17001_009E,C17001_009EA,C17001_009M,C17001_009MA,C17001_010E,C17001_010EA,C17001_010M,C17001_010MA,C17001_011E,C17001_011EA,C17001_011M,C17001_011MA,C17001_012E,C17001_012EA,C17001_012M,C17001_012MA,C17001_013E,C17001_013EA,C17001_013M,C17001_013MA,C17001_014E,C17001_014EA,C17001_014M,C17001_014MA,C17001_015E,C17001_015EA,C17001_015M,C17001_015MA,C17001_016E,C17001_016EA,C17001_016M,C17001_016MA,C17001_017E,C17001_017EA,C17001_017M,C17001_017MA,C17001_018E,C17001_018EA,C17001_018M,C17001_018MA,C17001_019E,C17001_019EA,C17001_019M,C17001_019MA,GEO_ID,NAME,state
4506549,null,3723,null,759835,null,22998,null,319787,null,12703,null,135197,null,6636,null,163729,null,8202,null,20861,null,2184,null,440048,null,13974,null,133889,null,7484,null,255417,null,8856,null,50742,null,2997,null,3746714,null,22694,null,1848087,null,12805,null,425711,null,7114,null,1192806,null,8071,null,229570,null,2520,null,1898627,null,14531,null,411977,null,8547,null,1188455,null,8908,null,298195,null,3402,null,0400000US01,Alabama,01
666618,null,1056,null,59625,null,5440,null,30474,null,3348,null,10907,null,1779,null,18343,null,2276,null,1224,null,454,null,29151,null,2913,null,9532,null,1645,null,18364,null,1810,null,1255,null,498,null,606993,null,5514,null,314367,null,3674,null,82222,null,2191,null,211372,null,2728,null,20773,null,621,null,292626,null,3642,null,75116,null,2161,null,194599,null,2097,null,22911,null,1098,null,0400000US02,Alaska,02
6225486,null,3631,null,881257,null,31475,null,404883,null,17335,null,166682,null,9152,null,212874,null,10799,null,25327,null,2023,null,476374,null,16791,null,164228,null,8820,null,268483,null,10082,null,43663,null,3298,null,5344229,null,32346,null,2691024,null,17495,null,670028,null,9598,null,1683966,null,10890,null,337030,null,2542,null,2653205,null,17763,null,640239,null,9811,null,1612311,null,10153,null,400655,null,3627,null,0400000US04,Arizona,04
2753919,null,2217,null,492052,null,16318,null,218249,null,9325,null,90724,null,5936,null,113027,null,6322,null,14498,null,1659,null,273803,null,9224,null,87081,null,4809,null,155369,null,5722,null,31353,null,2489,null,2261867,null,16450,null,1125292,null,8999,null,259875,null,5567,null,715062,null,6380,null,150355,null,2091,null,1136575,null,10460,null,252031,null,5287,null,703000,null,6553,null,181544,null,2886,null,0400000US05,Arkansas,05
35768016,null,9033,null,4433014,null,63400,null,2007341,null,34518,null,817979,null,21489,null,1079880,null,20494,null,109482,null,4817,null,2425673,null,35004,null,773316,null,19790,null,1442992,null,20755,null,209365,null,6851,null,31335002,null,63049,null,15762395,null,33931,null,3902253,null,19989,null,10298950,null,20797,null,1561192,null,5534,null,15572607,null,35338,null,3729013,null,20769,null,9827292,null,21005,null,2016302,null,7375,null,0400000US06,California,06
4756244,null,3068,null,569386,null,19957,null,253817,null,10711,null,94587,null,5585,null,147034,null,7790,null,12196,null,1509,null,315569,null,11654,null,97138,null,7308,null,190245,null,7123,null,28186,null,1932,null,4186858,null,20044,null,2131027,null,10920,null,504442,null,6123,null,1429602,null,8010,null,196983,null,2154,null,2055831,null,12624,null,478711,null,7653,null,1338281,null,7326,null,238839,null,2489,null,0400000US08,Colorado,08
3387524,null,2001,null,268880,null,12898,null,116914,null,7482,null,48249,null,5003,null,61496,null,4285,null,7169,null,1276,null,151966,null,7931,null,41124,null,3901,null,89869,null,5208,null,20973,null,2196,null,3118644,null,12790,null,1531126,null,8175,null,364381,null,5375,null,987789,null,4758,null,178956,null,1756,null,1587518,null,8107,null,353420,null,4376,null,998015,null,5209,null,236083,null,2618,null,0400000US09,Connecticut,09
838497,null,1393,null,87956,null,7512,null,36146,null,3770,null,14955,null,2443,null,18262,null,2362,null,2929,null,925,null,51810,null,5042,null,14427,null,2324,null,31577,null,3381,null,5806,null,1120,null,750541,null,7492,null,369955,null,3989,null,86995,null,2561,null,236813,null,2474,null,46147,null,1181,null,380586,null,4957,null,83880,null,2597,null,239381,null,3227,null,57325,null,1076,null,0400000US10,Delaware,10
559557,null,297,null,91934,null,7937,null,38519,null,4263,null,13009,null,2368,null,22841,null,2860,null,2669,null,827,null,53415,null,5111,null,12588,null,2486,null,34328,null,3392,null,6499,null,1279,null,467623,null,7947,null,222910,null,4309,null,43584,null,2540,null,155845,null,2941,null,23481,null,892,null,244713,null,5398,null,43498,null,2570,null,167041,null,3690,null,34174,null,1375,null,0400000US11,District of Columbia,11
17846751,null,5850,null,2158832,null,38730,null,939345,null,20412,null,348570,null,13088,null,490996,null,12766,null,99779,null,5611,null,1219487,null,25433,null,329468,null,13309,null,706808,null,15006,null,183211,null,6172,null,15687919,null,39162,null,7770713,null,21053,null,1686442,null,13381,null,4852538,null,13811,null,1231733,null,5851,null,7917206,null,27179,null,1608715,null,14753,null,4813214,null,15289,null,1495277,null,7464,null,0400000US12,Florida,12
9286158,null,4457,null,1323828,null,31219,null,582301,null,16606,null,257212,null,10815,null,293058,null,11347,null,32031,null,2890,null,741527,null,19227,null,233169,null,11490,null,430570,null,10883,null,77788,null,4471,null,7962330,null,32091,null,3948179,null,19229,null,1020774,null,12626,null,2586244,null,11624,null,341161,null,3406,null,4014151,null,19424,null,978389,null,11724,null,2582493,null,10793,null,453269,null,5320,null,0400000US13,Georgia,13
1254854,null,925,null,100051,null,6916,null,46544,null,4422,null,15038,null,2737,null,28208,null,2903,null,3298,null,1022,null,53507,null,4385,null,12570,null,2199,null,32880,null,2702,null,8057,null,1636,null,1154803,null,6724,null,581464,null,4403,null,132001,null,3047,null,374077,null,2803,null,75386,null,1212,null,573339,null,4934,null,123477,null,2840,null,356214,null,2734,null,93648,null,1737,null,0400000US15,Hawaii,15
1464460,null,1774,null,177806,null,9436,null,76300,null,5469,null,32933,null,3476,null,39670,null,3043,null,3697,null,867,null,101506,null,5671,null,30658,null,3203,null,61255,null,3442,null,9593,null,1393,null,1286654,null,9937,null,656996,null,6037,null,173048,null,3629,null,411141,null,3495,null,72807,null,1234,null,629658,null,6080,null,164179,null,3778,null,385221,null,3482,null,80258,null,1630,null,0400000US16,Idaho,16
12541198,null,3976,null,1496248,null,34817,null,662587,null,17917,null,267502,null,10809,null,356166,null,10156,null,38919,null,2797,null,833661,null,21373,null,257792,null,11674,null,490171,null,11514,null,85698,null,3844,null,11044950,null,35613,null,5503110,null,18544,null,1349784,null,11082,null,3579216,null,10497,null,574110,null,3335,null,5541840,null,22228,null,1282801,null,11742,null,3488621,null,12009,null,770418,null,5054,null,0400000US17,Illinois,17
6145040,null,3956,null,757813,null,19999,null,328001,null,11955,null,137775,null,7248,null,174324,null,7552,null,15902,null,1764,null,429812,null,12161,null,129835,null,7319,null,257155,null,7591,null,42822,null,2642,null,5387227,null,20649,null,2694955,null,12020,null,660438,null,7157,null,1734422,null,8231,null,300095,null,2486,null,2692272,null,13046,null,622568,null,8222,null,1680119,null,7574,null,389585,null,3058,null,0400000US18,Indiana,18
2881760,null,2589,null,317946,null,14131,null,136883,null,7853,null,47757,null,4435,null,80200,null,4621,null,8926,null,1124,null,181063,null,8054,null,46829,null,4110,null,111537,null,5151,null,22697,null,1570,null,2563814,null,14447,null,1285701,null,8659,null,309723,null,4584,null,810832,null,5529,null,165146,null,1616,null,1278113,null,8517,null,291456,null,4325,null,774925,null,5515,null,211732,null,1882,null,0400000US19,Iowa,19
2688942,null,2418,null,300210,null,13334,null,134431,null,7297,null,49813,null,3926,null,77105,null,4795,null,7513,null,1089,null,165779,null,7759,null,49777,null,4374,null,96471,null,4716,null,19531,null,1591,null,2388732,null,13278,null,1193590,null,7673,null,298601,null,4345,null,761114,null,5235,null,133875,null,1878,null,1195142,null,8282,null,284979,null,4702,null,738404,null,4868,null,171759,null,1848,null,0400000US20,Kansas,20
4120513,null,2618,null,714080,null,22283,null,309994,null,12394,null,118813,null,6776,null,168877,null,7686,null,22304,null,2049,null,404086,null,12534,null,116146,null,5714,null,243035,null,8365,null,44905,null,3069,null,3406433,null,22447,null,1694905,null,11669,null,386295,null,6637,null,1110974,null,7667,null,197636,null,2550,null,1711528,null,13926,null,361196,null,6446,null,1094696,null,8657,null,255636,null,3163,null,0400000US21,Kentucky,21
