B99162_001E,B99162_001EA,B99162_002E,B99162_002EA,B99162_003E,B99162_003EA,B99162_004E,B99162_004EA,B99162_005E,B99162_005EA,B99162_006E,B99162_006EA,B99162_007E,B99162_007EA,GEO_ID,NAME,state
4318848,null,4135017,null,183831,null,12974,null,3712,null,9262,null,170857,null,0400000US01,Alabama,01
632806,null,532298,null,100508,null,4344,null,1788,null,2556,null,96164,null,0400000US02,Alaska,02
5839788,null,4177239,null,1662549,null,58199,null,31416,null,26783,null,1604350,null,0400000US04,Arizona,04
2637847,null,2469885,null,167962,null,10909,null,2963,null,7946,null,157053,null,0400000US05,Arkansas,05
33891325,null,19449674,null,14441651,null,467760,null,305211,null,162549,null,13973891,null,0400000US06,California,06
4512195,null,3756446,null,755749,null,41706,null,21953,null,19753,null,714043,null,0400000US08,Colorado,08
3290325,null,2650739,null,639586,null,29556,null,11102,null,18454,null,610030,null,0400000US09,Connecticut,09
805602,null,708673,null,96929,null,5881,null,2536,null,3345,null,91048,null,0400000US10,Delaware,10
551980,null,471785,null,80195,null,5151,null,2075,null,3076,null,75044,null,0400000US11,District of Columbia,11
17105241,null,12639454,null,4465787,null,152372,null,80007,null,72365,null,4313415,null,0400000US12,Florida,12
8818349,null,7761734,null,1056615,null,64107,null,28856,null,35251,null,992508,null,0400000US13,Georgia,13
1195661,null,890449,null,305212,null,17605,null,9026,null,8579,null,287607,null,0400000US15,Hawaii,15
1382539,null,1246646,null,135893,null,8069,null,2126,null,5943,null,127824,null,0400000US16,Idaho,16
11961769,null,9358525,null,2603244,null,117294,null,53935,null,63359,null,2485950,null,0400000US17,Illinois,17
5903675,null,5466241,null,437434,null,32317,null,7718,null,24599,null,405117,null,0400000US18,Indiana,18
2790906,null,2607163,null,183743,null,18029,null,4658,null,13371,null,165714,null,0400000US19,Iowa,19
2580638,null,2324529,null,256109,null,14323,null,3943,null,10380,null,241786,null,0400000US20,Kansas,20
3963318,null,3799294,null,164024,null,12805,null,2585,null,10220,null,151219,null,0400000US21,Kentucky,21
3996750,null,3668709,null,328041,null,16641,null,4654,null,11987,null,311400,null,0400000US22,Louisiana,22
1247427,null,1155136,null,92291,null,5941,null,1388,null,4553,null,86350,null,0400000US23,Maine,23
5243703,null,4468436,null,775267,null,48325,null,19837,null,28488,null,726942,null,0400000US24,Maryland,24
6072036,null,4843180,null,1228856,null,68390,null,32417,null,35973,null,1160466,null,0400000US25,Massachusetts,25
9435733,null,8584868,null,850865,null,60581,null,13526,null,47055,null,790284,null,0400000US26,Michigan,26
4844316,null,4379686,null,464630,null,36139,null,9895,null,26244,null,428491,null,0400000US27,Minnesota,27
2705640,null,2613861,null,91779,null,6923,null,2073,null,4850,null,84856,null,0400000US28,Mississippi,28
5484696,null,5167858,null,316838,null,29902,null,6936,null,22966,null,286936,null,0400000US29,Missouri,29
898614,null,861559,null,37055,null,4781,null,316,null,4465,null,32274,null,0400000US30,Montana,30
1645880,null,1497583,null,148297,null,12460,null,2453,null,10007,null,135837,null,0400000US31,Nebraska,31
2371632,null,1721294,null,650338,null,17718,null,7871,null,9847,null,632620,null,0400000US32,Nevada,32
1240806,null,1142798,null,98008,null,8729,null,1614,null,7115,null,89279,null,0400000US33,New Hampshire,33
8130371,null,5868363,null,2262008,null,92552,null,43132,null,49420,null,2169456,null,0400000US34,New Jersey,34
1828867,null,1175987,null,652880,null,21050,null,13323,null,7727,null,631830,null,0400000US35,New Mexico,35
18097578,null,12868476,null,5229102,null,224382,null,116507,null,107875,null,5004720,null,0400000US36,New York,36
8429207,null,7614562,null,814645,null,41071,null,15843,null,25228,null,773574,null,0400000US37,North Carolina,37
599205,null,563818,null,35387,null,4685,null,652,null,4033,null,30702,null,0400000US38,North Dakota,38
10727127,null,10080650,null,646477,null,64292,null,14061,null,50231,null,582185,null,0400000US39,Ohio,39
3357386,null,3081223,null,276163,null,13366,null,3295,null,10071,null,262797,null,0400000US40,Oklahoma,40
3511093,null,3006472,null,504621,null,23666,null,6973,null,16693,null,480955,null,0400000US41,Oregon,41
11703178,null,10596161,null,1107017,null,105376,null,35414,null,69962,null,1001641,null,0400000US42,Pennsylvania,42
996158,null,789087,null,207071,null,10486,null,3645,null,6841,null,196585,null,0400000US44,Rhode Island,44
4113842,null,3872698,null,241144,null,15102,null,4853,null,10249,null,226042,null,0400000US45,South Carolina,45
740248,null,693864,null,46384,null,6217,null,1359,null,4858,null,40167,null,0400000US46,South Dakota,46
5750581,null,5415021,null,335560,null,24014,null,6438,null,17576,null,311546,null,0400000US47,Tennessee,47
21924924,null,14487090,null,7437834,null,216769,null,125283,null,91486,null,7221065,null,0400000US48,Texas,48
2392633,null,2060951,null,331682,null,16154,null,6656,null,9498,null,315528,null,0400000US49,Utah,49
588849,null,558675,null,30174,null,2640,null,335,null,2305,null,27534,null,0400000US50,Vermont,50
7201765,null,6245517,null,956248,null,60074,null,31690,null,28384,null,896174,null,0400000US51,Virginia,51
6046464,null,5034024,null,1012440,null,43603,null,15419,null,28184,null,968837,null,0400000US53,Washington,53
1707922,null,1668769,null,39153,null,5588,null,863,null,4725,null,33565,null,0400000US54,West Virginia,54
5245596,null,4816806,null,428790,null,38986,null,11716,null,27270,null,389804,null,0400000US55,Wisconsin,55
487399,null,456980,null,30419,null,2991,null,351,null,2640,null,27428,null,0400000US56,Wyoming,56
3697190,null,174694,null,3522496,null,49158,null,35990,null,13168,null,3473338,null,0400000US72,Puerto Rico,72
