B17010A_001E,B17010A_001EA,B17010A_001M,B17010A_001MA,B17010A_002E,B17010A_002EA,B17010A_002M,B17010A_002MA,B17010A_003E,B17010A_003EA,B17010A_003M,B17010A_003MA,B17010A_004E,B17010A_004EA,B17010A_004M,B17010A_004MA,B17010A_005E,B17010A_005EA,B17010A_005M,B17010A_005MA,B17010A_006E,B17010A_006EA,B17010A_006M,B17010A_006MA,B17010A_007E,B17010A_007EA,B17010A_007M,B17010A_007MA,B17010A_008E,B17010A_008EA,B17010A_008M,B17010A_008MA,B17010A_009E,B17010A_009EA,B17010A_009M,B17010A_009MA,B17010A_010E,B17010A_010EA,B17010A_010M,B17010A_010MA,B17010A_011E,B17010A_011EA,B17010A_011M,B17010A_011MA,B17010A_012E,B17010A_012EA,B17010A_012M,B17010A_012MA,B17010A_013E,B17010A_013EA,B17010A_013M,B17010A_013MA,B17010A_014E,B17010A_014EA,B17010A_014M,B17010A_014MA,B17010A_015E,B17010A_015EA,B17010A_015M,B17010A_015MA,B17010A_016E,B17010A_016EA,B17010A_016M,B17010A_016MA,B17010A_017E,B17010A_017EA,B17010A_017M,B17010A_017MA,B17010A_018E,B17010A_018EA,B17010A_018M,B17010A_018MA,B17010A_019E,B17010A_019EA,B17010A_019M,B17010A_019MA,B17010A_020E,B17010A_020EA,B17010A_020M,B17010A_020MA,B17010A_021E,B17010A_021EA,B17010A_021M,B17010A_021MA,B17010A_022E,B17010A_022EA,B17010A_022M,B17010A_022MA,B17010A_023E,B17010A_023EA,B17010A_023M,B17010A_023MA,B17010A_024E,B17010A_024EA,B17010A_024M,B17010A_024MA,B17010A_025E,B17010A_025EA,B17010A_025M,B17010A_025MA,B17010A_026E,B17010A_026EA,B17010A_026M,B17010A_026MA,B17010A_027E,B17010A_027EA,B17010A_027M,B17010A_027MA,B17010A_028E,B17010A_028EA,B17010A_028M,B17010A_028MA,B17010A_029E,B17010A_029EA,B17010A_029M,B17010A_029MA,B17010A_030E,B17010A_030EA,B17010A_030M,B17010A_030MA,B17010A_031E,B17010A_031EA,B17010A_031M,B17010A_031MA,B17010A_032E,B17010A_032EA,B17010A_032M,B17010A_032MA,B17010A_033E,B17010A_033EA,B17010A_033M,B17010A_033MA,B17010A_034E,B17010A_034EA,B17010A_034M,B17010A_034MA,B17010A_035E,B17010A_035EA,B17010A_035M,B17010A_035MA,B17010A_036E,B17010A_036EA,B17010A_036M,B17010A_036MA,B17010A_037E,B17010A_037EA,B17010A_037M,B17010A_037MA,B17010A_038E,B17010A_038EA,B17010A_038M,B17010A_038MA,B17010A_039E,B17010A_039EA,B17010A_039M,B17010A_039MA,B17010A_040E,B17010A_040EA,B17010A_040M,B17010A_040MA,B17010A_041E,B17010A_041EA,B17010A_041M,B17010A_041MA,GEO_ID,NAME,state
909358,null,7921,null,75151,null,4651,null,34048,null,2631,null,19931,null,2222,null,3642,null,864,null,6496,null,1405,null,9793,null,1841,null,14117,null,1713,null,41103,null,3966,null,6205,null,1420,null,4965,null,1222,null,932,null,549,null,997,null,624,null,3036,null,912,null,1240,null,516,null,34898,null,3712,null,30520,null,3594,null,7878,null,1611,null,5186,null,1103,null,17456,null,2654,null,4378,null,1093,null,834207,null,8131,null,699973,null,8906,null,278739,null,6692,null,51960,null,3501,null,52176,null,3283,null,174603,null,5628,null,421234,null,7280,null,134234,null,5414,null,46144,null,3637,null,25109,null,2528,null,4863,null,1157,null,3005,null,1013,null,17241,null,2052,null,21035,null,2210,null,88090,null,4190,null,48772,null,3653,null,7275,null,1554,null,4041,null,1130,null,37456,null,2998,null,39318,null,2581,null,0400000US01,Alabama,01
120156,null,2666,null,4826,null,1034,null,1046,null,352,null,531,null,267,null,102,null,162,null,196,null,156,null,233,null,163,null,515,null,290,null,3780,null,1002,null,691,null,318,null,567,null,290,null,199,null,188,null,17,null,27,null,351,null,238,null,124,null,122,null,3089,null,969,null,3041,null,960,null,972,null,609,null,655,null,395,null,1414,null,514,null,48,null,80,null,115330,null,2871,null,96333,null,3006,null,43680,null,2327,null,7549,null,1436,null,9390,null,1598,null,26741,null,2213,null,52653,null,2324,null,18997,null,1973,null,6678,null,1287,null,4257,null,1086,null,486,null,317,null,66,null,72,null,3705,null,978,null,2421,null,665,null,12319,null,1467,null,8533,null,1279,null,980,null,565,null,1045,null,485,null,6508,null,951,null,3786,null,944,null,0400000US02,Alaska,02
1190573,null,10938,null,91921,null,4844,null,41377,null,3501,null,26240,null,2991,null,4484,null,980,null,11378,null,2176,null,10378,null,1868,null,15137,null,1984,null,50544,null,3816,null,8354,null,1670,null,6269,null,1518,null,2125,null,982,null,694,null,437,null,3450,null,1206,null,2085,null,858,null,42190,null,3505,null,37597,null,3446,null,6492,null,1450,null,13696,null,2407,null,17409,null,2191,null,4593,null,1085,null,1098652,null,11610,null,891746,null,11121,null,353035,null,8712,null,66302,null,4139,null,79505,null,4301,null,207228,null,7669,null,538711,null,7555,null,206906,null,7322,null,70577,null,4922,null,43485,null,3704,null,7891,null,1619,null,5208,null,1267,null,30386,null,3158,null,27092,null,2582,null,136329,null,5612,null,86970,null,5390,null,11894,null,1807,null,12133,null,1908,null,62943,null,4703,null,49359,null,2608,null,0400000US04,Arizona,04
614060,null,8366,null,62464,null,4290,null,28852,null,2407,null,18106,null,2129,null,3117,null,999,null,5637,null,1339,null,9352,null,1461,null,10746,null,1369,null,33612,null,3307,null,5341,null,1279,null,4045,null,1095,null,1187,null,741,null,613,null,301,null,2245,null,782,null,1296,null,734,null,28271,null,2866,null,25069,null,2754,null,4921,null,1120,null,5558,null,1467,null,14590,null,2062,null,3202,null,1008,null,551596,null,7864,null,470335,null,7489,null,183567,null,5139,null,35097,null,2560,null,36349,null,3542,null,112121,null,3831,null,286768,null,5861,null,81261,null,4121,null,27085,null,2590,null,15626,null,2016,null,2705,null,926,null,2098,null,930,null,10823,null,1666,null,11459,null,1813,null,54176,null,3774,null,33011,null,2875,null,5161,null,1296,null,3155,null,995,null,24695,null,2344,null,21165,null,2130,null,0400000US05,Arkansas,05
5274646,null,24354,null,390444,null,10858,null,171763,null,6515,null,120424,null,5836,null,18758,null,2523,null,47619,null,3754,null,54047,null,3382,null,51339,null,3463,null,218681,null,7792,null,38036,null,3237,null,29481,null,3124,null,6978,null,1598,null,7989,null,1391,null,14514,null,2118,null,8555,null,1692,null,180645,null,6969,null,158622,null,6560,null,28158,null,2530,null,48268,null,4079,null,82196,null,4898,null,22023,null,2439,null,4884202,null,24454,null,3853803,null,24860,null,1775798,null,18933,null,340303,null,10425,null,365861,null,9088,null,1069634,null,13757,null,2078005,null,15021,null,1030399,null,16625,null,353508,null,9492,null,191773,null,8492,null,34862,null,3629,null,27392,null,3210,null,129519,null,6632,null,161735,null,6740,null,676891,null,12694,null,387751,null,9797,null,49409,null,4352,null,53474,null,3579,null,284868,null,7838,null,289140,null,8214,null,0400000US06,California,06
1027585,null,9827,null,71406,null,4996,null,33546,null,3376,null,23310,null,2918,null,5346,null,1286,null,8867,null,2168,null,9097,null,1623,null,10236,null,1860,null,37860,null,3544,null,6229,null,1448,null,5203,null,1333,null,1994,null,1019,null,846,null,527,null,2363,null,797,null,1026,null,488,null,31631,null,3088,null,28815,null,3051,null,6475,null,1351,null,8841,null,1935,null,13499,null,2089,null,2816,null,795,null,956179,null,8785,null,788044,null,7775,null,347549,null,8053,null,76791,null,3543,null,68210,null,3639,null,202548,null,6615,null,440495,null,6629,null,168135,null,6685,null,65043,null,4499,null,39813,null,3525,null,7511,null,1679,null,4664,null,1415,null,27638,null,2927,null,25230,null,2858,null,103092,null,5055,null,65476,null,3743,null,8829,null,1486,null,6907,null,1394,null,49740,null,3306,null,37616,null,3082,null,0400000US08,Colorado,08
724586,null,6308,null,27294,null,2668,null,8233,null,1427,null,4286,null,997,null,791,null,542,null,1308,null,622,null,2187,null,752,null,3947,null,1079,null,19061,null,2425,null,2535,null,764,null,2056,null,732,null,266,null,318,null,340,null,292,null,1450,null,639,null,479,null,324,null,16526,null,2245,null,15109,null,2095,null,2852,null,976,null,3485,null,1320,null,8772,null,1489,null,1417,null,778,null,697292,null,6305,null,577930,null,7252,null,258701,null,4719,null,50869,null,3057,null,40450,null,2890,null,167382,null,5251,null,319229,null,5988,null,119362,null,5313,null,35025,null,3111,null,17653,null,2092,null,3547,null,961,null,1951,null,826,null,12155,null,1629,null,17372,null,2344,null,84337,null,3878,null,46264,null,3208,null,5338,null,1073,null,5050,null,1133,null,35876,null,2773,null,38073,null,2433,null,0400000US09,Connecticut,09
166281,null,3835,null,8951,null,1779,null,3453,null,877,null,1945,null,716,null,125,null,148,null,733,null,487,null,1087,null,478,null,1508,null,509,null,5498,null,1370,null,1112,null,583,null,645,null,375,null,49,null,79,null,0,null,261,null,596,null,391,null,467,null,422,null,4386,null,1179,null,3950,null,1153,null,1401,null,683,null,750,null,576,null,1799,null,789,null,436,null,190,null,157330,null,3786,null,129021,null,4114,null,50567,null,2759,null,10204,null,1598,null,9776,null,1270,null,30587,null,2170,null,78454,null,2981,null,28309,null,2818,null,10247,null,1857,null,5692,null,1510,null,713,null,390,null,1001,null,724,null,3978,null,1318,null,4555,null,1033,null,18062,null,1849,null,10673,null,1736,null,1791,null,685,null,987,null,520,null,7895,null,1573,null,7389,null,1280,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
3667681,null,21248,null,233157,null,9009,null,108993,null,5551,null,50259,null,4124,null,8564,null,1513,null,16574,null,2333,null,25121,null,2597,null,58734,null,3619,null,124164,null,6238,null,21657,null,2689,null,15822,null,2272,null,5957,null,1601,null,2418,null,1073,null,7447,null,1641,null,5835,null,1360,null,102507,null,6176,null,89251,null,5501,null,18054,null,2587,null,20737,null,3111,null,50460,null,3816,null,13256,null,2044,null,3434524,null,19655,null,2777357,null,19190,null,984888,null,13491,null,183096,null,6593,null,183253,null,6832,null,618539,null,11139,null,1792469,null,16694,null,657167,null,12985,null,214658,null,7719,null,110689,null,5506,null,23427,null,3354,null,9954,null,1754,null,77308,null,4030,null,103969,null,5929,null,442509,null,10835,null,250101,null,8633,null,31584,null,3300,null,26248,null,2746,null,192269,null,7543,null,192408,null,6941,null,0400000US12,Florida,12
