C20005A_001E,C20005A_001EA,C20005A_001M,C20005A_001MA,C20005A_002E,C20005A_002EA,C20005A_002M,C20005A_002MA,C20005A_003E,C20005A_003EA,C20005A_003M,C20005A_003MA,C20005A_004E,C20005A_004EA,C20005A_004M,C20005A_004MA,C20005A_005E,C20005A_005EA,C20005A_005M,C20005A_005MA,C20005A_006E,C20005A_006EA,C20005A_006M,C20005A_006MA,C20005A_007E,C20005A_007EA,C20005A_007M,C20005A_007MA,C20005A_008E,C20005A_008EA,C20005A_008M,C20005A_008MA,C20005A_009E,C20005A_009EA,C20005A_009M,C20005A_009MA,C20005A_010E,C20005A_010EA,C20005A_010M,C20005A_010MA,C20005A_011E,C20005A_011EA,C20005A_011M,C20005A_011MA,C20005A_012E,C20005A_012EA,C20005A_012M,C20005A_012MA,C20005A_013E,C20005A_013EA,C20005A_013M,C20005A_013MA,C20005A_014E,C20005A_014EA,C20005A_014M,C20005A_014MA,C20005A_015E,C20005A_015EA,C20005A_015M,C20005A_015MA,C20005A_016E,C20005A_016EA,C20005A_016M,C20005A_016MA,C20005A_017E,C20005A_017EA,C20005A_017M,C20005A_017MA,C20005A_018E,C20005A_018EA,C20005A_018M,C20005A_018MA,C20005A_019E,C20005A_019EA,C20005A_019M,C20005A_019MA,C20005A_020E,C20005A_020EA,C20005A_020M,C20005A_020MA,C20005A_021E,C20005A_021EA,C20005A_021M,C20005A_021MA,C20005A_022E,C20005A_022EA,C20005A_022M,C20005A_022MA,C20005A_023E,C20005A_023EA,C20005A_023M,C20005A_023MA,C20005A_024E,C20005A_024EA,C20005A_024M,C20005A_024MA,C20005A_025E,C20005A_025EA,C20005A_025M,C20005A_025MA,C20005A_026E,C20005A_026EA,C20005A_026M,C20005A_026MA,C20005A_027E,C20005A_027EA,C20005A_027M,C20005A_027MA,C20005A_028E,C20005A_028EA,C20005A_028M,C20005A_028MA,C20005A_029E,C20005A_029EA,C20005A_029M,C20005A_029MA,C20005A_030E,C20005A_030EA,C20005A_030M,C20005A_030MA,C20005A_031E,C20005A_031EA,C20005A_031M,C20005A_031MA,C20005A_032E,C20005A_032EA,C20005A_032M,C20005A_032MA,C20005A_033E,C20005A_033EA,C20005A_033M,C20005A_033MA,C20005A_034E,C20005A_034EA,C20005A_034M,C20005A_034MA,C20005A_035E,C20005A_035EA,C20005A_035M,C20005A_035MA,C20005A_036E,C20005A_036EA,C20005A_036M,C20005A_036MA,C20005A_037E,C20005A_037EA,C20005A_037M,C20005A_037MA,C20005A_038E,C20005A_038EA,C20005A_038M,C20005A_038MA,C20005A_039E,C20005A_039EA,C20005A_039M,C20005A_039MA,GEO_ID,NAME,state
2617359,null,5038,null,1268425,null,3683,null,641748,null,8700,null,40,null,69,null,641708,null,8716,null,10698,null,1673,null,58817,null,4220,null,101487,null,4078,null,203482,null,5698,null,138613,null,5316,null,128611,null,4807,null,626677,null,8891,null,332590,null,6159,null,294087,null,8412,null,129437,null,5532,null,61485,null,4236,null,35218,null,2936,null,34664,null,2708,null,16657,null,1856,null,16626,null,1905,null,1348934,null,3182,null,389234,null,8329,null,89,null,106,null,389145,null,8327,null,10450,null,1681,null,73211,null,4007,null,93014,null,4207,null,128418,null,4823,null,58743,null,3177,null,25309,null,2575,null,959700,null,8587,null,581526,null,8182,null,378174,null,8211,null,193160,null,6591,null,87401,null,4522,null,36918,null,2788,null,43171,null,3084,null,12649,null,1695,null,4875,null,974,null,0400000US01,Alabama,01
371695,null,1930,null,195834,null,1391,null,92820,null,3492,null,20,null,33,null,92800,null,3492,null,1313,null,467,null,4649,null,1217,null,10155,null,1706,null,23045,null,1848,null,27384,null,2521,null,26254,null,2345,null,103014,null,3732,null,28548,null,2058,null,74466,null,3475,null,22496,null,2382,null,9883,null,1381,null,8605,null,1568,null,13087,null,1470,null,10902,null,1511,null,9493,null,1492,null,175861,null,1270,null,59755,null,3191,null,23,null,41,null,59732,null,3201,null,1452,null,503,null,3930,null,953,null,11620,null,1408,null,21960,null,2071,null,15296,null,2002,null,5474,null,1104,null,116106,null,3450,null,46364,null,2319,null,69742,null,3357,null,28614,null,2338,null,13477,null,1817,null,9579,null,1443,null,10249,null,1587,null,5575,null,1095,null,2248,null,617,null,0400000US02,Alaska,02
3822548,null,14619,null,1892550,null,9070,null,921382,null,12780,null,69,null,113,null,921313,null,12765,null,10929,null,1700,null,97810,null,7857,null,142345,null,8076,null,267787,null,8637,null,203718,null,8048,null,198724,null,6146,null,971168,null,12761,null,506247,null,8043,null,464921,null,10202,null,174930,null,6771,null,97353,null,5778,null,56538,null,4768,null,62402,null,4342,null,34232,null,3190,null,39466,null,3066,null,1929998,null,7940,null,596702,null,9957,null,66,null,108,null,596636,null,9975,null,14606,null,2288,null,80785,null,6183,null,128172,null,6672,null,205965,null,7745,null,104188,null,5165,null,62920,null,4040,null,1333296,null,9505,null,770948,null,10459,null,562348,null,10488,null,249903,null,8064,null,127557,null,5409,null,69363,null,4409,null,71353,null,3964,null,29299,null,2561,null,14873,null,1823,null,0400000US04,Arizona,04
1785462,null,4100,null,868918,null,3299,null,402777,null,7300,null,134,null,129,null,402643,null,7290,null,9529,null,1641,null,47735,null,3284,null,76660,null,4315,null,128175,null,5759,null,80136,null,4250,null,60408,null,3838,null,466141,null,6931,null,239992,null,5645,null,226149,null,6370,null,99997,null,4766,null,49195,null,3622,null,25894,null,2468,null,26338,null,2819,null,11722,null,1427,null,13003,null,1760,null,916544,null,2724,null,280903,null,5830,null,228,null,179,null,280675,null,5823,null,9136,null,1552,null,62913,null,3849,null,79479,null,5168,null,84344,null,4358,null,32182,null,2645,null,12621,null,1571,null,635641,null,6262,null,371786,null,6890,null,263855,null,7197,null,136053,null,5669,null,64101,null,3331,null,24610,null,2369,null,26213,null,2647,null,9866,null,1536,null,3012,null,772,null,0400000US05,Arkansas,05
17508696,null,43068,null,8708304,null,26699,null,4191504,null,27973,null,306,null,210,null,4191198,null,27948,null,57711,null,4358,null,428354,null,11886,null,537271,null,13798,null,961185,null,17808,null,888930,null,15810,null,1317747,null,15194,null,4516800,null,21462,null,2136907,null,19571,null,2379893,null,23068,null,810699,null,14825,null,474824,null,11171,null,277837,null,10125,null,335884,null,9644,null,217384,null,7145,null,263265,null,8548,null,8800392,null,23851,null,2561585,null,23381,null,433,null,270,null,2561152,null,23374,null,56469,null,4201,null,336165,null,9499,null,403580,null,11382,null,749832,null,13766,null,528085,null,11855,null,487021,null,11588,null,6238807,null,31434,null,3460185,null,27121,null,2778622,null,23109,null,1143712,null,14325,null,599514,null,12974,null,318538,null,8561,null,345748,null,7968,null,222065,null,7255,null,149045,null,5571,null,0400000US06,California,06
3235658,null,10849,null,1619598,null,6845,null,852059,null,10615,null,208,null,202,null,851851,null,10605,null,16069,null,2806,null,74771,null,4834,null,108166,null,5403,null,241820,null,7530,null,192634,null,6191,null,218391,null,6106,null,767539,null,10410,null,290073,null,6809,null,477466,null,9310,null,182148,null,5947,null,85005,null,5165,null,57379,null,3404,null,74380,null,4217,null,41006,null,2867,null,37548,null,2530,null,1616060,null,6035,null,536621,null,8888,null,180,null,167,null,536441,null,8915,null,11980,null,1956,null,57718,null,4494,null,102296,null,4357,null,189957,null,7008,null,107029,null,4685,null,67461,null,4162,null,1079439,null,10196,null,505043,null,7517,null,574396,null,9832,null,262731,null,7462,null,125616,null,5665,null,71942,null,4241,null,70682,null,4193,null,29550,null,2424,null,13875,null,1646,null,0400000US08,Colorado,08
2264467,null,7316,null,1087274,null,4787,null,557789,null,7738,null,144,null,141,null,557645,null,7743,null,5657,null,1034,null,21151,null,2392,null,49636,null,3713,null,130758,null,4931,null,151992,null,4966,null,198451,null,6148,null,529485,null,7544,null,237553,null,4542,null,291932,null,6913,null,116021,null,4052,null,48274,null,3864,null,32253,null,2709,null,39490,null,3367,null,26260,null,2027,null,29634,null,2313,null,1177193,null,4256,null,380163,null,7150,null,95,null,115,null,380068,null,7165,null,4586,null,1053,null,22019,null,2322,null,60559,null,3525,null,133006,null,5230,null,90296,null,4401,null,69602,null,2991,null,797030,null,7549,null,400621,null,6473,null,396409,null,7196,null,160511,null,5025,null,83873,null,3986,null,50770,null,3582,null,50356,null,3175,null,31660,null,2686,null,19239,null,2015,null,0400000US09,Connecticut,09
509254,null,1990,null,243843,null,1345,null,124101,null,3391,null,0,null,261,null,124101,null,3391,null,982,null,392,null,7597,null,1406,null,13145,null,1948,null,38106,null,2896,null,32885,null,2265,null,31386,null,2258,null,119742,null,3222,null,58410,null,2458,null,61332,null,3227,null,26381,null,2102,null,11941,null,1665,null,6802,null,1404,null,8519,null,1252,null,3711,null,813,null,3978,null,822,null,265411,null,1208,null,89070,null,3605,null,67,null,109,null,89003,null,3597,null,1723,null,505,null,8170,null,1536,null,16902,null,2018,null,31237,null,2746,null,20515,null,2077,null,10456,null,1243,null,176341,null,3690,null,96426,null,3025,null,79915,null,2970,null,37081,null,2239,null,16739,null,1816,null,8319,null,1404,null,9627,null,1355,null,5500,null,838,null,2649,null,822,null,0400000US10,Delaware,10
187020,null,2500,null,93094,null,1781,null,54830,null,2749,null,0,null,300,null,54830,null,2749,null,413,null,374,null,1491,null,859,null,3644,null,1436,null,9749,null,1762,null,10115,null,1855,null,29418,null,2300,null,38264,null,3030,null,11764,null,1741,null,26500,null,2767,null,8637,null,1467,null,2485,null,746,null,2184,null,874,null,3953,null,972,null,3356,null,854,null,5885,null,1328,null,93926,null,1355,null,41491,null,2729,null,0,null,300,null,41491,null,2729,null,431,null,317,null,1216,null,630,null,2828,null,1091,null,9019,null,1440,null,10756,null,1572,null,17241,null,1759,null,52435,null,2666,null,18183,null,1779,null,34252,null,2623,null,13219,null,1665,null,4928,null,1147,null,2880,null,866,null,5634,null,1309,null,3754,null,936,null,3837,null,742,null,0400000US11,District of Columbia,11
11520388,null,20266,null,5608159,null,13559,null,2646401,null,21416,null,133,null,133,null,2646268,null,21414,null,35983,null,3608,null,279054,null,10619,null,444503,null,13719,null,796606,null,15667,null,539854,null,12556,null,550268,null,12012,null,2961758,null,20528,null,1669155,null,14303,null,1292603,null,20343,null,488972,null,12716,null,282180,null,9210,null,161359,null,8090,null,177743,null,7385,null,83417,null,4076,null,98932,null,5679,null,5912229,null,11568,null,1842730,null,17378,null,179,null,171,null,1842551,null,17371,null,38403,null,3716,null,273275,null,9950,null,419878,null,10893,null,633728,null,12210,null,301916,null,8133,null,175351,null,6728,null,4069499,null,17280,null,2506175,null,17549,null,1563324,null,17695,null,683928,null,12244,null,377008,null,11090,null,183295,null,7046,null,206296,null,7556,null,78078,null,4109,null,34719,null,3296,null,0400000US12,Florida,12
