B13010_001E,B13010_001EA,B13010_001M,B13010_001MA,B13010_002E,B13010_002EA,B13010_002M,B13010_002MA,B13010_003E,B13010_003EA,B13010_003M,B13010_003MA,B13010_004E,B13010_004EA,B13010_004M,B13010_004MA,B13010_005E,B13010_005EA,B13010_005M,B13010_005MA,B13010_006E,B13010_006EA,B13010_006M,B13010_006MA,B13010_007E,B13010_007EA,B13010_007M,B13010_007MA,B13010_008E,B13010_008EA,B13010_008M,B13010_008MA,B13010_009E,B13010_009EA,B13010_009M,B13010_009MA,B13010_010E,B13010_010EA,B13010_010M,B13010_010MA,B13010_011E,B13010_011EA,B13010_011M,B13010_011MA,B13010_012E,B13010_012EA,B13010_012M,B13010_012MA,B13010_013E,B13010_013EA,B13010_013M,B13010_013MA,B13010_014E,B13010_014EA,B13010_014M,B13010_014MA,B13010_015E,B13010_015EA,B13010_015M,B13010_015MA,B13010_016E,B13010_016EA,B13010_016M,B13010_016MA,B13010_017E,B13010_017EA,B13010_017M,B13010_017MA,B13010_018E,B13010_018EA,B13010_018M,B13010_018MA,B13010_019E,B13010_019EA,B13010_019M,B13010_019MA,GEO_ID,NAME,state
1132912,null,4634,null,65760,null,4315,null,38753,null,3432,null,6355,null,1566,null,8172,null,1758,null,24226,null,2981,null,27007,null,2723,null,15610,null,2146,null,5711,null,1374,null,5686,null,1378,null,1067152,null,6556,null,531747,null,8347,null,51557,null,3889,null,82683,null,4745,null,397507,null,8284,null,535405,null,9163,null,153274,null,6591,null,129000,null,6592,null,253131,null,7788,null,0400000US01,Alabama,01
174809,null,2060,null,11527,null,1674,null,7460,null,1352,null,727,null,473,null,1401,null,571,null,5332,null,1021,null,4067,null,998,null,1965,null,701,null,783,null,372,null,1319,null,576,null,163282,null,2409,null,82625,null,3451,null,3287,null,813,null,8692,null,1302,null,70646,null,3470,null,80657,null,3670,null,11120,null,1609,null,14676,null,2035,null,54861,null,3755,null,0400000US02,Alaska,02
1518015,null,3936,null,98135,null,5980,null,60861,null,4612,null,10461,null,2409,null,14911,null,2127,null,35489,null,3143,null,37274,null,3315,null,16849,null,2361,null,9193,null,2143,null,11232,null,2107,null,1419880,null,7190,null,670305,null,10205,null,59748,null,4639,null,113629,null,6722,null,496928,null,9975,null,749575,null,10038,null,159102,null,8436,null,150694,null,8078,null,439779,null,9909,null,0400000US04,Arizona,04
672489,null,3443,null,39472,null,3378,null,22946,null,2351,null,3965,null,819,null,5859,null,1330,null,13122,null,1701,null,16526,null,2297,null,9860,null,1844,null,4652,null,1200,null,2014,null,610,null,633017,null,4592,null,342190,null,6836,null,40005,null,3259,null,62734,null,3414,null,239451,null,6225,null,290827,null,7579,null,87264,null,4681,null,75670,null,5877,null,127893,null,5550,null,0400000US05,Arkansas,05
9299721,null,10814,null,512114,null,12308,null,351072,null,9496,null,47499,null,3507,null,72116,null,4468,null,231457,null,7785,null,161042,null,7883,null,72811,null,4805,null,39729,null,3618,null,48502,null,3793,null,8787607,null,15343,null,4116745,null,29695,null,349682,null,8853,null,682166,null,13626,null,3084897,null,25173,null,4670862,null,29307,null,857535,null,17878,null,904404,null,19170,null,2908923,null,26844,null,0400000US06,California,06
1223456,null,3740,null,66855,null,4135,null,50483,null,3393,null,6521,null,1633,null,9864,null,1987,null,34098,null,2655,null,16372,null,2196,null,7947,null,1674,null,3493,null,815,null,4932,null,1228,null,1156601,null,5510,null,586647,null,8150,null,45514,null,3784,null,68316,null,4230,null,472817,null,8290,null,569954,null,8128,null,115921,null,5070,null,102691,null,6574,null,351342,null,8646,null,0400000US08,Colorado,08
849198,null,2949,null,43416,null,3228,null,30948,null,2689,null,1667,null,657,null,3141,null,979,null,26140,null,2336,null,12468,null,1904,null,4484,null,1145,null,2890,null,920,null,5094,null,1345,null,805782,null,4040,null,391716,null,6803,null,13861,null,1747,null,29848,null,2636,null,348007,null,6800,null,414066,null,6777,null,60354,null,4498,null,62508,null,4992,null,291204,null,7021,null,0400000US09,Connecticut,09
212773,null,1337,null,8776,null,1519,null,5893,null,1182,null,565,null,484,null,1582,null,669,null,3746,null,879,null,2883,null,1041,null,1263,null,765,null,975,null,528,null,645,null,412,null,203997,null,1878,null,96919,null,4530,null,5745,null,1491,null,11966,null,1901,null,79208,null,4096,null,107078,null,4272,null,20779,null,2955,null,19595,null,2627,null,66704,null,3795,null,0400000US10,Delaware,10
162200,null,1851,null,7408,null,1538,null,3422,null,937,null,127,null,150,null,519,null,517,null,2776,null,851,null,3986,null,1176,null,1479,null,896,null,1132,null,725,null,1375,null,563,null,154792,null,2302,null,38855,null,2809,null,3166,null,1014,null,4311,null,1359,null,31378,null,2355,null,115937,null,3482,null,23586,null,2695,null,20276,null,2904,null,72075,null,3484,null,0400000US11,District of Columbia,11
4280247,null,9290,null,216951,null,8782,null,138981,null,6429,null,14781,null,2061,null,33112,null,3701,null,91088,null,4753,null,77970,null,5629,null,34506,null,4307,null,20261,null,3071,null,23203,null,2853,null,4063296,null,12682,null,1919368,null,18891,null,134031,null,6839,null,284472,null,9593,null,1500865,null,17748,null,2143928,null,19056,null,428920,null,13893,null,472969,null,15594,null,1242039,null,16179,null,0400000US12,Florida,12
